timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.12,1.71,1.65
10,-1.00,-0.06,0.00,0.00,1.77,1.65
20,-1.00,-0.06,0.00,-0.24,2.14,1.65
30,-1.00,-0.07,0.00,-0.24,2.08,1.59
40,-1.00,-0.07,0.00,-0.37,2.14,1.59
50,-1.00,-0.07,0.00,-0.43,2.20,1.28
60,-1.00,-0.07,0.00,-0.18,2.01,1.46
70,-1.00,-0.07,0.00,-0.12,2.01,1.53
80,-1.00,-0.06,-0.00,-0.12,1.89,1.65
90,-1.00,-0.06,-0.01,-0.12,1.83,1.65
100,-1.00,-0.06,-0.00,-0.12,1.77,1.46
110,-1.00,-0.07,-0.00,0.06,1.59,1.53
120,-1.00,-0.07,0.00,0.00,1.59,1.59
130,-1.00,-0.07,0.01,-0.06,1.65,1.46
140,-1.00,-0.07,0.00,-0.18,1.77,1.53
150,-1.00,-0.06,0.00,-0.12,1.65,1.59
160,-1.00,-0.06,0.01,0.06,1.77,1.83
170,-1.00,-0.07,0.00,-0.06,1.89,1.65
180,-1.00,-0.06,-0.00,-0.06,1.89,1.53
190,-1.00,-0.06,0.00,-0.12,1.77,1.71
200,-1.00,-0.07,0.00,-0.12,1.77,1.53
210,-1.00,-0.06,0.00,-0.12,1.77,1.59
220,-1.00,-0.06,0.00,-0.12,1.77,1.46
230,-1.00,-0.06,0.00,-0.06,1.89,1.46
240,-1.00,-0.06,0.00,-0.06,1.71,1.71
250,-1.00,-0.07,0.00,-0.18,1.77,1.40
260,-1.00,-0.07,0.00,-0.18,1.77,1.59
270,-1.00,-0.07,0.00,-0.12,1.77,1.59
280,-1.00,-0.06,0.01,-0.18,1.89,1.46
290,-1.00,-0.06,0.01,-0.06,1.83,1.46
300,-1.00,-0.07,0.00,-0.12,1.89,1.59
310,-1.00,-0.07,0.00,-0.12,1.71,1.59
320,-1.00,-0.07,0.00,-0.18,1.77,1.53
330,-1.00,-0.07,0.00,-0.18,1.83,1.34
340,-1.00,-0.07,0.00,-0.12,1.77,1.46
350,-1.00,-0.06,0.00,-0.12,1.77,1.65
360,-1.00,-0.06,0.00,-0.18,1.83,1.71
370,-1.00,-0.06,0.00,-0.24,1.89,1.53
380,-1.00,-0.07,0.00,-0.12,1.89,1.40
390,-1.00,-0.07,0.00,-0.12,1.89,1.40
400,-1.00,-0.06,0.00,-0.06,1.89,1.59
410,-1.00,-0.06,0.00,-0.12,1.95,1.59
420,-1.00,-0.06,0.00,-0.18,1.77,1.65
430,-1.00,-0.06,0.00,-0.06,1.83,1.59
440,-1.00,-0.06,0.01,-0.18,1.95,1.34
450,-1.00,-0.06,0.00,-0.12,1.95,1.40
460,-1.00,-0.07,0.00,-0.12,1.77,1.65
470,-1.00,-0.06,0.01,-0.24,1.95,1.40
480,-1.00,-0.06,0.00,-0.24,2.01,1.28
490,-1.00,-0.07,-0.00,-0.18,2.08,1.34
500,-1.00,-0.07,0.00,-0.12,1.89,1.59
510,-1.00,-0.07,0.01,-0.12,2.08,1.71
520,-1.00,-0.07,-0.00,0.00,1.95,1.46
530,-1.00,-0.06,0.01,0.06,1.53,1.65
540,-1.00,-0.07,0.00,-0.12,2.01,1.16
550,-1.00,-0.06,0.00,-0.12,1.77,1.53
560,-1.00,-0.06,0.01,0.00,1.65,1.77
570,-1.00,-0.06,0.00,-0.18,2.01,1.28
580,-1.00,-0.06,0.00,-0.12,1.83,1.53
590,-1.00,-0.07,0.00,-0.18,2.08,1.40
600,-1.00,-0.07,0.00,-0.24,2.01,1.28
610,-1.00,-0.07,0.01,-0.18,1.83,1.53
620,-1.00,-0.07,0.00,-0.12,1.89,1.59
630,-1.00,-0.07,0.01,-0.24,1.83,1.65
640,-1.00,-0.06,0.00,-0.24,1.83,1.59
650,-1.00,-0.06,0.00,-0.24,1.83,1.71
660,-1.00,-0.06,0.00,-0.37,1.95,1.83
670,-1.00,-0.06,0.01,-0.37,1.95,1.65
680,-1.00,-0.06,0.00,-0.24,1.95,1.34
690,-1.00,-0.07,0.01,-0.18,1.95,1.34
700,-1.00,-0.07,0.00,-0.12,2.14,1.59
710,-1.00,-0.07,0.00,-0.18,1.95,1.83
720,-1.00,-0.06,0.00,-0.24,1.95,1.59
730,-1.00,-0.06,0.00,-0.18,1.89,1.46
740,-1.00,-0.07,0.00,-0.06,1.89,1.34
750,-1.00,-0.07,0.00,-0.12,1.95,1.40
760,-1.00,-0.07,0.00,-0.12,1.89,1.65
770,-1.00,-0.07,0.00,-0.18,1.95,1.65
780,-1.00,-0.07,0.00,-0.18,1.83,1.59
790,-1.00,-0.07,0.01,-0.06,1.89,1.46
800,-1.00,-0.06,0.00,-0.06,2.01,1.40
810,-1.00,-0.07,0.00,-0.12,2.01,1.59
820,-1.00,-0.07,0.00,-0.12,1.95,1.65
830,-1.00,-0.06,0.00,-0.24,1.95,1.65
840,-1.00,-0.06,0.01,-0.24,1.95,1.40
850,-1.00,-0.07,0.00,-0.12,2.08,1.34
860,-1.00,-0.07,0.01,-0.24,1.89,1.46
870,-1.00,-0.07,0.00,-0.24,2.08,1.59
880,-1.00,-0.07,0.00,-0.31,1.95,1.59
890,-1.00,-0.07,-0.00,-0.24,1.89,1.59
900,-1.00,-0.07,0.00,-0.24,1.89,1.34
910,-1.00,-0.07,0.01,-0.18,1.83,1.59
920,-1.00,-0.06,0.00,-0.24,1.95,1.59
930,-1.00,-0.06,0.00,-0.18,1.95,1.77
940,-1.00,-0.06,0.00,-0.06,1.83,1.83
950,-1.00,-0.06,0.00,-0.12,1.89,1.59
960,-1.00,-0.06,0.00,-0.12,1.95,1.46
970,-1.00,-0.06,0.00,-0.24,2.08,1.28
980,-1.00,-0.07,0.00,-0.18,1.95,1.34
990,-1.00,-0.07,0.01,-0.24,2.01,1.46
1000,-1.00,-0.07,0.00,-0.24,2.14,1.34
1010,-1.00,-0.07,0.00,-0.12,2.01,1.46
1020,-1.00,-0.07,0.00,-0.12,1.95,1.53
1030,-1.00,-0.07,0.01,-0.24,2.14,1.46
1040,-1.00,-0.07,0.01,-0.24,2.08,1.46
1050,-1.00,-0.06,0.00,-0.31,2.20,1.46
1060,-1.00,-0.06,-0.00,-0.24,2.01,1.46
1070,-1.00,-0.06,0.01,-0.31,2.08,1.53
1080,-1.00,-0.07,0.00,-0.18,2.08,1.59
1090,-1.00,-0.07,0.00,-0.31,2.01,1.46
1100,-1.00,-0.07,0.00,-0.31,2.01,1.46
1110,-1.00,-0.07,0.01,-0.31,2.08,1.46
1120,-1.00,-0.07,0.00,-0.18,1.95,1.65
1130,-1.00,-0.07,0.00,-0.24,1.89,1.71
1140,-1.00,-0.06,0.00,-0.24,2.01,1.65
1150,-1.00,-0.06,0.01,-0.24,2.20,1.59
1160,-1.00,-0.06,0.00,-0.43,2.32,1.59
1170,-1.00,-0.07,-0.00,-0.37,2.38,1.46
1180,-1.00,-0.07,0.01,-0.31,2.14,1.46
1190,-1.00,-0.07,0.00,-0.31,2.50,1.22
1200,-1.00,-0.07,0.00,-0.06,2.08,1.53
1210,-1.00,-0.06,0.00,0.00,1.83,1.71
1220,-1.00,-0.06,0.01,-0.18,2.26,1.28
1230,-1.00,-0.06,0.00,-0.12,2.01,1.53
1240,-1.00,-0.06,0.00,0.00,1.77,1.71
1250,-1.00,-0.06,0.00,0.00,2.08,1.22
1260,-1.00,-0.07,0.00,-0.06,2.08,1.10
1270,-1.00,-0.07,0.00,-0.12,2.08,1.40
1280,-1.00,-0.07,-0.00,-0.06,1.89,1.46
1290,-1.00,-0.07,0.00,-0.12,1.77,1.53
1300,-1.00,-0.07,0.00,-0.24,1.77,1.65
1310,-1.00,-0.07,0.00,-0.12,1.77,1.71
1320,-1.00,-0.07,0.00,-0.24,1.77,1.65
1330,-1.00,-0.06,0.01,-0.24,1.71,1.77
1340,-1.00,-0.06,0.01,-0.43,1.95,1.83
1350,-1.00,-0.06,0.00,-0.49,2.01,1.71
1360,-1.00,-0.06,0.00,-0.37,2.01,1.59
1370,-1.00,-0.06,0.00,-0.31,2.01,1.53
1380,-1.00,-0.06,0.01,-0.24,2.01,1.59
1390,-1.00,-0.07,0.00,-0.24,2.01,1.71
1400,-1.00,-0.06,0.01,-0.24,1.89,1.77
1410,-1.00,-0.06,0.00,-0.24,2.01,1.46
1420,-1.00,-0.07,0.00,-0.18,1.95,1.34
1430,-1.00,-0.07,0.00,-0.18,2.08,1.40
1440,-1.00,-0.06,0.00,-0.12,1.95,1.40
1450,-1.00,-0.07,0.00,-0.06,2.01,1.53
1460,-1.00,-0.06,0.00,-0.18,1.95,1.40
1470,-1.00,-0.07,0.00,-0.12,2.01,1.16
1480,-1.00,-0.07,0.00,-0.18,2.08,1.28
1490,-1.00,-0.07,0.00,-0.24,2.14,1.53
1500,-1.00,-0.07,0.01,-0.24,2.08,1.65
1510,-1.00,-0.07,0.00,-0.43,2.08,1.53
1520,-1.00,-0.07,0.00,-0.37,2.08,1.53
1530,-1.00,-0.06,0.00,-0.37,2.14,1.40
1540,-1.00,-0.07,0.00,-0.43,2.38,1.46
1550,-1.00,-0.06,0.01,-0.49,2.20,1.59
1560,-1.00,-0.06,-0.00,-0.43,2.32,1.71
1570,-1.00,-0.06,-0.00,-0.43,2.20,1.65
1580,-1.00,-0.06,-0.00,-0.43,2.32,1.53
1590,-1.00,-0.07,0.00,-0.31,2.14,1.46
1600,-1.00,-0.07,0.00,-0.43,2.20,1.34
1610,-1.00,-0.07,0.00,-0.37,2.26,1.53
1620,-1.00,-0.06,0.00,-0.18,2.14,1.65
1630,-1.00,-0.07,0.00,-0.31,2.14,1.65
1640,-1.00,-0.06,0.00,-0.31,2.38,1.46
1650,-1.00,-0.06,0.00,-0.37,2.32,1.40
