timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.09,-0.01,-0.24,2.14,2.01
10,-1.00,-0.09,-0.00,-0.31,2.14,1.22
20,-1.00,-0.09,-0.01,-0.18,2.20,1.28
30,-1.00,-0.09,-0.01,-0.31,2.20,1.22
40,-1.00,-0.09,-0.01,-0.24,2.32,1.59
50,-1.00,-0.09,-0.00,-0.37,2.20,1.95
60,-1.00,-0.09,-0.01,-0.31,2.08,1.83
70,-1.00,-0.09,-0.01,-0.31,2.26,1.59
80,-1.00,-0.09,-0.00,-0.31,2.26,1.28
90,-1.00,-0.09,-0.01,-0.24,2.26,1.40
100,-1.00,-0.09,-0.01,-0.31,2.26,1.59
110,-1.00,-0.09,-0.01,-0.43,2.38,1.40
120,-1.00,-0.09,-0.01,-0.37,2.14,1.65
130,-1.00,-0.09,-0.01,-0.24,2.08,1.71
140,-1.00,-0.09,-0.00,-0.18,2.20,1.40
150,-1.00,-0.09,-0.01,-0.31,2.14,1.77
160,-1.00,-0.09,-0.00,-0.31,2.14,1.83
170,-1.00,-0.09,-0.01,-0.49,2.32,1.77
180,-1.00,-0.09,-0.01,-0.43,2.32,1.95
190,-1.00,-0.09,-0.01,-0.31,2.08,2.01
200,-1.00,-0.09,-0.01,-0.37,2.20,2.01
210,-1.00,-0.09,-0.01,-0.43,2.26,1.77
220,-1.00,-0.09,-0.01,-0.37,2.26,1.71
230,-1.00,-0.09,-0.01,-0.24,2.08,2.14
240,-1.00,-0.09,-0.00,-0.18,2.01,1.95
250,-1.00,-0.08,-0.00,-0.24,2.20,1.77
260,-1.00,-0.09,-0.01,-0.31,2.20,1.59
270,-1.00,-0.08,-0.01,-0.31,2.20,1.83
280,-1.00,-0.09,-0.01,-0.24,2.14,2.14
290,-1.00,-0.09,-0.01,-0.24,2.01,2.14
300,-1.00,-0.08,-0.01,-0.37,2.08,1.89
310,-1.00,-0.09,-0.01,-0.31,1.95,1.77
320,-1.00,-0.08,-0.01,-0.24,2.20,1.77
330,-1.00,-0.09,-0.01,-0.18,1.95,1.77
340,-1.00,-0.08,-0.00,-0.31,2.01,1.89
350,-1.00,-0.09,-0.01,-0.18,2.32,1.95
360,-1.00,-0.08,-0.01,-0.24,2.14,1.89
370,-1.00,-0.08,-0.01,-0.43,2.20,1.89
380,-1.00,-0.09,-0.01,-0.31,2.62,1.34
390,-1.00,-0.08,-0.01,-0.12,2.20,1.59
400,-1.00,-0.08,-0.01,-0.06,1.95,1.71
410,-1.00,-0.09,-0.01,-0.18,2.14,1.53
420,-1.00,-0.08,-0.01,-0.12,1.95,1.89
430,-1.00,-0.08,-0.01,0.00,1.59,2.01
440,-1.00,-0.08,-0.01,-0.12,1.83,1.71
450,-1.00,-0.09,-0.01,0.06,1.77,1.83
460,-1.00,-0.09,-0.01,0.12,1.65,1.71
470,-1.00,-0.08,-0.01,-0.12,1.46,1.59
480,-1.00,-0.08,-0.01,0.00,1.71,1.34
490,-1.00,-0.08,-0.01,-0.12,1.95,1.40
500,-1.00,-0.08,-0.01,-0.12,1.71,1.53
510,-1.00,-0.08,-0.00,0.00,1.71,2.08
520,-1.00,-0.08,-0.01,-0.06,1.77,2.20
530,-1.00,-0.09,-0.01,-0.31,1.77,1.34
540,-1.00,-0.08,-0.01,-0.18,1.77,1.28
550,-1.00,-0.09,-0.01,0.06,1.71,1.53
560,-1.00,-0.09,-0.00,0.00,1.77,1.71
570,-1.00,-0.09,-0.01,-0.06,1.65,1.83
580,-1.00,-0.08,-0.01,0.06,1.65,1.95
590,-1.00,-0.08,-0.01,-0.06,1.77,1.22
600,-1.01,-0.09,-0.01,-0.18,1.71,1.10
610,-1.00,-0.08,-0.01,0.00,1.83,1.34
620,-1.00,-0.08,-0.01,0.06,1.71,1.89
630,-1.00,-0.08,-0.00,-0.12,1.65,1.71
640,-1.00,-0.08,-0.01,-0.12,1.83,1.77
650,-1.00,-0.08,-0.01,0.00,1.59,1.59
660,-1.00,-0.08,-0.01,-0.12,1.77,1.40
670,-1.00,-0.09,-0.00,0.00,1.65,1.28
680,-1.00,-0.08,-0.01,-0.06,1.71,1.28
690,-1.00,-0.08,-0.01,0.00,1.71,1.34
700,-1.00,-0.09,-0.00,0.06,1.71,1.71
710,-1.00,-0.08,-0.01,-0.06,1.89,1.65
720,-1.00,-0.08,-0.01,-0.12,1.65,1.34
730,-1.00,-0.09,-0.00,-0.18,1.77,1.28
740,-1.00,-0.09,-0.00,-0.06,1.83,1.28
750,-1.00,-0.09,-0.01,-0.06,1.77,1.53
760,-1.00,-0.08,-0.00,0.06,1.71,1.59
770,-1.00,-0.08,-0.00,0.00,1.59,1.77
780,-1.00,-0.08,-0.01,0.00,1.77,1.59
790,-1.00,-0.09,-0.01,-0.06,1.83,1.34
800,-1.00,-0.08,-0.00,0.00,1.71,1.46
810,-1.00,-0.09,-0.01,0.00,1.77,1.46
820,-1.00,-0.08,-0.00,-0.18,2.01,0.98
830,-1.00,-0.08,-0.00,-0.06,1.77,1.34
840,-1.00,-0.08,-0.01,0.06,1.59,1.71
850,-1.00,-0.08,-0.01,-0.06,1.71,1.65
860,-1.00,-0.09,-0.00,-0.24,1.89,1.46
870,-1.00,-0.08,-0.00,-0.06,1.83,1.59
880,-1.00,-0.08,-0.00,0.00,1.83,1.53
890,-1.00,-0.08,-0.01,0.00,1.83,1.46
900,-1.00,-0.08,-0.01,-0.12,1.89,1.46
910,-1.00,-0.08,-0.00,-0.12,1.71,1.65
920,-1.00,-0.09,-0.01,-0.06,1.89,1.46
930,-1.00,-0.08,-0.01,-0.12,1.95,1.22
940,-1.00,-0.09,-0.00,-0.12,1.77,1.46
950,-1.00,-0.09,-0.01,0.00,1.89,1.53
960,-1.00,-0.09,-0.00,-0.06,1.89,1.65
970,-1.00,-0.08,-0.01,-0.06,1.83,1.53
980,-1.00,-0.08,-0.00,0.00,1.77,1.65
990,-1.00,-0.09,-0.01,-0.06,1.89,1.53
1000,-1.00,-0.08,-0.00,-0.06,2.08,1.22
1010,-1.00,-0.09,-0.00,-0.06,2.01,1.22
1020,-1.00,-0.09,-0.00,-0.18,1.89,1.59
1030,-1.00,-0.08,-0.00,-0.12,2.38,1.40
1040,-1.00,-0.08,-0.01,0.06,1.65,1.46
1050,-1.00,-0.08,-0.01,0.24,1.59,1.59
1060,-1.00,-0.08,-0.00,0.00,1.89,1.22
1070,-1.00,-0.09,-0.01,0.00,2.01,1.28
1080,-1.00,-0.08,-0.01,0.00,1.65,1.77
1090,-1.00,-0.08,-0.00,0.06,1.83,1.71
1100,-1.00,-0.09,-0.01,-0.06,1.89,1.40
1110,-1.00,-0.09,-0.00,-0.06,1.83,1.59
1120,-1.00,-0.08,-0.00,0.00,1.71,1.59
1130,-1.00,-0.08,-0.00,0.00,1.59,1.59
1140,-1.00,-0.08,0.00,0.00,1.65,1.53
1150,-1.00,-0.09,0.00,-0.06,1.89,1.53
1160,-1.00,-0.08,-0.00,-0.06,1.77,1.77
1170,-1.00,-0.08,-0.00,-0.12,1.71,1.89
1180,-1.00,-0.08,-0.00,-0.31,2.08,1.40
1190,-1.00,-0.08,-0.00,-0.18,2.01,1.46
1200,-1.00,-0.08,-0.01,-0.18,1.89,1.40
1210,-1.00,-0.09,-0.01,-0.18,1.95,1.46
1220,-1.00,-0.08,-0.00,-0.06,1.95,1.65
1230,-1.00,-0.08,-0.00,-0.12,1.83,1.77
1240,-1.00,-0.08,-0.00,-0.06,1.95,1.28
1250,-1.00,-0.08,-0.00,-0.12,1.89,1.22
1260,-1.00,-0.08,0.00,-0.06,1.83,1.53
1270,-1.00,-0.08,-0.00,-0.06,1.77,1.59
1280,-1.00,-0.08,-0.00,-0.31,1.95,1.53
1290,-1.00,-0.08,-0.00,-0.18,1.89,1.59
1300,-1.00,-0.09,-0.00,-0.12,1.77,1.59
1310,-1.00,-0.09,-0.01,-0.12,1.95,1.10
1320,-1.00,-0.08,-0.01,-0.06,1.89,1.59
1330,-1.00,-0.08,-0.00,-0.12,2.01,1.59
1340,-1.00,-0.08,-0.00,-0.18,1.77,1.59
1350,-1.00,-0.08,-0.00,-0.12,1.71,1.71
1360,-1.00,-0.08,-0.00,-0.18,1.89,1.34
1370,-1.00,-0.09,-0.00,-0.06,1.89,1.46
1380,-1.00,-0.08,-0.00,-0.12,1.83,1.77
1390,-1.00,-0.09,-0.00,-0.06,1.95,1.59
1400,-1.00,-0.08,-0.00,-0.12,1.77,1.53
1410,-1.00,-0.08,-0.00,-0.12,1.77,1.59
1420,-1.00,-0.08,-0.00,0.00,1.89,1.46
1430,-1.00,-0.09,-0.00,-0.12,2.01,1.40
1440,-1.00,-0.08,-0.00,-0.18,1.83,1.40
1450,-1.00,-0.08,-0.00,-0.18,1.95,1.28
1460,-1.00,-0.08,-0.00,0.00,2.01,1.77
1470,-1.00,-0.09,-0.00,0.00,1.83,1.53
