timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.08,-0.02,-0.12,2.01,1.59
10,-1.00,-0.08,-0.02,-0.06,1.89,1.53
20,-1.00,-0.08,-0.01,-0.12,2.01,1.53
30,-1.00,-0.08,-0.02,-0.12,2.14,1.53
40,-1.00,-0.08,-0.02,-0.24,2.01,1.53
50,-1.00,-0.08,-0.02,-0.24,2.26,1.34
60,-1.00,-0.08,-0.02,-0.12,2.26,1.22
70,-1.00,-0.08,-0.01,0.06,1.89,1.71
80,-1.00,-0.08,-0.02,0.00,1.95,1.22
90,-1.00,-0.08,-0.02,-0.12,2.01,1.22
100,-1.00,-0.08,-0.02,-0.06,1.71,1.71
110,-1.00,-0.08,-0.02,-0.06,1.89,1.53
120,-1.00,-0.08,-0.02,-0.12,1.83,1.34
130,-1.00,-0.08,-0.02,-0.18,2.08,1.46
140,-1.00,-0.08,-0.02,-0.06,1.95,1.40
150,-1.00,-0.08,-0.02,-0.18,1.83,1.53
160,-1.00,-0.08,-0.02,-0.18,1.77,1.71
170,-1.00,-0.08,-0.01,-0.12,1.77,1.71
180,-1.00,-0.08,-0.02,-0.12,1.89,1.53
190,-1.00,-0.08,-0.02,-0.12,1.89,1.65
200,-1.00,-0.08,-0.02,-0.12,1.89,1.65
210,-1.00,-0.08,-0.02,-0.43,2.01,1.65
220,-1.00,-0.08,-0.02,-0.43,1.95,1.40
230,-1.00,-0.08,-0.01,-0.31,2.01,1.22
240,-1.00,-0.08,-0.01,-0.18,2.01,1.22
250,-1.00,-0.08,-0.01,-0.12,2.01,1.59
260,-1.00,-0.08,-0.01,0.00,2.08,1.71
270,-1.00,-0.08,-0.02,-0.18,1.95,1.53
280,-1.00,-0.08,-0.02,-0.18,1.95,1.40
290,-1.00,-0.08,-0.02,-0.12,1.95,1.34
300,-1.00,-0.08,-0.02,-0.24,2.01,1.34
310,-1.00,-0.08,-0.02,-0.24,2.01,1.34
320,-1.00,-0.08,-0.02,-0.12,2.01,1.46
330,-1.00,-0.08,-0.02,-0.18,1.95,1.53
340,-1.00,-0.08,-0.02,-0.24,1.95,1.40
350,-1.00,-0.08,-0.02,-0.24,2.01,1.34
360,-1.00,-0.08,-0.02,-0.18,1.95,1.65
370,-1.00,-0.08,-0.02,0.00,1.89,1.65
380,-1.00,-0.08,-0.01,-0.12,1.89,1.59
390,-1.00,-0.08,-0.02,-0.12,1.89,1.53
400,-1.00,-0.08,-0.02,-0.24,1.89,1.46
410,-1.00,-0.08,-0.02,-0.18,1.95,1.59
420,-1.00,-0.08,-0.01,-0.24,1.89,1.46
430,-1.00,-0.08,-0.02,-0.24,1.89,1.53
440,-1.00,-0.08,-0.01,-0.24,2.01,1.53
450,-1.00,-0.08,-0.02,-0.18,2.01,1.53
460,-1.00,-0.08,-0.02,-0.18,2.01,1.53
470,-1.00,-0.08,-0.01,-0.12,1.89,1.46
480,-1.00,-0.08,-0.02,-0.18,1.89,1.65
490,-1.00,-0.08,-0.02,-0.18,1.89,1.59
500,-1.00,-0.08,-0.02,-0.12,1.89,1.46
510,-1.00,-0.08,-0.01,-0.12,1.83,1.40
520,-1.00,-0.08,-0.02,-0.18,1.83,1.46
530,-1.00,-0.08,-0.01,-0.06,1.83,1.53
540,-1.00,-0.08,-0.02,-0.12,1.83,1.46
550,-1.00,-0.08,-0.02,-0.12,1.89,1.40
560,-1.00,-0.08,-0.01,-0.12,1.89,1.34
570,-1.00,-0.08,-0.02,-0.18,1.95,1.53
