timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,0.01,-0.18,1.89,1.53
10,-1.00,-0.07,0.00,-0.18,1.95,1.83
20,-1.00,-0.06,0.00,-0.18,1.95,1.71
30,-1.00,-0.06,0.01,-0.31,1.95,1.46
40,-1.00,-0.06,0.01,-0.31,2.08,1.53
50,-1.00,-0.06,0.01,-0.37,2.14,1.53
60,-1.00,-0.07,0.00,-0.37,2.08,1.40
70,-1.00,-0.07,0.01,-0.24,2.08,1.46
80,-1.00,-0.07,0.00,-0.31,2.01,1.59
90,-1.00,-0.07,0.00,-0.18,2.01,1.59
100,-1.00,-0.07,0.00,-0.31,2.01,1.53
110,-1.00,-0.06,0.01,-0.24,2.01,1.59
120,-1.00,-0.06,0.00,-0.12,1.83,1.59
130,-1.00,-0.07,0.00,-0.12,1.95,1.53
140,-1.00,-0.07,0.00,-0.24,1.83,1.46
150,-1.00,-0.07,0.00,-0.18,1.89,1.53
160,-1.00,-0.07,0.00,-0.24,1.95,1.46
170,-1.00,-0.07,0.00,-0.18,1.95,1.59
180,-1.00,-0.07,0.00,-0.24,1.95,1.53
190,-1.00,-0.07,-0.00,-0.31,1.77,1.77
200,-1.00,-0.07,0.00,-0.06,1.77,1.53
210,-1.00,-0.07,0.01,-0.06,1.77,1.34
220,-1.00,-0.07,0.01,0.06,1.46,1.83
230,-1.00,-0.07,0.01,-0.18,1.83,1.40
240,-1.00,-0.06,0.00,-0.18,1.77,1.59
250,-1.00,-0.07,0.01,-0.31,1.89,1.65
260,-1.00,-0.07,0.00,-0.43,2.01,1.34
270,-1.00,-0.07,0.00,-0.24,1.95,1.22
280,-1.00,-0.06,0.00,-0.37,2.14,1.22
290,-1.00,-0.07,0.00,-0.24,1.89,1.71
300,-1.00,-0.07,0.00,-0.31,2.14,1.59
310,-1.00,-0.07,0.00,-0.24,2.08,1.46
320,-1.00,-0.06,0.00,-0.24,1.77,1.83
330,-1.00,-0.06,0.00,-0.43,2.26,1.16
340,-1.00,-0.07,0.00,-0.31,2.08,1.28
350,-1.00,-0.06,0.00,-0.37,2.01,1.46
360,-1.00,-0.07,0.00,-0.31,2.08,1.53
370,-1.00,-0.07,0.00,-0.43,2.08,1.65
380,-1.00,-0.06,0.00,-0.31,2.32,1.28
390,-1.00,-0.07,0.00,-0.31,2.08,1.40
400,-1.00,-0.07,0.00,-0.37,2.26,1.40
410,-1.00,-0.07,0.00,-0.37,2.38,1.34
420,-1.00,-0.06,0.00,-0.43,2.08,1.65
