timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.01,-0.08,-0.01,0.06,1.59,1.53
10,-1.00,-0.08,-0.00,0.12,1.53,1.77
20,-1.00,-0.08,-0.00,0.00,1.53,1.89
30,-1.00,-0.08,-0.00,0.06,1.34,1.89
40,-1.00,-0.08,0.00,0.00,1.59,2.01
50,-1.00,-0.07,-0.00,-0.12,1.46,2.01
60,-1.00,-0.07,-0.00,-0.12,1.65,1.65
70,-1.00,-0.07,-0.01,-0.37,1.65,1.53
80,-1.00,-0.07,-0.00,-0.06,1.95,1.59
90,-1.00,-0.08,-0.00,0.12,1.77,2.01
100,-1.00,-0.07,-0.01,0.00,1.77,2.01
110,-1.00,-0.07,-0.01,-0.06,1.83,1.95
120,-1.00,-0.07,-0.00,-0.06,1.77,1.71
130,-1.00,-0.07,-0.00,-0.24,1.83,1.16
140,-1.00,-0.08,-0.00,-0.12,1.83,1.28
150,-1.00,-0.08,-0.00,0.06,1.77,1.77
160,-1.00,-0.08,-0.01,-0.06,1.83,1.89
170,-1.00,-0.07,-0.00,-0.12,1.65,1.65
180,-1.00,-0.08,-0.00,-0.18,1.71,1.71
190,-1.00,-0.08,0.00,-0.12,1.71,1.65
200,-1.00,-0.07,-0.00,-0.06,1.83,1.28
210,-1.00,-0.07,-0.00,-0.12,1.95,1.22
220,-1.00,-0.07,0.00,-0.12,1.89,1.34
230,-1.00,-0.07,0.00,-0.06,1.89,1.59
240,-1.00,-0.08,-0.00,-0.18,1.89,1.40
250,-1.00,-0.07,-0.00,-0.24,1.83,1.53
260,-1.00,-0.07,-0.00,-0.06,1.77,1.59
270,-1.00,-0.08,0.00,-0.06,2.01,1.40
280,-1.00,-0.07,-0.00,0.06,1.65,1.71
290,-1.00,-0.07,0.00,-0.06,1.89,1.53
300,-1.00,-0.07,-0.01,-0.12,1.83,1.53
310,-1.00,-0.07,-0.00,-0.06,1.83,1.59
320,-1.00,-0.07,0.00,-0.06,1.77,1.28
330,-1.00,-0.07,0.00,-0.06,1.89,1.53
