timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.18,1.89,1.22
10,-1.00,-0.07,0.00,-0.12,2.01,1.28
20,-1.00,-0.07,0.00,-0.18,1.95,1.59
30,-1.00,-0.07,0.00,-0.24,1.89,1.65
40,-1.00,-0.07,0.00,-0.18,1.95,1.46
50,-1.00,-0.07,0.00,-0.06,1.95,1.34
60,-1.00,-0.07,0.00,-0.06,1.95,1.28
70,-1.00,-0.07,0.00,0.00,1.95,1.34
80,-1.00,-0.07,0.01,-0.06,1.89,1.65
90,-1.00,-0.07,0.01,-0.18,1.77,1.53
100,-1.00,-0.07,0.00,-0.18,1.83,1.46
110,-1.00,-0.07,0.00,-0.12,1.83,1.40
120,-1.00,-0.07,0.00,-0.06,1.95,1.53
130,-1.00,-0.07,0.00,-0.12,1.77,1.53
140,-1.00,-0.07,0.00,-0.06,1.83,1.71
150,-1.00,-0.07,0.00,-0.12,1.89,1.65
160,-1.00,-0.06,0.00,-0.06,1.83,1.53
170,-1.00,-0.06,0.00,-0.12,1.83,1.46
180,-1.00,-0.07,0.01,0.00,1.77,1.59
190,-1.00,-0.07,0.00,-0.12,1.77,1.65
200,-1.00,-0.06,0.01,-0.12,1.83,1.53
210,-1.00,-0.06,0.00,-0.31,2.01,1.46
220,-1.00,-0.06,0.01,-0.12,1.95,1.46
230,-1.00,-0.07,0.00,-0.24,2.01,1.40
240,-1.00,-0.06,0.00,-0.12,2.01,1.46
250,-1.00,-0.07,0.01,-0.12,1.95,1.59
260,-1.00,-0.06,0.00,-0.18,2.08,1.53
270,-1.00,-0.07,0.00,-0.31,2.08,1.46
280,-1.00,-0.07,0.00,-0.24,2.08,1.40
290,-1.00,-0.07,0.01,-0.18,2.14,1.40
300,-1.00,-0.07,0.01,-0.24,2.14,1.46
310,-1.00,-0.06,0.00,-0.18,2.01,1.46
320,-1.00,-0.06,0.01,-0.18,2.08,1.46
330,-1.00,-0.07,0.00,-0.24,2.14,1.59
340,-1.00,-0.07,0.00,-0.24,2.14,1.34
350,-1.00,-0.07,0.00,-0.12,2.14,1.46
360,-1.00,-0.07,0.00,-0.18,2.20,1.40
370,-1.00,-0.07,0.00,-0.24,2.20,1.46
380,-1.00,-0.06,0.00,-0.24,2.14,1.53
390,-1.00,-0.06,0.00,-0.31,2.14,1.59
400,-1.00,-0.07,0.00,-0.31,2.08,1.40
410,-1.00,-0.07,0.01,-0.31,2.20,1.40
420,-1.00,-0.07,0.00,-0.18,2.01,1.53
430,-1.00,-0.07,0.01,-0.18,2.01,1.71
440,-1.00,-0.06,0.00,-0.37,2.32,1.40
450,-1.00,-0.06,-0.00,-0.31,2.38,1.34
460,-1.00,-0.06,0.00,-0.31,2.26,1.53
470,-1.00,-0.07,0.00,-0.49,2.44,1.28
480,-1.00,-0.07,0.00,-0.18,2.50,1.28
490,-1.00,-0.07,0.00,-0.06,1.83,1.46
500,-1.00,-0.07,0.00,-0.12,2.32,1.16
