timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,-0.00,-0.06,1.77,1.65
10,-1.00,-0.06,0.00,-0.12,1.83,1.65
20,-1.00,-0.07,-0.00,-0.06,1.83,1.53
30,-1.00,-0.07,-0.00,-0.06,1.77,1.53
40,-1.00,-0.06,-0.00,0.12,1.77,1.40
50,-1.00,-0.07,0.00,0.00,1.77,1.46
60,-1.00,-0.06,0.00,0.00,1.89,1.53
70,-1.00,-0.06,0.00,0.06,1.59,1.77
80,-1.00,-0.06,0.00,0.06,1.71,1.65
90,-1.00,-0.07,0.00,-0.06,1.83,1.34
100,-1.00,-0.06,-0.00,0.00,1.83,1.46
110,-1.00,-0.06,-0.00,0.12,1.83,1.59
120,-1.00,-0.07,-0.00,0.12,1.71,1.65
130,-1.00,-0.06,0.00,0.12,1.77,1.65
140,-1.00,-0.06,0.00,0.24,1.83,1.65
150,-1.00,-0.06,0.00,0.37,1.59,1.77
160,-1.00,-0.06,0.00,0.31,1.83,1.65
170,-1.00,-0.06,0.00,0.12,1.89,1.65
180,-1.00,-0.06,0.00,-0.12,1.95,1.59
190,-1.00,-0.06,0.01,-0.24,2.01,1.59
200,-1.00,-0.06,0.01,-0.24,1.89,1.46
210,-1.00,-0.07,0.00,-0.24,2.08,1.40
220,-1.00,-0.06,0.00,-0.37,2.14,1.53
230,-1.00,-0.06,0.00,-0.24,1.95,1.71
240,-1.00,-0.06,-0.00,-0.18,2.01,1.71
250,-1.00,-0.06,-0.00,-0.12,1.89,1.65
260,-1.00,-0.06,-0.00,-0.12,2.08,1.59
270,-1.00,-0.06,-0.00,-0.18,1.89,1.59
280,-1.00,-0.06,-0.00,-0.12,1.89,1.46
290,-1.00,-0.06,0.00,-0.18,1.89,1.40
300,-1.00,-0.06,0.00,-0.12,1.83,1.34
310,-1.00,-0.06,0.00,-0.12,2.01,1.28
320,-1.00,-0.06,0.00,0.00,1.95,1.34
330,-1.00,-0.06,0.00,0.00,1.89,1.40
340,-1.00,-0.06,0.00,-0.18,1.89,1.59
350,-1.00,-0.06,0.00,-0.12,2.01,1.53
360,-1.00,-0.06,0.00,-0.12,2.01,1.34
370,-1.00,-0.06,0.00,-0.18,2.01,1.28
380,-1.00,-0.06,0.00,-0.06,2.01,1.46
390,-1.00,-0.06,0.00,0.00,1.95,1.46
400,-1.00,-0.06,0.00,-0.12,1.95,1.40
410,-1.00,-0.06,0.01,0.00,1.83,1.40
420,-1.00,-0.06,0.00,-0.06,1.83,1.59
430,-1.00,-0.06,0.00,0.00,1.89,1.53
440,-1.00,-0.06,0.00,0.00,1.89,1.53
450,-1.00,-0.06,0.00,-0.24,1.89,1.53
460,-1.00,-0.06,0.00,-0.24,2.08,1.46
470,-1.00,-0.06,0.00,-0.18,2.01,1.34
480,-1.00,-0.06,0.00,-0.18,1.83,1.59
490,-1.00,-0.06,0.01,-0.18,2.08,1.40
500,-1.00,-0.06,0.00,0.00,2.01,1.77
510,-1.00,-0.06,0.00,-0.18,2.14,1.59
520,-1.00,-0.06,0.00,-0.31,2.38,1.40
530,-1.01,-0.06,0.00,-0.24,2.44,1.34
540,-1.00,-0.06,0.00,-0.06,1.65,1.40
550,-1.00,-0.06,-0.00,0.00,1.83,1.16
560,-1.00,-0.07,-0.00,-0.06,1.89,1.04
570,-1.00,-0.06,0.00,0.12,1.46,1.77
580,-1.00,-0.06,-0.00,0.12,1.46,2.01
590,-1.00,-0.06,0.00,-0.18,1.95,1.28
600,-1.00,-0.06,0.00,-0.12,1.89,1.53
610,-1.00,-0.06,0.00,-0.31,2.08,1.28
620,-1.00,-0.06,0.00,-0.31,2.01,1.22
630,-1.00,-0.06,-0.00,-0.31,1.95,1.59
640,-1.00,-0.06,0.00,-0.31,2.14,1.71
650,-1.00,-0.06,-0.00,-0.31,2.08,1.53
660,-1.00,-0.06,0.00,-0.18,2.01,1.22
670,-1.00,-0.07,0.00,-0.06,1.89,1.53
680,-1.00,-0.07,-0.00,0.00,2.08,1.46
690,-1.00,-0.06,-0.00,0.00,1.95,1.53
700,-1.00,-0.06,0.00,0.00,1.83,1.46
710,-1.00,-0.06,0.00,-0.06,1.83,1.59
720,-1.00,-0.06,-0.00,-0.12,1.83,1.53
730,-1.00,-0.06,0.01,-0.18,1.89,1.22
740,-1.00,-0.06,0.00,-0.06,1.83,1.34
