timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.08,-0.02,-0.24,2.08,1.46
10,-1.00,-0.08,-0.02,-0.31,2.14,1.53
20,-1.00,-0.08,-0.02,-0.24,2.14,1.59
30,-1.00,-0.08,-0.02,-0.37,2.08,1.46
40,-1.00,-0.08,-0.02,-0.37,2.14,1.46
50,-1.00,-0.08,-0.02,-0.31,2.20,1.53
60,-1.00,-0.08,-0.02,-0.24,2.26,1.53
70,-1.00,-0.08,-0.02,-0.31,2.20,1.53
80,-1.00,-0.08,-0.02,-0.31,2.01,1.46
90,-1.00,-0.08,-0.02,-0.31,2.14,1.40
100,-1.00,-0.08,-0.02,-0.24,2.14,1.46
110,-1.00,-0.08,-0.02,-0.18,2.26,1.46
120,-1.00,-0.08,-0.02,-0.31,2.20,1.46
130,-1.00,-0.08,-0.02,-0.18,2.26,1.46
140,-1.00,-0.08,-0.02,-0.31,2.14,1.46
150,-1.00,-0.08,-0.02,-0.31,2.01,1.53
160,-1.00,-0.08,-0.02,-0.31,2.08,1.40
170,-1.00,-0.08,-0.02,-0.18,2.26,1.40
180,-1.00,-0.08,-0.02,-0.24,2.14,1.53
190,-1.00,-0.08,-0.02,-0.24,2.14,1.53
200,-1.00,-0.08,-0.02,-0.31,2.26,1.53
210,-1.00,-0.08,-0.02,-0.18,2.08,1.40
220,-1.00,-0.08,-0.02,-0.24,2.08,1.53
230,-1.00,-0.08,-0.02,-0.24,2.14,1.34
240,-1.00,-0.08,-0.01,-0.24,2.14,1.34
250,-1.00,-0.08,-0.02,-0.24,2.14,1.46
260,-1.00,-0.08,-0.02,-0.18,2.20,1.53
270,-1.00,-0.08,-0.02,-0.37,2.08,1.46
280,-1.00,-0.08,-0.02,-0.31,2.08,1.53
290,-1.00,-0.08,-0.02,-0.24,2.01,1.46
300,-1.00,-0.08,-0.02,-0.24,2.08,1.34
310,-1.00,-0.08,-0.02,-0.24,1.95,1.40
320,-1.00,-0.08,-0.02,0.00,1.95,1.46
330,-1.00,-0.08,-0.02,-0.12,1.89,1.59
340,-1.00,-0.08,-0.02,-0.12,1.83,1.59
350,-1.00,-0.08,-0.02,-0.12,1.89,1.59
360,-1.00,-0.08,-0.02,0.00,1.83,1.65
370,-1.00,-0.08,-0.02,0.00,1.77,1.71
380,-1.00,-0.08,-0.02,0.00,1.77,1.65
390,-1.00,-0.08,-0.02,-0.12,1.89,1.46
400,-1.00,-0.08,-0.02,-0.24,1.95,1.65
410,-1.00,-0.08,-0.02,-0.31,2.14,1.59
420,-1.00,-0.08,-0.02,-0.24,2.01,1.40
430,-1.00,-0.08,-0.02,-0.37,2.26,1.28
440,-1.00,-0.08,-0.02,0.00,1.83,1.65
450,-1.00,-0.08,-0.02,0.00,1.65,1.65
460,-1.00,-0.08,-0.02,-0.18,1.83,1.34
470,-1.00,-0.08,-0.02,0.00,1.59,1.71
480,-1.00,-0.08,-0.02,0.12,1.53,1.71
490,-1.00,-0.08,-0.02,0.06,1.71,1.34
500,-1.00,-0.08,-0.02,0.12,1.53,1.40
510,-1.00,-0.08,-0.02,0.00,1.65,1.59
520,-1.00,-0.08,-0.02,0.06,1.46,1.71
530,-1.00,-0.08,-0.01,-0.06,1.53,1.59
540,-1.00,-0.08,-0.02,-0.06,1.59,1.40
550,-1.00,-0.08,-0.02,0.06,1.77,1.59
560,-1.00,-0.08,-0.02,-0.06,1.71,1.65
570,-1.00,-0.08,-0.02,-0.18,1.77,1.71
580,-1.00,-0.08,-0.02,-0.37,1.77,1.71
590,-1.00,-0.08,-0.02,-0.37,1.83,1.59
600,-1.00,-0.08,-0.02,-0.18,1.89,1.46
610,-1.00,-0.08,-0.02,-0.18,1.95,1.28
620,-1.00,-0.08,-0.02,-0.18,2.01,1.59
630,-1.00,-0.08,-0.02,-0.12,1.89,1.65
640,-1.00,-0.08,-0.02,-0.18,1.89,1.65
650,-1.00,-0.08,-0.01,-0.12,1.77,1.40
660,-1.00,-0.08,-0.02,0.00,1.83,1.46
670,-1.00,-0.08,-0.01,-0.06,1.89,1.59
680,-1.00,-0.08,-0.02,-0.18,1.95,1.46
690,-1.00,-0.08,-0.02,-0.18,1.95,1.46
700,-1.00,-0.08,-0.02,-0.12,1.83,1.46
710,-1.00,-0.08,-0.02,-0.12,1.83,1.53
720,-1.00,-0.08,-0.02,-0.06,1.65,1.59
730,-1.00,-0.08,-0.02,-0.12,1.83,1.53
740,-1.00,-0.08,-0.02,-0.06,1.77,1.59
