timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.08,-0.01,-0.12,1.83,1.28
10,-1.00,-0.08,-0.01,0.00,1.95,1.46
20,-1.00,-0.08,-0.02,-0.06,2.20,1.46
30,-1.00,-0.08,-0.02,-0.12,2.20,1.53
40,-1.00,-0.08,-0.02,-0.24,2.08,1.40
50,-1.00,-0.08,-0.02,-0.31,2.20,1.10
60,-1.00,-0.08,-0.02,-0.24,1.95,1.46
70,-1.00,-0.08,-0.02,-0.12,1.83,1.83
80,-1.00,-0.08,-0.02,-0.12,1.71,1.95
90,-1.00,-0.08,-0.02,-0.12,1.59,1.65
100,-1.00,-0.08,-0.02,-0.18,1.71,1.53
110,-1.00,-0.08,-0.02,-0.18,1.59,1.46
120,-1.00,-0.07,-0.01,-0.12,1.83,1.59
130,-1.00,-0.07,-0.02,0.06,2.20,1.46
140,-1.00,-0.08,-0.01,0.18,1.71,1.53
150,-1.00,-0.08,-0.01,-0.12,2.20,0.92
160,-1.00,-0.08,-0.02,-0.06,2.01,1.22
170,-1.00,-0.08,-0.02,-0.12,1.83,1.77
180,-1.00,-0.08,-0.02,-0.18,1.95,1.77
190,-1.00,-0.08,-0.02,-0.43,2.32,1.46
200,-1.00,-0.08,-0.02,-0.37,2.38,1.65
210,-1.00,-0.08,-0.02,-0.31,2.44,1.65
220,-1.00,-0.08,-0.02,-0.24,2.01,1.53
230,-1.00,-0.07,-0.02,-0.43,1.77,1.65
240,-1.00,-0.07,-0.01,-0.24,1.89,1.77
250,-1.00,-0.07,-0.01,-0.18,2.14,1.22
260,-1.00,-0.07,-0.01,-0.18,2.26,1.10
270,-1.00,-0.08,-0.01,-0.12,2.38,1.34
280,-1.00,-0.08,-0.02,-0.37,2.44,1.71
290,-1.00,-0.08,-0.02,-0.43,2.38,1.65
300,-1.00,-0.08,-0.02,-0.37,2.44,1.34
310,-1.00,-0.08,-0.02,-0.37,2.50,1.16
320,-1.00,-0.09,-0.02,-0.24,2.44,1.22
330,-1.00,-0.08,-0.02,-0.24,2.38,1.59
340,-1.00,-0.08,-0.02,-0.37,2.26,1.77
350,-1.00,-0.08,-0.02,-0.37,2.14,1.71
360,-1.00,-0.07,-0.02,-0.24,2.01,1.53
370,-1.00,-0.08,-0.02,-0.24,2.32,1.34
380,-1.00,-0.08,-0.02,-0.31,2.38,1.34
390,-1.00,-0.08,-0.01,-0.49,2.38,1.40
400,-1.00,-0.08,-0.02,-0.55,2.50,1.59
410,-1.00,-0.08,-0.02,-0.31,2.38,1.59
420,-1.00,-0.08,-0.02,-0.31,2.20,1.46
430,-1.00,-0.08,-0.02,-0.24,2.32,1.40
440,-1.00,-0.08,-0.02,-0.24,2.32,1.46
450,-1.00,-0.08,-0.02,-0.18,2.20,1.59
460,-1.00,-0.08,-0.02,-0.37,2.20,1.53
470,-1.00,-0.08,-0.02,-0.37,2.26,1.46
480,-1.00,-0.08,-0.02,-0.37,2.32,1.46
490,-1.00,-0.08,-0.02,-0.37,2.26,1.53
500,-1.00,-0.08,-0.02,-0.49,2.38,1.46
510,-1.00,-0.08,-0.02,-0.49,2.38,1.34
520,-1.00,-0.08,-0.02,-0.37,2.20,1.46
530,-1.00,-0.08,-0.02,-0.24,2.32,1.53
540,-1.00,-0.08,-0.02,-0.18,2.26,1.46
550,-1.00,-0.08,-0.02,-0.24,2.32,1.53
560,-1.00,-0.08,-0.02,-0.06,2.26,1.53
570,-1.00,-0.08,-0.02,-0.24,2.20,1.46
580,-1.00,-0.08,-0.02,-0.31,2.20,1.40
590,-1.00,-0.08,-0.02,-0.31,2.32,1.34
600,-1.00,-0.08,-0.02,-0.24,2.26,1.40
610,-1.00,-0.08,-0.02,-0.31,2.26,1.46
620,-1.00,-0.08,-0.02,-0.18,2.26,1.53
630,-1.00,-0.08,-0.02,-0.18,2.26,1.53
640,-1.00,-0.08,-0.02,-0.24,2.20,1.53
650,-1.00,-0.08,-0.02,-0.31,2.08,1.53
660,-1.00,-0.08,-0.02,-0.31,2.14,1.40
670,-1.00,-0.08,-0.02,-0.18,2.20,1.46
680,-1.00,-0.08,-0.02,-0.12,2.01,1.53
690,-1.00,-0.08,-0.02,-0.18,2.14,1.59
700,-1.00,-0.08,-0.02,-0.24,2.01,1.53
710,-1.00,-0.08,-0.02,-0.24,1.95,1.53
720,-1.00,-0.08,-0.02,-0.18,1.95,1.46
730,-1.00,-0.08,-0.02,-0.12,1.83,1.46
740,-1.00,-0.08,-0.02,-0.12,1.89,1.46
750,-1.00,-0.08,-0.02,-0.18,1.95,1.46
760,-1.00,-0.08,-0.02,-0.18,2.08,1.40
770,-1.00,-0.08,-0.02,-0.18,2.14,1.34
780,-1.00,-0.08,-0.02,-0.12,2.14,1.16
790,-1.00,-0.08,-0.02,0.18,1.71,1.53
800,-1.00,-0.08,-0.02,0.00,1.77,1.53
810,-1.00,-0.08,-0.02,-0.06,1.83,1.46
820,-1.00,-0.08,-0.02,0.06,1.53,1.77
830,-1.00,-0.08,-0.02,0.00,1.71,1.53
840,-1.00,-0.08,-0.02,-0.06,1.77,1.34
850,-1.00,-0.08,-0.02,-0.06,1.65,1.59
860,-1.00,-0.08,-0.02,-0.12,1.65,1.65
870,-1.00,-0.08,-0.02,-0.06,1.53,1.65
880,-1.00,-0.08,-0.02,-0.06,1.53,1.59
890,-1.00,-0.08,-0.02,-0.12,1.65,1.65
900,-1.00,-0.08,-0.02,0.00,1.46,1.71
910,-1.00,-0.08,-0.02,-0.18,1.59,1.71
920,-1.00,-0.08,-0.02,-0.24,1.71,1.65
930,-1.00,-0.08,-0.02,-0.37,1.89,1.46
940,-1.00,-0.08,-0.02,-0.31,1.95,1.40
950,-1.00,-0.08,-0.02,-0.12,2.01,1.46
960,-1.00,-0.08,-0.02,-0.24,1.95,1.46
970,-1.00,-0.08,-0.02,-0.18,1.83,1.59
980,-1.00,-0.08,-0.02,-0.12,1.83,1.59
990,-1.00,-0.08,-0.02,0.00,1.53,1.59
1000,-1.00,-0.08,-0.02,0.00,1.53,1.65
1010,-1.00,-0.08,-0.02,-0.06,1.53,1.53
1020,-1.00,-0.08,-0.02,0.00,1.71,1.40
1030,-1.00,-0.08,-0.02,0.00,1.77,1.34
1040,-1.00,-0.08,-0.02,0.06,1.59,1.46
1050,-1.00,-0.08,-0.02,0.06,1.65,1.53
1060,-1.00,-0.08,-0.02,0.06,1.83,1.53
1070,-1.00,-0.08,-0.02,0.00,1.71,1.59
1080,-1.00,-0.08,-0.01,-0.18,1.77,1.59
1090,-1.00,-0.08,-0.02,-0.18,1.89,1.59
1100,-1.00,-0.08,-0.02,-0.12,1.89,1.59
1110,-1.00,-0.08,-0.02,-0.31,1.95,1.40
1120,-1.00,-0.08,-0.02,-0.24,1.77,1.53
1130,-1.00,-0.08,-0.02,-0.06,1.89,1.65
1140,-1.00,-0.08,-0.02,-0.18,1.77,1.71
1150,-1.00,-0.08,-0.02,-0.24,1.89,1.53
1160,-1.00,-0.08,-0.02,-0.18,1.71,1.59
1170,-1.00,-0.08,-0.02,-0.12,1.71,1.46
1180,-1.00,-0.08,-0.02,-0.12,1.71,1.46
1190,-1.00,-0.08,-0.02,-0.06,1.77,1.40
1200,-1.00,-0.08,-0.02,-0.12,1.71,1.53
1210,-1.00,-0.08,-0.02,-0.06,1.71,1.40
1220,-1.00,-0.08,-0.02,0.00,1.71,1.46
1230,-1.00,-0.08,-0.02,0.06,1.71,1.53
1240,-1.00,-0.08,-0.02,0.06,1.83,1.46
1250,-1.00,-0.08,-0.02,0.00,1.71,1.46
1260,-1.00,-0.08,-0.02,-0.06,1.77,1.46
1270,-1.00,-0.08,-0.02,-0.06,1.71,1.59
1280,-1.00,-0.08,-0.02,-0.06,1.71,1.71
1290,-1.00,-0.08,-0.02,-0.06,1.77,1.46
1300,-1.00,-0.08,-0.02,-0.24,1.95,1.40
1310,-1.00,-0.08,-0.01,-0.06,1.89,1.46
1320,-1.00,-0.08,-0.02,-0.18,1.89,1.53
1330,-1.00,-0.08,-0.02,-0.12,1.83,1.71
1340,-1.00,-0.08,-0.02,-0.12,1.77,1.71
1350,-1.00,-0.08,-0.02,-0.12,1.77,1.77
1360,-1.00,-0.08,-0.02,-0.18,1.83,1.59
1370,-1.00,-0.08,-0.02,-0.18,1.95,1.59
1380,-1.00,-0.08,-0.01,-0.24,2.14,1.46
1390,-1.00,-0.08,-0.01,-0.37,2.14,1.46
1400,-1.00,-0.08,-0.02,-0.37,2.32,1.40
1410,-1.00,-0.08,-0.02,0.06,1.77,1.53
1420,-1.00,-0.08,-0.02,0.12,1.77,1.46
1430,-1.00,-0.08,-0.02,-0.12,1.95,1.22
