timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.08,-0.02,0.06,1.65,1.53
10,-1.00,-0.08,-0.02,-0.06,1.95,1.22
20,-1.00,-0.08,-0.02,-0.06,1.71,1.53
30,-1.00,-0.08,-0.02,0.06,1.59,1.89
40,-1.00,-0.08,-0.02,-0.06,1.71,1.53
50,-1.00,-0.08,-0.01,-0.06,1.77,1.28
60,-1.00,-0.08,-0.02,-0.12,1.83,1.34
70,-1.00,-0.08,-0.02,-0.12,1.77,1.53
80,-1.00,-0.08,-0.02,-0.06,1.53,1.71
90,-1.00,-0.08,-0.02,-0.12,1.65,1.71
100,-1.00,-0.08,-0.02,-0.06,1.71,1.65
110,-1.00,-0.08,-0.02,-0.12,1.83,1.53
120,-1.00,-0.08,-0.02,-0.12,1.71,1.59
130,-1.00,-0.08,-0.02,-0.31,1.83,1.59
140,-1.00,-0.08,-0.02,-0.31,1.89,1.59
150,-1.00,-0.08,-0.02,-0.18,1.95,1.34
160,-1.00,-0.08,-0.02,-0.12,1.83,1.34
170,-1.00,-0.08,-0.02,-0.24,2.01,1.40
180,-1.00,-0.08,-0.02,-0.12,2.01,1.59
190,-1.00,-0.08,-0.02,-0.24,2.01,1.59
200,-1.00,-0.08,-0.02,-0.24,1.83,1.59
210,-1.00,-0.08,-0.02,-0.12,1.89,1.46
220,-1.00,-0.08,-0.02,-0.06,1.83,1.59
230,-1.00,-0.08,-0.01,-0.12,1.95,1.59
240,-1.00,-0.08,-0.01,-0.18,2.14,1.46
250,-1.00,-0.08,-0.02,-0.24,1.95,1.34
260,-1.00,-0.08,-0.02,-0.24,1.95,1.46
270,-1.00,-0.08,-0.02,-0.12,1.95,1.53
280,-1.00,-0.08,-0.02,-0.31,2.01,1.59
290,-1.00,-0.08,-0.02,-0.24,2.01,1.53
300,-1.00,-0.08,-0.02,-0.18,1.89,1.59
310,-1.00,-0.08,-0.02,-0.24,1.95,1.46
320,-1.00,-0.08,-0.02,-0.12,1.89,1.40
330,-1.00,-0.08,-0.02,-0.18,1.83,1.46
340,-1.00,-0.08,-0.02,-0.06,1.71,1.77
350,-1.00,-0.08,-0.02,-0.06,1.83,1.77
360,-1.00,-0.08,-0.01,-0.06,1.89,1.53
370,-1.00,-0.08,-0.02,-0.12,1.83,1.34
380,-1.00,-0.08,-0.02,-0.31,1.95,1.22
390,-1.00,-0.08,-0.01,-0.12,1.95,1.40
400,-1.00,-0.08,-0.02,-0.12,1.95,1.65
410,-1.00,-0.08,-0.02,-0.24,1.83,1.53
420,-1.00,-0.08,-0.02,-0.12,1.89,1.46
430,-1.00,-0.08,-0.02,-0.18,2.08,1.40
440,-1.00,-0.08,-0.01,-0.24,1.95,1.59
450,-1.00,-0.08,-0.02,-0.24,1.83,1.59
460,-1.00,-0.08,-0.02,-0.18,1.89,1.59
470,-1.00,-0.08,-0.02,-0.18,1.89,1.46
480,-1.00,-0.08,-0.02,-0.06,1.95,1.40
490,-1.00,-0.08,-0.02,-0.12,1.89,1.46
500,-1.00,-0.08,-0.02,-0.18,1.95,1.65
510,-1.00,-0.08,-0.02,-0.18,2.08,1.59
520,-1.00,-0.08,-0.02,-0.18,1.95,1.53
530,-1.00,-0.08,-0.02,-0.24,2.14,1.28
540,-1.00,-0.08,-0.02,-0.18,2.14,1.59
550,-1.00,-0.08,-0.02,-0.18,2.08,1.59
560,-1.00,-0.08,-0.02,-0.24,1.95,1.53
570,-1.00,-0.08,-0.02,-0.24,2.14,1.53
580,-1.00,-0.08,-0.02,-0.24,2.08,1.59
590,-1.00,-0.08,-0.02,-0.24,1.95,1.53
600,-1.00,-0.08,-0.01,-0.37,2.01,1.53
610,-1.00,-0.08,-0.01,-0.24,2.14,1.40
620,-1.00,-0.08,-0.02,-0.18,2.14,1.53
630,-1.00,-0.08,-0.02,-0.24,2.01,1.46
640,-1.00,-0.08,-0.01,-0.18,2.32,1.16
650,-1.00,-0.08,-0.02,0.06,2.08,1.28
660,-1.00,-0.08,-0.02,0.12,1.71,1.59
670,-1.00,-0.08,-0.02,0.00,2.01,1.16
680,-1.00,-0.08,-0.02,-0.18,1.77,1.40
690,-1.00,-0.08,-0.01,0.00,1.65,1.65
700,-1.00,-0.08,-0.02,0.00,1.71,1.40
710,-1.00,-0.08,-0.02,0.00,1.71,1.34
720,-1.00,-0.08,-0.02,0.00,1.89,1.46
730,-1.00,-0.08,-0.02,-0.12,1.77,1.46
740,-1.00,-0.08,-0.02,-0.06,1.77,1.59
750,-1.00,-0.08,-0.02,-0.12,1.77,1.46
760,-1.00,-0.08,-0.01,-0.12,1.83,1.59
770,-1.00,-0.08,-0.02,-0.06,1.83,1.65
780,-1.00,-0.08,-0.01,-0.18,1.77,1.89
790,-1.00,-0.08,-0.01,-0.18,1.89,1.77
800,-1.00,-0.08,-0.01,-0.31,2.01,1.59
810,-1.00,-0.08,-0.02,-0.24,2.01,1.22
820,-1.00,-0.08,-0.02,-0.12,1.95,1.40
830,-1.00,-0.08,-0.02,-0.12,2.01,1.40
840,-1.00,-0.08,-0.02,-0.12,2.01,1.59
850,-1.00,-0.08,-0.02,-0.12,1.89,1.53
860,-1.00,-0.08,-0.02,-0.18,1.89,1.40
870,-1.00,-0.08,-0.02,-0.06,1.95,1.40
880,-1.00,-0.08,-0.01,-0.12,2.08,1.46
890,-1.00,-0.08,-0.01,-0.24,2.08,1.46
900,-1.00,-0.08,-0.02,-0.31,2.20,1.59
910,-1.00,-0.08,-0.02,-0.24,1.89,1.40
920,-1.00,-0.08,-0.02,-0.24,1.95,1.46
930,-1.00,-0.08,-0.01,-0.12,1.95,1.46
940,-1.00,-0.08,-0.02,-0.12,2.08,1.59
950,-1.00,-0.08,-0.02,-0.18,1.95,1.59
960,-1.00,-0.08,-0.01,0.00,1.95,1.59
970,-1.00,-0.08,-0.02,-0.12,1.83,1.59
980,-1.00,-0.08,-0.02,-0.24,1.83,1.71
