timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.89,-0.72,-0.26,-33.63,-12.45,8.30
10,-0.91,-0.75,-0.31,-22.28,-9.03,7.08
20,-0.90,-0.76,-0.34,-15.63,-0.24,8.06
30,-0.87,-0.75,-0.31,-9.40,7.45,5.13
40,-0.87,-0.76,-0.27,-2.26,5.19,-0.49
50,-0.92,-0.74,-0.23,8.79,1.89,-6.65
60,-0.95,-0.70,-0.21,20.81,-0.06,-9.40
70,-0.97,-0.64,-0.24,34.79,4.64,-6.41
80,-1.00,-0.54,-0.31,41.99,7.20,-1.71
90,-0.96,-0.44,-0.38,44.74,5.86,2.93
100,-0.92,-0.35,-0.42,44.92,3.30,2.08
110,-0.89,-0.24,-0.41,43.33,0.18,-6.65
120,-0.88,-0.16,-0.36,42.54,3.05,-10.86
130,-0.89,-0.08,-0.30,44.07,9.34,-10.44
140,-0.89,0.00,-0.27,46.69,17.03,-7.87
150,-0.88,0.09,-0.24,51.57,24.78,-5.43
160,-0.90,0.21,-0.25,58.59,21.67,-12.39
170,-0.98,0.30,-0.31,61.22,10.99,-23.50
180,-1.06,0.38,-0.36,57.56,5.31,-31.49
190,-1.12,0.44,-0.38,49.26,8.06,-29.97
200,-1.15,0.49,-0.35,34.67,12.63,-18.92
210,-1.12,0.51,-0.31,23.62,14.10,-12.39
220,-1.10,0.53,-0.27,14.16,15.50,-7.75
230,-1.09,0.54,-0.23,6.10,15.32,-3.42
240,-1.09,0.50,-0.22,-1.71,10.99,-0.61
250,-1.10,0.47,-0.21,-6.71,4.94,-6.04
260,-1.12,0.44,-0.20,-9.40,-7.20,-9.40
270,-1.14,0.39,-0.23,-11.84,-16.24,-8.30
280,-1.12,0.34,-0.25,-17.88,-12.51,1.83
290,-1.09,0.27,-0.27,-22.34,-4.39,14.28
300,-1.05,0.22,-0.30,-25.15,4.46,22.83
310,-1.02,0.18,-0.37,-28.26,6.47,26.55
320,-1.00,0.13,-0.44,-36.62,-1.40,23.19
330,-1.00,0.06,-0.45,-46.39,-12.88,19.84
340,-1.02,-0.04,-0.37,-55.11,-21.24,19.47
350,-0.91,-0.11,-0.35,-67.75,-17.09,8.18
360,-0.91,-0.25,-0.28,-70.13,-14.22,21.85
370,-0.82,-0.40,-0.24,-62.19,-6.59,22.16
380,-0.83,-0.48,-0.27,-49.50,-6.29,13.67
390,-0.89,-0.55,-0.34,-36.93,-14.53,4.09
400,-0.95,-0.62,-0.41,-30.15,-20.08,-7.63
410,-0.96,-0.67,-0.39,-28.32,-18.19,-10.13
420,-0.93,-0.71,-0.34,-25.09,-11.41,-5.86
430,-0.88,-0.73,-0.29,-18.37,-2.01,1.95
440,-0.83,-0.75,-0.24,-4.58,6.47,9.16
450,-0.82,-0.74,-0.21,5.49,9.46,8.79
460,-0.85,-0.74,-0.20,17.76,9.89,3.36
470,-0.89,-0.72,-0.22,28.26,10.31,-0.06
480,-0.91,-0.67,-0.28,38.33,8.61,-0.43
490,-0.92,-0.58,-0.34,45.47,9.34,-0.92
500,-0.91,-0.48,-0.37,47.55,10.93,1.65
510,-0.87,-0.38,-0.39,47.79,9.70,3.54
520,-0.86,-0.28,-0.40,46.45,5.49,-1.10
530,-0.87,-0.21,-0.33,45.84,9.34,-5.62
540,-0.91,-0.13,-0.27,50.60,18.62,-4.64
550,-0.94,-0.02,-0.26,57.19,27.04,-0.12
560,-0.96,0.17,-0.29,63.60,28.20,-0.73
570,-0.99,0.30,-0.32,64.15,19.04,-10.50
580,-1.05,0.48,-0.36,57.43,10.62,-22.95
590,-1.07,0.57,-0.36,46.75,14.10,-27.77
600,-1.16,0.71,-0.27,36.56,20.20,-23.50
610,-1.21,0.71,-0.24,26.37,15.87,-17.76
620,-1.25,0.82,-0.19,15.81,13.98,-27.28
630,-1.30,0.88,-0.18,14.28,-0.24,-24.05
640,-1.32,0.91,-0.26,10.93,-8.97,-11.47
650,-1.19,0.91,-0.41,-4.46,-9.70,3.97
660,-1.09,0.87,-0.48,-23.80,-13.18,11.05
670,-1.01,0.76,-0.50,-47.00,-19.90,11.47
680,-0.95,0.54,-0.42,-72.69,-23.80,7.20
690,-0.96,0.36,-0.33,-81.85,-25.02,5.43
700,-0.99,0.17,-0.28,-81.30,-27.28,8.54
710,-1.00,0.00,-0.29,-75.01,-26.92,16.85
720,-1.01,-0.17,-0.35,-68.97,-24.05,26.12
730,-0.94,-0.26,-0.40,-70.98,-20.14,29.85
740,-0.87,-0.45,-0.45,-81.85,-19.04,24.96
750,-0.91,-0.62,-0.31,-89.60,-5.80,28.14
760,-0.91,-0.82,-0.22,-79.10,-5.37,33.63
770,-0.81,-0.93,-0.20,-49.68,-2.26,26.98
780,-0.82,-0.95,-0.29,-27.16,-0.06,23.25
790,-0.85,-0.95,-0.39,-14.22,6.96,16.72
800,-0.88,-0.92,-0.40,-9.22,12.39,8.61
810,-0.86,-0.88,-0.32,-3.30,12.88,2.69
820,-0.86,-0.85,-0.25,5.37,11.11,-0.37
830,-0.87,-0.80,-0.20,16.48,10.07,-2.87
840,-0.90,-0.74,-0.20,35.52,13.55,-1.46
850,-0.93,-0.65,-0.26,49.01,16.42,1.46
860,-0.95,-0.55,-0.33,57.07,19.71,6.41
870,-0.96,-0.40,-0.42,60.79,18.80,10.68
880,-0.94,-0.31,-0.43,58.96,10.93,9.28
890,-0.92,-0.24,-0.39,57.80,6.59,4.58
900,-0.92,-0.16,-0.33,59.88,7.20,0.49
910,-0.96,-0.04,-0.31,65.25,20.14,3.30
920,-0.99,0.09,-0.32,67.99,27.83,9.28
930,-1.00,0.21,-0.38,67.69,24.72,8.48
940,-1.02,0.32,-0.38,62.62,8.67,-9.58
950,-1.07,0.38,-0.35,57.68,-1.46,-23.99
960,-1.16,0.47,-0.33,49.44,-2.75,-27.34
970,-1.16,0.53,-0.32,41.26,4.15,-16.42
980,-1.11,0.58,-0.33,29.72,8.97,-6.53
990,-1.05,0.69,-0.28,17.82,12.63,-1.83
1000,-1.02,0.71,-0.24,5.00,0.61,1.34
1010,-0.97,0.79,-0.23,-7.51,0.00,-11.17
1020,-0.97,0.82,-0.19,-18.31,-0.18,-10.93
1030,-0.96,0.76,-0.21,-31.19,1.71,-3.11
1040,-0.95,0.71,-0.24,-40.47,7.26,-2.50
1050,-0.96,0.62,-0.29,-48.28,5.13,0.79
1060,-0.94,0.47,-0.37,-57.13,-3.85,0.37
1070,-0.98,0.32,-0.37,-63.35,-7.08,-6.16
1080,-1.03,0.17,-0.32,-65.92,-9.09,-12.08
1090,-1.07,-0.02,-0.29,-62.87,-9.34,-2.93
1100,-1.04,-0.14,-0.29,-60.79,-6.16,8.54
1110,-1.00,-0.26,-0.30,-60.73,-3.48,14.77
1120,-0.96,-0.41,-0.35,-60.24,-6.71,0.67
1130,-1.00,-0.46,-0.35,-54.99,-6.35,7.14
1140,-1.00,-0.60,-0.43,-46.63,-5.62,19.71
1150,-0.94,-0.70,-0.46,-34.42,2.26,14.71
1160,-0.95,-0.75,-0.51,-24.29,1.71,11.54
1170,-0.97,-0.80,-0.53,-17.15,-0.12,8.12
1180,-0.94,-0.83,-0.48,-10.25,-2.01,4.82
1190,-0.90,-0.82,-0.42,-4.03,-5.74,2.01
1200,-0.84,-0.80,-0.37,1.95,-7.75,-0.43
1210,-0.81,-0.78,-0.30,8.48,-4.15,0.24
1220,-0.79,-0.76,-0.25,19.23,0.31,3.23
1230,-0.80,-0.71,-0.25,30.46,3.54,2.08
1240,-0.80,-0.61,-0.27,43.88,4.27,1.34
1250,-0.80,-0.51,-0.30,50.42,5.37,0.73
1260,-0.83,-0.40,-0.35,52.67,4.82,-1.89
1270,-0.85,-0.25,-0.39,49.99,4.33,-4.46
1280,-0.87,-0.17,-0.34,47.67,8.61,-5.92
1290,-0.90,-0.09,-0.27,49.26,17.58,-5.07
1300,-0.94,0.02,-0.23,56.58,29.42,-0.67
1310,-1.00,0.18,-0.24,68.66,30.40,-0.43
1320,-1.06,0.34,-0.30,74.40,26.00,-5.13
1330,-1.09,0.49,-0.35,72.45,17.40,-8.61
1340,-1.15,0.65,-0.38,58.35,15.44,-13.24
1350,-1.20,0.73,-0.37,43.64,18.68,-12.45
1360,-1.21,0.82,-0.33,29.48,18.80,-10.62
1370,-1.20,0.81,-0.30,16.72,7.20,0.67
1380,-1.13,0.80,-0.35,5.43,-0.12,-3.78
1390,-1.09,0.78,-0.37,-8.36,-5.37,-4.64
1400,-1.04,0.68,-0.36,-27.59,-8.18,0.55
1410,-0.98,0.60,-0.34,-40.59,-7.08,0.92
1420,-0.97,0.48,-0.30,-50.54,-7.51,1.40
1430,-0.96,0.36,-0.26,-54.69,-7.08,3.42
1440,-0.99,0.21,-0.24,-50.72,-5.62,9.16
1450,-0.95,0.13,-0.29,-47.00,-4.82,18.86
1460,-0.91,0.05,-0.36,-48.03,-1.46,26.61
1470,-0.89,-0.01,-0.40,-54.14,2.32,28.63
1480,-0.92,-0.16,-0.36,-64.21,1.46,30.27
1490,-0.85,-0.30,-0.38,-69.52,-2.01,15.38
1500,-0.95,-0.46,-0.30,-62.01,1.46,23.50
1510,-0.95,-0.60,-0.34,-49.13,-1.04,23.74
1520,-0.93,-0.65,-0.38,-36.25,-3.60,13.12
1530,-0.97,-0.73,-0.46,-25.15,-6.10,3.42
1540,-1.02,-0.77,-0.50,-22.95,-5.92,-2.81
1550,-1.02,-0.81,-0.47,-23.86,-1.65,-5.49
1560,-1.01,-0.85,-0.39,-20.87,2.69,-5.19
1570,-0.99,-0.83,-0.28,-5.86,-0.12,-3.23
1580,-0.94,-0.81,-0.24,8.36,-2.93,0.12
1590,-0.88,-0.73,-0.25,25.76,-0.98,2.81
1600,-0.88,-0.66,-0.25,36.19,5.37,3.60
1610,-0.85,-0.56,-0.30,43.52,6.53,5.98
1620,-0.82,-0.44,-0.38,50.11,4.27,4.58
1630,-0.79,-0.33,-0.41,52.61,4.64,-0.55
1640,-0.77,-0.23,-0.41,53.34,7.93,-5.80
1650,-0.82,-0.11,-0.42,52.12,15.63,-9.46
1660,-0.86,-0.01,-0.39,51.57,21.12,-9.16
1670,-0.89,0.08,-0.36,52.61,22.16,-5.49
1680,-0.94,0.21,-0.35,54.75,28.87,-1.83
1690,-1.01,0.32,-0.33,56.27,30.40,-3.66
1700,-1.07,0.42,-0.33,58.29,27.77,-5.43
1710,-1.12,0.56,-0.36,57.31,19.90,-7.81
1720,-1.16,0.66,-0.35,49.56,20.20,-6.96
1730,-1.19,0.78,-0.33,37.11,23.25,-3.11
1740,-1.17,0.89,-0.27,22.40,25.57,7.08
1750,-1.09,0.94,-0.25,9.34,24.96,20.26
1760,-1.01,0.96,-0.31,-0.55,15.44,11.78
1770,-0.96,0.94,-0.40,-14.34,1.83,1.28
1780,-0.99,0.77,-0.48,-39.00,-11.54,-14.65
1790,-1.08,0.60,-0.47,-56.52,-18.74,-24.96
1800,-1.13,0.36,-0.45,-65.55,-28.14,-21.48
