timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.92,-0.36,-0.23,42.18,13.98,-6.77
10,-0.96,-0.28,-0.16,46.94,14.28,-17.27
20,-0.99,-0.20,-0.11,58.23,18.31,-19.84
30,-1.01,-0.04,-0.14,75.07,24.96,-15.99
40,-1.02,0.11,-0.20,80.81,26.86,-14.34
50,-1.06,0.28,-0.28,78.61,27.40,-16.97
60,-1.06,0.48,-0.30,68.85,27.28,-16.48
70,-1.04,0.62,-0.31,59.45,29.24,-18.07
80,-1.05,0.74,-0.30,49.38,33.33,-22.22
90,-1.07,0.83,-0.32,37.78,35.22,-28.26
100,-1.16,0.93,-0.27,16.78,27.59,-24.96
110,-1.18,0.85,-0.30,4.58,11.96,-16.66
120,-1.15,0.84,-0.24,-8.67,4.33,-23.44
130,-1.19,0.79,-0.23,-14.77,-7.51,-17.58
140,-1.20,0.71,-0.25,-21.24,-11.90,-6.77
150,-1.16,0.66,-0.26,-30.27,-12.45,1.16
160,-1.08,0.55,-0.22,-39.92,-13.24,16.30
170,-1.06,0.45,-0.20,-42.97,-15.08,22.52
180,-1.04,0.36,-0.18,-45.90,-19.29,21.79
190,-1.07,0.29,-0.19,-48.10,-15.50,25.15
200,-1.08,0.22,-0.23,-51.70,-11.47,36.44
210,-1.06,0.15,-0.22,-54.50,-2.08,47.91
220,-1.04,0.02,-0.17,-51.70,2.01,57.25
230,-1.04,-0.11,-0.14,-44.31,-2.62,55.11
240,-1.04,-0.16,-0.23,-39.06,-10.01,40.34
250,-1.10,-0.22,-0.31,-40.95,-13.24,42.85
260,-1.08,-0.40,-0.31,-46.39,-7.45,41.63
270,-1.01,-0.48,-0.23,-49.26,-1.46,26.98
280,-0.98,-0.58,-0.17,-47.79,-11.35,15.20
290,-0.91,-0.74,-0.07,-41.02,-21.85,1.04
300,-0.88,-0.81,-0.02,-32.41,-22.16,-9.22
310,-0.86,-0.86,-0.02,-23.44,-21.00,-15.81
320,-0.88,-0.89,-0.03,-12.70,-13.18,-18.80
330,-0.91,-0.88,-0.06,-6.23,-6.84,-15.38
340,-0.93,-0.88,-0.08,-0.92,-2.20,-10.50
350,-0.94,-0.84,-0.06,5.55,-0.67,-7.69
360,-0.90,-0.81,-0.04,11.17,-2.56,-7.81
370,-0.93,-0.76,-0.02,19.10,-1.95,-10.31
380,-0.90,-0.63,-0.07,28.44,-3.91,-7.81
390,-0.90,-0.55,-0.11,31.80,0.61,-6.16
400,-0.90,-0.45,-0.15,34.24,3.78,-7.69
410,-0.90,-0.38,-0.13,37.72,5.98,-8.18
420,-0.92,-0.29,-0.10,50.54,5.25,-12.27
430,-0.91,-0.20,-0.14,62.68,5.62,-13.98
440,-0.92,-0.10,-0.19,69.89,10.19,-17.21
450,-0.96,0.02,-0.20,73.61,20.14,-19.65
460,-1.02,0.13,-0.20,75.81,28.02,-17.76
470,-1.08,0.27,-0.16,79.77,34.73,-13.37
480,-1.12,0.51,-0.20,87.04,37.41,-1.34
490,-1.03,0.72,-0.36,84.96,36.80,8.42
500,-1.06,0.91,-0.38,70.62,39.00,16.91
510,-0.97,0.97,-0.43,47.67,31.74,19.35
520,-0.96,0.98,-0.39,16.17,26.55,6.16
530,-1.01,0.93,-0.32,-3.42,18.25,-5.49
540,-1.14,0.82,-0.25,-21.36,4.58,-12.02
550,-1.17,0.72,-0.24,-31.74,-2.01,-8.12
560,-1.16,0.64,-0.24,-40.89,-6.84,-3.05
570,-1.14,0.49,-0.19,-52.98,-11.78,1.22
580,-1.15,0.41,-0.17,-58.90,-9.83,3.42
590,-1.16,0.33,-0.17,-60.91,-7.93,10.68
600,-1.15,0.24,-0.20,-61.28,-2.87,24.05
610,-1.13,0.16,-0.23,-60.55,-1.46,31.13
620,-1.09,0.07,-0.23,-57.98,-1.28,35.46
630,-1.02,-0.03,-0.25,-54.26,-2.75,24.29
640,-1.06,-0.12,-0.23,-51.64,-3.30,26.98
650,-1.01,-0.25,-0.23,-50.78,-2.50,27.83
660,-0.93,-0.40,-0.15,-46.88,1.10,21.00
670,-0.88,-0.52,-0.11,-40.16,-4.70,17.70
680,-0.85,-0.61,-0.16,-34.24,-13.18,12.21
690,-0.84,-0.71,-0.15,-32.35,-15.08,3.11
700,-0.84,-0.83,-0.11,-28.08,-14.65,-8.42
710,-0.89,-0.89,-0.08,-19.71,-10.68,-14.22
720,-0.93,-0.90,-0.08,-8.54,-10.31,-15.69
730,-0.92,-0.88,-0.11,1.59,-6.04,-10.68
740,-0.96,-0.81,-0.15,8.36,6.65,-5.25
750,-0.97,-0.76,-0.15,7.51,7.87,-2.75
760,-1.01,-0.72,-0.09,11.84,9.03,-4.21
770,-1.02,-0.65,-0.11,18.98,-1.22,-5.55
780,-1.00,-0.59,-0.14,23.07,-1.83,-4.27
790,-0.96,-0.52,-0.11,26.73,3.23,-4.94
800,-1.00,-0.40,-0.18,30.33,4.94,-8.36
810,-0.96,-0.30,-0.20,30.21,8.48,-8.73
820,-0.95,-0.24,-0.14,33.02,12.51,-11.96
830,-0.94,-0.15,-0.01,51.39,16.91,-19.10
840,-0.94,-0.03,-0.10,67.14,15.44,-19.59
850,-0.92,0.15,-0.24,72.81,22.77,-16.24
860,-0.91,0.27,-0.28,65.31,32.65,-14.65
870,-0.89,0.38,-0.30,55.05,39.12,-15.81
880,-0.94,0.45,-0.28,47.18,40.83,-21.12
890,-1.02,0.54,-0.25,44.13,29.72,-29.30
900,-1.09,0.61,-0.29,42.72,22.09,-27.47
910,-1.15,0.69,-0.35,35.77,17.46,-21.12
920,-1.18,0.76,-0.39,19.59,18.25,-9.52
930,-1.18,0.74,-0.34,7.14,16.24,2.32
940,-1.19,0.71,-0.31,-1.83,9.34,1.89
950,-1.18,0.70,-0.28,-9.64,-3.42,-2.62
960,-1.24,0.64,-0.26,-18.25,-16.42,1.53
970,-1.23,0.57,-0.22,-24.17,-16.42,9.28
980,-1.19,0.46,-0.15,-25.21,-18.74,20.87
990,-1.14,0.39,-0.16,-24.54,-18.86,28.44
1000,-1.09,0.33,-0.18,-26.25,-13.98,34.42
1010,-1.08,0.27,-0.21,-30.88,-9.64,40.41
1020,-1.03,0.18,-0.28,-41.38,-6.35,49.07
1030,-1.02,0.08,-0.26,-49.99,-2.56,52.67
1040,-0.99,-0.08,-0.20,-53.41,-5.19,41.32
1050,-0.99,-0.09,-0.27,-53.53,-11.54,29.48
1060,-1.04,-0.21,-0.31,-55.60,-16.36,32.65
1070,-1.01,-0.33,-0.28,-60.30,-13.92,22.22
1080,-0.94,-0.44,-0.19,-63.42,-12.63,11.35
1090,-0.93,-0.55,-0.12,-60.61,-15.99,8.61
1100,-0.93,-0.64,-0.05,-53.47,-18.74,4.64
1110,-0.87,-0.72,-0.01,-39.61,-22.64,2.75
1120,-0.86,-0.75,-0.03,-30.15,-16.36,-0.55
1130,-0.85,-0.77,-0.06,-23.68,-9.77,-3.48
1140,-0.90,-0.79,-0.07,-17.58,-4.70,-6.04
1150,-0.95,-0.79,-0.12,-6.35,-0.73,-6.16
1160,-0.97,-0.76,-0.13,2.56,1.04,-5.00
1170,-0.95,-0.73,-0.12,11.23,0.18,-4.33
1180,-0.96,-0.68,-0.14,21.12,-6.47,-7.69
1190,-0.98,-0.63,-0.18,25.45,-6.16,-10.50
1200,-0.98,-0.54,-0.20,25.88,-2.75,-11.78
1210,-0.98,-0.49,-0.16,27.28,-0.67,-10.44
1220,-0.93,-0.44,-0.05,39.73,2.50,-12.51
1230,-0.95,-0.38,-0.04,55.24,3.60,-17.88
1240,-0.97,-0.22,-0.14,68.54,5.13,-22.95
1250,-0.97,-0.10,-0.25,69.70,6.96,-22.16
1260,-0.97,0.03,-0.29,63.66,13.31,-21.55
1270,-0.96,0.15,-0.23,59.69,25.63,-19.29
1280,-0.98,0.26,-0.22,63.29,30.76,-17.82
1290,-0.95,0.37,-0.23,68.36,30.58,-15.32
1300,-0.94,0.54,-0.33,64.21,23.80,-16.54
1310,-0.98,0.65,-0.39,49.19,28.56,-18.37
1320,-1.06,0.71,-0.36,30.70,39.00,-12.88
1330,-1.11,0.77,-0.28,12.08,40.47,-3.48
