timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.85,-1.01,-0.32,-41.32,-16.72,-14.16
10,-0.81,-1.07,-0.28,-29.42,-11.84,-9.95
20,-0.79,-1.08,-0.23,-17.52,-2.87,-4.64
30,-0.74,-1.06,-0.19,-2.44,0.61,0.24
40,-0.73,-1.03,-0.21,14.04,3.05,1.04
50,-0.77,-0.99,-0.20,22.71,5.86,-3.36
60,-0.77,-0.94,-0.21,32.84,1.10,-3.42
70,-0.78,-0.85,-0.23,46.88,5.92,-1.22
80,-0.78,-0.75,-0.24,60.55,9.89,3.30
90,-0.80,-0.64,-0.30,73.36,12.45,6.35
100,-0.82,-0.52,-0.35,80.57,12.39,3.54
110,-0.89,-0.33,-0.39,83.92,25.57,3.42
120,-0.94,-0.14,-0.41,83.56,43.09,12.21
130,-0.95,0.06,-0.37,84.96,55.24,21.67
140,-1.00,0.26,-0.28,98.39,50.29,8.79
150,-1.11,0.49,-0.34,111.33,34.73,-9.52
160,-1.26,0.76,-0.45,110.05,27.34,-18.68
170,-1.39,1.07,-0.54,83.50,30.03,-9.34
180,-1.37,1.22,-0.55,55.11,32.10,5.13
190,-1.25,1.31,-0.53,29.42,27.34,15.56
200,-1.10,1.30,-0.52,2.38,7.81,14.47
210,-1.02,1.21,-0.54,-21.48,-3.97,1.10
220,-1.00,1.06,-0.49,-48.28,-9.16,-10.99
230,-1.00,0.87,-0.38,-70.62,-15.56,-18.68
240,-1.04,0.63,-0.22,-84.72,-19.35,-21.55
250,-1.01,0.49,-0.22,-83.01,-24.17,-17.21
260,-1.02,0.39,-0.29,-79.65,-22.89,-12.15
270,-1.00,0.26,-0.43,-83.44,-21.55,-4.88
280,-1.01,0.09,-0.43,-91.74,-20.14,-0.55
290,-1.00,-0.11,-0.35,-95.46,-15.56,5.55
300,-0.98,-0.39,-0.31,-91.67,-6.04,5.49
310,-1.00,-0.58,-0.30,-77.64,-4.94,16.30
320,-0.97,-0.75,-0.38,-62.68,-2.38,22.77
330,-0.91,-0.86,-0.42,-53.59,2.75,18.49
340,-0.85,-0.96,-0.48,-46.14,2.26,13.49
350,-0.83,-1.05,-0.44,-40.41,2.62,7.81
360,-0.82,-1.12,-0.38,-29.54,-1.95,-0.61
370,-0.77,-1.14,-0.33,-14.34,-11.47,-8.30
380,-0.76,-1.10,-0.29,2.56,-12.82,-17.46
390,-0.80,-1.05,-0.26,10.31,-3.85,-17.09
400,-0.83,-0.98,-0.22,19.17,4.64,-10.74
410,-0.82,-0.90,-0.26,30.88,-0.67,-3.54
420,-0.81,-0.81,-0.29,42.79,-8.00,-4.76
430,-0.82,-0.67,-0.30,55.60,-10.01,-8.06
440,-0.85,-0.56,-0.28,62.26,2.38,-4.09
450,-0.85,-0.43,-0.28,70.56,17.27,5.86
460,-0.88,-0.27,-0.31,79.59,20.08,10.07
470,-0.90,-0.06,-0.37,86.00,6.23,-0.49
480,-0.94,0.10,-0.41,85.08,2.01,-11.11
490,-1.00,0.22,-0.43,78.67,9.77,-14.77
500,-1.08,0.33,-0.42,70.31,20.75,-11.78
510,-1.12,0.49,-0.36,61.16,23.01,-9.64
520,-1.15,0.60,-0.30,58.04,17.03,-14.16
530,-1.20,0.75,-0.31,55.11,9.70,-20.26
540,-1.25,0.88,-0.38,45.90,5.92,-17.76
550,-1.27,0.99,-0.41,29.17,5.25,-9.70
560,-1.19,1.04,-0.35,-0.61,4.52,0.67
570,-1.14,1.01,-0.27,-20.63,5.00,3.85
580,-1.11,0.95,-0.26,-35.46,1.59,4.88
590,-1.08,0.82,-0.29,-49.50,-3.66,7.57
