timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.89,-0.47,-0.15,21.73,-2.50,-8.61
10,-0.91,-0.39,-0.19,25.21,-3.66,-12.63
20,-0.93,-0.33,-0.18,28.56,-2.14,-15.14
30,-0.92,-0.29,-0.18,33.94,3.60,-18.37
40,-1.00,-0.23,-0.20,41.75,4.09,-26.61
50,-1.06,-0.14,-0.20,49.44,2.56,-29.05
60,-1.06,-0.03,-0.21,55.85,-0.18,-23.01
70,-0.98,0.06,-0.19,63.60,8.85,-15.01
80,-0.95,0.20,-0.22,68.60,16.91,-15.38
90,-0.96,0.34,-0.26,64.45,14.83,-23.19
100,-1.02,0.41,-0.25,57.68,13.37,-31.49
110,-1.12,0.47,-0.25,51.45,10.80,-34.73
120,-1.20,0.54,-0.26,44.86,8.48,-29.85
130,-1.18,0.62,-0.27,31.13,8.54,-16.11
140,-1.15,0.64,-0.24,20.20,16.42,-9.34
150,-1.10,0.68,-0.21,8.36,18.25,-3.78
160,-1.10,0.66,-0.19,2.08,16.91,3.11
170,-1.09,0.64,-0.21,-2.87,7.14,-1.53
180,-1.11,0.60,-0.24,-11.47,-3.54,-8.85
190,-1.15,0.56,-0.23,-18.25,-12.02,-6.84
200,-1.12,0.53,-0.25,-24.54,-14.59,2.81
210,-1.07,0.47,-0.24,-31.13,-9.22,12.94
220,-1.05,0.38,-0.21,-38.88,-2.44,18.07
230,-1.05,0.31,-0.17,-41.02,-2.56,19.04
240,-1.06,0.24,-0.17,-40.95,-5.00,20.75
250,-1.08,0.16,-0.19,-39.73,-4.70,29.24
260,-1.09,0.09,-0.21,-39.12,1.65,31.80
270,-1.05,0.01,-0.23,-39.00,8.24,31.56
280,-1.06,-0.01,-0.26,-42.79,11.05,28.44
290,-1.09,-0.09,-0.27,-46.14,4.76,36.68
300,-0.99,-0.20,-0.24,-53.28,0.92,34.73
310,-0.92,-0.29,-0.19,-54.99,-1.10,33.02
320,-0.89,-0.39,-0.18,-50.17,-3.05,28.56
330,-0.92,-0.50,-0.20,-39.86,-4.15,13.85
340,-0.96,-0.57,-0.23,-34.36,-8.18,2.14
350,-0.96,-0.60,-0.26,-30.03,-12.39,-5.98
360,-0.96,-0.65,-0.27,-25.63,-14.65,-10.19
370,-0.98,-0.69,-0.25,-23.68,-12.15,-9.77
380,-0.95,-0.73,-0.18,-19.47,-7.14,-6.16
390,-0.94,-0.74,-0.12,-10.93,-6.41,-3.42
400,-0.89,-0.72,-0.09,0.92,-9.40,-2.14
410,-0.86,-0.71,-0.09,9.46,-8.12,-3.66
420,-0.88,-0.68,-0.10,17.27,-5.13,-6.41
430,-0.97,-0.61,-0.15,26.12,-5.31,-7.45
440,-0.96,-0.53,-0.24,27.83,-5.98,-1.59
450,-0.90,-0.47,-0.23,27.65,-3.42,3.60
460,-0.85,-0.41,-0.21,29.48,-0.85,-1.22
470,-0.85,-0.37,-0.17,34.24,-0.24,-13.00
480,-0.94,-0.33,-0.17,42.05,-2.08,-25.45
490,-0.99,-0.23,-0.21,49.93,-6.77,-28.56
500,-0.98,-0.13,-0.20,54.08,1.89,-25.33
