timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.94,-0.45,-0.31,25.15,-12.63,-8.36
10,-0.91,-0.40,-0.25,26.61,-9.34,-9.22
20,-0.87,-0.35,-0.19,33.20,-4.15,-7.14
30,-0.85,-0.29,-0.20,39.79,-2.69,-9.22
40,-0.88,-0.22,-0.26,41.20,-9.70,-17.58
50,-0.98,-0.14,-0.20,37.05,-14.04,-28.87
60,-0.97,-0.08,-0.10,43.76,-7.39,-24.72
70,-0.96,-0.02,-0.13,55.36,4.94,-18.07
80,-0.98,0.07,-0.21,59.33,8.79,-18.86
90,-1.02,0.17,-0.19,56.58,8.79,-24.84
100,-1.01,0.29,-0.24,55.42,11.23,-27.16
110,-1.05,0.40,-0.24,51.70,24.23,-25.15
120,-1.07,0.49,-0.21,45.96,32.65,-21.30
130,-1.07,0.57,-0.26,39.25,34.73,-23.74
140,-1.15,0.68,-0.17,41.50,24.72,-16.05
150,-1.18,0.71,-0.27,38.09,9.28,-18.55
160,-1.21,0.80,-0.32,19.90,2.87,-27.53
170,-1.23,0.82,-0.27,7.81,-2.69,-19.53
180,-1.24,0.81,-0.26,0.00,-7.69,-5.37
190,-1.15,0.78,-0.27,-10.86,-10.25,6.96
200,-1.12,0.75,-0.28,-18.49,-9.03,14.22
210,-1.08,0.70,-0.31,-28.50,-13.79,20.20
220,-1.02,0.62,-0.28,-39.37,-17.76,23.62
230,-0.97,0.50,-0.24,-49.87,-18.25,24.29
240,-0.97,0.40,-0.19,-53.04,-13.92,24.41
250,-1.00,0.32,-0.20,-52.80,-10.07,25.51
260,-1.00,0.22,-0.23,-51.57,-0.06,34.42
270,-1.03,0.14,-0.25,-51.39,10.62,40.95
280,-0.99,0.04,-0.29,-53.04,12.82,39.37
290,-1.02,-0.04,-0.33,-56.82,4.76,27.95
300,-1.08,-0.12,-0.28,-59.27,2.26,34.30
310,-1.04,-0.25,-0.24,-58.47,1.16,38.21
320,-0.95,-0.37,-0.21,-52.92,1.83,28.44
330,-0.92,-0.46,-0.17,-46.26,-1.10,23.38
340,-0.90,-0.55,-0.20,-37.72,-6.53,15.50
350,-0.95,-0.62,-0.22,-31.68,-10.74,1.65
360,-0.96,-0.67,-0.24,-28.38,-14.95,-7.93
370,-0.91,-0.70,-0.19,-24.60,-8.54,-5.68
380,-0.86,-0.71,-0.13,-18.62,-1.16,-1.28
390,-0.85,-0.73,-0.09,-11.84,2.32,0.00
400,-0.86,-0.69,-0.10,-3.78,0.31,-2.26
410,-0.87,-0.65,-0.09,3.23,-3.66,-5.92
420,-0.94,-0.57,-0.14,10.68,-14.10,-13.31
430,-0.96,-0.51,-0.16,15.26,-12.15,-10.62
440,-0.95,-0.47,-0.16,20.45,-5.62,-6.41
450,-0.97,-0.42,-0.18,28.56,0.24,-5.07
460,-0.98,-0.36,-0.21,32.65,2.20,-7.81
470,-0.98,-0.33,-0.24,35.64,1.22,-10.44
480,-1.00,-0.28,-0.22,43.21,6.84,-16.54
490,-1.01,-0.22,-0.20,49.26,8.24,-17.15
500,-0.99,-0.17,-0.19,56.88,10.25,-15.87
510,-0.97,-0.11,-0.18,69.40,13.37,-19.84
520,-1.00,-0.02,-0.26,75.81,11.23,-26.86
530,-1.01,0.06,-0.30,76.11,11.23,-29.54
540,-1.04,0.12,-0.28,73.91,14.59,-29.72
550,-1.02,0.21,-0.22,72.20,23.56,-22.77
560,-1.01,0.32,-0.23,70.80,27.34,-18.13
570,-0.99,0.43,-0.27,66.35,26.18,-15.14
580,-1.04,0.63,-0.25,52.86,27.22,-23.44
590,-1.14,0.62,-0.24,45.17,25.21,-14.71
600,-1.16,0.73,-0.23,34.73,26.98,-23.01
610,-1.20,0.77,-0.18,25.82,17.76,-25.39
620,-1.31,0.79,-0.19,19.23,1.22,-18.92
630,-1.33,0.80,-0.27,11.66,-6.84,-8.79
640,-1.27,0.79,-0.36,-5.92,-8.12,11.05
650,-1.18,0.75,-0.39,-22.89,-10.38,24.96
660,-1.08,0.68,-0.35,-39.92,-11.41,31.31
670,-1.02,0.62,-0.28,-52.61,-14.77,30.64
680,-0.99,0.52,-0.19,-60.24,-17.88,28.93
690,-0.98,0.46,-0.19,-60.67,-20.14,28.26
700,-1.01,0.38,-0.23,-61.77,-19.47,28.56
710,-1.03,0.28,-0.25,-64.33,-15.50,33.26
720,-1.01,0.22,-0.28,-64.70,-5.98,39.79
730,-0.96,0.13,-0.26,-65.31,6.84,47.49
740,-0.90,-0.01,-0.17,-62.62,9.95,40.41
750,-0.91,-0.05,-0.16,-60.36,10.19,21.06
760,-1.00,-0.16,-0.17,-53.77,5.13,27.89
770,-1.04,-0.30,-0.22,-48.52,-0.43,28.14
780,-0.95,-0.35,-0.29,-48.95,-8.24,32.41
790,-0.92,-0.45,-0.30,-50.96,-6.96,30.94
800,-0.93,-0.55,-0.25,-49.74,-2.20,19.59
810,-0.99,-0.66,-0.24,-40.04,-2.93,4.09
820,-1.02,-0.71,-0.27,-31.01,-3.78,-3.66
830,-1.00,-0.73,-0.26,-21.36,-2.81,-3.42
840,-0.93,-0.73,-0.24,-15.81,-0.79,0.24
850,-0.91,-0.73,-0.20,-11.60,2.26,-0.43
860,-0.87,-0.72,-0.13,-5.80,4.03,-3.97
870,-0.89,-0.70,-0.08,5.13,1.53,-14.71
880,-0.95,-0.66,-0.08,16.24,-2.99,-23.56
890,-1.00,-0.60,-0.13,26.49,-5.98,-25.57
900,-1.01,-0.50,-0.20,30.88,-7.26,-19.78
910,-0.98,-0.45,-0.22,31.92,-6.16,-15.01
920,-0.94,-0.41,-0.17,36.07,-2.38,-15.01
930,-0.95,-0.34,-0.13,47.85,2.01,-21.24
940,-0.93,-0.27,-0.12,58.35,4.64,-22.83
950,-0.93,-0.21,-0.13,68.48,4.46,-26.12
960,-0.95,-0.12,-0.17,77.39,2.81,-34.97
970,-1.02,-0.04,-0.22,82.58,5.31,-40.65
980,-1.06,0.08,-0.31,84.05,7.14,-38.33
990,-1.08,0.21,-0.34,79.10,16.72,-31.19
1000,-1.06,0.28,-0.31,73.18,22.77,-25.15
1010,-1.07,0.33,-0.28,69.09,22.77,-23.93
1020,-1.10,0.45,-0.32,60.42,15.08,-23.50
1030,-1.09,0.52,-0.33,50.17,15.56,-16.60
1040,-1.11,0.54,-0.33,39.55,18.43,-12.51
1050,-1.10,0.67,-0.24,29.30,21.00,-9.28
1060,-1.10,0.65,-0.23,22.46,12.82,-0.12
1070,-1.06,0.73,-0.22,14.89,10.01,-5.98
1080,-1.08,0.76,-0.21,7.14,2.56,-4.52
1090,-1.11,0.73,-0.20,-5.68,-1.10,5.55
1100,-1.13,0.71,-0.20,-15.56,1.46,11.11
1110,-1.13,0.68,-0.20,-24.84,-2.01,20.26
1120,-1.09,0.60,-0.21,-35.46,-7.69,30.27
1130,-1.05,0.54,-0.22,-42.79,-8.73,34.00
1140,-1.04,0.46,-0.22,-49.68,-9.95,33.51
1150,-1.04,0.39,-0.22,-54.87,-8.67,32.90
1160,-1.06,0.29,-0.24,-58.72,-1.71,36.62
1170,-1.06,0.22,-0.23,-60.49,6.16,40.89
1180,-1.04,0.09,-0.21,-61.34,9.46,45.78
1190,-1.01,0.02,-0.26,-59.02,6.29,43.09
1200,-0.99,0.02,-0.28,-62.26,10.25,44.37
1210,-1.00,-0.16,-0.27,-65.43,10.50,47.55
1220,-0.96,-0.22,-0.23,-61.83,8.85,31.25
1230,-0.96,-0.27,-0.27,-57.86,0.79,22.16
1240,-1.00,-0.39,-0.26,-53.77,2.56,14.71
1250,-1.09,-0.53,-0.27,-47.67,-2.01,4.39
1260,-1.07,-0.59,-0.26,-41.14,-4.46,4.27
1270,-1.04,-0.64,-0.26,-32.29,-4.46,5.25
1280,-0.99,-0.66,-0.24,-22.16,-0.06,5.68
1290,-0.95,-0.68,-0.21,-15.44,1.34,4.39
1300,-0.93,-0.68,-0.16,-6.96,-0.73,0.18
1310,-0.90,-0.68,-0.12,-0.12,-2.93,-3.72
1320,-0.88,-0.66,-0.09,7.63,-4.27,-7.39
1330,-0.87,-0.63,-0.09,14.59,-1.59,-10.44
1340,-0.94,-0.60,-0.11,23.56,1.22,-14.16
1350,-0.99,-0.56,-0.13,29.91,0.24,-14.28
1360,-1.00,-0.52,-0.16,35.71,-3.85,-12.39
1370,-0.99,-0.45,-0.15,39.92,-6.71,-10.62
1380,-0.95,-0.41,-0.13,45.29,-8.00,-9.89
1390,-0.94,-0.37,-0.11,55.05,-9.34,-15.26
1400,-1.00,-0.25,-0.14,69.03,-10.50,-23.56
1410,-1.01,-0.17,-0.17,76.23,-5.37,-20.81
1420,-1.01,-0.06,-0.26,78.25,2.14,-14.95
1430,-0.98,0.07,-0.32,73.12,9.46,-9.77
1440,-0.96,0.18,-0.33,65.55,12.76,-13.37
1450,-0.98,0.27,-0.32,61.77,10.01,-19.78
1460,-0.96,0.38,-0.33,58.53,4.58,-20.63
1470,-0.89,0.49,-0.32,56.82,5.13,-21.18
1480,-0.89,0.57,-0.33,50.78,6.04,-26.79
1490,-1.00,0.65,-0.35,34.91,10.13,-31.31
1500,-1.03,0.73,-0.31,19.71,13.55,-34.30
1510,-1.12,0.65,-0.23,13.49,8.06,-16.05
1520,-1.11,0.70,-0.18,6.29,11.05,-17.70
1530,-1.12,0.72,-0.19,3.23,6.90,-10.07
1540,-1.16,0.71,-0.22,-2.62,4.58,0.79
1550,-1.15,0.68,-0.22,-15.44,8.36,8.36
1560,-1.15,0.65,-0.21,-22.52,6.10,16.24
1570,-1.11,0.61,-0.23,-29.42,2.81,26.06
1580,-1.07,0.52,-0.20,-37.60,4.39,28.50
1590,-1.07,0.46,-0.22,-40.95,2.20,26.79
1600,-1.09,0.40,-0.26,-44.07,-0.37,26.49
1610,-1.11,0.33,-0.28,-48.03,0.31,28.38
1620,-1.14,0.25,-0.32,-56.09,7.93,34.48
1630,-1.10,0.15,-0.27,-60.61,12.27,41.14
1640,-1.08,0.03,-0.14,-58.17,11.72,44.13
1650,-1.02,0.01,-0.21,-58.29,12.02,31.68
1660,-1.02,-0.10,-0.24,-58.11,11.41,41.81
1670,-0.96,-0.18,-0.21,-57.80,11.66,38.09
1680,-0.92,-0.26,-0.21,-53.71,1.89,23.93
1690,-0.96,-0.33,-0.27,-49.87,-5.74,15.32
1700,-0.96,-0.42,-0.23,-45.72,-5.07,7.93
1710,-0.96,-0.49,-0.22,-39.00,-6.41,0.85
1720,-0.96,-0.56,-0.27,-33.57,-7.63,-6.04
1730,-0.97,-0.60,-0.25,-31.19,-4.03,-8.42
1740,-0.96,-0.64,-0.21,-26.73,-0.85,-6.47
1750,-0.97,-0.66,-0.17,-18.49,-0.98,-5.86
1760,-0.97,-0.67,-0.14,-10.68,-2.44,-4.39
1770,-0.94,-0.65,-0.09,-0.18,-3.17,-2.50
1780,-0.92,-0.58,-0.09,14.04,-4.09,-3.60
1790,-0.92,-0.54,-0.13,20.14,-1.04,-4.03
1800,-0.94,-0.51,-0.16,24.35,3.78,-3.54
1810,-0.99,-0.44,-0.22,27.22,1.77,-3.17
1820,-0.95,-0.38,-0.24,26.43,0.73,-0.12
1830,-0.94,-0.39,-0.18,29.05,1.59,-1.10
1840,-0.96,-0.32,-0.16,41.56,-0.61,-6.65
1850,-0.95,-0.24,-0.20,49.80,-4.39,-8.97
1860,-0.95,-0.16,-0.24,52.12,-2.32,-17.64
1870,-0.97,-0.10,-0.23,53.04,-0.49,-23.07
1880,-1.03,-0.03,-0.22,54.38,3.30,-24.23
1890,-1.06,0.03,-0.16,60.00,7.20,-21.12
1900,-1.04,0.13,-0.19,68.73,10.25,-15.08
1910,-1.02,0.28,-0.30,69.52,10.25,-13.79
1920,-1.01,0.39,-0.32,62.93,8.18,-18.55
1930,-1.02,0.52,-0.30,52.43,7.69,-26.37
1940,-1.03,0.61,-0.29,42.66,11.90,-26.79
1950,-1.08,0.65,-0.26,32.47,17.15,-24.60
1960,-1.03,0.74,-0.31,19.35,19.10,-30.58
1970,-1.20,0.72,-0.25,10.86,14.16,-12.33
1980,-1.17,0.77,-0.27,3.72,4.64,-13.06
1990,-1.12,0.80,-0.25,-0.92,-7.51,-6.41
