timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.02,-0.08,-0.12,53.10,4.27,-22.71
10,-1.03,0.00,-0.13,61.65,4.82,-18.68
20,-1.00,0.12,-0.16,66.59,6.23,-15.08
30,-0.94,0.27,-0.22,66.89,9.16,-13.79
40,-0.95,0.38,-0.23,63.48,12.15,-17.70
50,-0.97,0.47,-0.24,58.65,14.34,-19.23
60,-0.99,0.58,-0.22,49.74,14.95,-19.78
70,-1.02,0.64,-0.22,42.05,10.50,-21.67
80,-1.08,0.68,-0.23,31.86,5.00,-24.54
90,-1.16,0.72,-0.22,14.71,5.74,-19.59
100,-1.16,0.74,-0.20,3.42,8.67,-9.64
110,-1.17,0.71,-0.19,-4.46,4.33,5.37
120,-1.12,0.67,-0.23,-19.53,0.49,6.71
130,-1.13,0.60,-0.20,-31.31,-4.15,8.48
140,-1.12,0.54,-0.15,-38.82,-8.48,12.39
150,-1.10,0.46,-0.09,-41.63,-7.02,20.57
160,-1.10,0.39,-0.11,-40.41,-5.68,26.49
170,-1.12,0.34,-0.15,-39.61,-5.80,29.24
180,-1.12,0.26,-0.22,-42.91,-6.59,33.26
190,-1.08,0.22,-0.24,-47.55,-3.23,36.38
200,-1.04,0.13,-0.23,-52.55,0.49,37.60
210,-0.98,0.02,-0.15,-52.49,1.16,22.89
220,-1.05,-0.02,-0.12,-49.87,-0.85,20.20
230,-1.06,-0.12,-0.14,-46.33,-3.97,28.56
240,-1.00,-0.18,-0.15,-46.39,-1.34,26.55
250,-0.92,-0.25,-0.13,-48.10,-2.81,25.27
260,-0.88,-0.32,-0.14,-45.65,-3.36,22.64
270,-0.85,-0.38,-0.16,-42.18,0.37,14.04
280,-0.88,-0.47,-0.15,-39.43,2.81,-3.05
290,-0.94,-0.54,-0.10,-33.57,-3.23,-14.04
300,-0.95,-0.58,-0.08,-25.94,-11.05,-16.36
310,-0.92,-0.64,-0.05,-17.33,-11.60,-12.15
320,-0.92,-0.67,-0.04,-10.01,-4.33,-9.34
330,-0.93,-0.68,-0.05,-2.81,0.67,-6.41
340,-0.93,-0.66,-0.03,6.65,4.88,-5.74
350,-0.92,-0.63,-0.04,14.77,4.88,-5.07
360,-0.93,-0.62,-0.06,21.79,4.52,-6.53
370,-0.98,-0.57,-0.08,30.76,6.41,-6.84
380,-0.99,-0.51,-0.13,34.61,6.59,-2.99
