timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.49,0.98,-0.22,11.54,15.08,-19.04
10,-1.41,0.97,-0.18,2.26,6.59,4.94
20,-1.26,0.92,-0.25,-9.16,0.49,18.25
30,-1.17,0.91,-0.34,-24.72,-6.90,14.71
40,-1.09,0.83,-0.38,-43.27,-17.03,13.67
50,-0.99,0.68,-0.38,-66.83,-24.90,12.57
60,-0.95,0.55,-0.38,-80.57,-25.88,11.96
70,-0.92,0.41,-0.37,-89.72,-24.96,12.33
80,-0.89,0.22,-0.35,-94.24,-24.11,15.69
90,-0.85,0.07,-0.33,-94.06,-19.90,18.25
100,-0.83,-0.09,-0.36,-92.59,-15.75,17.82
110,-0.85,-0.33,-0.37,-91.43,-14.77,9.22
120,-0.88,-0.54,-0.45,-91.19,-24.05,-3.17
130,-0.97,-0.71,-0.41,-87.04,-27.22,-2.50
140,-0.97,-0.96,-0.38,-73.79,-28.44,0.79
150,-0.94,-1.02,-0.35,-59.39,-19.41,-2.93
160,-0.93,-1.06,-0.34,-45.72,-14.83,0.79
170,-0.90,-1.10,-0.28,-34.61,-10.56,4.09
180,-0.82,-1.09,-0.16,-17.76,-4.27,6.47
190,-0.77,-1.07,-0.11,-2.62,1.28,6.47
200,-0.77,-1.02,-0.06,13.73,9.09,4.27
210,-0.80,-0.95,-0.07,37.35,14.77,1.28
220,-0.83,-0.88,-0.14,57.31,15.63,1.10
230,-0.86,-0.77,-0.27,75.32,13.55,0.55
240,-0.93,-0.69,-0.37,87.83,12.33,-3.30
250,-0.98,-0.56,-0.41,95.95,14.83,-2.20
260,-0.93,-0.46,-0.36,101.01,32.53,12.45
270,-0.86,-0.32,-0.30,111.33,51.33,25.21
280,-0.75,-0.06,-0.32,128.54,44.43,19.59
290,-0.77,0.16,-0.38,132.93,31.25,-1.28
300,-0.85,0.37,-0.42,126.22,29.48,-24.60
310,-1.06,0.57,-0.40,118.90,54.20,-30.64
320,-1.21,0.74,-0.42,100.77,48.83,-28.56
330,-1.30,0.91,-0.49,79.90,33.14,-14.53
340,-1.30,1.11,-0.49,60.30,20.94,-11.96
350,-1.31,1.08,-0.56,38.09,3.05,-0.49
360,-1.24,1.13,-0.59,6.96,7.45,-8.06
370,-1.21,1.10,-0.52,-22.64,5.19,-5.07
380,-1.18,0.90,-0.45,-51.57,-7.08,2.56
390,-1.11,0.78,-0.41,-66.41,-14.71,-3.91
400,-1.07,0.65,-0.40,-77.33,-23.44,-6.65
410,-1.07,0.52,-0.38,-86.73,-27.16,-6.35
420,-1.03,0.36,-0.36,-95.70,-23.74,-1.53
430,-1.00,0.24,-0.37,-97.78,-22.09,2.93
440,-0.98,0.12,-0.40,-98.08,-22.71,5.49
450,-0.97,-0.00,-0.40,-98.51,-24.35,4.76
460,-0.92,-0.18,-0.35,-98.08,-24.11,5.43
470,-0.89,-0.32,-0.32,-95.83,-21.97,6.29
480,-0.88,-0.38,-0.26,-92.16,-13.37,13.00
490,-0.89,-0.56,-0.22,-84.72,-13.31,24.23
500,-0.83,-0.71,-0.20,-67.81,-11.41,13.31
510,-0.85,-0.81,-0.24,-53.71,-16.48,7.20
520,-0.88,-0.94,-0.31,-39.12,-16.05,4.58
530,-0.91,-1.01,-0.31,-29.24,-6.90,5.86
540,-0.88,-1.03,-0.33,-17.33,-6.23,9.70
550,-0.86,-1.02,-0.33,-5.31,1.83,12.88
560,-0.81,-0.97,-0.28,6.53,5.49,10.99
570,-0.81,-0.96,-0.23,14.34,4.52,6.71
580,-0.84,-0.92,-0.20,23.80,4.21,1.34
590,-0.85,-0.85,-0.21,38.51,3.11,-0.92
600,-0.88,-0.79,-0.23,51.64,7.87,0.49
610,-0.90,-0.62,-0.34,66.16,10.13,4.88
620,-0.90,-0.47,-0.44,69.03,3.54,5.00
630,-0.88,-0.35,-0.46,65.00,-3.30,0.49
640,-0.86,-0.24,-0.39,62.50,1.77,-3.36
650,-0.94,-0.09,-0.25,67.50,28.44,-0.12
660,-0.98,0.07,-0.14,79.71,47.55,8.24
670,-0.99,0.23,-0.14,97.17,45.72,11.23
680,-1.07,0.48,-0.29,110.66,33.26,-7.75
690,-1.14,0.67,-0.41,106.20,33.57,-14.83
700,-1.21,0.83,-0.46,94.85,45.90,-10.68
710,-1.21,1.02,-0.54,73.36,46.08,-10.25
720,-1.20,1.06,-0.50,47.42,26.18,10.38
730,-1.13,1.09,-0.51,25.02,16.78,0.06
740,-1.13,1.07,-0.46,4.21,5.19,-9.83
750,-1.19,0.93,-0.43,-20.39,-10.50,-7.45
760,-1.16,0.81,-0.41,-37.90,-14.40,-5.07
770,-1.11,0.71,-0.37,-52.19,-16.30,0.37
780,-1.03,0.53,-0.37,-68.12,-20.26,7.39
790,-0.98,0.39,-0.36,-78.80,-20.08,6.47
800,-0.97,0.25,-0.36,-86.00,-18.25,3.72
810,-0.98,0.07,-0.31,-90.39,-20.02,1.71
820,-0.95,-0.06,-0.25,-88.56,-18.31,3.72
830,-0.93,-0.15,-0.23,-84.17,-15.69,8.00
840,-0.90,-0.27,-0.15,-77.70,-11.29,11.05
850,-0.84,-0.33,-0.23,-73.43,-3.42,-1.65
860,-0.88,-0.46,-0.26,-66.83,-3.72,5.43
870,-0.85,-0.60,-0.32,-55.11,0.43,0.18
880,-0.90,-0.67,-0.33,-45.17,-4.52,-5.37
890,-0.91,-0.77,-0.44,-36.74,-9.95,-2.69
900,-0.94,-0.84,-0.47,-30.46,-1.40,-1.10
910,-0.93,-0.88,-0.46,-24.17,5.31,1.89
920,-0.92,-0.93,-0.41,-18.62,3.48,2.38
930,-0.92,-0.93,-0.34,-8.85,1.46,1.04
940,-0.90,-0.90,-0.27,5.98,-6.10,3.05
950,-0.87,-0.87,-0.23,16.24,-4.03,3.78
960,-0.85,-0.82,-0.21,27.22,-1.65,5.80
970,-0.84,-0.76,-0.22,38.82,0.18,7.93
980,-0.85,-0.64,-0.30,52.19,-4.52,6.59
