timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.92,-0.43,-0.34,67.02,9.22,1.04
10,-0.93,-0.30,-0.34,72.75,17.46,3.42
20,-0.92,-0.15,-0.32,74.46,25.27,6.41
30,-0.94,0.05,-0.27,76.66,34.97,10.80
40,-0.97,0.24,-0.25,79.83,42.18,14.65
50,-1.01,0.44,-0.27,81.48,46.08,14.40
60,-1.10,0.62,-0.33,80.81,46.02,6.16
70,-1.24,0.87,-0.45,68.91,29.72,-10.68
80,-1.30,1.00,-0.46,54.63,17.58,-11.96
90,-1.29,1.09,-0.46,37.17,6.71,-8.48
100,-1.19,1.11,-0.46,15.93,-1.46,-5.07
110,-1.20,1.04,-0.35,-10.01,0.49,3.30
120,-1.07,0.94,-0.39,-30.27,-8.79,2.50
130,-0.99,0.79,-0.37,-49.44,-11.47,1.71
140,-0.97,0.64,-0.38,-59.63,-17.52,-1.95
150,-0.99,0.47,-0.38,-66.65,-26.37,-10.68
160,-1.03,0.32,-0.41,-69.70,-33.87,-18.37
170,-1.09,0.11,-0.41,-73.06,-36.56,-17.82
180,-1.13,-0.06,-0.36,-73.55,-37.84,-13.12
190,-1.05,-0.18,-0.32,-71.72,-37.48,-3.54
200,-0.98,-0.33,-0.24,-69.89,-31.31,-5.92
210,-0.89,-0.39,-0.21,-67.69,-19.65,4.33
220,-0.84,-0.57,-0.24,-59.02,-4.58,17.09
230,-0.81,-0.64,-0.29,-49.50,1.77,10.38
240,-0.84,-0.71,-0.35,-41.44,-2.08,4.39
250,-0.83,-0.79,-0.37,-35.16,-5.31,1.77
260,-0.77,-0.88,-0.33,-27.10,-1.65,2.44
270,-0.72,-0.93,-0.30,-17.52,-0.85,-0.31
280,-0.73,-0.96,-0.29,-5.00,-0.67,-4.21
290,-0.82,-0.93,-0.39,10.07,2.56,-6.10
300,-0.83,-0.91,-0.39,14.59,2.81,-2.93
310,-0.84,-0.92,-0.35,18.43,1.53,-0.73
320,-0.86,-0.86,-0.30,31.25,5.19,4.27
330,-0.85,-0.78,-0.29,43.46,7.93,8.79
340,-0.84,-0.71,-0.30,53.71,11.47,9.70
350,-0.87,-0.59,-0.32,62.01,18.92,9.22
360,-0.88,-0.42,-0.36,69.76,19.35,10.13
370,-0.87,-0.29,-0.32,74.95,21.12,8.36
380,-0.88,-0.16,-0.30,80.32,20.32,3.72
390,-0.93,0.07,-0.30,83.44,27.28,0.06
400,-1.02,0.25,-0.28,82.95,35.03,0.31
410,-1.10,0.45,-0.29,83.07,37.60,1.16
420,-1.18,0.66,-0.36,84.53,30.58,0.12
430,-1.21,0.82,-0.48,81.85,23.74,-0.31
440,-1.21,0.93,-0.57,68.73,13.06,-0.18
450,-1.18,1.00,-0.56,36.01,2.14,-1.77
460,-1.13,0.99,-0.46,9.16,1.59,-0.73
470,-1.11,0.93,-0.38,-11.23,1.04,2.20
480,-1.08,0.83,-0.35,-28.81,-0.85,6.47
490,-1.02,0.73,-0.35,-37.17,-6.47,7.51
500,-0.99,0.62,-0.37,-45.59,-12.82,2.75
510,-1.01,0.49,-0.38,-56.58,-19.47,-6.59
520,-1.08,0.29,-0.37,-68.60,-26.00,-13.18
