timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.12,0.36,-0.29,-47.06,-17.27,5.55
10,-1.15,0.26,-0.33,-55.05,-11.66,12.08
20,-1.12,0.17,-0.35,-62.99,-6.10,23.07
30,-1.05,0.00,-0.32,-69.40,0.24,33.14
40,-1.01,-0.13,-0.28,-69.52,-0.06,28.75
50,-0.98,-0.24,-0.26,-66.59,-4.70,20.69
60,-0.97,-0.36,-0.28,-61.95,-11.90,14.83
70,-0.99,-0.50,-0.36,-57.13,-13.73,7.81
80,-0.97,-0.58,-0.41,-56.52,-12.82,5.74
90,-0.91,-0.69,-0.40,-55.97,-8.85,7.20
100,-0.83,-0.80,-0.35,-50.35,-7.26,3.11
110,-0.79,-0.89,-0.33,-37.96,-6.96,-5.37
120,-0.78,-0.92,-0.29,-28.63,-5.43,-8.85
130,-0.77,-0.96,-0.23,-17.64,-3.48,-9.89
140,-0.74,-0.93,-0.20,1.28,-2.26,-8.67
150,-0.74,-0.87,-0.20,14.53,-2.62,-5.92
160,-0.73,-0.81,-0.26,23.86,-1.40,-6.10
170,-0.79,-0.75,-0.29,31.92,5.49,-8.61
180,-0.81,-0.67,-0.31,38.82,10.56,-5.49
190,-0.80,-0.61,-0.32,45.41,12.45,-1.65
200,-0.84,-0.55,-0.32,53.34,14.47,-3.23
210,-0.87,-0.39,-0.41,62.01,0.49,-8.30
220,-0.87,-0.30,-0.43,62.74,-1.16,-13.37
230,-0.90,-0.24,-0.37,62.38,7.26,-18.49
240,-1.00,-0.07,-0.33,66.16,21.30,-13.18
250,-1.01,0.18,-0.34,67.02,27.83,0.79
260,-1.02,0.41,-0.21,62.99,37.05,6.47
270,-1.14,0.61,0.01,67.44,36.68,-7.75
280,-1.23,0.81,-0.07,77.45,25.70,-13.12
290,-1.37,1.01,-0.43,66.22,16.78,-1.10
300,-1.35,1.01,-0.41,34.12,20.02,15.01
310,-1.27,0.99,-0.38,5.07,15.01,9.77
320,-1.29,0.85,-0.33,-14.59,-4.33,13.18
330,-1.22,0.73,-0.31,-29.30,-13.61,6.53
340,-1.15,0.59,-0.24,-43.27,-22.22,-1.22
350,-1.13,0.50,-0.23,-53.83,-22.58,3.36
360,-1.09,0.38,-0.22,-63.29,-15.63,13.49
370,-1.03,0.24,-0.25,-69.82,-7.26,22.22
380,-0.99,0.13,-0.28,-70.74,-6.59,24.90
390,-0.94,0.02,-0.33,-71.47,-4.27,23.74
400,-0.92,-0.17,-0.34,-71.90,-4.52,16.11
410,-0.89,-0.30,-0.32,-69.27,-8.18,9.22
420,-0.87,-0.42,-0.32,-64.64,-8.24,3.85
430,-0.88,-0.55,-0.32,-58.04,-5.62,-2.01
440,-0.90,-0.64,-0.33,-53.83,-3.11,-2.50
450,-0.88,-0.76,-0.32,-47.79,-3.54,-1.65
460,-0.86,-0.84,-0.30,-37.54,-5.86,-1.77
470,-0.81,-0.89,-0.29,-22.58,-3.85,-2.14
480,-0.79,-0.89,-0.30,-13.49,0.18,-0.37
490,-0.78,-0.88,-0.29,-5.37,5.86,1.83
500,-0.78,-0.85,-0.28,6.65,5.00,0.31
510,-0.82,-0.84,-0.26,16.17,4.09,-5.13
520,-0.89,-0.79,-0.29,30.33,0.61,-10.80
530,-0.90,-0.72,-0.31,39.00,1.59,-9.46
540,-0.89,-0.62,-0.32,45.90,4.33,-3.85
550,-0.86,-0.53,-0.33,50.17,3.66,-0.31
560,-0.82,-0.42,-0.30,54.99,3.60,-4.15
570,-0.83,-0.33,-0.25,60.42,7.93,-10.38
580,-0.87,-0.23,-0.24,67.44,11.96,-16.11
590,-0.95,-0.11,-0.25,72.51,13.24,-19.47
