timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.97,0.28,-0.29,64.64,21.12,-11.96
10,-0.95,0.38,-0.32,56.03,24.72,-13.55
20,-0.96,0.46,-0.28,46.51,27.47,-16.97
30,-1.03,0.51,-0.19,43.09,30.70,-18.49
40,-1.07,0.64,-0.14,46.63,27.77,-18.19
50,-1.11,0.67,-0.25,48.22,15.81,-6.77
60,-1.11,0.77,-0.37,33.14,13.55,-14.59
70,-1.14,0.81,-0.37,17.33,9.70,-12.70
80,-1.18,0.79,-0.36,3.30,5.25,-2.14
90,-1.17,0.75,-0.38,-13.92,3.72,9.70
100,-1.15,0.70,-0.36,-26.06,1.34,18.19
110,-1.13,0.64,-0.36,-38.21,-2.81,23.80
120,-1.13,0.57,-0.34,-51.39,-4.09,25.45
130,-1.11,0.45,-0.27,-63.29,-6.53,27.71
140,-1.14,0.37,-0.24,-66.04,-8.06,28.87
150,-1.15,0.28,-0.26,-66.04,-9.64,33.57
160,-1.14,0.22,-0.28,-67.02,-7.02,39.86
170,-1.10,0.17,-0.30,-70.07,-3.36,47.49
180,-0.99,0.07,-0.26,-77.15,2.93,49.99
190,-0.94,-0.01,-0.28,-79.90,2.50,39.86
200,-0.98,-0.05,-0.25,-78.86,3.54,39.00
210,-0.98,-0.21,-0.22,-68.12,-3.23,38.21
220,-0.97,-0.24,-0.25,-57.80,-10.19,24.54
230,-0.98,-0.27,-0.31,-53.89,-19.53,18.25
240,-0.95,-0.37,-0.24,-52.43,-17.09,15.44
250,-0.95,-0.44,-0.20,-45.47,-11.66,10.68
260,-0.96,-0.49,-0.19,-34.79,-9.70,5.62
270,-0.96,-0.53,-0.21,-23.93,-11.84,2.69
280,-0.95,-0.56,-0.26,-13.67,-9.16,0.43
290,-0.96,-0.56,-0.27,-13.61,-1.95,0.43
300,-0.93,-0.59,-0.21,-12.27,4.46,2.93
310,-0.89,-0.59,-0.15,-2.50,3.05,2.50
320,-0.86,-0.57,-0.12,5.86,1.46,-1.77
330,-0.86,-0.55,-0.10,12.88,2.14,-7.32
340,-0.89,-0.53,-0.11,23.13,3.78,-12.08
350,-0.93,-0.50,-0.14,31.49,3.78,-12.94
360,-0.95,-0.45,-0.18,39.86,2.81,-13.18
370,-0.95,-0.36,-0.24,44.74,3.11,-12.33
380,-0.97,-0.32,-0.25,45.41,3.11,-14.16
390,-0.96,-0.27,-0.24,46.14,1.83,-16.72
400,-0.97,-0.24,-0.24,49.44,5.86,-18.01
410,-1.01,-0.17,-0.22,54.57,12.21,-21.79
420,-1.01,-0.12,-0.21,59.45,11.23,-21.61
430,-1.01,-0.06,-0.21,65.19,10.19,-22.52
440,-1.05,0.08,-0.30,65.98,6.90,-24.78
450,-1.01,0.15,-0.30,62.44,9.09,-20.63
460,-1.03,0.22,-0.31,57.80,11.72,-23.32
470,-1.05,0.27,-0.32,53.71,12.51,-22.40
480,-1.06,0.33,-0.31,49.01,13.61,-20.39
490,-1.08,0.36,-0.29,44.68,14.10,-13.49
500,-1.09,0.45,-0.30,40.10,16.97,-3.30
510,-1.04,0.53,-0.29,35.34,21.55,7.02
520,-0.94,0.65,-0.29,28.32,25.33,7.45
530,-0.99,0.65,-0.23,26.00,16.91,14.89
540,-1.00,0.69,-0.27,17.58,9.28,1.16
550,-1.02,0.73,-0.25,6.16,4.82,-6.77
560,-1.07,0.72,-0.21,-3.11,0.37,-3.54
570,-1.10,0.67,-0.22,-14.22,-2.26,5.19
580,-1.09,0.64,-0.24,-23.56,-2.26,9.03
590,-1.09,0.60,-0.27,-35.10,-2.08,14.83
600,-1.08,0.51,-0.23,-48.34,-2.75,20.81
610,-1.11,0.43,-0.21,-50.72,-6.41,22.34
620,-1.09,0.36,-0.22,-45.96,-13.73,26.61
630,-1.06,0.29,-0.29,-41.56,-15.14,30.58
640,-1.07,0.25,-0.33,-43.88,-10.25,32.17
650,-1.01,0.17,-0.34,-56.15,-6.23,38.94
660,-0.98,0.08,-0.25,-59.39,-1.34,40.16
670,-0.91,0.02,-0.30,-62.81,-2.26,30.88
680,-0.94,-0.06,-0.23,-58.53,-2.50,35.64
690,-0.91,-0.19,-0.24,-48.16,-0.18,28.63
700,-0.92,-0.23,-0.28,-44.07,-1.77,14.34
710,-0.97,-0.30,-0.29,-43.52,-4.33,7.08
720,-1.04,-0.40,-0.27,-44.01,-5.68,1.28
730,-1.03,-0.45,-0.22,-40.89,-9.77,-0.61
740,-0.98,-0.51,-0.16,-32.41,-15.14,-1.10
750,-0.95,-0.54,-0.13,-21.00,-17.76,-4.94
