timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.02,-0.23,-0.03,49.44,-1.40,-15.63
10,-1.00,-0.12,-0.04,51.15,2.26,-12.21
20,-0.97,-0.02,-0.03,50.90,8.36,-12.02
30,-1.00,0.06,-0.03,51.70,10.01,-15.81
40,-1.02,0.17,-0.06,50.66,8.91,-16.48
50,-1.01,0.23,-0.07,48.77,5.62,-15.56
60,-1.01,0.31,-0.09,43.40,-0.31,-19.96
70,-1.03,0.37,-0.09,36.38,1.83,-20.75
80,-1.04,0.43,-0.06,28.93,5.49,-16.72
90,-1.04,0.50,-0.04,19.84,6.47,-9.52
100,-1.04,0.54,-0.01,13.55,5.68,-6.16
110,-1.05,0.56,0.02,7.57,2.99,-5.25
120,-1.08,0.59,0.03,1.83,1.16,-3.17
130,-1.13,0.60,0.01,-9.40,7.14,5.55
140,-1.15,0.58,0.01,-16.36,8.12,13.00
150,-1.15,0.55,-0.04,-20.45,-0.92,17.82
160,-1.15,0.52,-0.10,-26.18,-13.85,18.49
170,-1.15,0.42,-0.15,-38.09,-22.28,18.80
180,-1.13,0.34,-0.14,-46.26,-25.33,21.97
190,-1.10,0.24,-0.09,-50.78,-24.60,26.92
200,-1.04,0.14,-0.07,-52.12,-28.20,30.21
210,-0.99,0.02,-0.06,-53.04,-32.29,26.61
220,-0.97,-0.08,-0.06,-53.71,-33.33,21.73
230,-0.98,-0.19,-0.06,-54.57,-33.39,17.27
240,-0.99,-0.34,-0.02,-54.14,-31.56,13.49
250,-0.97,-0.45,0.00,-51.03,-34.00,10.38
260,-0.97,-0.53,0.04,-44.25,-31.74,5.74
270,-0.96,-0.60,0.07,-36.68,-28.75,0.79
280,-0.96,-0.69,0.10,-26.55,-29.66,-3.48
290,-0.96,-0.70,0.17,-14.16,-18.13,0.06
300,-0.93,-0.73,0.17,-4.64,-18.49,1.22
310,-0.88,-0.68,0.17,9.70,-10.80,0.92
320,-0.87,-0.64,0.15,17.21,-7.26,-4.09
330,-0.88,-0.58,0.15,23.68,-3.05,-8.61
340,-0.88,-0.52,0.15,31.01,1.28,-9.58
350,-0.88,-0.42,0.13,41.38,5.98,-11.35
360,-0.89,-0.36,0.12,48.89,7.20,-14.40
370,-0.93,-0.25,0.06,58.04,5.25,-21.91
380,-0.98,-0.13,0.01,60.06,4.15,-26.31
390,-1.00,-0.04,-0.00,60.12,4.21,-28.08
400,-1.02,0.05,-0.01,58.96,3.17,-30.09
410,-1.04,0.13,0.02,57.68,4.15,-30.33
420,-1.03,0.23,0.04,57.19,4.33,-28.38
430,-1.03,0.31,0.03,57.50,-1.04,-28.75
440,-1.06,0.43,-0.04,48.95,-7.26,-30.76
450,-1.04,0.48,-0.02,36.68,-4.64,-25.63
460,-1.02,0.52,0.04,25.45,4.64,-18.01
470,-1.01,0.54,0.12,15.14,9.09,-11.54
480,-1.03,0.57,0.16,10.07,1.95,-11.84
490,-1.07,0.57,0.15,3.91,-6.04,-9.70
500,-1.12,0.57,0.18,-5.92,-9.95,-2.08
510,-1.14,0.57,0.17,-14.47,-8.54,5.55
520,-1.14,0.56,0.17,-23.19,-3.85,16.05
530,-1.12,0.53,0.15,-31.19,-3.66,26.18
540,-1.12,0.46,0.10,-40.71,-11.17,28.87
550,-1.16,0.39,0.07,-47.55,-19.41,27.10
560,-1.12,0.28,0.05,-56.64,-31.37,30.64
570,-1.12,0.19,0.07,-58.41,-26.31,36.01
580,-1.08,0.09,0.05,-61.77,-25.82,37.05
590,-1.06,-0.03,0.09,-63.54,-21.30,37.54
600,-1.05,-0.21,0.12,-60.06,-20.20,35.40
610,-1.02,-0.31,0.10,-55.60,-18.62,34.12
620,-0.99,-0.42,0.10,-53.22,-12.88,30.33
630,-0.97,-0.56,0.14,-47.85,-9.09,22.71
640,-0.97,-0.65,0.19,-41.93,-10.93,16.36
650,-0.92,-0.73,0.20,-28.93,-12.27,9.83
660,-0.89,-0.75,0.22,-18.43,-11.05,8.06
670,-0.85,-0.76,0.21,-8.79,-10.62,6.23
680,-0.77,-0.74,0.20,6.23,-2.75,2.62
690,-0.81,-0.71,0.18,16.78,-0.06,-5.19
700,-0.85,-0.67,0.15,26.06,2.50,-11.72
710,-0.87,-0.62,0.13,33.75,2.01,-16.72
720,-0.89,-0.55,0.13,42.48,7.26,-20.94
730,-0.90,-0.50,0.17,48.46,10.74,-23.74
740,-0.87,-0.44,0.19,56.70,12.27,-26.00
750,-0.89,-0.34,0.17,66.89,15.32,-31.56
760,-0.91,-0.23,0.13,70.43,16.05,-35.16
770,-0.90,-0.13,0.14,69.64,21.79,-35.34
780,-0.91,-0.02,0.16,68.48,26.31,-36.07
790,-0.97,0.16,0.17,69.27,26.12,-41.08
800,-1.03,0.29,0.18,68.18,21.91,-44.56
810,-1.11,0.42,0.16,65.80,18.86,-44.92
820,-1.20,0.56,0.08,57.01,14.22,-37.29
830,-1.24,0.65,0.04,45.35,10.50,-29.24
840,-1.23,0.69,0.02,31.49,7.81,-19.35
850,-1.21,0.70,0.05,14.40,9.58,-5.07
860,-1.17,0.71,0.09,5.25,7.51,4.82
870,-1.15,0.69,0.08,-2.81,1.53,12.76
880,-1.11,0.64,0.09,-15.75,-3.05,20.87
890,-1.09,0.58,0.11,-23.50,-6.77,25.57
900,-1.07,0.53,0.11,-30.82,-10.93,28.32
910,-1.05,0.43,0.13,-39.92,-14.10,31.62
920,-1.06,0.33,0.15,-44.56,-13.12,33.51
930,-1.07,0.25,0.16,-45.59,-13.49,36.01
940,-1.09,0.16,0.15,-44.01,-13.61,36.50
950,-1.07,0.11,0.08,-44.92,-12.02,37.11
960,-1.01,0.03,0.08,-53.10,-2.50,42.05
970,-0.95,-0.05,0.15,-57.37,4.27,43.09
980,-0.92,-0.15,0.19,-56.21,4.33,39.43
990,-0.88,-0.23,0.23,-49.68,-2.44,31.19
1000,-0.85,-0.29,0.24,-43.64,-3.91,28.14
1010,-0.85,-0.35,0.23,-37.96,1.10,23.80
1020,-0.93,-0.39,0.20,-30.94,6.77,20.32
1030,-0.88,-0.41,0.20,-25.82,11.78,28.38
1040,-0.83,-0.43,0.16,-18.98,14.65,32.23
1050,-0.90,-0.46,0.12,-15.69,14.16,22.71
1060,-1.02,-0.52,0.13,-11.78,8.79,8.06
1070,-1.07,-0.56,0.14,-6.10,6.16,5.55
1080,-1.09,-0.61,0.16,1.10,3.97,5.43
1090,-1.09,-0.61,0.15,9.22,4.58,7.32
1100,-1.04,-0.60,0.14,17.21,8.48,10.68
1110,-0.97,-0.59,0.17,21.97,7.87,7.57
1120,-0.94,-0.57,0.16,26.73,7.57,0.49
1130,-0.95,-0.54,0.16,30.15,6.16,-5.86
1140,-0.94,-0.48,0.16,33.57,4.52,-10.38
1150,-0.94,-0.42,0.13,37.11,-1.10,-15.81
1160,-0.94,-0.33,0.10,37.96,-5.49,-21.97
1170,-0.92,-0.24,0.13,33.63,-2.14,-28.93
1180,-0.95,-0.18,0.17,34.61,1.46,-34.79
1190,-0.92,-0.08,0.19,38.70,2.26,-35.28
1200,-0.91,0.07,0.25,44.74,11.78,-35.46
1210,-0.92,0.25,0.28,55.18,23.32,-36.01
1220,-0.99,0.46,0.16,62.62,18.98,-36.74
1230,-1.08,0.70,0.01,55.48,15.01,-39.25
1240,-1.16,0.79,-0.03,43.95,13.55,-35.95
1250,-1.19,0.87,0.01,31.37,13.73,-27.47
1260,-1.18,0.91,0.08,17.82,15.01,-10.93
1270,-1.18,0.91,0.07,10.38,11.90,-0.12
1280,-1.19,0.86,0.04,2.99,7.08,7.32
1290,-1.20,0.79,-0.00,-6.23,0.98,14.65
1300,-1.16,0.66,-0.01,-20.45,-7.87,26.67
1310,-1.12,0.55,0.03,-30.64,-10.68,29.66
1320,-1.11,0.44,0.05,-39.06,-9.83,31.86
1330,-1.09,0.28,0.12,-46.57,-5.19,36.13
1340,-1.06,0.17,0.16,-48.16,-3.23,39.18
1350,-1.07,0.07,0.18,-47.06,-5.07,39.12
1360,-1.02,-0.04,0.19,-44.01,-6.35,40.71
