timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.94,0.12,-0.30,62.56,25.82,-3.17
10,-0.96,0.26,-0.30,66.16,32.10,1.77
20,-0.98,0.40,-0.26,69.46,28.75,-0.12
30,-1.07,0.65,-0.30,71.66,27.40,-3.42
40,-1.11,0.85,-0.36,64.21,28.81,5.74
50,-1.01,1.01,-0.47,49.68,29.17,14.95
60,-1.02,1.08,-0.42,33.63,22.22,26.31
70,-0.97,1.08,-0.48,6.16,10.19,4.88
80,-1.03,1.03,-0.48,-13.24,1.59,-11.54
90,-1.12,0.90,-0.47,-28.93,-10.68,-14.59
100,-1.12,0.73,-0.45,-45.59,-21.00,-15.08
110,-1.11,0.61,-0.43,-57.98,-22.16,-11.90
120,-1.12,0.43,-0.35,-66.35,-23.25,-9.77
130,-1.13,0.21,-0.26,-66.77,-24.35,-8.36
140,-1.12,0.06,-0.22,-60.55,-20.45,-0.18
150,-1.12,-0.08,-0.21,-50.84,-11.96,10.07
160,-1.06,-0.21,-0.29,-41.56,-9.40,22.09
170,-0.98,-0.32,-0.33,-38.64,-10.38,23.86
180,-0.89,-0.33,-0.45,-42.24,-7.57,7.81
190,-0.92,-0.46,-0.44,-46.20,-8.97,7.45
200,-0.87,-0.66,-0.39,-48.03,-14.04,-11.23
210,-0.91,-0.70,-0.28,-44.74,-25.39,-23.01
220,-0.87,-0.82,-0.26,-38.94,-38.64,-21.79
230,-0.76,-0.87,-0.22,-33.75,-33.57,-19.71
240,-0.76,-0.89,-0.13,-27.47,-18.31,-21.85
250,-0.75,-0.87,-0.09,-17.82,-9.83,-20.39
260,-0.77,-0.84,-0.08,-1.89,-1.95,-14.95
270,-0.79,-0.80,-0.10,10.19,2.62,-9.89
280,-0.79,-0.74,-0.12,20.26,8.54,-4.21
290,-0.82,-0.67,-0.15,30.76,14.10,1.28
300,-0.87,-0.61,-0.19,37.41,14.95,2.08
310,-0.89,-0.55,-0.24,42.24,15.75,5.43
320,-0.90,-0.44,-0.28,47.67,17.64,8.67
330,-0.90,-0.35,-0.32,50.96,17.33,7.51
340,-0.91,-0.26,-0.35,52.67,16.97,2.26
