timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.86,-0.24,-0.14,52.19,0.92,-10.93
10,-0.86,-0.07,-0.08,63.42,-0.98,-15.69
20,-0.94,0.10,0.00,71.90,1.46,-25.21
30,-1.12,0.39,-0.06,76.11,18.49,-22.09
40,-1.26,0.69,-0.39,59.63,34.30,-0.92
50,-1.24,0.78,-0.18,56.09,45.10,21.18
60,-1.16,0.89,-0.21,40.77,37.78,7.75
70,-1.22,1.02,-0.20,18.25,25.88,1.40
80,-1.24,0.96,-0.22,3.72,11.66,6.10
90,-1.22,0.85,-0.30,-11.90,4.76,5.13
100,-1.22,0.67,-0.31,-33.26,-8.18,-0.85
110,-1.18,0.50,-0.27,-45.96,-17.27,-4.94
120,-1.15,0.35,-0.22,-53.04,-19.17,-5.80
130,-1.15,0.16,-0.19,-55.18,-20.08,-3.97
140,-1.14,0.03,-0.20,-53.59,-15.20,4.70
150,-1.12,-0.08,-0.21,-53.16,-6.04,14.40
160,-1.09,-0.19,-0.23,-56.03,5.74,24.05
170,-1.00,-0.27,-0.22,-59.14,7.26,28.81
180,-0.89,-0.40,-0.15,-60.12,4.33,22.22
190,-0.84,-0.49,-0.11,-55.24,-0.79,9.34
200,-0.82,-0.56,-0.11,-44.62,-8.67,-1.83
210,-0.82,-0.62,-0.21,-30.33,-13.18,-6.84
220,-0.77,-0.65,-0.31,-24.96,-9.22,-3.66
230,-0.72,-0.67,-0.37,-23.93,-2.62,0.00
240,-0.69,-0.72,-0.38,-24.29,3.91,-0.85
250,-0.74,-0.79,-0.35,-21.18,3.11,-5.62
260,-0.76,-0.82,-0.28,-13.31,1.34,-6.90
270,-0.75,-0.84,-0.26,-4.03,-0.37,-4.09
280,-0.82,-0.87,-0.24,8.00,5.13,-6.84
290,-0.89,-0.83,-0.30,17.33,7.63,-7.32
300,-0.91,-0.76,-0.35,24.29,3.17,-3.42
310,-0.89,-0.66,-0.34,30.40,2.69,-2.69
320,-0.87,-0.59,-0.32,35.40,4.03,-4.09
330,-0.90,-0.52,-0.27,42.05,5.07,-6.29
340,-0.92,-0.35,-0.29,48.71,4.58,-6.84
350,-0.91,-0.24,-0.27,49.56,3.85,-6.04
360,-0.93,-0.14,-0.15,51.09,9.52,-11.05
370,-1.01,0.07,0.00,61.22,21.36,-14.28
380,-1.14,0.28,-0.00,73.12,21.67,-13.00
390,-1.30,0.42,-0.18,80.81,13.49,-11.11
400,-1.41,0.74,-0.36,65.12,15.75,4.46
410,-1.37,0.82,-0.38,44.86,9.77,7.51
420,-1.24,0.95,-0.27,23.38,8.12,6.59
430,-1.14,0.92,-0.14,3.42,1.04,17.82
440,-1.05,0.93,-0.07,-4.03,0.18,12.21
450,-0.99,0.89,-0.15,-15.32,-3.05,1.71
460,-1.02,0.76,-0.16,-29.91,-12.08,-2.62
470,-1.06,0.49,-0.15,-53.16,-18.37,-20.57
480,-1.19,0.24,-0.10,-63.48,-25.09,-25.88
490,-1.27,0.03,-0.08,-64.94,-30.27,-20.20
500,-1.28,-0.18,-0.11,-59.33,-25.76,1.83
510,-1.20,-0.28,-0.17,-54.81,-18.68,18.92
520,-1.08,-0.32,-0.23,-52.86,-9.22,32.17
530,-0.91,-0.37,-0.27,-53.59,4.09,38.88
540,-0.82,-0.42,-0.28,-53.59,3.85,32.84
550,-0.75,-0.48,-0.28,-51.51,3.05,22.77
560,-0.74,-0.58,-0.26,-44.74,0.92,7.02
570,-0.74,-0.64,-0.26,-37.05,-4.76,-3.11
580,-0.76,-0.70,-0.29,-31.68,-7.75,-9.22
590,-0.77,-0.78,-0.29,-29.54,-8.54,-12.27
600,-0.77,-0.85,-0.23,-26.18,-5.31,-9.70
610,-0.76,-0.92,-0.18,-16.72,-1.46,-4.64
620,-0.76,-0.95,-0.16,5.43,1.04,-0.43
630,-0.77,-0.93,-0.21,20.81,5.92,2.93
640,-0.82,-0.84,-0.32,29.72,9.83,5.37
650,-0.78,-0.69,-0.35,31.68,16.54,9.40
660,-0.78,-0.61,-0.32,31.86,17.94,4.33
670,-0.85,-0.59,-0.25,33.87,14.65,-9.28
680,-0.97,-0.60,-0.11,47.73,1.34,-26.73
690,-1.00,-0.48,-0.13,63.72,-8.42,-31.25
700,-0.97,-0.32,-0.21,71.59,-15.75,-28.32
710,-1.04,-0.15,-0.23,65.86,-6.16,-34.30
720,-1.10,0.00,-0.14,59.02,13.49,-36.80
730,-1.12,0.19,-0.04,57.98,27.04,-24.48
740,-1.04,0.47,0.06,60.85,35.16,-11.90
750,-1.24,0.60,-0.03,58.90,41.26,5.80
760,-1.28,0.76,-0.17,54.38,31.86,-2.75
770,-1.31,0.91,-0.27,44.07,21.61,1.22
780,-1.29,0.90,-0.36,18.37,5.62,13.37
790,-1.25,0.83,-0.28,-1.95,-1.46,10.93
800,-1.21,0.71,-0.23,-16.97,-10.50,12.21
810,-1.15,0.61,-0.22,-27.89,-16.42,13.55
820,-1.08,0.46,-0.17,-35.89,-22.52,13.49
830,-1.04,0.35,-0.18,-40.65,-25.51,9.77
840,-1.06,0.18,-0.18,-49.44,-20.39,11.29
850,-1.09,0.04,-0.17,-54.81,-11.47,17.94
860,-1.08,-0.07,-0.17,-59.94,-2.32,28.38
870,-1.01,-0.21,-0.13,-65.00,10.01,43.64
880,-0.97,-0.33,-0.10,-64.70,13.49,42.54
890,-0.97,-0.43,-0.11,-60.49,8.12,31.01
900,-0.98,-0.54,-0.14,-51.21,-3.36,17.88
910,-0.95,-0.60,-0.18,-44.19,-4.46,15.01
920,-0.89,-0.63,-0.22,-36.38,2.62,15.93
930,-0.82,-0.67,-0.26,-25.82,10.13,12.88
940,-0.79,-0.69,-0.31,-17.09,9.09,7.69
950,-0.75,-0.71,-0.34,-10.19,3.97,3.05
960,-0.76,-0.75,-0.34,-5.74,2.44,-0.43
970,-0.74,-0.74,-0.28,0.61,8.00,0.73
980,-0.74,-0.75,-0.26,6.71,10.74,4.52
990,-0.74,-0.77,-0.25,13.67,9.52,1.46
1000,-0.82,-0.79,-0.29,25.39,5.13,-4.76
1010,-0.90,-0.75,-0.35,31.62,0.43,-8.12
1020,-0.90,-0.68,-0.37,33.02,1.04,-3.42
1030,-0.91,-0.64,-0.31,34.67,7.08,-2.56
1040,-0.90,-0.56,-0.22,42.79,11.05,-3.91
1050,-0.89,-0.41,-0.21,53.89,7.14,-6.90
1060,-0.91,-0.22,-0.21,62.93,3.85,-17.27
1070,-0.98,-0.06,-0.23,61.28,3.78,-25.09
1080,-1.07,0.13,-0.19,51.33,9.64,-29.48
1090,-1.11,0.24,-0.10,45.53,11.35,-30.58
1100,-1.16,0.32,-0.03,44.86,9.03,-32.29
1110,-1.27,0.47,-0.20,38.27,9.95,-28.56
1120,-1.27,0.50,-0.08,43.95,15.99,-13.67
1130,-1.23,0.64,-0.23,37.05,14.65,-13.61
1140,-1.23,0.70,-0.29,25.63,8.67,-0.18
1150,-1.14,0.70,-0.27,5.13,6.29,7.08
1160,-1.10,0.69,-0.20,-6.23,1.77,11.23
1170,-1.07,0.65,-0.17,-17.15,-2.75,7.39
1180,-1.08,0.53,-0.15,-31.98,-5.31,1.89
1190,-1.10,0.40,-0.10,-40.16,-9.34,-2.99
1200,-1.14,0.28,-0.11,-44.43,-17.52,-5.62
1210,-1.21,0.11,-0.18,-52.12,-25.15,0.31
1220,-1.20,-0.00,-0.17,-58.96,-23.50,9.58
1230,-1.11,-0.11,-0.14,-64.39,-14.89,25.02
1240,-1.01,-0.21,-0.08,-63.66,-1.28,39.37
1250,-0.88,-0.32,-0.08,-55.79,11.17,47.06
1260,-0.85,-0.41,-0.10,-47.30,17.76,42.05
1270,-0.87,-0.48,-0.19,-37.48,16.60,32.23
1280,-0.90,-0.55,-0.38,-30.21,8.97,22.22
1290,-0.86,-0.63,-0.45,-31.13,6.84,19.78
1300,-0.84,-0.73,-0.43,-32.17,6.71,11.47
1310,-0.82,-0.82,-0.38,-28.50,3.78,-0.31
1320,-0.83,-0.86,-0.35,-17.27,0.31,-7.14
1330,-0.82,-0.90,-0.30,-8.91,-2.26,-7.14
1340,-0.83,-0.92,-0.23,3.30,-6.53,-14.83
1350,-0.86,-0.87,-0.22,11.60,-7.75,-18.74
1360,-0.86,-0.80,-0.23,19.78,-2.32,-15.08
1370,-0.86,-0.70,-0.25,33.14,-2.75,-13.85
1380,-0.88,-0.62,-0.26,40.41,-9.16,-20.81
1390,-0.88,-0.53,-0.25,45.41,-13.37,-27.28
1400,-0.87,-0.43,-0.24,47.12,-12.76,-29.79
1410,-0.90,-0.32,-0.21,47.49,-3.42,-27.53
1420,-0.90,-0.23,-0.16,48.58,6.23,-24.23
1430,-0.91,-0.13,-0.11,54.75,14.89,-18.49
1440,-0.94,0.04,-0.17,66.96,14.59,-16.48
1450,-0.90,0.29,-0.24,64.76,16.30,-23.19
1460,-1.06,0.33,-0.30,53.22,29.60,-7.39
1470,-1.06,0.43,-0.32,33.51,32.47,-8.00
1480,-1.08,0.53,-0.23,19.59,33.45,-9.52
1490,-1.13,0.52,-0.10,11.72,29.42,-4.88
1500,-1.22,0.57,-0.03,11.35,19.90,-13.61
1510,-1.28,0.60,-0.09,8.67,6.41,-7.87
1520,-1.32,0.57,-0.14,-2.75,0.92,2.75
1530,-1.27,0.51,-0.16,-21.79,0.73,9.58
1540,-1.22,0.45,-0.13,-31.25,-5.86,12.15
1550,-1.18,0.36,-0.13,-35.64,-13.92,10.38
1560,-1.17,0.29,-0.18,-38.82,-18.13,12.82
1570,-1.13,0.20,-0.18,-40.59,-17.21,17.09
1580,-1.09,0.12,-0.20,-42.85,-12.15,22.46
1590,-1.07,0.03,-0.19,-42.79,-5.49,30.03
1600,-0.97,-0.07,-0.25,-45.29,-0.67,39.18
1610,-0.97,-0.18,-0.28,-49.74,1.34,39.18
1620,-0.96,-0.29,-0.31,-56.27,-2.56,33.39
1630,-0.93,-0.48,-0.28,-63.84,-8.67,22.52
1640,-0.93,-0.65,-0.21,-61.77,-12.63,10.99
1650,-0.91,-0.80,-0.16,-45.23,-17.15,1.04
1660,-0.85,-0.84,-0.19,-28.93,-21.79,1.71
1670,-0.82,-0.88,-0.24,-17.58,-16.30,2.81
1680,-0.81,-0.89,-0.29,-11.78,-2.50,4.21
1690,-0.78,-0.87,-0.32,-5.31,7.63,8.73
1700,-0.74,-0.83,-0.29,1.83,10.07,8.42
1710,-0.77,-0.79,-0.28,9.64,9.40,2.87
1720,-0.80,-0.70,-0.27,17.21,7.93,-6.16
1730,-0.83,-0.67,-0.24,21.24,3.66,-11.78
1740,-0.89,-0.65,-0.23,25.57,-2.01,-19.71
1750,-0.96,-0.59,-0.23,31.49,-7.20,-22.34
1760,-0.95,-0.49,-0.25,35.28,-10.13,-17.03
1770,-0.92,-0.43,-0.23,38.76,-7.69,-11.96
1780,-0.92,-0.32,-0.15,47.00,1.59,-12.33
1790,-0.93,-0.19,-0.15,54.20,6.41,-9.22
1800,-0.91,-0.04,-0.15,58.29,9.64,-4.52
1810,-0.94,0.12,-0.14,58.90,13.85,-4.64
1820,-1.02,0.22,-0.17,56.21,14.53,-10.86
1830,-1.08,0.34,-0.20,50.72,8.36,-15.56
1840,-1.18,0.44,-0.40,31.74,4.27,-12.70
1850,-1.20,0.43,-0.12,21.06,9.34,-4.09
1860,-1.16,0.51,-0.11,13.00,9.83,-13.98
1870,-1.22,0.52,-0.09,6.77,6.77,-1.95
1880,-1.20,0.50,-0.04,-1.46,10.68,9.22
1890,-1.15,0.50,-0.07,-7.14,9.46,11.78
1900,-1.14,0.51,-0.08,-12.51,7.63,13.37
1910,-1.11,0.46,-0.13,-22.34,2.50,15.75
1920,-1.11,0.38,-0.16,-31.13,-1.71,11.90
1930,-1.14,0.29,-0.20,-39.67,-8.30,7.32
1940,-1.16,0.16,-0.20,-49.26,-11.23,10.93
1950,-1.13,0.07,-0.21,-54.87,-9.28,17.94
1960,-1.09,-0.02,-0.19,-58.65,-6.65,23.68
1970,-1.03,-0.12,-0.16,-59.81,-5.68,25.27
1980,-0.94,-0.21,-0.16,-56.70,-3.30,23.86
1990,-0.92,-0.29,-0.17,-53.10,-5.37,19.23
