timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.19,0.65,0.16,-0.49,2.14,-6.16
10,-1.17,0.64,0.12,-8.00,2.14,8.36
20,-1.14,0.62,0.09,-15.69,0.24,18.80
30,-1.09,0.58,0.05,-26.73,-5.31,25.63
40,-1.07,0.54,0.01,-35.95,-8.42,27.47
50,-1.05,0.47,0.01,-45.41,-6.10,30.58
60,-1.04,0.39,0.03,-53.96,-2.20,35.34
70,-1.03,0.26,0.04,-60.55,-5.37,37.54
80,-1.02,0.17,0.04,-64.15,-2.75,39.37
90,-1.01,0.07,0.05,-66.22,-0.12,41.08
100,-0.98,-0.08,0.07,-66.89,-2.75,39.79
110,-0.99,-0.18,0.05,-66.71,-3.48,31.49
120,-1.07,-0.32,0.09,-64.64,0.79,35.28
130,-1.04,-0.42,0.09,-60.79,5.80,39.67
140,-0.97,-0.49,0.12,-55.36,11.96,37.23
150,-0.95,-0.56,0.12,-49.07,9.83,30.64
160,-0.94,-0.65,0.15,-39.86,5.74,19.35
170,-0.94,-0.70,0.19,-31.74,2.69,8.12
180,-0.95,-0.73,0.23,-21.06,-0.92,0.79
190,-0.92,-0.73,0.25,-4.82,-0.55,-1.71
200,-0.90,-0.68,0.24,4.76,7.45,-0.49
210,-0.91,-0.64,0.21,13.43,12.39,-1.28
220,-0.90,-0.56,0.18,22.83,13.79,-3.60
230,-0.92,-0.51,0.16,29.42,10.68,-10.25
240,-0.92,-0.43,0.15,35.34,9.46,-14.83
250,-0.92,-0.37,0.16,41.20,12.27,-17.09
260,-0.89,-0.28,0.19,50.29,19.47,-17.40
270,-0.90,-0.21,0.17,56.03,28.56,-16.42
280,-0.90,-0.14,0.15,59.08,38.45,-14.28
290,-0.91,-0.05,0.12,60.85,47.06,-12.82
300,-0.95,0.04,0.11,61.10,55.97,-13.92
310,-0.95,0.15,0.11,64.39,63.48,-10.31
320,-0.96,0.25,0.08,69.52,60.12,-10.80
330,-1.05,0.43,0.01,70.92,52.43,-20.14
340,-1.09,0.55,-0.08,63.78,43.76,-20.75
350,-1.14,0.66,-0.12,52.86,42.91,-14.34
360,-1.14,0.79,-0.14,36.01,39.73,-4.09
370,-1.11,0.87,-0.20,23.07,31.13,-1.28
380,-1.10,0.90,-0.22,8.79,21.12,-0.06
390,-1.10,0.86,-0.22,-14.47,10.50,0.31
400,-1.12,0.79,-0.19,-31.25,11.23,0.79
410,-1.12,0.71,-0.16,-44.74,12.33,6.10
420,-1.11,0.59,-0.05,-52.73,17.46,9.89
430,-1.11,0.42,-0.00,-54.99,2.87,4.21
440,-1.14,0.32,-0.05,-56.34,-9.64,1.16
450,-1.15,0.21,-0.08,-59.57,-12.15,3.85
460,-1.17,0.07,-0.07,-63.42,-6.23,14.34
470,-1.15,-0.01,-0.06,-63.84,-3.91,24.96
480,-1.03,-0.12,-0.10,-68.54,-0.73,34.42
490,-0.96,-0.24,-0.05,-69.76,3.23,40.47
500,-0.88,-0.34,-0.02,-65.92,6.16,33.87
510,-0.88,-0.46,-0.02,-57.01,0.12,15.32
520,-0.93,-0.54,-0.03,-50.72,0.73,5.80
530,-0.96,-0.61,-0.00,-42.97,1.34,2.38
540,-0.92,-0.67,-0.01,-30.21,1.10,3.54
550,-0.92,-0.71,0.02,-21.06,0.37,1.04
560,-0.93,-0.72,0.04,-12.45,-0.61,-2.99
570,-0.94,-0.71,0.08,1.53,4.21,-3.60
580,-0.94,-0.68,0.07,13.37,7.32,-1.65
590,-0.95,-0.63,0.05,22.95,10.56,-1.16
600,-0.96,-0.56,0.01,28.44,16.42,0.24
610,-0.95,-0.47,-0.01,32.53,19.23,3.78
620,-0.91,-0.41,0.01,38.39,18.25,2.99
630,-0.92,-0.36,0.04,47.61,12.94,-3.48
640,-0.98,-0.25,-0.02,60.00,10.74,-12.51
650,-1.01,-0.15,-0.09,65.06,10.56,-13.85
660,-0.98,-0.01,-0.15,61.34,11.54,-15.38
670,-0.97,0.06,-0.12,55.85,15.26,-19.96
680,-0.97,0.14,-0.06,53.22,19.53,-23.74
690,-1.01,0.23,-0.03,55.11,23.99,-24.35
700,-1.06,0.39,-0.05,57.01,26.31,-20.26
710,-1.07,0.52,-0.08,53.04,26.92,-16.72
720,-1.06,0.65,-0.10,46.08,28.14,-13.37
730,-1.05,0.79,-0.15,33.75,28.50,-11.41
740,-1.07,0.88,-0.15,23.56,25.76,-10.19
750,-1.07,0.92,-0.19,12.39,17.52,-8.67
760,-1.09,0.88,-0.28,-2.75,18.07,-3.72
770,-1.15,0.87,-0.23,-20.08,10.62,-2.14
780,-1.10,0.80,-0.25,-35.28,11.29,9.09
790,-1.09,0.68,-0.20,-44.80,10.93,12.51
800,-1.09,0.51,-0.20,-50.05,2.69,7.51
810,-1.09,0.38,-0.22,-53.22,-5.07,3.85
820,-1.10,0.22,-0.18,-56.40,-2.20,4.09
830,-1.16,0.03,-0.17,-58.78,-0.73,6.90
840,-1.17,-0.09,-0.16,-60.30,-2.69,19.59
850,-1.02,-0.24,-0.15,-61.65,-0.55,40.04
860,-0.91,-0.34,-0.11,-61.58,2.50,43.33
870,-0.86,-0.47,-0.13,-59.51,2.01,33.69
880,-0.88,-0.60,-0.07,-54.26,4.70,15.20
890,-0.96,-0.69,-0.04,-45.29,-0.24,7.32
900,-0.97,-0.74,-0.01,-32.10,-4.82,7.14
910,-0.95,-0.77,-0.06,-18.86,-5.55,11.23
920,-0.96,-0.75,-0.13,-4.09,4.27,9.52
930,-0.99,-0.72,-0.18,3.17,3.78,6.59
940,-0.99,-0.68,-0.15,10.25,3.54,1.10
950,-0.98,-0.64,-0.13,17.82,0.79,-1.95
960,-0.96,-0.58,-0.12,26.37,-1.46,-3.05
970,-0.94,-0.51,-0.11,34.12,-2.08,-5.19
980,-0.93,-0.41,-0.11,40.77,2.44,-8.12
990,-0.93,-0.32,-0.15,41.38,6.16,-8.48
1000,-0.91,-0.22,-0.12,41.32,10.01,-7.75
1010,-0.88,-0.14,-0.09,42.30,9.46,-8.42
1020,-0.88,-0.02,-0.03,47.91,9.09,-16.11
1030,-0.91,0.07,-0.01,53.59,10.68,-20.69
1040,-0.91,0.20,-0.02,58.78,12.76,-21.73
1050,-0.97,0.36,-0.08,60.67,20.20,-22.03
1060,-1.00,0.50,-0.14,54.57,24.96,-20.81
1070,-1.04,0.59,-0.14,44.31,28.44,-19.78
1080,-1.12,0.69,-0.11,34.79,38.33,-20.08
1090,-1.16,0.75,-0.15,26.92,24.96,-18.62
1100,-1.21,0.78,-0.17,19.71,17.70,-13.24
1110,-1.26,0.81,-0.25,9.64,11.11,-5.86
1120,-1.27,0.78,-0.32,-0.43,7.87,1.77
1130,-1.24,0.72,-0.40,-14.77,2.38,7.87
1140,-1.18,0.59,-0.37,-34.36,1.46,13.12
1150,-1.12,0.47,-0.31,-43.82,-0.12,16.97
1160,-1.03,0.34,-0.26,-47.24,0.49,19.04
1170,-0.94,0.17,-0.32,-45.72,9.03,19.53
1180,-0.99,0.10,-0.25,-48.65,12.15,17.46
1190,-0.96,0.01,-0.30,-55.11,4.46,18.86
1200,-0.92,-0.16,-0.24,-65.19,4.82,19.23
1210,-0.89,-0.30,-0.13,-63.11,10.19,17.52
1220,-0.90,-0.42,-0.07,-49.56,8.36,14.77
1230,-0.92,-0.50,-0.11,-33.39,-0.67,12.08
1240,-0.89,-0.57,-0.17,-28.93,-9.52,8.97
1250,-0.93,-0.63,-0.16,-26.92,-6.35,2.99
1260,-0.99,-0.69,-0.12,-20.57,2.93,2.81
1270,-1.01,-0.74,-0.09,-12.94,7.63,3.66
1280,-0.99,-0.76,-0.09,-4.46,1.83,3.48
1290,-0.99,-0.76,-0.10,4.46,1.40,4.09
1300,-0.98,-0.72,-0.11,13.06,3.60,1.65
1310,-0.97,-0.68,-0.12,19.59,5.62,-0.79
1320,-0.98,-0.62,-0.12,26.86,10.62,-2.93
1330,-0.95,-0.50,-0.21,38.51,17.40,-3.36
1340,-0.98,-0.38,-0.15,44.31,21.85,-6.84
1350,-0.93,-0.28,-0.19,45.65,5.74,-12.21
1360,-0.89,-0.13,-0.15,49.68,3.48,-19.10
1370,-0.87,0.01,-0.11,55.85,2.01,-26.55
1380,-0.92,0.21,-0.08,66.41,8.61,-33.14
1390,-0.95,0.35,-0.12,71.47,11.96,-33.63
1400,-1.00,0.47,-0.20,75.99,22.16,-28.44
1410,-1.08,0.61,-0.34,69.64,22.03,-25.94
1420,-1.13,0.70,-0.38,54.93,19.47,-26.49
1430,-1.20,0.74,-0.35,37.96,17.33,-26.37
1440,-1.24,0.76,-0.32,20.45,16.30,-14.34
1450,-1.24,0.78,-0.28,11.23,18.98,3.48
1460,-1.16,0.74,-0.31,3.42,21.30,19.59
1470,-1.08,0.71,-0.38,-6.65,21.97,26.86
1480,-0.99,0.63,-0.43,-25.39,17.64,29.48
1490,-0.96,0.52,-0.36,-41.50,8.91,24.96
1500,-0.93,0.39,-0.31,-50.23,1.40,21.55
1510,-0.96,0.22,-0.28,-52.25,0.92,19.10
1520,-0.96,0.10,-0.29,-53.89,3.05,20.75
1530,-0.97,-0.02,-0.26,-56.21,6.84,20.39
1540,-0.99,-0.17,-0.24,-59.14,4.88,19.71
1550,-0.97,-0.29,-0.23,-60.97,4.39,21.73
1560,-0.95,-0.40,-0.18,-57.92,9.22,22.40
1570,-0.95,-0.52,-0.17,-44.31,12.08,20.02
1580,-0.96,-0.59,-0.22,-32.59,9.34,12.15
1590,-1.00,-0.61,-0.25,-24.17,5.86,4.58
1600,-1.00,-0.64,-0.26,-17.76,9.77,3.05
1610,-0.95,-0.65,-0.26,-13.67,14.47,6.53
1620,-0.92,-0.64,-0.20,-4.15,25.63,6.84
1630,-0.88,-0.62,-0.15,4.82,21.55,5.25
1640,-0.90,-0.61,-0.12,17.40,18.68,0.37
1650,-0.91,-0.56,-0.18,28.38,18.37,-3.72
1660,-0.95,-0.47,-0.21,34.73,19.65,-6.47
1670,-0.93,-0.37,-0.25,37.72,26.43,-0.73
1680,-0.92,-0.28,-0.26,40.28,27.77,0.06
1690,-0.91,-0.21,-0.26,44.56,23.80,-1.40
1700,-0.93,-0.12,-0.27,47.97,15.01,-9.95
1710,-0.94,-0.06,-0.31,51.09,14.22,-12.88
1720,-0.99,0.05,-0.28,53.53,19.71,-13.31
1730,-0.98,0.15,-0.31,54.57,16.54,-11.84
1740,-1.00,0.23,-0.31,54.63,16.66,-15.20
1750,-1.04,0.35,-0.33,53.47,17.40,-15.63
1760,-1.06,0.43,-0.36,48.22,13.06,-11.84
1770,-1.05,0.48,-0.39,42.05,8.61,-7.57
1780,-1.05,0.52,-0.45,34.12,4.03,-6.53
1790,-1.06,0.56,-0.50,20.63,5.62,-3.78
1800,-1.04,0.57,-0.52,8.73,7.32,1.28
1810,-0.97,0.53,-0.54,-3.17,7.87,5.68
1820,-0.95,0.49,-0.53,-15.87,11.66,7.39
1830,-0.95,0.48,-0.44,-25.88,9.16,8.91
1840,-0.91,0.45,-0.45,-34.18,0.61,11.96
1850,-0.91,0.35,-0.40,-45.90,0.06,4.33
1860,-0.95,0.27,-0.37,-50.96,-1.89,-4.39
1870,-0.98,0.17,-0.37,-54.32,-3.60,-8.00
1880,-1.01,0.01,-0.34,-58.78,-2.69,-10.19
1890,-1.02,-0.09,-0.26,-58.90,-1.83,-9.34
1900,-1.04,-0.19,-0.19,-54.08,-8.06,-5.55
1910,-1.01,-0.29,-0.23,-47.06,-16.36,1.34
1920,-0.96,-0.36,-0.24,-44.80,-16.97,6.41
1930,-0.95,-0.42,-0.25,-40.53,-19.47,9.28
1940,-0.94,-0.53,-0.33,-30.58,-22.03,9.83
1950,-0.96,-0.61,-0.38,-23.74,-17.70,5.86
1960,-1.00,-0.67,-0.36,-17.27,-13.49,0.24
1970,-1.04,-0.71,-0.34,-8.54,-16.48,-2.08
1980,-1.02,-0.73,-0.34,-2.14,-14.47,1.53
1990,-0.94,-0.72,-0.31,3.23,-7.87,7.32
