timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.06,0.59,-0.49,-48.40,10.13,4.21
10,-1.07,0.42,-0.48,-59.81,8.67,9.52
20,-1.08,0.18,-0.44,-66.96,11.05,13.98
30,-1.10,0.00,-0.41,-68.97,7.39,14.22
40,-1.10,-0.16,-0.39,-72.39,0.24,17.46
50,-1.07,-0.31,-0.34,-75.87,-5.86,17.76
60,-1.04,-0.52,-0.29,-74.40,-6.23,20.63
70,-1.05,-0.64,-0.23,-70.50,-7.26,19.53
80,-1.02,-0.79,-0.31,-61.46,-5.25,20.87
90,-0.99,-0.89,-0.30,-51.21,-0.06,19.65
100,-0.97,-0.95,-0.29,-33.45,0.43,18.74
110,-0.90,-0.98,-0.26,-19.78,-7.93,16.42
120,-0.84,-0.97,-0.26,-6.53,-15.20,9.64
130,-0.81,-0.91,-0.25,0.73,-20.94,-0.85
140,-0.81,-0.86,-0.21,4.46,-20.14,-10.56
150,-0.86,-0.82,-0.14,10.50,-11.78,-11.72
160,-0.88,-0.76,-0.12,23.62,-6.90,-5.07
170,-0.87,-0.63,-0.21,37.84,-8.67,2.08
180,-0.84,-0.47,-0.28,44.74,-10.56,2.44
190,-0.81,-0.34,-0.30,45.04,-6.53,-0.67
200,-0.85,-0.25,-0.29,45.10,4.27,-5.00
210,-0.95,-0.15,-0.21,49.68,11.23,-9.40
220,-0.93,0.02,-0.29,58.90,3.23,-9.52
230,-0.95,0.12,-0.29,67.99,5.07,-10.38
240,-0.99,0.31,-0.40,73.43,6.41,-18.13
250,-1.05,0.47,-0.40,70.74,13.24,-22.16
260,-1.06,0.59,-0.43,64.21,9.77,-22.34
270,-1.07,0.72,-0.44,50.54,12.08,-26.12
280,-1.10,0.79,-0.41,36.93,15.69,-29.42
290,-1.14,0.82,-0.41,25.21,19.23,-28.32
300,-1.22,0.83,-0.34,11.23,15.56,-18.62
310,-1.22,0.80,-0.35,4.21,5.13,-5.31
320,-1.15,0.75,-0.37,-4.09,-2.81,8.18
330,-1.06,0.68,-0.42,-15.38,-4.82,14.89
340,-1.02,0.56,-0.42,-34.36,-0.24,15.50
350,-1.03,0.44,-0.38,-46.94,3.23,15.87
360,-1.03,0.28,-0.32,-55.97,1.10,20.02
370,-1.02,0.17,-0.30,-59.57,-4.58,25.39
380,-1.01,0.09,-0.30,-68.12,-20.94,27.89
390,-0.94,-0.08,-0.39,-80.02,-19.59,30.94
400,-0.94,-0.22,-0.34,-85.69,-1.65,27.28
410,-1.00,-0.33,-0.27,-83.92,8.48,23.38
420,-1.00,-0.46,-0.26,-67.93,5.80,24.72
430,-0.98,-0.53,-0.31,-52.37,2.14,25.27
440,-0.96,-0.58,-0.32,-42.60,-2.75,23.44
450,-0.83,-0.67,-0.45,-37.23,-10.19,18.01
460,-0.83,-0.72,-0.42,-35.52,-1.53,6.96
470,-0.88,-0.77,-0.34,-31.13,4.70,-2.44
480,-0.91,-0.82,-0.23,-20.57,-6.04,-7.32
490,-0.88,-0.83,-0.19,-9.34,-10.25,-6.41
500,-0.89,-0.83,-0.18,1.16,-6.77,-8.42
510,-0.95,-0.81,-0.18,9.16,-1.95,-10.74
520,-1.03,-0.75,-0.27,17.94,-5.25,-8.61
530,-1.03,-0.67,-0.30,23.80,-11.35,-6.59
540,-0.98,-0.57,-0.30,30.21,-15.32,-1.04
550,-0.93,-0.47,-0.24,32.23,-10.68,1.16
560,-0.85,-0.38,-0.18,39.00,-1.83,4.21
570,-0.82,-0.26,-0.16,52.73,4.58,-0.67
580,-0.84,-0.15,-0.17,66.35,2.50,-11.54
590,-0.83,0.03,-0.17,74.89,-2.81,-18.13
600,-0.86,0.19,-0.27,76.78,-5.31,-19.04
610,-0.91,0.32,-0.29,70.68,4.03,-22.52
620,-0.98,0.46,-0.30,65.67,14.47,-23.50
630,-1.06,0.63,-0.27,64.09,30.64,-22.77
640,-1.12,0.78,-0.27,57.86,30.94,-18.86
650,-1.16,0.91,-0.28,47.61,32.78,-13.92
660,-1.18,0.95,-0.35,34.67,23.32,-10.19
670,-1.24,0.94,-0.42,14.59,17.70,-4.64
680,-1.21,0.91,-0.45,-1.04,13.67,4.39
690,-1.11,0.84,-0.47,-15.87,10.01,13.37
700,-1.03,0.71,-0.46,-36.50,8.30,11.60
710,-1.02,0.59,-0.43,-50.17,8.30,6.23
