timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.92,-0.77,-0.14,-30.21,-20.32,-17.52
10,-0.98,-0.82,-0.13,-27.28,-12.27,-17.27
20,-1.01,-0.87,-0.12,-22.52,-1.46,-10.13
30,-0.99,-0.91,-0.09,-15.14,6.90,0.37
40,-0.96,-0.93,-0.06,-3.42,8.91,4.88
50,-0.93,-0.87,-0.10,11.60,4.03,2.87
60,-0.92,-0.81,-0.10,18.07,3.48,-0.49
70,-0.95,-0.76,-0.11,23.25,3.54,-2.38
80,-1.00,-0.67,-0.16,31.74,-0.85,-2.20
90,-1.06,-0.59,-0.26,36.99,-2.87,-3.17
100,-1.04,-0.50,-0.23,36.74,-3.05,-2.38
110,-1.00,-0.43,-0.14,38.70,-7.57,-2.69
120,-0.95,-0.36,-0.09,46.02,-3.36,-3.91
130,-0.89,-0.24,0.00,59.69,6.65,-7.08
140,-0.91,-0.13,-0.04,73.73,7.75,-10.62
150,-0.91,0.04,-0.16,76.35,0.31,-17.40
160,-0.93,0.28,-0.16,65.55,-4.03,-23.62
170,-0.94,0.40,-0.06,58.47,3.30,-26.18
180,-1.05,0.50,-0.01,59.14,13.12,-28.81
190,-1.21,0.72,-0.14,61.58,12.57,-18.01
200,-1.12,0.83,-0.20,49.99,7.75,-14.77
210,-1.11,0.89,-0.14,36.44,5.13,-19.10
220,-1.18,0.98,-0.16,21.61,1.77,-20.39
230,-1.22,1.02,-0.15,2.38,5.55,-9.89
240,-1.22,1.00,-0.16,-9.16,9.03,4.82
250,-1.15,0.94,-0.18,-20.94,10.19,13.98
260,-1.07,0.82,-0.16,-32.71,10.38,20.02
270,-1.05,0.70,-0.17,-39.31,8.06,20.26
280,-1.08,0.58,-0.25,-51.15,4.70,15.08
290,-1.09,0.45,-0.26,-63.90,-0.31,16.85
300,-1.11,0.31,-0.25,-72.02,2.01,21.48
310,-1.10,0.17,-0.19,-72.88,8.54,27.28
320,-1.02,0.02,-0.12,-68.48,11.11,31.62
330,-0.93,-0.12,0.01,-62.26,8.91,23.93
340,-0.98,-0.20,-0.05,-58.90,0.92,22.95
350,-0.92,-0.35,-0.05,-56.40,-8.00,20.81
360,-0.84,-0.44,-0.03,-49.99,-7.02,9.16
370,-0.90,-0.48,-0.10,-41.32,-7.63,1.04
380,-0.98,-0.55,-0.17,-35.64,-3.36,3.48
390,-0.93,-0.62,-0.16,-33.08,2.32,10.19
400,-0.89,-0.69,-0.15,-28.93,5.62,11.54
410,-0.92,-0.76,-0.16,-21.73,2.44,3.66
420,-0.94,-0.80,-0.15,-15.50,-0.37,-1.28
430,-1.00,-0.82,-0.11,-7.93,-4.46,-5.00
440,-1.03,-0.81,-0.13,3.66,-4.33,-0.67
450,-1.04,-0.77,-0.14,12.15,0.06,4.64
460,-1.05,-0.72,-0.15,19.71,1.53,6.71
470,-1.02,-0.65,-0.18,27.34,1.10,5.31
480,-1.05,-0.58,-0.20,35.40,0.31,-0.92
490,-1.09,-0.49,-0.23,43.33,-2.38,-5.86
500,-1.02,-0.39,-0.26,49.26,-5.55,-7.51
510,-1.05,-0.30,-0.30,51.64,-0.31,-13.55
520,-1.01,-0.20,-0.26,50.72,-3.17,-16.60
530,-0.90,-0.14,-0.14,50.11,-1.40,-15.44
540,-0.85,-0.01,-0.09,60.49,10.74,-19.96
550,-0.87,0.10,-0.09,66.65,12.94,-22.77
560,-0.93,0.25,-0.11,69.58,8.12,-29.72
570,-0.95,0.41,-0.15,63.72,0.12,-34.55
580,-1.00,0.53,-0.15,52.00,-0.79,-40.89
590,-1.05,0.63,-0.02,45.78,1.34,-47.97
600,-1.15,0.80,0.05,39.49,9.28,-36.44
610,-1.16,0.90,0.01,33.26,17.09,-22.22
620,-1.14,0.97,-0.04,23.38,18.01,-6.90
630,-1.08,1.00,-0.11,5.80,13.31,3.17
640,-1.05,0.96,-0.15,-9.40,10.99,6.96
650,-1.07,0.89,-0.12,-22.46,7.69,7.32
660,-1.10,0.80,-0.11,-33.26,2.62,9.89
670,-1.15,0.74,-0.16,-38.94,4.21,16.30
680,-1.17,0.67,-0.26,-45.17,4.88,26.92
690,-1.16,0.53,-0.33,-56.70,12.08,36.50
700,-1.15,0.40,-0.29,-64.39,18.74,43.27
710,-1.06,0.28,-0.24,-70.01,18.07,49.13
720,-1.00,0.13,-0.19,-72.88,15.56,44.92
730,-1.05,-0.09,-0.08,-63.42,-0.06,24.60
740,-1.13,-0.17,-0.21,-57.25,-17.58,15.20
750,-1.15,-0.31,-0.24,-53.28,-13.73,22.58
760,-1.00,-0.43,-0.19,-52.43,0.49,24.72
770,-0.89,-0.49,-0.17,-51.82,-1.59,18.92
780,-0.88,-0.62,-0.13,-48.46,-4.21,10.93
790,-0.95,-0.76,-0.06,-42.05,-5.00,0.49
800,-1.00,-0.88,-0.05,-24.78,-12.57,-6.16
810,-0.96,-0.91,-0.10,-11.11,-15.01,-4.09
820,-0.93,-0.88,-0.15,0.79,-8.18,-2.08
830,-0.91,-0.84,-0.21,5.55,1.53,1.10
840,-0.89,-0.77,-0.21,6.65,11.96,3.85
850,-0.88,-0.71,-0.18,6.77,15.20,5.62
860,-0.90,-0.67,-0.10,11.17,12.08,3.66
870,-0.94,-0.60,-0.12,19.96,5.25,0.85
880,-0.94,-0.54,-0.17,26.86,-0.43,1.46
890,-0.96,-0.46,-0.19,32.84,1.95,-0.18
900,-1.03,-0.42,-0.20,36.32,3.72,-2.56
910,-1.04,-0.33,-0.20,43.03,0.00,-2.14
920,-1.00,-0.24,-0.19,47.12,0.79,-2.01
930,-0.96,-0.19,-0.12,51.33,4.88,-5.07
940,-0.98,-0.10,-0.10,59.57,8.42,-8.24
950,-1.02,0.10,-0.20,70.19,15.20,-8.18
960,-1.05,0.26,-0.21,69.82,19.35,-6.10
970,-1.03,0.44,-0.17,62.50,20.39,-5.19
980,-0.98,0.60,-0.07,53.89,25.33,-3.72
990,-0.97,0.75,-0.11,43.76,29.05,-8.42
1000,-1.02,0.84,-0.06,42.72,26.73,-20.02
1010,-1.16,0.90,-0.15,36.07,-4.64,-32.96
1020,-1.20,0.92,-0.21,23.38,-18.01,-30.88
1030,-1.20,0.92,-0.20,7.93,-12.08,-19.41
1040,-1.18,0.87,-0.17,-5.13,-3.23,-1.83
1050,-1.09,0.81,-0.22,-14.83,6.04,15.63
1060,-1.07,0.77,-0.27,-21.97,6.47,20.51
1070,-1.05,0.72,-0.28,-33.08,2.69,18.25
1080,-1.05,0.61,-0.21,-44.01,3.66,15.14
