timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.86,0.81,-0.30,-46.57,-10.07,23.62
10,-0.80,0.66,-0.30,-58.53,-13.37,12.33
20,-0.87,0.39,-0.27,-74.46,-8.24,-0.73
30,-1.00,0.19,-0.21,-79.28,-1.95,1.65
40,-1.03,0.05,-0.22,-76.17,9.40,19.96
50,-1.00,-0.08,-0.24,-72.20,21.24,37.78
60,-0.92,-0.21,-0.30,-71.17,10.44,41.08
70,-0.94,-0.36,-0.29,-70.62,-0.61,26.12
80,-0.97,-0.50,-0.28,-65.25,-8.00,15.38
90,-1.01,-0.63,-0.32,-54.26,-9.46,13.67
100,-0.95,-0.75,-0.46,-39.92,-2.93,17.09
110,-0.89,-0.84,-0.56,-35.46,-0.43,13.37
120,-0.89,-0.97,-0.55,-36.32,-3.11,0.00
130,-0.95,-1.14,-0.41,-32.17,-7.14,-12.63
140,-0.91,-1.24,-0.27,-9.03,-10.44,-13.55
150,-0.88,-1.23,-0.29,9.40,-9.16,-10.56
160,-0.83,-1.18,-0.32,18.86,-5.13,-9.09
170,-0.80,-1.16,-0.28,23.19,2.20,-5.92
180,-0.78,-1.12,-0.26,31.01,4.76,-5.00
190,-0.72,-0.98,-0.29,46.63,-3.17,-6.04
200,-0.71,-0.82,-0.33,56.70,6.84,-6.04
210,-0.71,-0.63,-0.34,63.11,19.41,-3.97
220,-0.74,-0.44,-0.33,68.48,20.20,-8.67
230,-0.79,-0.23,-0.26,79.47,2.01,-29.48
240,-0.87,-0.06,-0.26,87.04,-4.27,-46.57
250,-1.11,0.18,-0.24,86.98,12.21,-52.43
260,-1.27,0.43,-0.19,84.78,40.77,-31.19
270,-1.29,0.72,-0.28,100.89,34.00,-4.82
280,-1.32,0.93,-0.59,107.97,-1.53,-25.51
290,-1.44,1.17,-0.81,85.82,-19.96,-49.07
300,-1.55,1.25,-0.73,42.91,-16.85,-41.26
310,-1.46,1.17,-0.37,-3.36,-5.43,-8.18
320,-1.32,1.07,-0.25,-16.97,-21.30,0.67
330,-1.21,0.95,-0.26,-24.90,-36.13,11.11
340,-1.06,0.82,-0.33,-39.73,-38.33,13.12
350,-1.01,0.61,-0.35,-71.04,-32.47,16.85
360,-0.97,0.40,-0.25,-92.10,-21.67,23.50
370,-0.96,0.17,-0.19,-102.72,-12.94,31.49
380,-1.01,-0.02,-0.19,-105.71,-6.41,36.99
390,-1.00,-0.17,-0.21,-104.37,-3.85,47.00
400,-0.96,-0.39,-0.26,-101.99,-5.86,51.33
410,-0.97,-0.55,-0.23,-97.35,-5.92,43.88
420,-0.96,-0.72,-0.25,-87.16,-14.10,36.62
430,-0.95,-0.89,-0.25,-72.63,-19.78,30.40
440,-0.87,-1.02,-0.34,-51.88,-17.03,27.71
450,-0.80,-1.07,-0.39,-41.50,-9.34,26.61
460,-0.77,-1.13,-0.37,-34.73,-5.62,20.94
470,-0.78,-1.20,-0.29,-27.10,-1.83,12.33
480,-0.80,-1.22,-0.19,-8.97,4.21,8.42
490,-0.77,-1.14,-0.20,6.96,3.42,8.30
500,-0.78,-1.04,-0.23,18.80,8.67,7.14
510,-0.87,-0.91,-0.27,31.86,10.25,5.13
520,-0.84,-0.76,-0.31,39.25,6.23,9.46
530,-0.81,-0.66,-0.31,43.88,5.43,9.03
540,-0.89,-0.53,-0.31,49.62,19.84,3.60
550,-0.95,-0.39,-0.29,57.25,33.08,8.12
560,-0.92,-0.25,-0.21,72.33,26.25,9.22
570,-0.89,-0.07,-0.21,95.58,-1.53,-13.98
580,-0.94,0.12,-0.23,102.72,-6.04,-34.06
590,-1.05,0.31,-0.24,100.10,12.02,-34.36
600,-1.14,0.53,-0.25,94.24,32.29,-20.20
610,-1.19,0.84,-0.34,83.31,36.19,-4.82
620,-1.17,1.03,-0.40,69.89,21.85,-7.45
630,-1.19,1.13,-0.42,50.78,7.39,-16.24
640,-1.28,1.19,-0.35,18.43,2.32,-17.03
650,-1.33,1.15,-0.29,-6.10,5.86,-3.17
660,-1.31,1.07,-0.26,-27.53,5.55,13.79
670,-1.20,0.95,-0.24,-43.64,2.38,28.14
680,-1.05,0.77,-0.26,-57.43,-9.22,26.18
690,-1.01,0.62,-0.30,-66.41,-16.66,12.63
700,-1.02,0.46,-0.33,-76.42,-17.76,4.09
710,-1.03,0.21,-0.30,-88.56,-4.03,10.38
720,-1.03,0.02,-0.24,-93.08,3.78,18.31
730,-0.95,-0.24,-0.18,-89.48,8.30,23.99
740,-0.89,-0.39,-0.19,-76.78,3.60,23.99
750,-0.90,-0.52,-0.30,-63.29,-4.52,15.75
760,-0.90,-0.64,-0.43,-55.48,-15.14,4.88
770,-0.91,-0.82,-0.53,-55.24,-11.66,-1.34
780,-0.92,-0.96,-0.49,-56.15,-2.08,-2.81
790,-0.92,-1.07,-0.40,-48.65,-0.18,-1.83
800,-0.84,-1.13,-0.32,-27.28,-2.87,1.16
810,-0.79,-1.13,-0.27,-11.60,0.37,0.79
820,-0.79,-1.09,-0.23,1.16,3.91,-1.77
830,-0.83,-1.00,-0.23,15.99,7.39,-2.99
840,-0.85,-0.93,-0.25,27.53,0.67,-2.69
850,-0.81,-0.86,-0.26,38.70,-3.30,-2.99
860,-0.85,-0.82,-0.27,49.01,-0.79,-5.31
870,-0.88,-0.70,-0.29,62.38,4.94,-4.52
880,-0.88,-0.56,-0.34,69.64,9.46,1.16
890,-0.87,-0.43,-0.35,72.08,9.89,3.85
900,-0.83,-0.31,-0.27,79.04,8.61,-1.22
910,-0.87,-0.19,-0.25,86.61,14.16,-8.12
920,-0.90,-0.01,-0.26,91.67,22.09,-8.79
930,-0.94,0.24,-0.26,93.81,30.03,-10.13
940,-1.05,0.46,-0.30,93.93,24.54,-19.65
950,-1.14,0.72,-0.36,85.45,24.41,-20.39
960,-1.23,0.98,-0.37,60.42,42.60,-3.42
970,-1.23,1.07,-0.33,43.64,39.98,6.77
980,-1.22,1.11,-0.30,30.76,21.12,0.98
990,-1.26,1.13,-0.31,10.13,-0.92,-8.54
1000,-1.28,1.08,-0.31,-10.13,-4.76,0.18
1010,-1.26,0.97,-0.29,-28.81,-2.01,13.18
1020,-1.18,0.82,-0.30,-44.92,-6.23,22.95
1030,-1.11,0.72,-0.35,-54.69,-14.59,24.78
1040,-1.06,0.59,-0.41,-66.41,-18.07,22.16
1050,-1.01,0.38,-0.39,-84.35,-14.34,21.55
1060,-0.97,0.16,-0.30,-89.97,-7.08,25.63
1070,-0.94,-0.03,-0.28,-85.45,-3.66,25.21
1080,-0.95,-0.24,-0.36,-78.00,-3.91,18.43
1090,-0.96,-0.40,-0.42,-74.71,-5.31,19.35
1100,-0.98,-0.57,-0.49,-73.43,-5.07,17.03
1110,-0.95,-0.75,-0.50,-71.59,-7.69,8.97
1120,-0.95,-0.89,-0.44,-67.14,-9.77,0.85
1130,-0.93,-0.99,-0.37,-59.81,-12.51,-5.68
1140,-0.92,-1.11,-0.23,-45.41,-9.89,-9.09
1150,-0.88,-1.14,-0.14,-29.60,-6.59,-6.59
1160,-0.83,-1.15,-0.10,-9.64,-3.05,-0.67
1170,-0.80,-1.10,-0.13,11.41,0.18,3.60
1180,-0.81,-0.96,-0.25,30.21,2.56,6.53
1190,-0.77,-0.86,-0.27,36.80,3.48,7.14
1200,-0.77,-0.80,-0.26,45.17,5.74,5.07
1210,-0.84,-0.71,-0.28,60.30,8.54,-0.61
1220,-0.89,-0.61,-0.31,70.25,12.08,-0.85
1230,-0.91,-0.49,-0.34,78.74,12.70,1.22
1240,-0.92,-0.30,-0.40,82.89,3.97,-3.36
1250,-0.92,-0.17,-0.38,81.42,6.77,-8.73
1260,-1.00,-0.07,-0.29,80.93,20.81,-10.01
1270,-1.10,0.13,-0.16,96.44,31.49,-3.60
1280,-1.15,0.40,-0.28,115.30,15.81,-0.31
1290,-1.17,0.75,-0.53,114.20,1.40,1.28
1300,-1.11,1.04,-0.60,81.48,8.61,10.50
1310,-1.06,1.11,-0.48,55.42,6.84,11.11
