timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.85,-0.19,-0.37,-54.08,16.17,20.32
10,-0.89,-0.26,-0.35,-59.88,15.93,16.85
20,-0.86,-0.38,-0.32,-65.49,3.85,13.06
30,-0.80,-0.50,-0.23,-67.63,-3.30,3.78
40,-0.77,-0.60,-0.10,-62.44,-8.79,0.55
50,-0.69,-0.75,-0.10,-49.13,-15.81,-0.37
60,-0.71,-0.85,-0.12,-38.02,-12.63,-6.90
70,-0.83,-0.94,-0.19,-24.48,-9.28,-14.71
80,-0.91,-0.97,-0.23,-13.12,-4.39,-12.57
90,-0.93,-0.96,-0.28,-1.34,3.97,-2.32
100,-0.90,-0.91,-0.31,9.16,12.63,10.01
110,-0.89,-0.85,-0.34,16.17,16.42,21.55
120,-0.89,-0.81,-0.35,17.76,15.93,23.50
130,-0.92,-0.75,-0.37,18.37,12.94,21.36
140,-0.91,-0.68,-0.34,20.94,9.22,16.60
150,-0.91,-0.60,-0.33,25.39,0.43,10.86
160,-0.89,-0.53,-0.37,29.30,-7.26,5.00
170,-0.89,-0.41,-0.41,28.81,-4.52,-4.27
180,-0.86,-0.32,-0.34,27.71,6.90,-5.68
190,-0.87,-0.24,-0.27,31.49,15.20,-6.41
200,-0.93,-0.11,-0.23,39.25,18.98,-8.12
210,-0.96,0.11,-0.22,49.93,20.69,-5.98
220,-0.99,0.26,-0.23,55.24,21.97,-5.00
230,-1.02,0.41,-0.24,57.68,29.91,-6.04
240,-1.05,0.62,-0.26,53.10,30.15,-10.99
250,-1.08,0.70,-0.28,45.65,24.66,-13.85
260,-1.11,0.75,-0.28,34.42,18.01,-21.97
270,-1.19,0.81,-0.24,20.08,8.61,-24.96
280,-1.22,0.85,-0.23,9.70,3.97,-17.03
290,-1.24,0.87,-0.24,-1.89,4.27,-5.55
300,-1.19,0.83,-0.24,-16.30,12.51,12.02
310,-1.12,0.76,-0.27,-23.93,16.24,20.51
320,-1.08,0.66,-0.27,-29.36,12.70,20.26
330,-1.15,0.49,-0.29,-33.81,-3.11,11.54
340,-1.18,0.37,-0.34,-38.33,-13.92,15.32
350,-1.17,0.23,-0.38,-42.79,-9.40,27.53
360,-1.07,0.12,-0.43,-45.84,2.08,41.81
370,-1.02,-0.03,-0.40,-49.50,14.53,42.97
380,-0.90,-0.17,-0.43,-58.17,9.58,17.03
390,-0.93,-0.23,-0.34,-62.62,2.62,9.09
400,-0.87,-0.48,-0.30,-67.14,-9.16,12.27
410,-0.77,-0.61,-0.23,-65.67,-0.06,3.66
420,-0.74,-0.73,-0.20,-58.11,2.32,-5.19
430,-0.84,-0.86,-0.25,-42.30,-8.42,-22.16
440,-0.95,-0.93,-0.29,-28.81,-19.04,-31.49
450,-0.96,-0.94,-0.33,-15.63,-24.72,-31.68
460,-0.92,-0.92,-0.40,-2.93,-14.53,-17.03
470,-0.87,-0.88,-0.40,0.37,3.17,-4.70
480,-0.83,-0.84,-0.33,3.30,15.63,9.52
490,-0.84,-0.83,-0.26,10.50,20.14,19.78
500,-0.81,-0.77,-0.25,25.33,20.87,23.07
510,-0.82,-0.71,-0.28,37.41,19.65,20.26
520,-0.84,-0.60,-0.35,47.18,16.66,15.50
530,-0.87,-0.42,-0.46,49.56,4.33,9.40
540,-0.81,-0.34,-0.47,46.08,-5.25,6.10
550,-0.81,-0.29,-0.43,41.99,-7.81,-2.56
560,-0.90,-0.18,-0.34,41.02,15.81,-6.04
570,-0.96,-0.03,-0.26,48.34,34.30,3.23
580,-0.98,0.11,-0.28,59.33,32.35,11.17
590,-1.08,0.26,-0.32,69.76,27.89,1.89
600,-1.14,0.41,-0.37,76.66,28.63,0.73
610,-1.18,0.57,-0.39,78.61,26.92,12.33
620,-1.10,0.71,-0.42,70.74,25.15,26.00
630,-0.97,0.86,-0.38,46.88,30.58,29.30
640,-0.91,0.93,-0.32,28.08,32.84,21.18
650,-0.91,0.95,-0.31,11.66,21.97,10.01
660,-0.96,0.89,-0.37,-8.00,1.16,-7.45
670,-1.01,0.82,-0.43,-24.90,-7.14,-17.03
680,-1.04,0.73,-0.46,-42.72,-10.44,-23.68
690,-1.11,0.61,-0.41,-64.76,-13.18,-29.48
700,-1.19,0.51,-0.34,-72.88,-13.92,-31.19
710,-1.22,0.40,-0.30,-69.95,-19.90,-28.93
720,-1.22,0.26,-0.31,-57.13,-32.23,-18.80
730,-1.17,0.16,-0.35,-50.11,-29.24,-3.91
740,-1.05,0.04,-0.40,-47.49,-14.10,15.32
750,-0.97,-0.11,-0.38,-49.68,2.50,26.31
760,-0.91,-0.28,-0.39,-55.60,5.98,13.18
770,-0.89,-0.40,-0.38,-54.08,-7.02,15.01
780,-0.78,-0.56,-0.43,-52.25,-17.82,13.73
790,-0.76,-0.66,-0.39,-52.67,-13.79,4.76
800,-0.79,-0.76,-0.33,-50.84,-12.88,-5.49
810,-0.81,-0.84,-0.31,-43.82,-16.48,-10.68
820,-0.77,-0.92,-0.31,-29.72,-31.74,-9.77
830,-0.80,-0.96,-0.28,-14.89,-18.19,-6.47
840,-0.78,-0.94,-0.29,-4.76,-6.59,-4.46
850,-0.79,-0.90,-0.30,6.41,8.24,7.26
860,-0.84,-0.87,-0.32,13.73,17.09,11.54
870,-0.90,-0.81,-0.35,19.96,16.60,12.70
880,-0.90,-0.71,-0.37,26.43,11.90,14.22
890,-0.90,-0.67,-0.36,31.13,9.09,12.57
900,-0.91,-0.57,-0.37,38.57,7.32,8.97
910,-0.92,-0.43,-0.39,45.96,0.49,5.86
920,-0.90,-0.34,-0.39,47.73,-4.21,2.50
930,-0.85,-0.22,-0.35,49.38,-3.97,-2.99
940,-0.86,-0.04,-0.28,52.61,8.85,-10.99
950,-0.90,0.11,-0.28,57.25,28.20,-14.16
960,-1.06,0.31,-0.17,66.53,55.05,-13.79
970,-1.09,0.54,-0.21,76.66,32.47,-13.06
980,-1.10,0.66,-0.33,81.42,11.84,-19.84
990,-1.15,0.80,-0.40,76.35,2.62,-32.41
1000,-1.21,0.94,-0.43,53.41,2.32,-31.49
1010,-1.26,0.99,-0.42,32.35,6.77,-21.18
1020,-1.26,1.00,-0.40,15.14,7.20,-9.52
1030,-1.23,0.95,-0.39,3.85,2.69,2.08
1040,-1.11,0.88,-0.44,-11.23,-5.00,1.59
1050,-1.04,0.78,-0.46,-24.84,-9.64,-0.67
1060,-1.01,0.63,-0.45,-39.43,-11.29,-4.33
1070,-1.02,0.39,-0.32,-52.12,-12.45,-9.46
1080,-1.03,0.22,-0.27,-50.78,-10.62,-3.91
1090,-1.03,0.07,-0.28,-44.86,-8.73,7.63
1100,-0.97,-0.07,-0.40,-42.18,-1.46,24.29
1110,-0.96,-0.20,-0.44,-44.80,5.07,27.34
1120,-0.90,-0.27,-0.54,-59.20,-0.06,3.05
1130,-0.96,-0.43,-0.45,-73.36,-18.13,7.26
1140,-0.89,-0.62,-0.36,-75.68,-23.62,10.13
1150,-0.83,-0.73,-0.26,-70.62,-24.29,2.75
1160,-0.80,-0.86,-0.23,-58.84,-39.61,-5.25
1170,-0.83,-0.94,-0.25,-44.74,-35.34,-10.62
1180,-0.89,-0.98,-0.23,-31.68,-24.96,-17.94
1190,-0.91,-0.97,-0.22,-19.90,-16.05,-17.46
1200,-0.87,-0.92,-0.24,-4.58,-3.60,-5.19
1210,-0.83,-0.85,-0.29,3.48,1.22,3.97
1220,-0.80,-0.79,-0.32,7.81,5.37,10.50
1230,-0.81,-0.71,-0.38,8.73,3.23,9.40
1240,-0.83,-0.65,-0.39,8.12,-1.40,2.99
1250,-0.85,-0.61,-0.35,9.40,-5.98,-1.28
1260,-0.85,-0.53,-0.31,17.82,-1.65,-0.12
1270,-0.87,-0.46,-0.31,24.17,7.02,3.17
1280,-0.83,-0.37,-0.34,27.28,8.48,3.11
1290,-0.80,-0.32,-0.33,27.77,6.77,-2.08
1300,-0.88,-0.23,-0.30,29.85,12.94,-12.94
