timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.74,-1.13,-0.11,33.39,3.66,3.60
10,-0.73,-1.02,-0.17,52.67,3.91,4.64
20,-0.72,-0.84,-0.28,70.56,3.05,2.14
30,-0.73,-0.72,-0.35,80.44,1.28,-5.31
40,-0.79,-0.58,-0.41,85.88,4.88,-10.86
50,-0.82,-0.45,-0.40,88.99,17.64,-9.03
60,-0.82,-0.26,-0.38,96.19,29.79,-5.49
70,-0.84,-0.02,-0.40,100.40,28.14,-11.23
80,-1.04,0.36,-0.35,95.83,28.44,-25.94
90,-1.15,0.66,-0.31,90.21,29.11,-23.50
100,-1.26,0.94,-0.31,85.14,39.73,-7.39
110,-1.29,1.18,-0.42,81.30,44.98,8.85
120,-1.25,1.49,-0.76,56.76,33.02,0.98
130,-1.35,1.42,-0.64,29.48,16.66,6.96
140,-1.30,1.36,-0.59,-4.15,5.55,-2.87
150,-1.26,1.11,-0.46,-37.78,-6.04,5.31
160,-1.17,0.93,-0.38,-53.89,-13.79,2.75
170,-1.16,0.71,-0.34,-66.16,-21.06,-0.18
180,-1.17,0.46,-0.33,-80.93,-27.47,-1.59
190,-1.18,0.28,-0.30,-88.93,-22.64,6.10
200,-1.18,0.14,-0.27,-91.31,-21.73,14.47
210,-1.11,0.03,-0.34,-88.13,-19.84,24.60
220,-1.00,-0.02,-0.40,-89.17,-15.87,28.87
230,-0.90,-0.11,-0.44,-93.02,-16.78,25.51
240,-0.76,-0.30,-0.40,-98.82,-15.69,8.24
250,-0.74,-0.48,-0.32,-96.44,-11.47,-6.59
260,-0.81,-0.67,-0.25,-86.30,-8.79,-17.33
270,-0.85,-0.82,-0.25,-63.48,-13.18,-18.37
280,-0.79,-0.90,-0.31,-49.07,-14.71,-13.98
290,-0.78,-0.99,-0.33,-39.00,-11.54,-10.93
300,-0.77,-1.06,-0.32,-29.91,-9.34,-8.36
310,-0.79,-1.11,-0.28,-18.07,-4.15,-2.44
320,-0.75,-1.08,-0.30,0.85,4.88,8.61
330,-0.78,-1.03,-0.32,13.12,8.97,11.78
340,-0.83,-0.96,-0.31,26.18,8.42,10.99
350,-0.83,-0.91,-0.33,36.19,6.77,11.11
360,-0.86,-0.83,-0.35,46.63,8.85,9.40
370,-0.88,-0.76,-0.33,56.34,9.58,8.30
380,-0.89,-0.61,-0.34,71.35,11.29,7.57
390,-0.91,-0.46,-0.40,79.16,9.64,7.02
400,-0.90,-0.32,-0.37,82.21,9.40,3.17
410,-0.94,-0.13,-0.30,84.29,17.46,-1.10
420,-0.98,0.01,-0.27,87.71,17.03,-4.09
430,-1.02,0.23,-0.28,93.69,11.23,-13.49
440,-1.09,0.46,-0.35,93.51,9.28,-18.86
450,-1.10,0.69,-0.39,83.62,7.26,-20.14
460,-1.15,0.82,-0.35,66.83,6.23,-22.64
470,-1.21,0.96,-0.29,44.37,9.40,-22.22
480,-1.22,1.02,-0.25,30.09,8.48,-13.24
490,-1.21,1.04,-0.21,18.25,5.55,-7.14
500,-1.20,1.06,-0.26,3.05,1.10,-0.85
510,-1.13,1.05,-0.33,-12.08,0.06,11.05
520,-1.04,0.98,-0.42,-31.13,-4.64,18.01
530,-0.95,0.79,-0.40,-60.12,-3.30,14.89
540,-0.97,0.63,-0.36,-73.61,-3.30,8.91
550,-1.00,0.47,-0.35,-82.09,-2.44,7.87
560,-1.06,0.28,-0.33,-85.51,-0.85,9.34
570,-1.09,0.07,-0.34,-84.17,-3.11,14.47
580,-1.06,-0.07,-0.37,-84.66,-4.33,20.75
590,-0.99,-0.20,-0.36,-85.51,-6.65,22.95
600,-0.94,-0.40,-0.36,-81.05,-12.63,14.89
610,-0.97,-0.55,-0.37,-73.73,-18.62,4.15
620,-0.97,-0.69,-0.40,-64.76,-23.50,-0.73
630,-0.93,-0.85,-0.44,-55.66,-20.57,-1.83
640,-0.89,-0.95,-0.41,-50.66,-15.08,-3.54
650,-0.85,-1.06,-0.33,-44.31,-11.60,-5.74
660,-0.86,-1.19,-0.22,-30.33,-7.81,-8.36
670,-0.87,-1.22,-0.13,-14.16,-3.05,-5.74
680,-0.81,-1.18,-0.12,7.20,-0.43,1.59
690,-0.84,-1.05,-0.23,28.26,7.32,3.60
700,-0.88,-0.97,-0.28,40.16,10.86,4.27
710,-0.88,-0.87,-0.32,50.96,11.60,5.62
720,-0.89,-0.73,-0.31,62.19,15.75,5.55
730,-0.83,-0.59,-0.26,69.95,19.04,8.91
740,-0.76,-0.48,-0.19,79.53,24.23,12.51
750,-0.76,-0.25,-0.25,92.47,23.93,8.24
760,-0.77,-0.06,-0.33,96.80,14.89,-2.01
770,-0.83,0.07,-0.35,96.19,7.45,-21.06
780,-1.01,0.20,-0.33,93.69,8.30,-41.56
