timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.97,-0.04,0.05,75.44,26.18,-12.45
10,-1.19,0.16,-0.03,93.14,27.95,-17.15
20,-1.32,0.42,-0.25,99.79,27.04,-4.15
30,-1.46,0.67,-0.64,77.33,31.68,33.94
40,-1.28,0.69,-0.33,50.54,36.87,34.85
50,-1.14,0.83,-0.18,31.37,28.87,9.03
60,-1.21,0.84,-0.03,21.24,15.99,6.16
70,-1.24,0.84,-0.05,12.21,9.58,4.27
80,-1.26,0.80,-0.17,0.92,6.04,4.76
90,-1.29,0.75,-0.24,-18.19,-2.50,3.42
100,-1.25,0.55,-0.25,-48.83,-20.14,-0.12
110,-1.15,0.38,-0.15,-66.53,-22.09,-4.58
120,-1.20,0.21,-0.15,-72.33,-23.32,0.31
130,-1.16,0.04,-0.21,-70.98,-27.71,11.90
140,-1.10,-0.06,-0.25,-74.65,-22.71,18.43
150,-0.99,-0.16,-0.23,-79.71,-15.20,24.96
160,-0.90,-0.35,-0.19,-81.18,-8.30,23.99
170,-0.83,-0.48,-0.13,-76.05,-8.48,15.26
180,-0.78,-0.59,-0.12,-63.90,-10.01,6.53
190,-0.76,-0.67,-0.15,-48.65,-13.55,-3.66
200,-0.81,-0.76,-0.25,-35.28,-18.07,-15.20
210,-0.77,-0.85,-0.29,-31.01,-12.76,-12.27
220,-0.74,-0.94,-0.31,-26.25,-5.80,-7.08
230,-0.74,-1.05,-0.30,-13.79,-1.59,-7.51
240,-0.77,-1.08,-0.28,0.00,-2.75,-9.64
250,-0.76,-1.04,-0.29,13.73,3.66,-4.21
260,-0.76,-1.00,-0.29,21.36,9.46,-2.14
270,-0.76,-0.93,-0.29,29.48,5.55,-5.68
280,-0.79,-0.86,-0.27,38.76,1.83,-11.29
290,-0.83,-0.70,-0.24,52.73,-2.44,-18.92
300,-0.86,-0.56,-0.24,58.41,-2.50,-20.08
310,-0.89,-0.39,-0.19,54.81,4.82,-17.09
320,-0.90,-0.20,-0.01,50.23,24.48,-5.07
330,-0.94,-0.01,0.09,59.20,29.05,-3.78
340,-1.02,0.22,0.03,71.17,21.48,-8.97
350,-1.13,0.48,-0.09,74.16,16.05,-18.43
360,-1.21,0.64,-0.19,64.45,15.20,-18.31
370,-1.18,0.80,-0.23,41.32,19.84,-14.53
380,-1.28,0.84,-0.06,18.74,32.71,4.82
390,-1.22,0.80,-0.03,2.44,31.31,1.34
400,-1.33,0.77,-0.04,1.40,14.77,7.39
410,-1.33,0.72,-0.21,-8.36,0.37,6.65
