timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.92,-0.56,-0.31,-69.40,-7.08,3.05
10,-0.92,-0.64,-0.23,-59.88,-4.46,1.95
20,-0.87,-0.74,-0.25,-37.11,-16.72,12.21
30,-0.81,-0.79,-0.31,-25.27,-22.28,12.76
40,-0.78,-0.86,-0.37,-24.66,-26.55,8.36
50,-0.87,-0.93,-0.44,-13.00,11.84,5.98
60,-0.93,-0.88,-0.39,-4.88,15.81,2.38
70,-0.84,-0.85,-0.38,10.56,-0.37,12.21
80,-0.81,-0.80,-0.38,19.10,-6.77,5.98
90,-0.79,-0.69,-0.38,22.83,-10.13,-0.43
100,-0.77,-0.63,-0.34,22.09,-9.83,-8.12
110,-0.85,-0.59,-0.25,23.01,1.95,-16.66
120,-0.91,-0.49,-0.18,33.63,7.69,-14.89
130,-0.87,-0.33,-0.20,47.91,0.18,-9.77
140,-0.92,-0.21,-0.22,51.21,3.66,-16.24
150,-1.01,-0.06,-0.24,49.87,18.49,-19.71
160,-1.07,0.08,-0.20,57.19,39.86,-5.19
170,-1.14,0.22,-0.17,67.14,35.46,1.83
180,-1.11,0.37,-0.28,73.73,22.83,3.48
190,-1.09,0.50,-0.34,72.33,16.66,0.37
200,-1.10,0.62,-0.40,60.12,15.01,-3.97
210,-1.12,0.70,-0.41,46.94,18.31,-5.00
220,-1.13,0.74,-0.41,33.39,20.63,-4.70
230,-1.16,0.75,-0.40,18.92,16.42,-4.09
240,-1.17,0.75,-0.45,11.66,6.23,-2.26
250,-1.16,0.74,-0.53,1.28,-1.10,2.56
260,-1.12,0.70,-0.57,-18.37,-0.55,6.29
270,-1.10,0.64,-0.57,-32.35,-1.71,7.39
280,-1.07,0.56,-0.55,-43.52,-2.87,6.41
290,-1.04,0.39,-0.49,-54.14,-5.55,2.44
300,-1.05,0.25,-0.41,-57.98,-8.61,-1.46
310,-1.00,0.12,-0.35,-58.65,-8.48,4.03
320,-0.93,-0.01,-0.32,-58.35,-3.78,12.82
330,-0.81,-0.17,-0.32,-60.49,3.36,18.25
340,-0.81,-0.29,-0.29,-66.71,4.09,13.55
350,-0.83,-0.50,-0.17,-66.35,-2.87,8.48
360,-0.87,-0.63,-0.12,-53.41,-17.64,8.18
370,-0.84,-0.73,-0.14,-36.13,-33.26,10.01
380,-0.75,-0.82,-0.28,-18.86,-46.88,13.49
390,-0.73,-0.87,-0.48,-14.53,-17.76,16.36
400,-0.80,-0.88,-0.48,-14.28,26.67,15.01
410,-0.84,-0.88,-0.48,-8.67,27.22,13.43
420,-0.84,-0.88,-0.47,1.71,2.99,5.49
430,-0.83,-0.83,-0.43,6.77,-1.28,0.12
440,-0.81,-0.80,-0.33,10.62,6.04,-3.78
450,-0.83,-0.75,-0.28,17.70,5.92,-7.75
460,-0.86,-0.70,-0.26,28.20,2.56,-10.99
470,-0.90,-0.56,-0.25,42.72,0.49,-12.21
480,-0.90,-0.45,-0.27,48.83,5.55,-8.54
490,-0.90,-0.31,-0.27,52.06,12.94,-5.07
500,-0.91,-0.17,-0.23,54.02,20.75,-3.78
510,-0.96,0.03,-0.22,60.73,37.11,-3.85
520,-1.01,0.16,-0.23,63.72,29.85,-8.61
530,-1.03,0.26,-0.32,70.31,21.55,-9.89
540,-1.09,0.42,-0.39,71.11,15.99,-15.38
550,-1.15,0.53,-0.42,64.03,20.57,-12.45
560,-1.17,0.63,-0.47,53.65,27.47,-5.68
570,-1.20,0.75,-0.50,38.39,28.02,2.62
580,-1.23,0.82,-0.51,29.36,26.79,6.10
590,-1.18,0.84,-0.60,15.44,8.18,4.88
600,-1.18,0.82,-0.63,0.67,2.69,4.88
610,-1.21,0.75,-0.54,-22.28,-5.74,-0.12
620,-1.20,0.65,-0.44,-35.64,-12.33,0.00
