timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.28,1.10,-0.27,26.31,22.22,-6.10
10,-1.20,1.09,-0.31,7.32,15.63,9.46
20,-1.13,1.06,-0.33,-10.01,9.22,9.52
30,-1.09,0.98,-0.33,-28.32,3.54,13.55
40,-1.06,0.85,-0.29,-45.65,-0.67,15.50
50,-1.02,0.67,-0.19,-61.83,-3.60,14.04
60,-1.02,0.52,-0.13,-65.00,-1.16,14.40
70,-1.06,0.37,-0.17,-64.39,1.83,18.43
80,-1.10,0.24,-0.23,-65.61,5.25,24.23
90,-1.10,0.14,-0.30,-69.34,6.04,32.29
100,-1.05,-0.02,-0.29,-77.09,2.75,41.69
110,-0.96,-0.16,-0.22,-77.33,1.28,34.91
120,-0.97,-0.29,-0.25,-74.22,1.71,28.93
130,-1.00,-0.46,-0.25,-69.46,2.44,28.02
140,-0.97,-0.59,-0.24,-63.78,1.22,17.09
150,-0.96,-0.68,-0.21,-55.05,-3.36,8.61
160,-0.93,-0.78,-0.28,-45.17,-15.81,6.65
170,-0.91,-0.84,-0.23,-36.19,-3.72,4.03
180,-0.90,-0.86,-0.18,-28.99,-1.71,-3.66
190,-0.92,-0.88,-0.10,-16.17,0.00,-9.83
200,-0.93,-0.86,-0.05,-3.36,0.06,-10.62
210,-0.94,-0.82,-0.04,10.07,-1.89,-10.74
220,-0.97,-0.73,-0.06,26.25,-1.83,-10.86
230,-0.97,-0.66,-0.10,36.38,-5.13,-10.07
240,-0.98,-0.57,-0.14,44.49,-9.03,-10.44
250,-0.96,-0.47,-0.14,53.47,-7.14,-11.05
260,-0.94,-0.36,-0.16,63.66,1.10,-9.28
270,-0.92,-0.19,-0.22,71.53,6.84,-9.52
280,-0.89,-0.08,-0.24,72.39,4.88,-15.50
290,-0.92,0.04,-0.22,73.36,4.09,-28.14
300,-1.02,0.22,-0.21,77.09,8.00,-35.64
310,-1.06,0.39,-0.26,75.56,15.14,-29.97
320,-1.01,0.54,-0.27,67.75,22.71,-20.63
330,-0.98,0.65,-0.28,59.39,25.88,-19.84
340,-1.03,0.77,-0.21,48.46,15.99,-33.39
350,-1.16,0.84,-0.18,38.39,12.08,-39.61
360,-1.28,0.89,-0.12,30.46,8.85,-38.02
370,-1.33,0.92,-0.14,23.01,7.93,-22.22
380,-1.31,0.91,-0.22,12.45,6.29,3.05
390,-1.22,0.88,-0.31,0.18,0.49,18.86
400,-1.12,0.82,-0.36,-16.91,-0.43,27.10
410,-1.02,0.71,-0.33,-41.14,6.16,35.03
420,-0.97,0.60,-0.29,-52.61,13.31,40.59
430,-0.97,0.44,-0.27,-57.74,14.77,42.60
440,-0.99,0.31,-0.29,-58.04,8.91,39.98
450,-1.01,0.20,-0.33,-58.90,1.22,36.74
460,-1.01,0.01,-0.40,-67.75,-8.54,29.48
470,-1.02,-0.15,-0.33,-75.99,-6.96,21.97
480,-1.05,-0.31,-0.28,-75.81,-6.16,18.68
490,-1.07,-0.44,-0.29,-72.14,-8.30,15.20
500,-1.04,-0.57,-0.28,-64.88,-5.80,14.47
510,-0.98,-0.66,-0.27,-57.07,-4.76,16.11
520,-0.95,-0.73,-0.26,-50.66,-2.01,11.96
530,-0.95,-0.78,-0.18,-42.85,-3.97,2.44
540,-0.91,-0.82,-0.11,-33.87,-2.62,0.24
550,-0.89,-0.83,-0.05,-20.02,-4.15,-2.69
560,-0.90,-0.80,-0.06,1.04,-7.26,-7.14
570,-0.91,-0.76,-0.07,13.73,-10.19,-10.19
580,-0.92,-0.71,-0.08,23.68,-10.44,-14.16
590,-0.96,-0.61,-0.13,34.00,-13.37,-15.93
600,-0.93,-0.53,-0.13,37.78,-7.14,-13.55
610,-0.92,-0.46,-0.07,44.31,-0.67,-11.11
620,-0.88,-0.40,-0.09,54.87,-6.77,-11.17
630,-0.90,-0.26,-0.13,68.18,-6.53,-18.92
640,-0.90,-0.13,-0.17,74.16,-6.23,-22.03
650,-0.92,0.00,-0.25,73.30,-6.23,-23.68
660,-0.94,0.13,-0.25,66.65,0.06,-24.54
670,-0.98,0.29,-0.20,62.93,17.27,-22.16
680,-1.02,0.42,-0.18,65.19,26.67,-18.68
690,-1.03,0.56,-0.20,68.91,17.82,-17.46
700,-1.06,0.66,-0.28,65.06,5.74,-20.81
710,-1.14,0.75,-0.27,46.69,4.64,-26.18
720,-1.21,0.77,-0.19,31.92,7.39,-22.22
730,-1.26,0.78,-0.13,20.69,6.41,-13.43
740,-1.24,0.76,-0.12,10.80,1.04,3.23
750,-1.20,0.76,-0.17,3.23,-0.18,12.57
760,-1.16,0.73,-0.25,-8.97,-2.93,18.55
770,-1.13,0.65,-0.26,-30.09,-0.18,22.95
