timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.17,0.54,-0.22,-55.73,-27.95,-2.44
10,-1.15,0.42,-0.16,-61.40,-29.60,4.39
20,-1.14,0.26,-0.08,-59.39,-28.93,9.70
30,-1.11,0.16,-0.08,-52.67,-28.93,17.33
40,-1.08,0.07,-0.14,-45.47,-21.91,29.60
50,-1.06,0.00,-0.20,-46.81,-17.64,37.54
60,-1.00,-0.11,-0.14,-50.17,-13.06,35.40
70,-0.98,-0.14,-0.16,-54.93,-11.29,27.77
80,-0.99,-0.27,-0.10,-52.67,-5.74,39.06
90,-0.96,-0.38,-0.07,-44.80,2.32,37.96
100,-0.92,-0.43,-0.15,-32.35,0.98,31.92
110,-0.90,-0.49,-0.26,-28.93,-1.65,30.76
120,-0.87,-0.54,-0.30,-31.74,3.36,24.54
130,-0.86,-0.64,-0.22,-36.07,7.14,11.54
140,-0.87,-0.71,-0.14,-32.10,2.26,2.14
150,-0.89,-0.74,-0.12,-24.23,-6.41,-3.91
160,-0.84,-0.76,-0.10,-16.30,-8.73,-4.21
170,-0.83,-0.78,-0.06,-6.29,-4.82,-3.60
180,-0.83,-0.77,-0.07,0.43,0.55,-3.54
190,-0.86,-0.75,-0.05,5.49,7.57,-4.82
200,-0.86,-0.70,-0.08,10.50,10.01,-5.37
210,-0.88,-0.70,-0.08,15.20,10.68,-8.00
220,-0.93,-0.67,-0.09,24.54,10.68,-14.22
230,-0.98,-0.58,-0.14,36.93,8.42,-20.08
240,-1.00,-0.50,-0.16,42.11,8.00,-21.55
250,-0.98,-0.40,-0.17,44.01,15.08,-17.33
260,-0.96,-0.32,-0.15,44.19,24.35,-8.91
270,-0.98,-0.26,-0.12,49.93,31.80,-5.49
280,-1.00,-0.17,-0.17,55.42,26.86,-8.85
290,-1.01,-0.07,-0.16,58.35,15.08,-15.50
300,-1.02,0.02,-0.17,61.22,7.08,-23.62
310,-1.07,0.10,-0.19,61.52,8.67,-28.02
320,-1.11,0.18,-0.20,59.02,10.99,-24.78
330,-1.11,0.26,-0.17,57.07,13.61,-13.37
340,-1.10,0.32,-0.18,55.42,16.85,-5.07
350,-1.09,0.38,-0.21,53.28,15.87,-2.38
360,-1.10,0.46,-0.25,46.63,8.06,-5.37
370,-1.09,0.51,-0.25,39.73,4.46,-5.74
380,-1.08,0.53,-0.24,30.27,3.23,-4.52
390,-1.05,0.54,-0.19,13.98,5.80,-2.08
400,-1.03,0.53,-0.13,3.30,8.36,1.22
410,-1.06,0.51,-0.08,-3.60,9.95,2.14
420,-1.12,0.50,-0.07,-8.85,7.32,5.43
430,-1.15,0.50,-0.07,-10.13,1.89,7.02
440,-1.18,0.51,-0.10,-10.86,-3.78,11.54
450,-1.16,0.50,-0.18,-17.15,-5.62,20.81
460,-1.16,0.44,-0.24,-27.16,-2.81,24.54
470,-1.20,0.36,-0.24,-37.96,-0.43,22.40
480,-1.17,0.23,-0.22,-47.91,-7.20,22.95
490,-1.17,0.10,-0.15,-47.85,-9.70,23.74
500,-1.14,0.00,-0.16,-50.23,-17.88,15.81
510,-1.13,-0.11,-0.13,-52.86,-23.19,25.45
520,-1.04,-0.19,-0.16,-56.82,-21.55,34.00
530,-0.92,-0.27,-0.12,-62.74,-15.14,34.00
