timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.10,-0.02,-0.35,-84.84,-16.78,7.02
10,-1.05,-0.18,-0.29,-89.05,-8.36,18.07
20,-1.00,-0.34,-0.24,-88.07,-3.36,22.89
30,-0.97,-0.48,-0.21,-83.01,-1.77,18.68
40,-0.95,-0.60,-0.21,-71.72,-5.31,9.83
50,-0.91,-0.70,-0.20,-60.55,-7.20,6.10
60,-0.89,-0.77,-0.20,-47.00,-7.02,2.38
70,-0.86,-0.80,-0.25,-33.87,-6.90,1.89
80,-0.78,-0.82,-0.30,-21.73,-0.92,7.57
90,-0.75,-0.84,-0.29,-13.85,2.38,7.26
100,-0.76,-0.85,-0.27,-3.66,4.39,5.00
110,-0.77,-0.83,-0.28,11.90,4.94,4.82
120,-0.77,-0.79,-0.30,21.24,7.93,6.16
130,-0.78,-0.77,-0.31,28.56,8.97,4.46
140,-0.83,-0.68,-0.37,35.89,7.87,1.71
150,-0.83,-0.61,-0.39,38.02,6.35,1.40
160,-0.83,-0.58,-0.33,40.47,8.36,-1.59
170,-0.85,-0.51,-0.26,49.87,11.41,-6.71
180,-0.88,-0.45,-0.25,60.42,9.09,-10.74
190,-0.92,-0.37,-0.26,70.43,5.43,-17.94
200,-0.99,-0.18,-0.31,74.16,10.74,-21.24
210,-1.01,-0.04,-0.32,69.40,16.11,-16.17
220,-1.00,0.11,-0.22,63.96,23.19,-12.88
230,-1.00,0.25,-0.17,63.90,24.41,-15.93
240,-1.05,0.51,-0.33,54.14,30.82,-19.53
250,-1.14,0.61,-0.23,49.93,34.24,-4.15
260,-1.14,0.78,-0.31,37.60,29.24,-12.45
270,-1.25,0.88,-0.32,24.11,22.46,-8.85
280,-1.30,0.86,-0.30,10.13,17.09,-2.32
290,-1.31,0.86,-0.26,1.89,8.36,1.89
300,-1.24,0.80,-0.31,-14.22,-1.65,7.81
310,-1.20,0.71,-0.31,-29.72,-7.02,11.23
320,-1.14,0.61,-0.27,-42.97,-11.96,9.40
330,-1.10,0.48,-0.26,-52.37,-23.38,4.64
340,-1.10,0.40,-0.31,-59.08,-29.17,2.01
350,-1.13,0.29,-0.38,-68.66,-28.38,7.26
360,-1.07,0.11,-0.38,-80.38,-20.75,19.59
370,-0.99,-0.04,-0.34,-84.47,-13.73,24.84
380,-0.96,-0.19,-0.30,-83.37,-10.25,23.19
390,-0.93,-0.36,-0.29,-76.84,-8.30,16.05
400,-0.92,-0.48,-0.30,-70.37,-5.98,10.93
410,-0.93,-0.59,-0.37,-64.15,-5.25,8.24
420,-0.87,-0.71,-0.41,-58.72,-4.52,4.70
430,-0.81,-0.79,-0.39,-52.37,-2.50,1.34
440,-0.78,-0.86,-0.35,-43.46,-1.16,-3.36
450,-0.79,-0.93,-0.28,-32.10,-1.53,-8.00
460,-0.79,-0.96,-0.26,-13.85,-2.87,-9.03
470,-0.79,-0.95,-0.24,-1.83,-1.83,-8.36
480,-0.77,-0.90,-0.26,12.15,-0.61,-6.90
490,-0.78,-0.86,-0.27,20.26,0.98,-7.39
500,-0.80,-0.81,-0.28,28.26,2.87,-7.69
