timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.94,-0.86,-0.00,10.62,-0.55,-6.29
10,-0.98,-0.81,-0.04,21.12,-2.44,-9.09
20,-0.98,-0.72,-0.12,28.63,-4.58,-8.97
30,-0.96,-0.61,-0.20,31.49,-1.95,-7.45
40,-0.92,-0.51,-0.20,31.62,7.57,-7.87
50,-0.89,-0.44,-0.12,36.80,11.29,-11.84
60,-0.87,-0.33,-0.05,54.75,4.88,-19.23
70,-0.89,-0.23,-0.08,70.86,-0.73,-27.53
80,-0.94,-0.08,-0.15,81.42,0.00,-36.07
90,-0.99,0.07,-0.23,81.18,4.76,-37.11
100,-1.06,0.25,-0.25,73.97,14.71,-33.87
110,-1.08,0.38,-0.24,69.21,18.98,-32.96
120,-1.12,0.49,-0.23,66.22,15.99,-33.57
130,-1.13,0.60,-0.23,61.10,10.56,-34.73
140,-1.16,0.68,-0.24,52.00,9.83,-34.91
150,-1.20,0.72,-0.24,38.39,11.17,-29.91
160,-1.19,0.78,-0.20,23.93,15.50,-20.94
170,-1.19,0.76,-0.16,8.73,13.85,-4.70
180,-1.15,0.75,-0.15,-2.20,6.53,-4.64
190,-1.12,0.74,-0.12,-10.31,-1.10,-1.77
200,-1.11,0.66,-0.12,-20.51,-3.23,7.14
210,-1.09,0.63,-0.14,-28.69,-1.28,14.40
220,-1.06,0.56,-0.15,-38.02,-2.01,24.41
230,-1.08,0.45,-0.13,-49.87,-4.52,29.24
240,-1.08,0.36,-0.09,-54.32,-7.39,33.02
250,-1.09,0.28,-0.17,-54.50,-7.26,38.82
260,-1.08,0.16,-0.23,-59.81,-4.94,45.04
270,-1.05,0.07,-0.20,-64.64,0.98,48.16
280,-1.03,-0.03,-0.16,-67.14,3.17,47.06
290,-0.95,-0.09,-0.14,-72.88,4.46,36.68
300,-1.02,-0.22,-0.10,-71.41,1.89,45.53
310,-0.99,-0.36,-0.08,-66.16,-3.97,41.08
320,-0.98,-0.48,-0.13,-50.78,-16.42,26.73
