timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.98,-0.57,-0.10,41.99,3.17,-13.18
10,-0.99,-0.47,-0.17,47.55,5.13,-9.95
20,-0.93,-0.36,-0.20,49.56,7.20,-4.82
30,-0.91,-0.25,-0.21,52.19,9.89,-10.25
40,-0.92,-0.15,-0.21,52.43,12.63,-16.05
50,-0.95,-0.08,-0.17,54.57,13.79,-21.12
60,-0.96,0.05,-0.19,58.53,13.73,-23.32
70,-0.99,0.15,-0.23,60.24,17.76,-25.09
80,-1.04,0.28,-0.27,55.54,20.69,-26.73
90,-1.08,0.37,-0.27,45.65,28.81,-22.40
100,-1.09,0.45,-0.22,34.79,41.14,-13.73
110,-1.13,0.52,-0.13,27.53,47.85,-4.64
120,-1.18,0.59,-0.12,26.49,36.44,-4.70
130,-1.17,0.68,-0.14,24.35,21.48,-3.17
140,-1.15,0.75,-0.17,15.69,10.31,-0.79
150,-1.14,0.79,-0.20,5.74,5.62,0.98
160,-1.13,0.81,-0.24,-7.14,2.32,5.31
170,-1.10,0.79,-0.26,-20.26,-1.10,11.66
180,-1.06,0.70,-0.27,-38.64,-5.07,13.00
190,-1.04,0.63,-0.22,-50.48,-5.07,11.29
200,-1.04,0.52,-0.17,-56.15,-9.22,10.56
210,-1.06,0.40,-0.16,-57.01,-15.81,9.34
220,-1.08,0.30,-0.19,-56.88,-18.13,9.89
230,-1.11,0.20,-0.21,-57.37,-15.01,11.54
240,-1.12,0.08,-0.19,-58.72,-9.40,15.75
250,-1.12,-0.03,-0.15,-57.92,-6.90,22.83
260,-1.04,-0.14,-0.21,-57.68,-5.31,25.76
270,-1.04,-0.24,-0.24,-56.95,-5.62,36.01
280,-0.96,-0.35,-0.29,-57.62,-3.72,35.71
290,-0.92,-0.44,-0.29,-57.56,2.26,26.92
300,-0.93,-0.56,-0.31,-54.50,5.43,19.71
310,-0.96,-0.66,-0.28,-48.83,11.54,15.32
320,-0.94,-0.71,-0.25,-39.37,9.64,13.49
330,-0.89,-0.76,-0.26,-28.32,1.65,7.39
340,-0.89,-0.80,-0.24,-24.54,-1.34,-1.53
350,-0.88,-0.82,-0.18,-19.47,-1.77,-6.77
360,-0.86,-0.82,-0.12,-8.67,1.46,-8.85
370,-0.87,-0.81,-0.07,1.40,4.82,-9.34
380,-0.89,-0.78,-0.02,19.84,8.54,-10.99
390,-0.89,-0.73,-0.05,34.61,7.32,-10.62
400,-0.89,-0.65,-0.10,45.96,3.48,-12.82
410,-0.92,-0.57,-0.14,53.83,1.65,-14.65
420,-0.94,-0.44,-0.16,64.09,7.26,-11.90
430,-0.94,-0.34,-0.20,71.47,11.23,-7.32
440,-0.92,-0.19,-0.20,82.58,12.63,-9.83
450,-0.92,-0.06,-0.23,88.87,7.57,-17.21
460,-0.98,0.08,-0.26,89.48,8.54,-25.27
470,-1.02,0.27,-0.28,87.59,13.43,-24.29
480,-1.06,0.42,-0.27,83.07,20.57,-20.32
490,-1.06,0.56,-0.25,78.00,23.62,-17.46
