timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.82,-0.92,-0.40,-34.12,-0.49,15.01
10,-0.85,-1.00,-0.40,-31.13,3.72,9.77
20,-0.86,-1.06,-0.37,-24.11,8.48,9.70
30,-0.90,-1.06,-0.37,-9.64,10.25,9.70
40,-0.93,-1.02,-0.36,-0.18,8.24,8.12
50,-0.90,-0.96,-0.33,10.50,4.33,9.95
60,-0.90,-0.94,-0.32,21.00,0.00,4.94
70,-0.92,-0.89,-0.38,34.48,-3.17,-2.26
80,-1.00,-0.78,-0.42,47.97,-1.71,-5.80
90,-0.96,-0.65,-0.49,57.13,-6.47,-3.42
100,-0.91,-0.47,-0.54,62.62,-5.25,0.49
110,-0.83,-0.34,-0.50,62.50,0.79,3.85
120,-0.78,-0.19,-0.45,62.19,7.45,5.31
130,-0.77,-0.05,-0.39,63.23,13.61,0.12
140,-0.79,0.07,-0.33,67.93,14.04,-8.97
150,-0.93,0.25,-0.36,74.46,4.09,-28.81
160,-1.08,0.39,-0.39,71.04,-0.98,-39.06
170,-1.16,0.53,-0.36,61.34,6.10,-31.74
180,-1.20,0.68,-0.29,47.12,14.71,-10.07
190,-1.17,0.79,-0.27,37.90,8.54,-3.11
200,-1.12,0.89,-0.26,28.87,0.61,-4.09
210,-1.11,1.01,-0.29,9.64,-2.62,-5.07
220,-1.09,1.02,-0.27,-7.75,0.06,-0.67
230,-1.08,0.96,-0.25,-21.42,0.24,4.33
240,-1.10,0.88,-0.30,-31.98,-3.36,5.55
250,-1.06,0.73,-0.33,-47.06,-10.07,8.42
260,-1.03,0.58,-0.33,-55.48,-13.37,7.75
270,-1.05,0.43,-0.35,-60.97,-17.64,3.54
280,-1.09,0.28,-0.37,-65.98,-17.64,1.04
290,-1.11,0.07,-0.34,-71.72,-11.84,8.54
300,-1.06,-0.07,-0.32,-70.92,-2.99,18.92
310,-0.99,-0.20,-0.33,-66.53,5.92,26.92
320,-0.97,-0.29,-0.38,-64.27,10.50,27.59
330,-0.95,-0.42,-0.41,-63.54,9.28,21.30
340,-0.92,-0.52,-0.42,-60.30,3.11,17.27
350,-0.88,-0.63,-0.40,-53.10,-0.73,14.53
360,-0.82,-0.79,-0.47,-39.92,-5.68,10.80
370,-0.79,-0.89,-0.49,-31.86,-8.54,1.65
380,-0.81,-0.99,-0.45,-24.90,-12.27,-10.07
390,-0.86,-1.07,-0.35,-12.45,-14.71,-18.07
400,-0.83,-1.11,-0.28,0.49,-15.08,-14.95
410,-0.83,-1.12,-0.26,12.63,-13.24,-12.88
420,-0.84,-1.07,-0.25,25.51,-0.18,-6.65
430,-0.81,-0.99,-0.28,38.45,4.09,-0.24
440,-0.81,-0.88,-0.33,50.66,2.99,-0.31
450,-0.82,-0.75,-0.41,59.51,2.69,-3.23
460,-0.84,-0.56,-0.43,64.64,7.57,-4.88
470,-0.80,-0.41,-0.38,67.81,11.17,-3.05
480,-0.80,-0.27,-0.33,72.45,10.86,-6.04
490,-0.88,-0.08,-0.21,84.78,9.70,-18.55
500,-0.97,0.09,-0.22,95.15,9.70,-21.85
510,-1.13,0.34,-0.30,97.35,17.15,-17.82
520,-1.31,0.72,-0.41,85.82,26.92,3.36
530,-1.35,0.78,-0.48,72.51,32.17,21.67
540,-1.21,1.20,-0.40,60.30,34.00,28.50
550,-1.04,1.29,-0.48,44.68,11.60,20.81
560,-1.01,1.31,-0.46,24.41,6.77,5.62
570,-1.07,1.19,-0.45,4.64,1.22,9.95
580,-1.06,1.04,-0.49,-32.84,2.87,9.95
590,-1.00,0.82,-0.34,-55.91,4.15,10.19
600,-1.01,0.64,-0.25,-68.24,5.07,1.34
610,-1.11,0.47,-0.22,-70.68,0.31,-3.30
620,-1.15,0.31,-0.33,-71.41,-0.06,-0.06
630,-1.20,0.18,-0.42,-77.70,1.65,8.67
640,-1.11,0.01,-0.46,-91.25,-4.94,16.72
650,-1.02,-0.15,-0.43,-97.78,-8.73,15.56
660,-0.97,-0.31,-0.39,-97.05,-11.72,8.73
670,-0.94,-0.46,-0.38,-87.46,-16.30,1.65
680,-0.93,-0.64,-0.39,-71.11,-18.19,-5.13
690,-0.89,-0.75,-0.45,-59.39,-18.37,-6.47
700,-0.86,-0.85,-0.50,-52.98,-15.08,-8.85
710,-0.82,-0.97,-0.46,-46.88,-9.64,-12.39
720,-0.81,-1.08,-0.35,-38.21,-7.81,-14.28
730,-0.79,-1.14,-0.26,-22.09,-5.49,-12.02
740,-0.74,-1.13,-0.22,4.76,-6.71,-6.90
750,-0.77,-1.08,-0.28,21.67,-4.03,-6.53
760,-0.81,-0.98,-0.34,31.43,3.42,-5.07
770,-0.82,-0.88,-0.42,40.71,8.79,3.36
780,-0.87,-0.77,-0.46,48.71,7.81,-0.43
790,-0.88,-0.68,-0.41,54.57,5.86,-2.93
800,-0.81,-0.62,-0.30,62.38,9.34,-0.79
810,-0.78,-0.45,-0.23,76.60,14.34,-1.77
820,-0.74,-0.29,-0.21,84.72,12.51,-3.97
830,-0.78,-0.03,-0.20,94.79,18.31,-15.69
840,-0.89,0.16,-0.24,100.10,20.26,-24.96
850,-1.02,0.38,-0.29,100.46,21.00,-31.37
860,-1.17,0.61,-0.36,92.10,25.15,-28.99
870,-1.28,0.89,-0.40,72.20,34.42,-12.57
880,-1.37,1.13,-0.66,46.69,34.24,2.44
890,-1.29,1.14,-0.44,32.59,36.07,16.60
900,-1.15,1.21,-0.50,10.38,13.73,2.81
910,-1.23,1.14,-0.51,-11.17,-2.50,4.27
920,-1.19,1.00,-0.49,-33.81,-2.01,3.48
930,-1.14,0.82,-0.41,-55.73,-9.46,-1.34
940,-1.12,0.66,-0.42,-66.65,-17.15,3.48
950,-1.12,0.49,-0.42,-75.50,-17.21,8.42
960,-1.06,0.28,-0.39,-82.76,-11.23,10.50
970,-1.07,0.12,-0.38,-85.82,-8.54,13.24
980,-1.05,-0.05,-0.33,-87.59,-6.23,17.27
990,-1.04,-0.20,-0.27,-84.78,-7.87,19.23
1000,-1.01,-0.36,-0.23,-75.56,-12.57,20.20
1010,-0.95,-0.46,-0.25,-66.59,-20.02,18.92
1020,-0.92,-0.54,-0.29,-59.02,-21.42,14.22
1030,-0.87,-0.66,-0.31,-49.56,-17.58,8.36
1040,-0.84,-0.73,-0.36,-40.53,-11.90,8.36
1050,-0.81,-0.79,-0.39,-31.31,-6.41,8.48
1060,-0.78,-0.83,-0.43,-22.83,-4.15,7.93
1070,-0.78,-0.92,-0.42,-15.75,-1.10,2.75
1080,-0.77,-0.97,-0.39,-8.54,0.73,0.18
1090,-0.78,-0.98,-0.36,5.00,-1.10,-3.54
1100,-0.76,-0.93,-0.36,14.28,0.18,-2.62
1110,-0.77,-0.91,-0.34,19.35,3.97,-4.03
1120,-0.81,-0.89,-0.29,29.24,6.77,-5.49
1130,-0.83,-0.84,-0.27,41.08,8.91,-3.78
1140,-0.88,-0.76,-0.29,54.44,10.07,-2.44
1150,-0.89,-0.61,-0.38,62.50,9.83,2.20
1160,-0.90,-0.47,-0.37,61.65,12.08,4.58
1170,-0.86,-0.41,-0.31,66.77,2.38,-3.17
1180,-0.91,-0.25,-0.26,79.90,4.15,-19.10
1190,-0.92,-0.06,-0.27,86.36,17.40,-17.70
1200,-0.93,0.13,-0.27,89.60,27.04,-15.32
1210,-0.98,0.37,-0.30,92.65,37.35,-20.87
1220,-1.13,0.65,-0.34,86.43,13.92,-36.99
1230,-1.31,0.99,-0.73,66.53,14.83,-31.68
1240,-1.35,0.95,-0.54,52.73,31.86,3.42
1250,-1.18,1.09,-0.57,30.15,27.65,11.47
1260,-1.18,1.10,-0.50,9.95,14.71,16.54
1270,-1.21,1.04,-0.37,-5.00,6.90,19.65
1280,-1.11,0.97,-0.40,-18.25,1.65,11.60
1290,-1.11,0.82,-0.41,-34.79,-10.99,8.36
1300,-1.07,0.65,-0.39,-49.50,-17.33,7.20
1310,-1.09,0.48,-0.36,-63.90,-16.60,3.85
1320,-1.15,0.23,-0.31,-75.13,-14.71,7.14
