timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.76,-0.80,-0.41,-50.96,-6.29,-0.24
10,-0.80,-0.94,-0.35,-41.32,-3.30,-11.90
20,-0.83,-1.03,-0.24,-29.91,-1.59,-16.05
30,-0.81,-1.04,-0.18,-12.70,-2.75,-13.73
40,-0.81,-1.01,-0.19,8.97,-2.14,-11.05
50,-0.82,-0.96,-0.20,21.73,3.48,-10.01
60,-0.85,-0.87,-0.26,34.73,5.80,-8.48
70,-0.85,-0.79,-0.24,45.10,7.45,-8.12
80,-0.87,-0.70,-0.25,56.82,8.36,-7.26
90,-0.91,-0.57,-0.32,66.83,7.32,-5.13
100,-0.89,-0.42,-0.40,70.13,1.46,-4.03
110,-0.86,-0.25,-0.36,68.85,-0.92,-12.88
120,-0.88,-0.14,-0.30,69.76,10.07,-19.35
130,-0.95,-0.00,-0.30,73.79,19.17,-20.14
140,-1.01,0.18,-0.33,76.05,27.04,-16.72
150,-1.08,0.42,-0.33,74.22,25.15,-16.36
160,-1.14,0.59,-0.36,68.97,20.20,-20.14
170,-1.19,0.84,-0.43,56.64,21.36,-20.69
180,-1.26,0.88,-0.41,41.20,28.69,4.88
190,-1.12,0.94,-0.41,26.73,18.13,13.31
200,-1.08,0.96,-0.41,14.47,6.53,12.70
210,-1.08,0.90,-0.43,-1.83,-0.98,12.15
220,-1.03,0.81,-0.38,-18.49,-2.14,7.39
230,-1.03,0.65,-0.33,-37.23,-8.73,2.14
240,-1.07,0.49,-0.29,-50.29,-6.84,5.25
250,-1.12,0.31,-0.24,-58.72,-2.56,7.51
260,-1.14,0.18,-0.21,-60.55,2.56,12.76
270,-1.17,0.07,-0.22,-60.00,7.20,22.95
280,-1.13,-0.05,-0.25,-58.11,10.01,32.59
290,-1.06,-0.11,-0.29,-56.58,5.25,35.03
300,-1.01,-0.17,-0.31,-56.03,0.24,32.04
310,-0.96,-0.23,-0.30,-54.02,-1.10,25.45
320,-0.94,-0.31,-0.35,-46.88,-3.78,17.82
330,-0.92,-0.36,-0.41,-43.58,-5.62,13.06
340,-0.88,-0.41,-0.45,-43.52,-5.19,10.50
350,-0.83,-0.49,-0.46,-44.01,-2.08,8.12
360,-0.78,-0.61,-0.48,-43.15,-2.14,2.32
370,-0.81,-0.73,-0.41,-41.69,-4.76,-6.77
380,-0.85,-0.85,-0.33,-34.91,-6.04,-13.24
390,-0.86,-0.93,-0.26,-22.71,-8.54,-13.12
400,-0.79,-0.92,-0.22,-2.26,-8.00,-7.51
410,-0.80,-0.90,-0.23,6.65,-3.91,-5.07
420,-0.84,-0.86,-0.22,11.96,1.89,-3.17
430,-0.83,-0.83,-0.24,18.98,-1.83,0.67
440,-0.82,-0.76,-0.30,30.46,-6.29,-5.43
450,-0.87,-0.70,-0.31,40.28,-1.95,-9.95
460,-0.94,-0.60,-0.34,48.22,2.08,-13.24
470,-0.93,-0.44,-0.34,52.92,7.45,-7.87
480,-0.92,-0.34,-0.32,54.44,7.39,-9.46
490,-0.99,-0.24,-0.26,57.43,6.53,-17.58
500,-1.02,-0.11,-0.20,64.70,8.18,-18.25
510,-1.08,0.06,-0.23,78.80,15.20,-10.62
520,-1.10,0.25,-0.32,87.10,15.14,-5.07
530,-1.08,0.44,-0.45,84.53,4.46,-5.68
540,-1.10,0.55,-0.44,74.89,-0.73,-12.02
550,-1.16,0.74,-0.63,53.83,1.77,-6.53
560,-1.05,0.80,-0.39,36.74,14.28,14.04
570,-0.96,0.92,-0.38,22.71,18.62,10.56
580,-0.95,0.90,-0.39,9.64,10.74,10.68
590,-1.00,0.80,-0.38,-5.80,4.03,1.34
600,-1.05,0.75,-0.37,-22.64,2.44,-11.66
610,-1.07,0.61,-0.34,-38.21,-3.66,-12.63
620,-1.08,0.47,-0.29,-50.23,-4.46,-12.02
630,-1.14,0.28,-0.26,-59.39,-2.81,-5.62
640,-1.14,0.17,-0.26,-61.04,-3.05,0.85
650,-1.14,0.08,-0.30,-61.40,-0.49,7.08
660,-1.12,-0.05,-0.31,-64.88,4.58,15.01
670,-1.08,-0.15,-0.30,-68.12,3.60,17.76
680,-1.03,-0.26,-0.28,-69.40,1.59,18.74
690,-1.00,-0.37,-0.24,-66.10,0.24,17.70
700,-0.92,-0.48,-0.24,-55.54,-4.39,15.87
710,-0.89,-0.55,-0.27,-46.88,-5.25,11.23
720,-0.90,-0.60,-0.29,-38.70,-5.43,6.04
730,-0.86,-0.64,-0.33,-27.04,-9.89,5.25
740,-0.84,-0.67,-0.37,-20.51,-10.31,5.98
750,-0.80,-0.69,-0.40,-16.97,-5.98,6.71
760,-0.74,-0.72,-0.41,-11.17,2.08,7.75
770,-0.72,-0.76,-0.38,-4.70,4.03,3.30
780,-0.76,-0.79,-0.37,3.42,1.77,-2.93
790,-0.79,-0.81,-0.36,12.45,2.62,-6.47
800,-0.79,-0.81,-0.32,18.49,5.19,-7.08
810,-0.79,-0.80,-0.29,26.00,4.33,-8.54
820,-0.85,-0.74,-0.28,41.08,9.58,-10.99
830,-0.89,-0.60,-0.34,51.57,6.35,-11.66
840,-0.88,-0.43,-0.39,56.09,1.71,-12.45
850,-0.93,-0.26,-0.31,57.07,1.59,-22.46
860,-0.99,-0.12,-0.23,57.19,6.47,-27.40
870,-1.05,0.00,-0.16,58.78,10.07,-24.05
880,-1.12,0.12,-0.19,63.29,10.44,-19.47
890,-1.18,0.32,-0.33,67.69,5.86,-15.14
900,-1.18,0.45,-0.41,62.50,0.61,-14.95
910,-1.18,0.62,-0.52,43.88,-1.16,-19.41
920,-1.17,0.63,-0.30,22.09,8.48,-3.05
930,-1.12,0.71,-0.26,10.38,14.59,-5.86
940,-1.16,0.77,-0.21,6.16,9.52,0.73
950,-1.15,0.78,-0.29,1.65,-3.42,4.46
960,-1.11,0.78,-0.39,-7.51,-9.16,7.87
970,-1.07,0.73,-0.45,-24.54,-13.85,11.84
980,-1.00,0.58,-0.44,-51.33,-17.58,11.35
990,-0.98,0.42,-0.35,-65.25,-13.67,8.91
1000,-1.00,0.28,-0.30,-70.31,-11.54,7.81
1010,-1.09,0.08,-0.28,-70.13,-10.93,8.91
1020,-1.09,-0.03,-0.31,-67.57,-10.56,16.17
1030,-1.08,-0.15,-0.35,-68.97,-9.46,22.52
1040,-1.06,-0.27,-0.33,-73.73,-10.99,22.95
1050,-0.99,-0.49,-0.22,-75.13,-11.35,21.48
1060,-0.94,-0.62,-0.15,-65.55,-10.80,20.81
1070,-0.94,-0.73,-0.11,-47.91,-12.08,21.18
1080,-0.84,-0.79,-0.21,-27.16,-11.96,28.20
1090,-0.79,-0.81,-0.28,-20.02,-6.47,29.97
1100,-0.78,-0.82,-0.33,-16.91,-5.43,23.74
1110,-0.79,-0.84,-0.36,-11.54,-7.20,11.47
1120,-0.80,-0.86,-0.35,-4.46,-6.65,2.81
1130,-0.78,-0.84,-0.31,5.25,-3.36,-1.22
1140,-0.76,-0.82,-0.27,15.50,0.00,-3.48
1150,-0.76,-0.78,-0.28,27.59,7.39,-6.23
1160,-0.81,-0.74,-0.30,34.61,11.23,-9.64
1170,-0.87,-0.68,-0.31,40.16,10.13,-12.76
1180,-0.88,-0.58,-0.32,47.00,7.51,-11.29
1190,-0.88,-0.51,-0.30,52.92,7.14,-11.72
1200,-0.90,-0.42,-0.27,58.23,8.48,-16.72
1210,-0.93,-0.28,-0.21,68.24,16.36,-20.20
1220,-0.96,-0.13,-0.25,74.52,15.32,-19.78
1230,-1.00,-0.01,-0.29,76.35,14.10,-21.73
1240,-1.06,0.15,-0.30,71.72,14.95,-24.72
1250,-1.10,0.26,-0.28,67.93,19.96,-22.16
1260,-1.12,0.33,-0.28,64.64,20.63,-19.96
1270,-1.25,0.56,-0.30,52.00,20.57,-7.26
1280,-1.20,0.58,-0.37,44.92,8.67,-7.51
1290,-1.21,0.71,-0.37,32.90,3.05,-8.79
1300,-1.20,0.72,-0.40,17.64,-7.57,-2.08
1310,-1.22,0.73,-0.28,0.79,-12.51,-0.85
1320,-1.23,0.70,-0.27,-7.14,-18.25,7.20
1330,-1.18,0.72,-0.27,-18.62,-14.53,14.47
1340,-1.02,0.66,-0.30,-31.86,-14.34,27.59
1350,-0.96,0.62,-0.37,-43.15,-19.23,24.66
1360,-0.92,0.52,-0.38,-59.33,-22.34,17.03
