timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.10,0.61,-0.16,54.26,32.29,-5.92
10,-1.15,0.70,-0.21,51.15,23.80,-13.00
20,-1.28,0.85,-0.25,38.70,11.66,-14.28
30,-1.30,0.83,-0.29,23.50,0.18,-9.16
40,-1.26,0.87,-0.32,3.05,-2.44,-11.72
50,-1.20,0.79,-0.26,-20.14,-7.08,-3.17
60,-1.17,0.68,-0.24,-31.68,-8.24,-0.31
70,-1.12,0.60,-0.24,-39.61,-13.18,-2.69
80,-1.07,0.47,-0.28,-47.91,-24.29,-4.52
90,-1.04,0.36,-0.32,-54.20,-29.85,-6.77
100,-1.01,0.26,-0.36,-61.71,-29.24,-7.81
110,-0.98,0.11,-0.33,-69.15,-16.97,-1.53
120,-0.95,-0.00,-0.33,-71.66,-13.73,4.52
130,-0.97,-0.13,-0.29,-72.27,-15.08,9.95
140,-0.93,-0.28,-0.24,-69.09,-20.02,12.82
150,-0.88,-0.34,-0.30,-65.49,-12.21,8.91
160,-0.91,-0.48,-0.34,-62.26,-6.41,22.64
170,-0.87,-0.58,-0.39,-59.75,-1.77,19.96
180,-0.88,-0.73,-0.39,-57.80,-5.68,5.98
190,-0.91,-0.84,-0.35,-52.61,-13.18,-2.32
200,-0.90,-0.95,-0.31,-40.59,-11.84,-3.85
210,-0.88,-1.01,-0.27,-29.42,-5.49,-3.30
220,-0.87,-1.04,-0.24,-16.48,-2.38,-5.43
230,-0.87,-1.02,-0.21,-2.99,-1.83,-6.04
240,-0.84,-0.99,-0.20,12.70,-0.06,-1.04
250,-0.84,-0.95,-0.21,22.28,7.08,2.69
260,-0.85,-0.86,-0.24,34.97,11.78,9.77
270,-0.84,-0.78,-0.27,42.42,13.85,13.61
280,-0.84,-0.70,-0.29,49.74,13.12,13.18
290,-0.82,-0.56,-0.33,59.45,7.20,7.14
300,-0.81,-0.45,-0.34,63.17,7.39,2.81
310,-0.81,-0.33,-0.31,63.17,16.30,1.83
320,-0.81,-0.20,-0.27,63.48,30.82,5.62
330,-0.81,0.02,-0.23,65.92,46.51,10.80
340,-0.83,0.16,-0.17,67.38,49.26,5.74
350,-0.86,0.27,-0.13,70.13,49.93,-5.49
360,-1.01,0.48,-0.15,76.23,51.27,-15.44
370,-1.14,0.67,-0.23,76.66,48.77,-14.53
380,-1.18,0.85,-0.38,65.49,47.49,-17.76
390,-1.37,0.96,-0.39,48.52,38.27,7.45
400,-1.33,1.04,-0.48,30.52,31.68,7.69
410,-1.27,1.07,-0.51,11.90,21.06,5.74
420,-1.26,1.00,-0.57,-12.33,1.53,3.23
430,-1.24,0.90,-0.57,-33.81,-4.82,-3.17
440,-1.21,0.78,-0.51,-52.98,-12.88,-6.96
450,-1.17,0.61,-0.46,-67.81,-23.19,-4.03
460,-1.08,0.37,-0.36,-77.82,-24.60,0.43
470,-1.02,0.20,-0.31,-76.97,-22.09,1.95
480,-0.96,0.02,-0.31,-69.82,-18.98,4.82
490,-0.95,-0.11,-0.35,-66.89,-21.55,5.98
500,-0.91,-0.21,-0.35,-67.44,-21.36,10.38
510,-0.85,-0.42,-0.31,-69.15,-17.70,15.32
520,-0.74,-0.46,-0.38,-73.18,-10.07,6.84
530,-0.81,-0.64,-0.33,-72.33,-5.37,18.13
540,-0.79,-0.81,-0.29,-64.64,-7.87,13.61
550,-0.78,-0.92,-0.30,-48.52,-16.97,-0.67
560,-0.81,-0.99,-0.32,-36.50,-21.55,-8.85
570,-0.88,-1.04,-0.33,-25.09,-16.42,-18.01
580,-0.92,-1.05,-0.33,-18.68,-3.91,-16.48
590,-0.94,-1.03,-0.29,-9.95,7.75,-8.30
600,-0.88,-0.97,-0.24,7.69,14.71,6.59
610,-0.84,-0.91,-0.23,22.09,16.60,15.44
620,-0.81,-0.83,-0.26,34.79,20.14,19.78
630,-0.82,-0.73,-0.30,44.74,18.43,19.90
640,-0.80,-0.61,-0.34,54.44,18.13,21.18
650,-0.81,-0.50,-0.36,59.69,24.05,22.52
660,-0.81,-0.40,-0.39,63.60,26.67,23.93
670,-0.82,-0.20,-0.45,62.01,45.78,32.29
680,-0.85,-0.03,-0.46,52.12,70.43,43.33
690,-0.86,0.13,-0.38,43.03,88.38,50.90
700,-0.92,0.35,-0.20,48.46,86.06,42.72
710,-1.00,0.51,-0.17,64.21,63.54,25.63
720,-1.09,0.67,-0.27,81.85,45.17,12.70
730,-1.13,0.83,-0.46,90.33,36.62,9.28
740,-1.12,1.01,-0.71,74.46,29.72,7.14
750,-1.16,1.11,-0.68,45.47,16.97,7.75
760,-1.11,1.07,-0.64,10.74,1.59,4.70
770,-1.04,0.98,-0.50,-27.28,5.25,-4.76
780,-1.01,0.85,-0.43,-40.16,6.59,-0.73
790,-0.99,0.66,-0.36,-40.83,3.48,-5.00
800,-1.00,0.53,-0.34,-34.97,-6.23,-18.07
810,-1.03,0.43,-0.38,-29.11,-18.74,-28.50
820,-1.04,0.30,-0.48,-30.40,-24.66,-27.59
