timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.09,0.95,-0.44,-18.68,0.06,4.21
10,-1.09,0.76,-0.42,-40.89,-9.16,-6.29
20,-1.08,0.62,-0.41,-54.50,-17.15,-7.02
30,-1.09,0.44,-0.39,-66.04,-22.58,-3.42
40,-1.06,0.24,-0.37,-75.01,-19.90,4.64
50,-1.02,0.11,-0.36,-77.33,-15.56,10.44
60,-0.99,-0.02,-0.32,-76.35,-14.22,14.40
70,-0.92,-0.16,-0.30,-69.95,-13.31,21.42
80,-0.89,-0.28,-0.30,-65.31,-12.76,23.80
90,-0.81,-0.35,-0.36,-65.67,-11.54,5.49
100,-0.86,-0.52,-0.35,-59.94,-14.89,9.34
110,-0.86,-0.68,-0.37,-52.31,-12.45,4.64
120,-0.85,-0.75,-0.38,-43.09,-9.09,-3.60
130,-0.90,-0.84,-0.40,-31.01,-9.64,-2.14
140,-0.87,-0.88,-0.43,-25.33,-10.50,1.77
150,-0.81,-0.92,-0.46,-24.66,-12.45,3.23
160,-0.82,-0.94,-0.33,-20.32,1.65,-1.28
170,-0.81,-0.93,-0.23,-11.41,-0.37,-4.33
180,-0.81,-0.93,-0.18,2.50,-4.09,-5.37
190,-0.81,-0.91,-0.15,18.62,-1.16,-6.16
200,-0.83,-0.85,-0.18,33.94,1.77,-5.13
210,-0.89,-0.73,-0.30,48.46,5.98,-0.24
220,-0.91,-0.61,-0.40,52.37,5.19,4.52
230,-0.89,-0.50,-0.43,52.61,5.31,7.75
240,-0.89,-0.41,-0.38,53.22,7.45,7.08
250,-0.86,-0.27,-0.30,60.61,14.53,8.54
260,-0.84,-0.16,-0.26,69.27,24.29,10.25
270,-0.87,-0.00,-0.27,77.88,28.93,6.77
280,-0.95,0.17,-0.33,82.89,23.62,-3.54
290,-1.06,0.43,-0.36,78.98,14.10,-18.62
300,-1.16,0.58,-0.36,70.74,17.09,-19.96
310,-1.24,0.71,-0.37,61.95,28.14,-12.70
320,-1.27,0.84,-0.38,53.22,34.12,-2.38
330,-1.22,0.96,-0.43,36.74,20.08,3.97
340,-1.19,1.00,-0.44,17.94,10.13,0.73
350,-1.17,0.97,-0.42,-3.91,4.15,-3.17
360,-1.17,0.86,-0.40,-24.05,-2.69,-4.33
370,-1.16,0.71,-0.35,-38.21,-10.80,-4.88
380,-1.09,0.54,-0.33,-49.01,-23.86,-1.59
390,-1.04,0.42,-0.34,-57.50,-30.21,0.67
400,-0.99,0.28,-0.32,-65.98,-29.48,2.26
410,-0.96,0.16,-0.30,-70.37,-25.33,4.88
420,-0.94,0.02,-0.28,-73.61,-20.81,11.17
430,-0.94,-0.10,-0.24,-73.97,-15.44,16.97
440,-0.91,-0.20,-0.19,-69.89,-9.16,21.55
450,-0.88,-0.31,-0.21,-59.27,-6.35,22.22
460,-0.88,-0.35,-0.26,-51.94,-4.76,24.84
470,-0.86,-0.45,-0.33,-47.30,-5.68,27.16
480,-0.87,-0.54,-0.33,-43.21,-6.04,17.64
490,-0.88,-0.62,-0.37,-36.74,-8.48,11.54
500,-0.93,-0.72,-0.41,-28.02,-5.19,10.56
510,-0.93,-0.77,-0.39,-21.67,0.37,10.93
520,-0.90,-0.81,-0.37,-15.56,1.95,9.22
530,-0.90,-0.83,-0.32,-9.40,0.37,3.97
540,-0.90,-0.82,-0.25,0.92,0.92,-0.73
550,-0.90,-0.80,-0.21,10.74,3.05,-0.92
560,-0.88,-0.78,-0.21,22.28,6.84,-0.12
570,-0.89,-0.71,-0.27,37.66,8.06,-0.43
580,-0.90,-0.64,-0.35,45.72,7.69,-0.79
590,-0.89,-0.51,-0.42,49.74,0.49,-1.77
600,-0.83,-0.43,-0.40,51.03,-4.88,-4.15
610,-0.81,-0.35,-0.34,52.92,1.40,-7.26
620,-0.78,-0.26,-0.29,57.98,13.79,-6.35
630,-0.83,-0.14,-0.28,69.09,26.92,-6.47
640,-0.89,0.00,-0.33,74.58,23.07,-12.27
650,-0.98,0.15,-0.35,74.52,17.15,-20.20
660,-1.08,0.35,-0.30,70.13,23.62,-17.52
670,-1.15,0.46,-0.25,69.09,37.05,-6.53
680,-1.22,0.60,-0.24,72.39,42.36,1.77
690,-1.25,0.77,-0.36,72.94,30.15,7.63
700,-1.25,0.89,-0.46,63.23,24.96,10.62
710,-1.21,1.01,-0.53,43.15,22.22,15.01
720,-1.12,0.98,-0.48,10.31,13.92,22.03
730,-1.03,0.91,-0.41,-14.71,4.27,11.66
740,-0.98,0.79,-0.33,-32.96,-4.82,-1.04
750,-1.02,0.63,-0.30,-44.98,-17.21,-12.08
760,-1.08,0.44,-0.29,-57.13,-26.31,-17.52
770,-1.10,0.31,-0.28,-62.99,-27.10,-10.62
780,-1.08,0.20,-0.31,-66.41,-19.90,0.98
790,-1.03,0.10,-0.37,-72.51,-8.85,12.63
800,-0.98,0.02,-0.37,-78.98,-5.49,16.78
810,-0.94,-0.06,-0.37,-83.86,-6.53,18.98
820,-0.84,-0.24,-0.37,-85.14,-11.72,5.00
830,-0.87,-0.31,-0.34,-79.22,-12.45,5.00
840,-0.88,-0.46,-0.39,-73.55,-16.24,8.42
850,-0.90,-0.59,-0.40,-68.05,-12.02,-4.27
860,-0.92,-0.69,-0.40,-64.27,-19.53,-8.12
870,-0.96,-0.78,-0.33,-58.29,-30.46,-9.52
880,-0.90,-0.88,-0.29,-40.95,-18.37,-2.87
890,-0.89,-0.90,-0.25,-27.34,-10.01,-2.75
900,-0.87,-0.91,-0.23,-11.05,-3.36,0.92
