timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.81,-1.15,-0.30,-9.09,-14.22,-13.31
10,-0.75,-1.15,-0.30,1.65,-13.73,-9.89
20,-0.76,-1.15,-0.28,8.18,-5.43,-4.88
30,-0.81,-1.14,-0.25,19.59,8.36,2.93
40,-0.84,-1.08,-0.31,33.63,9.03,11.72
50,-0.85,-0.92,-0.42,45.90,0.73,13.98
60,-0.81,-0.74,-0.38,50.66,-10.31,4.88
70,-0.82,-0.61,-0.26,52.06,-3.23,-1.89
80,-0.83,-0.50,-0.18,59.81,8.79,1.89
90,-0.82,-0.26,-0.18,78.98,19.59,3.36
100,-0.90,-0.03,-0.20,90.52,19.53,-11.05
110,-1.01,0.26,-0.25,95.95,18.86,-24.48
120,-1.24,0.62,-0.41,90.70,27.10,-22.83
130,-1.36,0.84,-0.46,80.63,34.73,-11.29
140,-1.36,1.04,-0.48,70.19,35.22,2.56
150,-1.19,1.31,-0.60,50.84,32.29,3.48
160,-1.33,1.40,-0.45,35.40,28.14,13.98
170,-1.23,1.47,-0.56,15.32,11.11,8.54
180,-1.17,1.39,-0.59,-19.78,-4.21,13.37
190,-1.04,1.25,-0.54,-45.10,-8.97,10.07
200,-0.96,1.03,-0.48,-65.19,-14.59,8.36
210,-0.93,0.68,-0.39,-84.29,-8.42,3.11
220,-1.00,0.43,-0.35,-88.99,-6.47,-0.18
230,-1.04,0.19,-0.40,-88.87,-5.68,5.00
240,-1.04,-0.10,-0.46,-93.75,-4.52,12.63
250,-0.97,-0.31,-0.46,-101.75,-2.56,16.42
260,-0.91,-0.55,-0.41,-104.37,-0.43,17.40
270,-0.88,-0.90,-0.32,-92.04,-11.11,7.39
280,-0.88,-1.09,-0.33,-73.12,-19.71,-3.11
290,-0.88,-1.21,-0.38,-56.09,-26.43,-11.84
300,-0.87,-1.30,-0.39,-45.17,-27.53,-15.01
310,-0.84,-1.37,-0.31,-34.67,-23.13,-14.59
320,-0.82,-1.37,-0.25,-24.66,-13.79,-8.00
330,-0.80,-1.32,-0.17,-10.25,-1.89,2.14
340,-0.75,-1.21,-0.14,14.65,4.27,14.47
350,-0.74,-1.08,-0.19,32.84,7.69,19.17
360,-0.75,-0.94,-0.26,49.80,9.40,20.63
370,-0.75,-0.74,-0.37,64.51,8.30,17.15
380,-0.78,-0.59,-0.40,69.21,8.00,12.39
390,-0.79,-0.43,-0.39,70.80,10.56,8.73
400,-0.86,-0.26,-0.29,74.52,20.45,5.37
410,-0.90,-0.13,-0.24,83.19,24.23,3.30
420,-0.95,0.08,-0.33,94.85,21.24,-1.04
430,-1.04,0.37,-0.48,96.31,16.60,-13.67
440,-1.12,0.55,-0.53,85.69,23.62,-21.55
450,-1.29,0.69,-0.51,73.30,37.78,-19.41
460,-1.33,0.86,-0.40,69.21,40.22,-2.14
470,-1.26,0.99,-0.40,70.01,27.40,6.65
480,-1.20,1.15,-0.47,55.18,15.81,1.89
490,-1.14,1.21,-0.47,18.31,6.23,0.18
500,-1.06,1.13,-0.41,-9.22,3.23,3.11
510,-1.01,0.97,-0.31,-28.87,0.92,4.21
520,-0.96,0.79,-0.25,-41.44,-6.71,0.12
530,-0.97,0.67,-0.30,-50.05,-9.46,-1.77
540,-1.01,0.54,-0.35,-63.17,-7.81,0.49
550,-1.06,0.33,-0.34,-78.43,-5.98,7.32
560,-1.04,0.20,-0.37,-83.50,-7.87,16.05
570,-0.99,0.04,-0.41,-86.36,-10.13,22.28
580,-0.92,-0.11,-0.42,-86.85,-10.13,21.00
590,-0.90,-0.33,-0.39,-82.03,-6.10,12.45
600,-0.93,-0.48,-0.37,-77.15,-8.48,4.52
610,-0.96,-0.59,-0.36,-68.79,-10.62,0.79
620,-0.92,-0.70,-0.42,-56.46,-7.63,6.35
630,-0.96,-0.77,-0.34,-52.43,-7.39,6.65
640,-0.79,-0.88,-0.48,-47.85,-13.37,7.39
650,-0.80,-0.97,-0.38,-36.32,-4.03,-2.75
660,-0.83,-1.02,-0.31,-26.18,-4.58,-7.63
670,-0.87,-1.06,-0.24,-11.96,-3.85,-7.08
680,-0.85,-1.05,-0.23,10.13,2.08,-3.66
690,-0.90,-0.99,-0.27,22.16,2.93,-5.98
700,-0.92,-0.94,-0.29,31.37,-1.46,-7.39
710,-0.92,-0.86,-0.32,39.98,-2.20,-6.35
720,-0.90,-0.72,-0.32,52.00,1.83,-0.79
730,-0.85,-0.57,-0.34,62.44,1.53,2.81
740,-0.85,-0.42,-0.37,66.10,3.36,-0.92
750,-0.87,-0.22,-0.37,63.60,10.50,-5.68
760,-0.92,-0.10,-0.33,59.88,13.43,-9.22
770,-0.94,0.03,-0.28,60.36,13.31,-11.29
780,-0.96,0.14,-0.23,67.02,12.15,-17.15
790,-1.05,0.34,-0.28,79.47,13.06,-28.02
800,-1.12,0.50,-0.39,79.71,12.70,-29.17
810,-1.16,0.71,-0.50,64.27,16.17,-17.58
820,-1.12,0.82,-0.51,47.30,15.87,-8.48
830,-1.10,0.88,-0.46,30.33,13.49,-7.93
840,-1.13,0.91,-0.40,15.87,12.27,-11.41
850,-1.23,0.90,-0.34,2.01,5.74,-12.51
860,-1.23,0.87,-0.36,-8.97,1.40,-3.23
870,-1.18,0.80,-0.39,-22.77,-1.53,6.59
880,-1.05,0.68,-0.38,-41.56,-11.17,13.85
890,-0.97,0.58,-0.34,-54.38,-10.56,17.46
900,-0.91,0.46,-0.28,-63.42,-5.07,20.94
910,-0.91,0.26,-0.21,-65.37,-0.49,22.83
920,-0.96,0.13,-0.21,-60.42,0.37,22.40
930,-0.96,0.00,-0.31,-57.56,2.32,31.80
940,-0.99,-0.13,-0.34,-63.66,4.88,35.28
950,-1.01,-0.30,-0.31,-68.05,-1.65,33.20
960,-0.93,-0.51,-0.37,-58.35,-10.68,30.15
970,-0.96,-0.68,-0.47,-48.28,-11.72,22.34
980,-1.02,-0.80,-0.52,-41.75,-11.90,7.20
990,-1.06,-0.89,-0.55,-41.93,-11.35,-2.93
1000,-1.01,-0.96,-0.44,-43.03,-11.60,-6.41
1010,-0.93,-1.03,-0.31,-37.35,-13.67,-7.51
1020,-0.85,-1.06,-0.18,-23.62,-16.48,-13.12
1030,-0.87,-1.06,-0.14,-11.29,-18.19,-16.17
1040,-0.87,-1.04,-0.11,2.93,-14.77,-17.76
1050,-0.84,-0.97,-0.13,17.64,-11.84,-13.61
1060,-0.81,-0.88,-0.19,35.58,-6.84,-9.09
1070,-0.81,-0.77,-0.25,46.81,-1.10,-7.51
1080,-0.79,-0.68,-0.29,55.05,8.67,-4.09
1090,-0.82,-0.54,-0.35,62.68,16.54,-4.70
1100,-0.83,-0.45,-0.36,67.38,14.40,-6.96
1110,-0.79,-0.36,-0.34,78.80,14.53,-9.03
1120,-0.85,-0.15,-0.41,101.44,9.22,-21.67
1130,-0.98,0.08,-0.51,105.90,6.47,-30.21
1140,-1.02,0.35,-0.49,96.13,15.50,-22.71
1150,-1.03,0.63,-0.33,78.12,34.12,-4.15
1160,-1.04,0.79,-0.20,70.92,43.52,-1.83
1170,-1.11,0.94,-0.17,70.01,46.26,-7.87
1180,-1.21,1.04,-0.26,68.73,40.95,-10.25
1190,-1.30,1.09,-0.50,55.60,28.56,-6.35
1200,-1.41,1.19,-0.64,24.66,20.87,4.46
1210,-1.23,0.97,-0.56,-22.52,10.13,14.95
1220,-1.16,0.81,-0.48,-47.30,-0.61,11.54
1230,-1.11,0.66,-0.38,-60.06,-9.40,8.00
1240,-1.11,0.49,-0.33,-66.04,-18.92,3.11
1250,-1.08,0.32,-0.33,-68.30,-19.96,10.31
1260,-1.04,0.19,-0.39,-72.75,-12.57,21.06
1270,-0.98,0.07,-0.42,-79.10,-4.09,28.56
