timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.91,-0.46,-0.41,-65.49,-6.84,13.61
10,-0.94,-0.65,-0.43,-63.35,-13.67,1.83
20,-0.97,-0.82,-0.39,-57.37,-19.90,-7.57
30,-0.99,-0.94,-0.38,-47.61,-20.75,-4.21
40,-0.99,-1.01,-0.35,-40.83,-18.74,-3.66
50,-0.94,-1.05,-0.31,-33.02,-8.00,0.12
60,-0.88,-1.05,-0.22,-18.19,3.30,6.47
70,-0.81,-1.01,-0.18,-6.10,5.98,10.01
80,-0.79,-0.98,-0.15,5.62,10.62,11.35
90,-0.80,-0.92,-0.15,20.94,14.59,9.52
100,-0.84,-0.84,-0.18,32.65,12.63,8.00
110,-0.86,-0.72,-0.30,43.64,5.00,6.47
120,-0.89,-0.61,-0.34,45.72,3.05,2.08
130,-0.91,-0.55,-0.31,45.78,7.02,2.62
140,-0.88,-0.43,-0.28,46.45,10.01,6.47
150,-0.87,-0.37,-0.26,48.03,10.31,4.03
160,-0.86,-0.28,-0.20,51.57,13.49,-1.22
170,-0.91,-0.17,-0.17,58.96,26.37,-2.20
180,-0.99,-0.04,-0.23,63.35,37.90,-0.85
190,-1.03,0.17,-0.29,65.19,41.32,4.39
200,-1.01,0.46,-0.28,65.19,40.83,7.75
210,-0.99,0.62,-0.25,62.19,41.63,1.95
220,-0.95,0.71,-0.25,56.34,37.54,-11.60
230,-1.07,0.83,-0.14,52.86,28.44,-18.19
240,-1.16,0.82,-0.23,46.88,5.74,-24.72
250,-1.21,0.90,-0.27,36.68,5.00,-28.32
260,-1.21,0.93,-0.31,25.82,-1.71,-15.75
270,-1.19,0.88,-0.38,6.23,-1.04,0.61
280,-1.14,0.86,-0.43,-13.67,2.26,3.17
290,-1.11,0.79,-0.43,-34.30,-3.05,5.00
300,-1.09,0.61,-0.35,-56.95,-7.39,0.92
310,-1.07,0.47,-0.27,-64.70,-13.18,-4.52
320,-1.13,0.29,-0.22,-64.33,-17.52,-6.90
330,-1.18,0.10,-0.20,-55.24,-26.25,-2.87
340,-1.14,-0.02,-0.23,-49.01,-21.06,12.02
350,-1.08,-0.11,-0.32,-50.29,-8.48,27.47
360,-0.98,-0.21,-0.41,-63.17,-2.81,40.34
370,-0.89,-0.42,-0.25,-83.31,-11.72,33.26
380,-0.84,-0.53,-0.22,-78.61,-5.92,34.00
390,-0.90,-0.74,-0.15,-61.52,-10.74,36.44
400,-0.85,-0.79,-0.20,-44.74,-8.42,27.65
410,-0.85,-0.80,-0.26,-31.37,-15.50,19.59
420,-0.84,-0.84,-0.34,-22.77,-18.37,13.73
430,-0.84,-0.86,-0.40,-20.14,-9.46,1.40
440,-0.86,-0.83,-0.34,-19.59,2.32,-5.92
450,-0.87,-0.82,-0.29,-15.20,8.30,-4.94
460,-0.86,-0.79,-0.24,-3.85,7.51,-2.26
470,-0.89,-0.76,-0.26,8.30,8.91,0.49
480,-0.88,-0.63,-0.31,22.16,13.12,3.72
490,-0.88,-0.58,-0.32,26.98,10.68,3.54
500,-0.90,-0.54,-0.29,32.35,8.85,-0.92
510,-0.91,-0.49,-0.26,41.87,8.48,-4.27
520,-0.93,-0.40,-0.25,55.30,7.57,-8.73
530,-0.93,-0.30,-0.29,61.46,8.24,-9.22
540,-0.94,-0.21,-0.33,60.85,15.32,-8.12
550,-0.94,-0.12,-0.34,55.48,28.08,-5.07
560,-0.96,0.02,-0.33,46.81,39.86,-2.87
570,-1.03,0.09,-0.27,43.95,36.13,-6.84
580,-1.18,0.20,-0.20,49.32,32.23,-11.54
590,-1.24,0.38,-0.20,54.14,31.86,-4.64
600,-1.17,0.52,-0.30,52.98,31.31,9.09
610,-1.17,0.77,-0.25,46.08,31.86,19.53
620,-1.04,0.85,-0.24,32.90,21.67,22.22
630,-0.96,0.97,-0.24,22.03,25.15,9.83
640,-0.89,1.04,-0.24,14.95,15.01,3.54
650,-0.92,0.99,-0.31,3.11,3.97,-4.21
660,-0.95,0.95,-0.38,-11.84,2.62,-15.93
670,-1.01,0.86,-0.43,-30.33,-3.54,-20.75
680,-1.12,0.65,-0.38,-54.14,-9.52,-22.95
690,-1.13,0.50,-0.30,-62.87,-10.25,-15.93
700,-1.13,0.34,-0.24,-63.23,-6.29,-1.22
710,-1.08,0.17,-0.22,-52.73,5.62,16.54
720,-1.02,0.07,-0.30,-43.09,14.16,29.54
730,-1.00,-0.04,-0.38,-38.27,19.23,31.62
740,-0.94,-0.18,-0.43,-38.51,15.01,27.47
750,-0.93,-0.37,-0.39,-40.34,7.51,22.89
760,-0.91,-0.41,-0.38,-41.32,8.48,4.88
770,-0.97,-0.61,-0.41,-37.66,-3.05,15.50
780,-0.96,-0.74,-0.41,-34.48,-9.40,5.80
790,-0.94,-0.80,-0.41,-28.26,-18.80,-4.70
800,-0.98,-0.88,-0.43,-21.18,-26.37,-10.19
810,-1.00,-0.89,-0.41,-17.94,-19.04,-10.19
820,-0.96,-0.87,-0.36,-13.98,-8.91,-3.91
830,-0.89,-0.85,-0.28,-7.75,-5.07,2.75
840,-0.80,-0.77,-0.23,4.82,-3.54,7.75
850,-0.78,-0.73,-0.22,14.04,-0.79,8.91
860,-0.80,-0.69,-0.25,21.55,1.59,4.21
870,-0.86,-0.60,-0.27,29.66,0.98,-2.26
880,-0.87,-0.54,-0.30,34.97,-2.69,-3.42
890,-0.90,-0.49,-0.30,38.51,-8.97,-6.10
900,-0.90,-0.40,-0.34,41.50,-16.11,-8.06
910,-0.86,-0.30,-0.33,42.36,-13.31,-8.18
920,-0.84,-0.21,-0.33,42.60,-3.60,-9.83
930,-0.90,-0.07,-0.36,41.56,9.16,-13.37
940,-0.95,0.06,-0.36,39.31,14.04,-13.85
950,-0.99,0.18,-0.31,39.31,21.61,-11.11
960,-1.08,0.33,-0.25,45.47,35.22,-7.02
970,-1.15,0.44,-0.26,52.67,36.80,-1.22
980,-1.17,0.57,-0.30,56.70,31.19,4.52
990,-1.08,0.70,-0.34,53.22,15.75,7.57
1000,-1.03,0.84,-0.35,40.89,10.25,2.81
1010,-1.02,0.85,-0.31,25.09,4.76,7.14
1020,-0.97,0.89,-0.29,-0.67,9.52,-7.08
1030,-0.99,0.84,-0.25,-15.63,5.25,-10.50
1040,-1.02,0.74,-0.27,-26.98,-2.26,-11.66
1050,-1.07,0.61,-0.28,-41.26,-10.56,-20.26
1060,-1.11,0.54,-0.27,-50.23,-15.08,-19.71
1070,-1.15,0.44,-0.25,-53.59,-12.21,-13.06
1080,-1.17,0.33,-0.24,-49.87,-5.49,-1.53
1090,-1.13,0.16,-0.25,-40.71,-0.67,17.15
1100,-1.06,0.06,-0.27,-34.48,3.30,27.28
1110,-1.01,-0.00,-0.33,-30.40,5.74,36.32
1120,-0.83,-0.14,-0.46,-35.40,6.71,38.94
1130,-0.84,-0.21,-0.51,-45.90,15.32,23.13
1140,-1.01,-0.43,-0.48,-51.27,2.08,15.32
1150,-1.10,-0.62,-0.42,-45.53,-25.09,-11.72
1160,-1.10,-0.66,-0.43,-38.76,-36.93,-16.30
1170,-1.03,-0.72,-0.43,-34.79,-34.79,-7.02
1180,-0.96,-0.76,-0.36,-34.18,-25.15,-1.34
1190,-0.84,-0.83,-0.26,-31.49,-16.60,0.12
1200,-0.78,-0.87,-0.22,-26.12,-13.43,-0.24
1210,-0.78,-0.88,-0.21,-15.56,-0.06,1.16
1220,-0.77,-0.80,-0.28,-3.36,16.60,6.35
1230,-0.76,-0.77,-0.31,0.61,26.73,11.41
1240,-0.79,-0.75,-0.31,5.92,33.02,11.23
1250,-0.81,-0.71,-0.29,14.47,28.14,8.42
1260,-0.80,-0.64,-0.31,25.09,20.20,4.27
1270,-0.82,-0.53,-0.35,33.51,21.97,-1.46
1280,-0.85,-0.44,-0.36,36.62,27.71,-2.93
1290,-0.85,-0.34,-0.37,39.49,29.11,-1.95
1300,-0.85,-0.24,-0.35,45.10,24.90,-8.18
1310,-0.85,-0.15,-0.31,53.22,18.43,-19.41
1320,-0.88,-0.06,-0.28,62.81,13.61,-30.21
1330,-0.95,0.07,-0.29,72.33,12.51,-35.89
1340,-1.03,0.18,-0.33,76.17,22.77,-31.98
1350,-1.12,0.33,-0.37,77.82,35.16,-21.85
1360,-1.18,0.50,-0.43,75.38,38.02,-9.46
1370,-1.16,0.70,-0.46,63.60,33.81,1.59
1380,-1.15,0.83,-0.49,50.17,32.71,9.22
1390,-1.13,0.93,-0.52,33.26,35.40,14.10
1400,-1.10,0.99,-0.49,10.99,29.85,24.78
1410,-1.04,0.95,-0.50,-5.98,16.24,19.47
1420,-1.03,0.87,-0.48,-21.79,1.53,6.29
1430,-1.04,0.71,-0.44,-37.72,-20.02,-7.14
1440,-1.08,0.55,-0.41,-47.06,-29.72,-12.88
1450,-1.12,0.40,-0.37,-53.77,-32.90,-12.76
1460,-1.10,0.27,-0.35,-55.73,-34.30,-6.10
1470,-1.08,0.14,-0.39,-56.82,-28.56,6.59
1480,-1.09,0.07,-0.43,-61.83,-21.85,12.94
1490,-1.10,0.01,-0.43,-69.70,-17.33,22.95
1500,-1.06,-0.17,-0.34,-76.42,-9.70,33.33
1510,-1.02,-0.18,-0.27,-78.25,-3.05,26.67
1520,-0.96,-0.32,-0.32,-72.57,-24.54,42.91
1530,-0.86,-0.51,-0.33,-53.89,-20.08,41.20
1540,-0.73,-0.55,-0.40,-39.86,-17.46,30.70
1550,-0.72,-0.62,-0.48,-30.94,-11.90,23.07
1560,-0.79,-0.74,-0.51,-33.63,-11.84,2.14
1570,-0.83,-0.81,-0.45,-33.87,-9.28,-7.63
1580,-0.85,-0.87,-0.40,-29.05,-9.89,-12.57
1590,-0.88,-0.90,-0.32,-17.40,-11.84,-17.40
1600,-0.89,-0.91,-0.30,-8.67,-14.83,-19.04
1610,-0.90,-0.91,-0.25,1.46,-10.13,-16.17
1620,-0.91,-0.91,-0.20,10.80,-6.04,-13.85
1630,-0.91,-0.87,-0.18,26.00,-3.17,-9.52
1640,-0.87,-0.79,-0.24,41.26,0.18,-1.46
1650,-0.81,-0.67,-0.33,51.09,8.00,4.27
1660,-0.79,-0.52,-0.40,54.69,7.69,0.79
1670,-0.78,-0.45,-0.40,55.79,3.48,-6.10
1680,-0.83,-0.33,-0.33,60.42,8.54,-15.20
1690,-0.87,-0.20,-0.26,67.99,22.09,-13.24
1700,-0.93,-0.04,-0.29,77.21,34.91,-7.45
1710,-0.99,0.12,-0.32,83.13,40.71,-8.61
1720,-1.14,0.34,-0.33,89.97,41.44,-17.82
1730,-1.30,0.49,-0.42,93.63,36.13,-18.13
1740,-1.32,0.73,-0.44,92.47,30.64,-5.74
1750,-1.23,0.97,-0.55,77.76,26.25,13.00
1760,-1.19,1.17,-0.54,55.54,32.90,21.61
1770,-1.14,1.21,-0.46,29.54,26.31,30.27
1780,-1.00,1.23,-0.46,-3.05,13.43,17.33
1790,-0.97,1.17,-0.46,-22.89,-1.46,7.14
1800,-0.96,1.03,-0.49,-42.11,-13.00,-1.04
1810,-0.98,0.83,-0.47,-67.75,-21.79,-18.13
1820,-1.03,0.66,-0.44,-81.12,-28.38,-25.09
1830,-1.08,0.49,-0.43,-87.40,-32.59,-25.45
1840,-1.12,0.30,-0.42,-89.17,-37.66,-23.13
1850,-1.11,0.08,-0.45,-92.16,-38.64,-10.13
1860,-1.09,-0.07,-0.43,-93.69,-28.99,6.10
1870,-0.96,-0.32,-0.36,-93.57,-21.61,20.45
1880,-0.84,-0.40,-0.42,-94.12,-14.77,8.00
1890,-0.91,-0.54,-0.40,-89.54,-11.11,17.82
1900,-0.90,-0.78,-0.39,-81.54,-7.45,18.07
1910,-0.91,-0.88,-0.34,-68.66,-9.89,7.45
1920,-0.93,-0.95,-0.34,-49.93,-18.98,4.76
1930,-0.91,-0.99,-0.42,-34.00,-23.07,4.27
1940,-0.84,-0.99,-0.43,-22.89,-11.41,7.02
1950,-0.76,-0.99,-0.38,-18.37,-3.48,11.35
1960,-0.67,-0.99,-0.28,-8.54,1.77,14.40
1970,-0.67,-0.98,-0.22,3.23,6.04,13.43
1980,-0.71,-0.96,-0.22,18.25,8.91,9.34
1990,-0.80,-0.90,-0.26,33.26,10.13,3.42
