timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.15,-0.05,-0.27,-73.49,-9.52,10.50
10,-1.10,-0.16,-0.28,-75.20,-9.16,17.82
20,-0.98,-0.23,-0.26,-78.31,-6.77,24.78
30,-0.91,-0.32,-0.23,-77.70,-2.38,27.89
40,-0.85,-0.41,-0.22,-72.45,-2.75,23.38
50,-0.85,-0.55,-0.21,-62.19,-6.71,7.87
60,-0.88,-0.65,-0.18,-50.84,-10.07,-2.08
70,-0.89,-0.72,-0.19,-35.58,-13.43,-4.15
80,-0.88,-0.75,-0.24,-22.46,-12.63,-1.95
90,-0.82,-0.76,-0.33,-12.51,-5.55,5.25
100,-0.78,-0.76,-0.38,-10.19,-1.04,8.97
110,-0.75,-0.78,-0.35,-7.81,6.90,10.01
120,-0.74,-0.79,-0.31,1.10,11.11,9.22
130,-0.73,-0.74,-0.31,13.37,9.77,7.39
140,-0.76,-0.70,-0.31,22.28,11.96,1.71
150,-0.82,-0.66,-0.31,26.49,13.06,-4.21
160,-0.90,-0.62,-0.35,30.46,7.69,-8.36
170,-0.93,-0.57,-0.36,32.59,1.71,-11.41
180,-0.98,-0.54,-0.34,36.50,-1.22,-14.59
190,-0.99,-0.47,-0.29,45.96,-1.65,-17.33
200,-1.00,-0.39,-0.30,51.51,-0.43,-14.34
210,-0.98,-0.27,-0.31,52.86,6.35,-8.91
220,-0.97,-0.16,-0.26,53.71,8.18,-9.40
230,-0.96,-0.05,-0.20,56.52,10.93,-12.94
240,-0.95,0.06,-0.19,62.93,10.19,-13.06
250,-0.95,0.17,-0.21,66.22,7.39,-15.81
260,-0.99,0.27,-0.25,62.32,6.29,-20.57
270,-1.04,0.39,-0.27,46.88,7.87,-21.00
280,-1.01,0.56,-0.20,32.10,15.87,-18.13
290,-1.17,0.55,-0.14,18.13,30.88,3.42
300,-1.16,0.66,-0.09,12.94,30.52,7.32
310,-1.17,0.74,-0.15,10.38,17.82,8.85
320,-1.21,0.69,-0.21,1.89,4.03,12.15
330,-1.20,0.62,-0.25,-19.29,0.31,2.93
340,-1.19,0.49,-0.18,-32.10,-6.59,0.37
350,-1.20,0.33,-0.15,-38.57,-17.52,-0.73
360,-1.23,0.25,-0.18,-39.18,-18.74,4.64
370,-1.20,0.19,-0.23,-40.22,-17.03,13.79
380,-1.14,0.13,-0.24,-42.72,-8.54,24.48
390,-1.04,0.06,-0.27,-47.67,4.70,36.50
400,-0.95,0.00,-0.27,-52.37,10.44,41.08
410,-0.89,-0.08,-0.27,-55.30,8.79,36.32
420,-0.88,-0.24,-0.23,-54.57,-1.71,17.46
430,-0.90,-0.33,-0.22,-50.05,-8.42,5.37
440,-0.91,-0.42,-0.25,-45.10,-9.09,2.87
450,-0.90,-0.51,-0.28,-42.05,-7.69,4.15
460,-0.84,-0.64,-0.27,-35.46,-4.76,4.58
470,-0.82,-0.71,-0.31,-29.66,-3.91,3.54
480,-0.81,-0.77,-0.32,-24.23,2.32,4.39
490,-0.80,-0.82,-0.30,-11.35,9.28,5.68
500,-0.78,-0.82,-0.31,0.98,8.79,5.13
510,-0.78,-0.79,-0.35,8.97,8.97,3.23
520,-0.83,-0.75,-0.35,10.62,10.19,-1.77
530,-0.86,-0.76,-0.29,12.08,7.39,-5.31
540,-0.92,-0.74,-0.28,19.71,1.22,-9.64
550,-0.98,-0.70,-0.31,33.33,-5.49,-14.65
560,-0.99,-0.64,-0.32,39.98,-3.23,-13.73
570,-0.97,-0.55,-0.34,43.33,0.00,-7.39
580,-0.94,-0.48,-0.34,46.26,-0.79,-3.54
590,-0.88,-0.35,-0.33,51.27,-1.95,-7.75
600,-0.87,-0.29,-0.30,54.14,2.56,-11.23
610,-0.93,-0.20,-0.27,56.88,5.37,-19.65
620,-0.95,-0.09,-0.28,57.74,1.59,-20.39
630,-0.94,-0.01,-0.25,55.91,1.22,-18.01
640,-0.96,0.06,-0.21,54.38,6.53,-16.17
650,-1.07,0.21,-0.27,50.11,17.88,-1.04
660,-1.05,0.29,-0.22,45.47,13.85,5.37
670,-0.99,0.44,-0.25,38.70,13.00,-5.55
680,-1.08,0.56,-0.23,28.14,10.80,0.06
690,-1.09,0.63,-0.20,17.70,15.63,0.43
700,-1.09,0.69,-0.15,8.97,18.68,-0.37
710,-1.14,0.70,-0.10,2.75,12.88,4.03
