timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.16,0.24,-0.21,89.17,34.67,-5.00
10,-1.19,0.50,-0.25,90.94,31.25,4.15
20,-1.23,0.72,-0.33,86.30,21.00,0.79
30,-1.25,0.95,-0.43,73.91,12.70,-2.69
40,-1.18,1.18,-0.50,45.90,12.57,10.62
50,-1.08,1.26,-0.46,21.55,13.12,18.13
60,-0.98,1.26,-0.38,1.71,8.06,13.43
70,-0.97,1.16,-0.40,-16.97,-7.93,-2.01
80,-1.00,1.04,-0.45,-34.73,-13.67,-5.37
90,-1.01,0.87,-0.43,-55.42,-11.23,-0.67
100,-0.99,0.64,-0.35,-77.58,-7.20,6.23
110,-0.97,0.48,-0.28,-85.02,-3.23,8.00
120,-0.98,0.35,-0.27,-83.86,-3.05,7.63
130,-1.06,0.16,-0.31,-79.71,-9.83,2.81
140,-1.03,0.05,-0.38,-79.47,-12.08,7.39
150,-0.99,-0.09,-0.44,-84.59,-10.01,13.98
160,-0.99,-0.33,-0.38,-85.51,-5.31,7.93
170,-1.00,-0.47,-0.38,-76.42,-10.68,0.92
180,-0.99,-0.59,-0.38,-65.55,-13.18,-3.11
190,-0.96,-0.68,-0.40,-56.34,-11.41,-3.05
200,-0.90,-0.78,-0.40,-48.40,-8.61,-3.97
210,-0.87,-0.87,-0.38,-44.25,-9.09,-6.47
220,-0.88,-0.95,-0.31,-37.35,-7.20,-7.87
230,-0.86,-1.02,-0.22,-16.54,-5.62,-3.60
240,-0.83,-1.02,-0.23,3.11,-7.08,-1.34
250,-0.82,-0.96,-0.29,17.94,-6.04,-0.98
260,-0.82,-0.86,-0.33,25.51,0.24,0.31
270,-0.80,-0.83,-0.30,29.05,1.71,-2.14
280,-0.82,-0.83,-0.22,39.25,3.85,-7.26
290,-0.88,-0.80,-0.20,56.40,4.21,-10.93
300,-0.94,-0.64,-0.33,74.46,4.03,-8.00
310,-0.92,-0.53,-0.39,77.09,3.60,-6.53
320,-0.94,-0.40,-0.38,78.12,5.25,-8.00
330,-0.91,-0.22,-0.31,84.78,9.83,-9.03
340,-0.91,-0.07,-0.25,92.53,18.92,-10.44
350,-0.93,0.12,-0.28,101.50,19.96,-13.00
360,-1.03,0.43,-0.38,102.05,13.98,-22.28
370,-1.15,0.67,-0.38,89.97,18.25,-22.71
380,-1.28,0.83,-0.36,75.56,28.87,-12.63
390,-1.26,1.06,-0.42,62.50,19.04,7.87
400,-1.22,1.16,-0.44,45.41,5.49,8.61
410,-1.22,1.21,-0.38,19.35,1.89,5.55
420,-1.18,1.17,-0.27,-10.99,4.64,17.76
430,-1.11,1.07,-0.25,-25.15,0.92,27.53
440,-1.00,0.96,-0.29,-36.99,-4.39,28.44
450,-0.96,0.82,-0.31,-50.96,-13.55,18.80
460,-0.96,0.61,-0.34,-71.04,-15.38,5.13
470,-1.00,0.47,-0.33,-83.19,-7.81,6.90
480,-1.00,0.25,-0.35,-92.22,-2.44,13.06
490,-0.99,0.07,-0.33,-95.03,0.43,12.15
500,-0.98,-0.09,-0.30,-93.32,0.18,9.09
510,-0.98,-0.26,-0.27,-88.44,-1.59,6.59
520,-0.99,-0.44,-0.29,-77.51,-0.24,5.80
530,-1.01,-0.59,-0.32,-69.40,0.49,5.49
540,-0.98,-0.70,-0.37,-59.39,-1.40,6.71
550,-0.92,-0.78,-0.45,-50.96,-3.42,8.30
560,-0.84,-0.85,-0.50,-43.46,-5.31,3.23
570,-0.82,-0.92,-0.44,-37.84,-5.86,-4.15
580,-0.83,-1.02,-0.30,-25.27,-5.43,-12.02
590,-0.86,-1.08,-0.22,-10.13,-5.25,-13.61
600,-0.86,-1.06,-0.21,6.96,-2.99,-10.68
610,-0.84,-0.99,-0.25,24.48,-0.37,-5.43
