timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.98,-0.62,-0.27,-0.61,-4.33,0.61
10,-0.96,-0.61,-0.28,3.11,-9.28,-0.67
20,-0.95,-0.60,-0.26,5.74,-7.87,-3.72
30,-0.94,-0.59,-0.16,15.38,-5.49,-4.09
40,-0.91,-0.56,-0.19,25.82,-7.20,-1.46
50,-0.90,-0.50,-0.24,32.53,-5.86,-0.85
60,-0.86,-0.43,-0.25,37.41,-0.12,1.04
70,-0.87,-0.37,-0.27,40.89,1.10,-1.59
80,-0.91,-0.28,-0.29,41.99,0.55,-5.43
90,-0.88,-0.24,-0.22,42.42,2.01,-5.55
100,-0.94,-0.20,-0.15,50.66,6.16,-9.64
110,-0.98,-0.04,-0.21,60.91,7.20,-10.01
120,-0.97,0.07,-0.22,63.29,9.83,-8.24
130,-0.99,0.16,-0.22,64.70,8.79,-11.23
140,-1.05,0.27,-0.23,66.22,4.21,-17.88
150,-1.11,0.44,-0.26,62.68,7.45,-15.01
160,-1.07,0.54,-0.23,56.95,18.49,-3.97
170,-1.06,0.61,-0.23,51.27,24.90,2.14
180,-1.05,0.71,-0.19,43.15,23.07,-3.72
190,-1.07,0.72,-0.13,43.46,10.99,-9.16
200,-1.13,0.77,-0.20,41.93,0.00,-14.10
210,-1.15,0.83,-0.27,29.85,4.58,-8.18
220,-1.13,0.83,-0.26,18.55,10.86,5.07
230,-1.06,0.81,-0.31,7.93,9.40,14.40
240,-0.98,0.77,-0.35,-10.31,7.63,16.54
250,-0.98,0.72,-0.33,-26.43,1.10,14.83
260,-1.03,0.64,-0.27,-40.28,-3.42,10.62
270,-1.07,0.54,-0.15,-47.85,0.79,15.50
280,-1.08,0.48,-0.14,-44.62,3.97,22.83
290,-1.04,0.40,-0.19,-39.92,10.19,27.59
300,-1.03,0.32,-0.25,-36.80,18.98,25.63
310,-0.99,0.26,-0.31,-44.68,17.58,25.76
320,-0.99,0.12,-0.26,-54.57,12.94,15.93
330,-1.04,0.03,-0.18,-57.43,3.17,11.41
340,-1.02,-0.09,-0.14,-51.57,-3.48,35.40
350,-0.86,-0.19,-0.14,-47.36,4.09,39.67
360,-0.81,-0.24,-0.17,-44.43,5.98,24.90
370,-0.92,-0.33,-0.25,-39.18,-0.37,9.03
380,-0.97,-0.39,-0.31,-34.42,5.86,9.70
390,-0.99,-0.44,-0.39,-30.82,9.09,10.99
400,-0.95,-0.49,-0.39,-29.54,1.53,7.02
410,-0.98,-0.54,-0.36,-28.69,-4.46,-1.04
420,-0.97,-0.58,-0.29,-25.51,-4.52,-3.85
430,-0.96,-0.62,-0.21,-14.16,0.06,-3.85
440,-0.94,-0.60,-0.17,-3.54,0.73,-3.54
450,-0.94,-0.60,-0.15,5.62,-4.33,-6.90
460,-0.96,-0.56,-0.17,15.56,-8.12,-15.26
470,-0.96,-0.52,-0.17,21.55,-7.93,-15.01
480,-0.96,-0.47,-0.18,26.73,-6.65,-10.93
490,-0.97,-0.44,-0.21,31.13,-4.09,-7.69
500,-1.00,-0.37,-0.25,36.32,-4.70,-8.30
510,-0.96,-0.29,-0.27,37.96,-2.75,-8.61
520,-0.94,-0.21,-0.29,37.90,1.34,-11.35
530,-0.92,-0.09,-0.28,36.19,6.23,-16.91
540,-0.97,-0.00,-0.17,39.00,12.51,-21.24
550,-1.01,0.12,-0.16,47.61,13.43,-18.80
560,-0.99,0.26,-0.21,55.66,13.67,-13.37
570,-1.00,0.37,-0.27,57.62,9.22,-18.01
580,-1.05,0.49,-0.32,55.97,4.58,-26.12
590,-1.09,0.63,-0.29,47.30,6.65,-26.25
600,-1.12,0.71,-0.24,41.02,16.05,-20.94
