timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.88,-0.20,-0.37,87.16,4.15,8.06
10,-0.89,0.00,-0.36,78.74,4.88,3.17
20,-0.94,0.12,-0.27,73.30,16.66,-0.98
30,-1.05,0.27,-0.19,76.90,34.36,-0.85
40,-1.06,0.52,-0.23,86.67,41.32,5.80
50,-1.18,0.74,-0.25,86.43,47.42,3.30
60,-1.18,0.91,-0.35,70.92,30.09,-3.85
70,-1.22,1.05,-0.38,48.83,23.44,-9.16
80,-1.21,1.18,-0.31,17.70,26.12,-11.90
90,-1.23,1.21,-0.20,4.39,19.23,-5.31
100,-1.21,1.18,-0.23,-5.07,5.80,-6.71
110,-1.16,1.13,-0.32,-23.19,-3.42,-11.96
120,-1.10,1.03,-0.42,-40.77,-10.25,-8.00
130,-1.04,0.86,-0.47,-62.87,-18.07,-9.58
140,-0.99,0.60,-0.40,-87.52,-23.07,-17.21
150,-1.04,0.37,-0.33,-94.67,-25.94,-20.20
160,-1.08,0.18,-0.28,-92.59,-31.37,-16.11
170,-1.04,-0.05,-0.24,-84.23,-23.74,-1.04
180,-0.98,-0.19,-0.26,-81.30,-17.88,6.77
190,-0.89,-0.35,-0.24,-80.81,-13.49,6.41
200,-0.87,-0.48,-0.22,-82.52,-6.71,5.43
210,-0.86,-0.69,-0.18,-75.56,-7.14,11.17
220,-0.86,-0.82,-0.18,-60.00,-10.62,0.12
230,-0.88,-0.88,-0.24,-39.79,-15.69,-5.37
240,-0.90,-0.94,-0.37,-19.59,-15.38,-0.67
250,-0.90,-0.95,-0.43,-12.94,-7.81,3.30
260,-0.89,-0.96,-0.42,-9.09,-0.55,7.75
270,-0.82,-0.94,-0.35,0.67,8.67,15.44
280,-0.81,-0.90,-0.30,10.25,9.95,16.05
290,-0.81,-0.87,-0.24,18.98,8.36,11.29
300,-0.84,-0.81,-0.16,34.85,10.19,7.02
310,-0.86,-0.72,-0.19,49.19,11.47,9.16
320,-0.87,-0.62,-0.27,59.20,11.47,10.86
330,-0.85,-0.46,-0.31,67.32,11.29,8.42
340,-0.86,-0.34,-0.30,70.86,9.95,3.97
350,-0.87,-0.24,-0.26,72.63,13.24,0.98
360,-0.93,-0.08,-0.23,78.31,23.74,0.85
370,-1.00,0.08,-0.27,81.91,26.92,0.43
380,-1.07,0.23,-0.35,80.93,22.09,-2.99
390,-1.11,0.45,-0.40,72.33,14.10,-6.84
400,-1.11,0.56,-0.35,61.83,19.17,-5.00
410,-1.12,0.66,-0.27,53.16,25.76,-2.26
420,-1.12,0.78,-0.21,49.01,30.15,0.73
430,-1.12,0.95,-0.21,45.65,25.88,3.42
440,-1.11,1.06,-0.25,36.25,21.18,-0.24
450,-1.13,1.10,-0.26,24.41,15.32,5.25
460,-1.08,1.02,-0.36,-1.53,4.64,1.77
470,-1.08,0.92,-0.36,-24.05,-2.50,-8.85
480,-1.11,0.76,-0.33,-41.99,-13.12,-15.38
490,-1.15,0.62,-0.33,-54.08,-20.87,-15.38
500,-1.12,0.45,-0.32,-65.55,-20.14,-2.26
510,-1.06,0.33,-0.32,-70.31,-10.07,10.74
520,-1.01,0.21,-0.33,-74.10,-2.93,17.76
530,-0.92,0.05,-0.31,-77.88,-3.11,16.72
540,-0.88,-0.10,-0.28,-79.90,-7.63,9.03
550,-0.87,-0.25,-0.23,-79.04,-13.73,-5.86
560,-0.94,-0.39,-0.17,-68.36,-16.78,0.61
570,-0.91,-0.55,-0.21,-56.70,-15.01,9.34
580,-0.88,-0.65,-0.25,-45.23,-7.20,5.37
590,-0.86,-0.76,-0.37,-33.33,-14.53,0.73
600,-0.96,-0.84,-0.42,-25.15,-6.59,-4.88
610,-1.02,-0.87,-0.42,-20.26,-3.72,-9.16
620,-0.97,-0.88,-0.39,-11.84,-0.61,1.77
630,-0.89,-0.86,-0.34,-3.66,4.82,7.75
640,-0.85,-0.79,-0.28,6.65,8.24,9.22
650,-0.88,-0.76,-0.23,12.57,6.47,5.55
660,-0.87,-0.74,-0.18,22.64,6.65,2.93
670,-0.89,-0.67,-0.20,36.56,6.23,1.53
680,-0.91,-0.56,-0.25,49.68,3.48,0.37
690,-0.90,-0.47,-0.27,54.14,6.16,1.10
700,-0.87,-0.37,-0.30,55.24,9.40,4.52
710,-0.84,-0.24,-0.32,52.73,13.00,5.74
720,-0.84,-0.16,-0.26,54.14,15.81,1.10
730,-0.87,-0.07,-0.23,61.46,14.04,-6.10
740,-0.93,0.10,-0.24,72.02,17.46,-9.83
750,-0.98,0.21,-0.30,74.89,20.39,-8.00
760,-1.03,0.33,-0.37,70.43,20.57,-8.18
770,-1.07,0.43,-0.37,61.04,18.74,-8.73
780,-1.08,0.55,-0.34,49.44,20.32,-7.87
790,-1.10,0.64,-0.30,41.75,22.46,-7.45
800,-1.11,0.73,-0.29,33.26,22.52,-9.09
810,-1.16,0.89,-0.23,21.06,24.11,-5.00
820,-1.16,0.93,-0.21,12.88,22.09,4.15
830,-1.13,0.96,-0.23,1.04,21.79,2.50
840,-1.10,0.91,-0.27,-16.11,9.46,0.73
850,-1.12,0.81,-0.30,-29.48,-1.77,-5.49
860,-1.14,0.67,-0.31,-41.44,-7.26,-9.77
870,-1.18,0.48,-0.33,-46.94,-8.97,-2.62
880,-1.16,0.36,-0.41,-48.28,-8.91,9.22
890,-1.10,0.26,-0.51,-56.03,-6.59,21.00
900,-1.02,0.10,-0.54,-75.93,-6.90,27.53
910,-0.96,-0.06,-0.42,-88.87,-12.15,22.71
920,-0.93,-0.29,-0.27,-90.58,-21.79,15.69
930,-0.88,-0.34,-0.25,-87.10,-25.27,-0.12
940,-0.93,-0.58,-0.25,-72.75,-27.89,14.53
950,-0.86,-0.70,-0.29,-60.42,-19.90,10.25
960,-0.87,-0.77,-0.35,-49.93,-14.28,4.46
970,-0.89,-0.87,-0.40,-42.60,-9.28,-0.12
980,-0.91,-0.94,-0.34,-36.56,-4.33,-3.66
990,-0.92,-0.98,-0.28,-25.09,-3.85,-4.58
1000,-0.87,-0.95,-0.23,-4.21,-1.83,0.43
1010,-0.82,-0.89,-0.21,10.19,3.54,5.25
1020,-0.79,-0.84,-0.19,21.06,9.77,8.42
1030,-0.79,-0.77,-0.19,31.07,15.56,10.13
1040,-0.80,-0.64,-0.28,41.56,11.84,10.19
1050,-0.79,-0.57,-0.32,46.69,9.16,7.20
1060,-0.82,-0.50,-0.34,52.92,7.08,0.92
1070,-0.89,-0.38,-0.35,61.89,10.56,-4.64
1080,-0.92,-0.24,-0.38,67.14,15.08,-2.08
1090,-0.94,-0.02,-0.42,68.66,19.96,3.30
1100,-0.93,0.14,-0.39,66.65,21.85,2.44
1110,-0.95,0.30,-0.34,63.05,27.22,-1.77
1120,-1.04,0.48,-0.27,59.75,33.08,-6.41
1130,-1.11,0.61,-0.27,58.90,29.11,-9.95
1140,-1.16,0.76,-0.29,55.85,20.08,-16.42
1150,-1.19,0.96,-0.37,41.02,10.44,-32.29
1160,-1.30,0.98,-0.32,27.71,4.94,-19.35
1170,-1.27,1.01,-0.34,10.74,7.20,-18.74
1180,-1.21,0.99,-0.35,-12.33,-0.18,-15.81
1190,-1.19,0.89,-0.34,-26.61,-8.85,-10.19
1200,-1.14,0.78,-0.36,-39.18,-14.40,-9.34
1210,-1.08,0.67,-0.36,-50.11,-20.75,-7.69
1220,-1.04,0.49,-0.35,-61.58,-25.88,-2.69
1230,-0.99,0.37,-0.35,-66.96,-26.37,0.85
1240,-0.93,0.25,-0.35,-70.01,-21.42,8.00
1250,-0.88,0.09,-0.35,-75.38,-13.18,13.00
1260,-0.88,-0.04,-0.31,-80.32,-12.45,13.31
1270,-0.87,-0.17,-0.26,-82.21,-16.05,13.55
1280,-0.87,-0.37,-0.16,-76.84,-17.33,12.02
1290,-0.83,-0.42,-0.22,-71.96,-14.95,2.69
1300,-0.88,-0.53,-0.23,-63.60,-10.56,12.08
1310,-0.88,-0.65,-0.28,-56.27,-7.32,11.11
1320,-0.93,-0.74,-0.31,-45.59,-4.88,-3.17
1330,-1.00,-0.80,-0.35,-34.91,-7.87,-5.49
1340,-1.02,-0.82,-0.36,-23.80,-4.46,-0.67
1350,-1.00,-0.85,-0.37,-10.19,2.81,8.12
1360,-0.96,-0.82,-0.36,-0.61,10.25,11.17
1370,-0.90,-0.78,-0.30,9.40,8.91,10.74
1380,-0.91,-0.77,-0.25,16.66,5.68,5.74
1390,-0.92,-0.73,-0.23,25.94,4.03,0.98
1400,-0.93,-0.67,-0.26,39.43,2.20,-2.08
1410,-0.95,-0.60,-0.29,48.16,1.10,-2.81
1420,-0.95,-0.51,-0.34,54.87,-0.79,-1.34
1430,-0.91,-0.42,-0.37,57.74,-3.23,0.37
1440,-0.88,-0.32,-0.36,57.86,-5.00,-4.21
1450,-0.90,-0.26,-0.30,57.92,6.10,-4.58
1460,-0.93,-0.12,-0.24,67.81,23.68,6.35
1470,-0.91,0.03,-0.26,79.28,27.71,13.67
1480,-0.87,0.22,-0.34,83.86,21.18,10.74
1490,-0.87,0.38,-0.36,79.65,14.95,0.61
1500,-0.96,0.56,-0.31,67.99,22.52,-10.07
1510,-0.97,0.73,-0.33,57.50,32.59,-13.85
1520,-1.08,0.82,-0.17,54.26,29.05,3.42
1530,-1.05,0.91,-0.22,48.46,18.86,-4.58
1540,-1.08,1.02,-0.27,32.17,10.68,-22.09
1550,-1.16,1.02,-0.32,16.36,2.56,-24.11
1560,-1.22,0.94,-0.37,-2.44,-1.10,-20.20
1570,-1.20,0.83,-0.42,-27.77,-5.74,-14.47
1580,-1.17,0.70,-0.41,-45.59,-15.14,-9.22
1590,-1.11,0.56,-0.36,-60.42,-21.06,-4.46
1600,-1.04,0.40,-0.29,-72.94,-16.36,5.07
1610,-1.00,0.28,-0.24,-76.23,-8.97,13.85
1620,-0.99,0.13,-0.18,-72.02,-1.28,21.55
1630,-0.97,0.01,-0.22,-57.07,3.30,34.24
1640,-0.90,-0.02,-0.33,-50.23,3.17,42.91
1650,-0.78,-0.12,-0.41,-54.44,2.01,42.30
1660,-0.80,-0.32,-0.36,-64.45,-3.85,18.01
1670,-0.92,-0.45,-0.23,-60.97,-1.53,14.53
1680,-0.97,-0.60,-0.23,-48.71,-5.31,20.39
1690,-0.95,-0.71,-0.25,-30.15,1.53,14.77
1700,-1.03,-0.79,-0.31,-17.58,-2.56,8.36
1710,-1.13,-0.82,-0.39,-9.70,-6.59,2.01
