timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.98,0.58,-0.31,41.87,18.86,-11.54
10,-1.03,0.67,-0.26,31.92,28.26,-7.45
20,-0.98,0.74,-0.21,19.35,29.11,-10.74
30,-1.05,0.71,-0.21,12.39,13.37,-16.72
40,-1.09,0.75,-0.22,4.46,4.64,-23.38
50,-1.14,0.74,-0.22,-2.87,1.22,-15.32
60,-1.18,0.71,-0.22,-9.83,0.61,-2.50
70,-1.18,0.67,-0.21,-19.59,4.52,6.41
80,-1.19,0.65,-0.23,-24.84,2.69,13.37
90,-1.14,0.60,-0.25,-30.88,0.24,21.48
100,-1.11,0.55,-0.26,-36.07,3.60,25.82
110,-1.08,0.46,-0.25,-40.28,8.12,28.20
120,-1.09,0.41,-0.26,-39.98,9.46,30.46
130,-1.09,0.34,-0.32,-40.16,7.51,34.12
140,-1.02,0.23,-0.36,-44.25,6.53,39.79
150,-0.92,0.11,-0.33,-48.52,3.85,35.46
160,-0.92,0.04,-0.29,-50.96,-4.15,20.75
170,-0.95,-0.05,-0.29,-52.67,-7.69,25.82
180,-0.92,-0.18,-0.23,-54.08,-3.11,22.46
190,-0.87,-0.28,-0.19,-46.63,-0.43,9.40
200,-0.91,-0.35,-0.26,-41.75,-3.97,3.91
210,-0.92,-0.44,-0.27,-42.91,-5.55,-2.44
220,-0.98,-0.54,-0.24,-39.55,-3.91,-10.50
230,-1.03,-0.60,-0.25,-31.31,-3.05,-8.79
240,-1.00,-0.61,-0.27,-20.63,-0.18,0.31
250,-0.95,-0.60,-0.33,-12.33,3.23,9.40
260,-0.91,-0.60,-0.36,-9.95,4.94,10.86
270,-0.89,-0.61,-0.28,-8.06,4.70,6.53
280,-0.89,-0.60,-0.22,-0.98,-0.98,0.37
290,-0.92,-0.57,-0.19,12.82,-4.82,-8.73
300,-0.96,-0.52,-0.24,22.64,-4.64,-11.11
310,-1.00,-0.48,-0.33,26.18,-4.39,-9.89
320,-1.03,-0.41,-0.35,24.48,-5.07,-5.74
330,-0.98,-0.35,-0.35,19.90,-6.90,-1.22
340,-0.91,-0.34,-0.27,18.25,-5.80,-3.17
350,-0.94,-0.32,-0.16,28.02,-2.08,-14.47
360,-0.99,-0.26,-0.17,39.55,-4.52,-18.13
370,-1.00,-0.17,-0.26,45.84,-9.95,-16.24
380,-0.94,-0.06,-0.29,43.46,-12.51,-15.38
390,-0.99,0.00,-0.25,39.86,-9.09,-20.69
400,-1.03,0.10,-0.10,45.41,0.79,-21.06
410,-1.02,0.29,-0.07,66.77,13.49,-5.00
420,-0.94,0.47,-0.25,74.04,9.70,3.23
430,-0.98,0.61,-0.42,60.61,0.31,-3.91
440,-1.03,0.73,-0.40,33.02,-1.83,-22.34
450,-1.06,0.73,-0.26,23.25,2.81,-18.19
460,-1.08,0.75,-0.21,16.91,4.76,-16.60
470,-1.06,0.81,-0.16,11.29,6.65,-13.61
480,-1.09,0.85,-0.16,7.20,5.13,-8.79
490,-1.10,0.86,-0.23,0.67,5.07,-4.27
500,-1.12,0.85,-0.31,-10.62,7.51,0.67
510,-1.10,0.81,-0.38,-30.09,6.96,8.54
520,-1.06,0.75,-0.37,-46.08,7.26,13.00
530,-1.03,0.61,-0.31,-61.71,5.68,14.83
540,-1.04,0.49,-0.25,-65.25,0.85,13.73
550,-1.04,0.37,-0.24,-63.96,-3.54,13.31
560,-1.10,0.23,-0.22,-59.81,-5.00,12.70
570,-1.11,0.15,-0.25,-57.01,-6.65,15.38
580,-1.07,0.07,-0.27,-56.88,-4.03,23.19
590,-1.00,-0.04,-0.22,-55.66,1.40,23.50
600,-1.00,-0.12,-0.25,-58.78,3.48,18.80
610,-0.99,-0.24,-0.22,-59.63,-2.14,21.00
620,-0.90,-0.34,-0.14,-58.59,-3.42,15.93
630,-0.84,-0.42,-0.08,-49.38,-2.87,15.01
640,-0.81,-0.48,-0.15,-35.83,-5.98,16.66
650,-0.84,-0.50,-0.31,-24.41,-5.98,10.13
660,-0.89,-0.53,-0.44,-22.89,-8.91,-5.55
670,-0.93,-0.58,-0.41,-25.09,-10.93,-13.61
680,-0.96,-0.63,-0.34,-23.99,-13.06,-16.91
690,-0.97,-0.67,-0.25,-16.24,-8.79,-11.90
700,-0.95,-0.66,-0.17,-6.77,2.99,-5.49
710,-0.92,-0.64,-0.11,4.15,11.05,1.46
720,-0.92,-0.61,-0.15,13.00,9.77,4.64
730,-0.96,-0.57,-0.18,20.87,10.99,3.23
740,-1.07,-0.52,-0.25,26.61,1.89,1.34
750,-1.08,-0.45,-0.31,30.52,-6.10,4.88
760,-1.05,-0.40,-0.29,31.19,-4.70,7.87
770,-1.03,-0.40,-0.21,34.79,0.67,8.91
780,-1.07,-0.36,-0.16,49.62,-2.81,4.64
790,-1.07,-0.27,-0.19,60.36,-7.93,5.55
800,-1.00,-0.18,-0.21,68.60,-5.25,9.09
810,-0.95,-0.02,-0.26,75.32,5.00,9.03
820,-0.91,0.13,-0.33,71.11,7.63,7.39
830,-0.89,0.23,-0.29,63.72,11.84,-0.49
840,-0.92,0.34,-0.19,61.52,17.40,-10.13
850,-0.92,0.55,-0.20,63.05,23.32,-9.46
860,-0.93,0.72,-0.25,56.27,24.66,-5.31
870,-0.85,0.78,-0.24,38.51,27.71,-12.15
880,-0.88,0.83,-0.24,28.26,23.38,-25.33
890,-0.95,0.85,-0.26,18.25,18.13,-26.31
900,-1.03,0.85,-0.21,9.70,12.88,-27.47
910,-1.11,0.84,-0.22,3.48,3.36,-16.30
920,-1.15,0.84,-0.30,-3.23,2.14,-6.96
930,-1.18,0.80,-0.32,-11.72,2.38,2.75
940,-1.12,0.73,-0.37,-24.78,-2.08,13.61
950,-1.08,0.65,-0.35,-36.87,0.61,19.53
960,-1.07,0.55,-0.32,-47.49,2.99,20.45
970,-1.09,0.40,-0.21,-52.55,6.04,23.07
980,-1.09,0.32,-0.20,-48.16,2.69,26.86
990,-1.07,0.25,-0.24,-46.26,0.55,30.09
1000,-1.05,0.19,-0.30,-49.26,-2.81,29.72
1010,-1.04,0.06,-0.31,-52.67,-3.97,27.04
1020,-0.97,0.00,-0.24,-49.19,-5.31,19.96
1030,-1.02,-0.05,-0.29,-46.63,-7.32,23.99
1040,-0.96,-0.19,-0.25,-45.47,-2.81,28.81
1050,-0.88,-0.26,-0.21,-40.41,2.32,19.78
1060,-0.88,-0.31,-0.27,-37.11,-1.95,10.93
1070,-0.91,-0.39,-0.27,-36.38,-5.74,2.20
1080,-0.94,-0.45,-0.24,-32.59,-10.07,-6.84
1090,-0.98,-0.50,-0.23,-26.00,-14.22,-11.23
1100,-0.96,-0.53,-0.23,-17.21,-9.95,-8.18
1110,-0.95,-0.55,-0.24,-11.23,-2.14,-3.97
1120,-0.96,-0.56,-0.26,-7.26,3.66,-1.16
1130,-0.98,-0.58,-0.24,0.00,4.46,-2.14
1140,-0.98,-0.55,-0.25,7.63,3.48,-1.22
1150,-0.95,-0.54,-0.24,11.60,3.48,-2.01
1160,-0.98,-0.54,-0.22,16.36,3.30,-5.25
1170,-1.00,-0.52,-0.20,26.06,2.50,-5.92
1180,-1.00,-0.49,-0.23,34.85,2.99,-2.69
1190,-0.96,-0.41,-0.26,43.40,-0.37,2.56
1200,-0.96,-0.38,-0.26,48.28,-0.06,-0.73
1210,-1.00,-0.29,-0.32,49.01,-0.06,-6.90
1220,-0.96,-0.20,-0.25,47.30,0.31,-6.84
1230,-0.94,-0.14,-0.17,53.41,2.93,-8.79
1240,-0.91,-0.03,-0.17,62.87,7.08,-10.31
1250,-0.86,0.17,-0.27,63.78,13.12,-14.34
