timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.31,0.50,-0.51,-61.28,-26.18,-19.41
10,-1.30,0.33,-0.49,-65.37,-24.84,0.79
20,-1.21,0.19,-0.54,-68.30,-17.94,22.71
30,-1.05,0.07,-0.60,-73.30,-8.67,38.76
40,-0.91,-0.08,-0.61,-86.24,-5.49,42.24
50,-0.83,-0.27,-0.49,-96.62,-16.48,23.25
60,-0.81,-0.40,-0.36,-102.05,-25.70,0.61
70,-0.91,-0.62,-0.18,-91.13,-34.73,0.61
80,-0.90,-0.75,-0.12,-70.74,-38.76,0.67
90,-0.78,-0.82,-0.23,-48.28,-43.03,2.20
100,-0.77,-0.89,-0.29,-39.12,-30.33,2.87
110,-0.84,-0.95,-0.26,-34.91,-14.10,-6.04
120,-0.89,-0.99,-0.22,-27.47,-10.31,-5.92
130,-0.91,-0.98,-0.20,-14.04,-5.43,1.04
140,-0.85,-0.93,-0.22,0.92,0.06,10.93
150,-0.82,-0.86,-0.28,13.00,9.95,16.48
160,-0.84,-0.81,-0.30,16.72,15.56,14.22
170,-0.86,-0.75,-0.33,21.30,14.77,11.11
180,-0.85,-0.64,-0.36,31.49,6.23,6.41
190,-0.85,-0.56,-0.35,39.43,1.46,2.20
200,-0.82,-0.47,-0.32,48.03,3.42,1.04
210,-0.79,-0.31,-0.33,60.85,9.03,1.59
220,-0.78,-0.16,-0.36,64.58,8.97,-5.07
230,-0.82,-0.06,-0.36,64.88,6.53,-16.36
240,-0.91,0.04,-0.35,64.58,10.13,-26.73
250,-1.06,0.25,-0.37,68.24,22.09,-25.09
260,-1.14,0.43,-0.42,70.13,23.56,-17.33
270,-1.15,0.59,-0.46,67.87,19.71,-13.00
280,-1.14,0.75,-0.51,56.09,12.08,-15.08
290,-1.16,0.84,-0.53,41.20,10.25,-17.15
300,-1.18,0.92,-0.48,23.86,11.84,-16.05
310,-1.21,0.95,-0.42,9.46,10.62,-11.60
320,-1.20,0.94,-0.40,-3.05,3.54,-2.81
330,-1.17,0.89,-0.43,-10.68,-1.95,4.15
340,-1.10,0.84,-0.46,-21.00,-4.21,10.07
350,-1.03,0.73,-0.47,-38.21,-6.96,6.29
360,-1.03,0.59,-0.45,-48.65,-9.22,1.77
370,-1.06,0.42,-0.42,-54.44,-7.39,2.32
380,-1.07,0.23,-0.48,-57.92,-6.10,12.21
390,-1.04,0.08,-0.49,-63.17,-5.68,17.94
400,-0.98,-0.04,-0.46,-71.90,-9.58,22.77
410,-0.88,-0.28,-0.34,-81.48,-14.47,15.20
420,-0.87,-0.38,-0.27,-80.38,-10.25,4.88
430,-0.92,-0.54,-0.21,-69.21,-13.24,9.70
440,-0.87,-0.69,-0.25,-49.38,-17.58,6.35
450,-0.86,-0.75,-0.30,-37.72,-20.14,0.73
460,-0.85,-0.82,-0.40,-30.58,-20.45,0.18
470,-0.90,-0.88,-0.41,-30.46,-11.47,-0.06
480,-0.91,-0.90,-0.36,-27.83,-3.42,3.36
490,-0.89,-0.93,-0.28,-17.58,-3.60,10.13
500,-0.84,-0.91,-0.28,5.07,-7.93,14.04
510,-0.86,-0.84,-0.34,16.30,-8.24,13.49
520,-0.84,-0.77,-0.40,19.59,-8.42,13.61
530,-0.84,-0.70,-0.49,17.33,-12.88,7.08
540,-0.87,-0.67,-0.45,17.33,-12.27,0.00
550,-0.92,-0.63,-0.39,22.71,-10.56,-4.15
560,-0.88,-0.50,-0.32,34.79,-5.98,0.43
570,-0.81,-0.42,-0.27,41.63,-2.62,2.87
580,-0.79,-0.35,-0.26,47.18,1.65,-2.93
590,-0.83,-0.20,-0.28,49.56,-0.67,-12.02
600,-0.84,-0.07,-0.24,51.64,-6.47,-16.91
610,-0.87,0.02,-0.14,57.50,1.89,-21.30
620,-0.91,0.13,-0.11,68.79,12.08,-22.64
630,-1.02,0.37,-0.24,78.55,6.23,-26.79
640,-1.08,0.56,-0.33,71.53,2.26,-30.33
