timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.83,-0.73,-0.19,58.72,-2.75,-5.13
10,-0.84,-0.54,-0.29,67.26,-3.11,-4.27
20,-0.85,-0.45,-0.29,66.65,-1.34,-5.80
30,-0.82,-0.38,-0.22,67.75,2.26,-9.16
40,-0.86,-0.30,-0.15,73.55,6.84,-12.27
50,-0.87,-0.07,-0.17,81.79,5.80,-10.13
60,-0.98,0.07,-0.22,83.74,-4.88,-14.04
70,-1.14,0.24,-0.25,79.28,-5.37,-22.09
80,-1.05,0.56,-0.27,67.99,12.15,-21.00
90,-1.30,0.79,-0.13,58.59,35.28,17.52
100,-1.03,0.83,-0.12,32.29,34.06,-10.07
110,-1.09,0.82,0.06,28.75,16.60,-18.62
120,-1.20,0.84,-0.04,23.50,2.99,-33.33
130,-1.32,0.89,-0.11,11.11,-4.82,-29.48
140,-1.50,0.67,-0.10,-11.11,-16.91,7.02
150,-1.39,0.63,-0.08,-31.37,-10.19,6.53
160,-1.25,0.59,-0.02,-42.85,-13.00,12.21
170,-1.16,0.51,-0.01,-46.94,-17.70,17.88
180,-1.06,0.47,-0.04,-48.83,-11.96,20.20
190,-1.02,0.34,-0.12,-51.15,-12.08,14.83
200,-1.05,0.19,-0.15,-52.31,-16.24,2.75
210,-1.14,0.07,-0.22,-56.52,-16.60,-5.62
220,-1.15,-0.04,-0.28,-67.50,-7.32,13.37
230,-1.01,-0.14,-0.24,-75.32,2.75,39.49
240,-0.81,-0.22,-0.18,-75.50,18.25,50.90
250,-0.68,-0.34,-0.20,-69.64,19.90,39.79
260,-0.81,-0.54,-0.18,-54.93,4.70,7.93
270,-0.97,-0.68,-0.24,-42.97,-14.47,-13.98
280,-1.04,-0.76,-0.30,-39.92,-23.80,-20.08
290,-0.90,-0.85,-0.25,-36.38,-5.80,8.18
300,-0.76,-0.90,-0.26,-30.46,2.14,20.45
310,-0.70,-0.93,-0.25,-25.51,5.55,14.53
320,-0.70,-0.98,-0.24,-18.92,3.91,5.13
330,-0.76,-0.99,-0.24,-4.76,1.34,-4.70
340,-0.78,-0.97,-0.25,2.87,2.32,-5.25
350,-0.81,-0.96,-0.23,6.71,7.26,-4.76
360,-0.83,-0.94,-0.17,15.93,12.82,-1.71
370,-0.80,-0.87,-0.16,28.02,12.51,0.55
380,-0.83,-0.78,-0.17,42.60,9.40,-3.91
390,-0.89,-0.64,-0.22,57.56,0.00,-17.33
400,-0.95,-0.56,-0.21,61.04,-0.18,-21.24
410,-0.98,-0.46,-0.13,62.68,12.15,-19.10
420,-0.96,-0.26,-0.06,68.54,27.16,-4.94
430,-0.97,-0.10,-0.07,77.64,30.88,0.24
440,-1.00,0.07,-0.15,87.77,24.17,-7.45
450,-1.05,0.26,-0.25,91.80,17.94,-19.29
460,-1.11,0.49,-0.27,79.35,12.82,-24.96
470,-0.96,0.72,-0.25,58.65,20.08,-29.54
480,-1.20,0.73,-0.10,40.71,36.13,-8.79
490,-1.20,0.75,-0.13,27.47,34.48,-3.23
500,-1.25,0.78,-0.12,16.66,23.99,-3.85
510,-1.30,0.73,-0.12,12.02,8.06,7.75
520,-1.27,0.66,-0.21,0.06,1.34,11.78
530,-1.22,0.59,-0.24,-25.82,0.49,14.34
540,-1.15,0.47,-0.21,-43.70,-2.08,16.60
550,-1.12,0.29,-0.15,-56.82,-5.68,9.52
560,-1.17,0.16,-0.14,-59.33,-8.97,7.02
570,-1.22,0.06,-0.16,-57.43,-13.37,7.20
580,-1.25,-0.02,-0.23,-57.56,-11.54,14.71
590,-1.22,-0.08,-0.28,-60.85,-8.85,26.06
600,-1.12,-0.14,-0.29,-66.65,-6.23,35.71
610,-0.97,-0.21,-0.25,-70.80,-1.28,38.57
620,-0.82,-0.32,-0.18,-66.89,-3.54,28.08
630,-0.78,-0.43,-0.14,-59.88,-10.44,12.94
640,-0.78,-0.56,-0.11,-50.29,-13.79,-0.79
650,-0.77,-0.67,-0.16,-34.30,-16.60,-7.45
660,-0.78,-0.74,-0.23,-25.94,-12.88,-6.47
670,-0.77,-0.81,-0.27,-18.19,-9.64,-6.47
