timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.91,0.41,-0.25,86.06,32.96,-10.13
10,-0.96,0.55,-0.28,79.65,37.60,-12.02
20,-1.06,0.68,-0.35,66.89,32.78,-15.44
30,-1.14,0.73,-0.39,55.05,23.13,-21.42
40,-1.18,0.77,-0.39,41.44,17.88,-21.79
50,-1.27,0.79,-0.33,19.65,10.99,-16.30
60,-1.32,0.78,-0.29,5.00,8.00,-5.37
70,-1.30,0.74,-0.26,-7.32,2.20,2.99
80,-1.28,0.73,-0.25,-16.72,-3.60,7.57
90,-1.23,0.68,-0.26,-30.64,-13.43,15.08
100,-1.17,0.61,-0.25,-42.60,-19.59,17.88
110,-1.13,0.53,-0.23,-52.19,-22.83,18.37
120,-1.13,0.42,-0.20,-59.69,-25.94,17.33
130,-1.11,0.33,-0.19,-63.60,-28.93,18.07
140,-1.10,0.21,-0.13,-60.73,-24.29,19.53
150,-1.10,0.13,-0.20,-55.73,-24.41,20.81
160,-1.06,0.04,-0.29,-59.20,-22.03,26.31
170,-0.93,-0.09,-0.29,-67.81,-16.72,19.71
180,-0.93,-0.15,-0.23,-73.36,-7.81,6.16
190,-1.00,-0.31,-0.21,-73.18,-22.16,8.18
200,-0.98,-0.40,-0.17,-71.78,-23.32,4.15
210,-0.91,-0.49,-0.12,-67.75,-21.06,6.16
220,-0.84,-0.61,-0.10,-58.47,-23.01,11.05
230,-0.82,-0.66,-0.11,-53.71,-19.53,8.30
240,-0.83,-0.72,-0.08,-48.95,-14.16,0.73
250,-0.86,-0.77,-0.04,-38.02,-15.20,-5.80
260,-0.87,-0.79,-0.02,-26.86,-11.11,-5.68
270,-0.85,-0.80,-0.03,-15.69,-4.33,-1.28
280,-0.84,-0.80,-0.03,-1.34,9.95,3.66
290,-0.84,-0.79,-0.01,9.34,14.16,6.23
300,-0.82,-0.76,-0.01,21.06,15.44,5.92
310,-0.83,-0.70,-0.08,33.81,21.55,1.95
320,-0.87,-0.65,-0.11,40.10,25.76,-1.71
330,-0.88,-0.60,-0.16,42.60,24.78,-3.78
340,-0.91,-0.57,-0.17,44.19,23.86,-6.59
350,-0.94,-0.49,-0.17,48.03,21.85,-9.40
360,-0.94,-0.42,-0.19,49.99,20.57,-8.12
370,-0.94,-0.33,-0.22,49.74,18.92,-11.23
