timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.07,0.42,-0.26,-51.27,-2.50,10.01
10,-1.08,0.32,-0.25,-51.45,1.59,15.20
20,-1.06,0.16,-0.27,-52.12,2.50,19.59
30,-1.03,0.09,-0.27,-53.83,2.69,15.44
40,-1.05,0.06,-0.26,-57.86,5.68,18.68
50,-1.06,-0.07,-0.24,-60.85,8.12,29.54
60,-0.99,-0.18,-0.16,-59.57,14.22,25.57
70,-0.96,-0.24,-0.12,-49.50,11.47,17.52
80,-0.96,-0.32,-0.15,-38.57,7.57,16.54
90,-0.98,-0.38,-0.25,-25.21,2.14,11.17
100,-0.99,-0.40,-0.33,-21.91,-4.58,4.09
110,-1.00,-0.44,-0.36,-23.62,-6.04,-3.17
120,-1.00,-0.49,-0.29,-23.99,-0.06,-4.82
130,-0.99,-0.51,-0.22,-17.88,3.30,-2.08
140,-0.97,-0.52,-0.19,-9.16,2.44,0.55
150,-0.93,-0.52,-0.19,0.43,-1.34,0.37
160,-0.92,-0.51,-0.21,3.54,-4.21,-2.99
170,-0.93,-0.50,-0.20,4.46,-3.48,-7.02
180,-0.96,-0.51,-0.15,6.47,-1.10,-10.13
190,-1.00,-0.52,-0.09,15.87,1.16,-10.62
200,-1.00,-0.44,-0.16,29.91,-3.48,-7.08
210,-0.97,-0.39,-0.20,32.17,-2.62,-3.85
220,-0.95,-0.37,-0.17,33.08,-1.22,-3.85
230,-0.98,-0.33,-0.23,35.03,-3.36,-5.13
240,-0.95,-0.22,-0.33,31.37,-1.71,-3.91
250,-0.94,-0.19,-0.27,28.81,-0.92,-6.10
260,-0.94,-0.17,-0.15,36.62,-0.31,-10.50
270,-1.00,-0.07,-0.19,56.09,-0.31,-11.84
280,-0.99,0.06,-0.29,61.77,1.46,-7.26
290,-0.98,0.16,-0.35,55.42,-0.73,-4.33
300,-0.94,0.24,-0.28,48.03,5.98,-3.91
310,-0.96,0.31,-0.25,48.77,11.11,-6.65
320,-0.97,0.41,-0.28,49.26,13.85,-8.06
330,-1.03,0.50,-0.29,45.04,11.11,-13.18
340,-1.05,0.59,-0.29,39.86,6.41,-15.56
350,-1.03,0.64,-0.29,31.92,2.20,-15.38
360,-1.06,0.71,-0.22,18.62,5.86,-17.88
370,-1.08,0.70,-0.22,13.37,6.53,-11.96
380,-1.08,0.76,-0.24,7.02,7.26,-8.91
390,-1.06,0.76,-0.24,0.18,4.52,-4.46
400,-1.07,0.76,-0.25,-5.25,1.77,1.16
410,-1.07,0.73,-0.30,-13.12,0.79,3.36
420,-1.05,0.70,-0.30,-22.71,0.49,6.65
430,-1.03,0.60,-0.27,-33.20,-4.03,7.75
440,-1.03,0.54,-0.25,-38.76,-9.95,6.35
450,-1.03,0.46,-0.23,-43.64,-8.85,7.87
460,-1.05,0.37,-0.20,-45.04,3.17,16.36
470,-1.04,0.30,-0.20,-43.76,10.01,24.41
480,-1.02,0.23,-0.23,-42.11,13.06,30.94
490,-1.00,0.15,-0.30,-43.58,13.73,28.75
500,-1.01,0.13,-0.33,-57.01,8.24,22.64
510,-1.02,-0.00,-0.27,-66.04,3.30,28.99
520,-1.02,-0.12,-0.16,-62.26,4.03,23.56
530,-0.98,-0.18,-0.17,-44.74,-7.81,19.65
540,-0.96,-0.22,-0.28,-35.34,-17.76,18.01
550,-0.95,-0.27,-0.35,-34.85,-14.04,12.15
560,-0.93,-0.37,-0.34,-39.25,1.34,4.46
570,-0.96,-0.47,-0.23,-34.18,9.95,0.79
580,-0.97,-0.52,-0.21,-23.32,3.97,-0.98
590,-0.94,-0.57,-0.21,-11.41,-6.29,-3.17
600,-0.91,-0.59,-0.21,-6.35,-6.10,-5.74
610,-0.92,-0.60,-0.17,-3.11,-2.62,-9.46
620,-0.94,-0.59,-0.12,2.99,5.00,-9.89
630,-0.95,-0.56,-0.09,8.30,5.49,-8.79
640,-0.93,-0.53,-0.08,14.10,5.43,-7.32
650,-0.94,-0.50,-0.11,18.98,8.00,-5.80
660,-0.95,-0.47,-0.14,22.83,12.82,-4.09
670,-1.00,-0.44,-0.17,26.92,12.08,-3.17
680,-1.00,-0.38,-0.24,27.83,7.02,-0.55
690,-1.00,-0.34,-0.26,23.44,1.22,1.10
700,-0.98,-0.30,-0.25,23.38,0.00,-0.55
710,-0.99,-0.26,-0.28,24.35,-1.40,-3.36
720,-0.97,-0.17,-0.25,26.12,-2.87,-8.18
730,-0.97,-0.13,-0.19,29.17,0.37,-10.74
740,-1.01,-0.08,-0.14,38.39,8.30,-13.55
750,-1.00,0.07,-0.25,48.89,6.41,-7.69
760,-0.94,0.16,-0.30,48.89,4.39,-7.08
770,-0.94,0.25,-0.31,46.57,6.41,-15.56
780,-0.97,0.34,-0.26,44.68,10.31,-21.91
790,-0.98,0.40,-0.23,47.85,13.49,-21.24
800,-0.99,0.48,-0.25,49.74,17.15,-20.45
810,-1.00,0.61,-0.37,42.05,16.78,-23.62
820,-1.04,0.69,-0.31,36.50,12.39,-23.80
