timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.45,0.98,-0.30,-1.77,15.01,17.88
10,-1.33,0.96,-0.37,-14.47,-0.18,19.04
20,-1.22,0.88,-0.40,-29.05,-17.15,12.63
30,-1.12,0.76,-0.41,-49.13,-30.82,4.76
40,-1.05,0.63,-0.41,-66.35,-28.20,10.19
50,-1.01,0.45,-0.37,-81.30,-22.58,17.52
60,-0.98,0.20,-0.31,-90.27,-16.66,22.16
70,-0.97,0.04,-0.30,-89.36,-14.59,24.35
80,-0.98,-0.12,-0.32,-87.22,-9.40,25.57
90,-0.97,-0.31,-0.35,-84.11,-3.11,27.89
100,-0.98,-0.48,-0.36,-81.48,-0.98,27.16
110,-0.95,-0.64,-0.37,-75.07,-0.31,25.82
120,-0.93,-0.84,-0.41,-60.79,-2.93,19.65
130,-0.93,-0.95,-0.43,-52.00,-3.30,13.18
140,-0.89,-1.04,-0.36,-44.13,-4.33,8.42
150,-0.83,-1.10,-0.27,-30.64,-3.23,3.05
160,-0.80,-1.13,-0.17,-18.80,-3.66,-3.72
170,-0.81,-1.12,-0.11,-3.05,-3.60,-9.16
180,-0.84,-1.05,-0.10,19.78,-2.32,-10.62
190,-0.86,-0.93,-0.18,35.64,-4.76,-11.90
200,-0.88,-0.81,-0.26,46.94,-6.53,-13.18
210,-0.92,-0.64,-0.33,56.21,-4.21,-14.28
220,-0.92,-0.52,-0.34,63.29,-1.04,-13.06
230,-0.87,-0.37,-0.34,71.11,3.78,-11.47
240,-0.82,-0.27,-0.33,75.62,7.26,-11.41
250,-0.82,-0.21,-0.29,83.37,7.69,-17.27
260,-0.85,-0.08,-0.30,94.18,2.38,-27.04
270,-0.91,0.21,-0.33,94.36,11.60,-25.70
280,-0.98,0.45,-0.30,83.07,29.97,-13.61
290,-1.01,0.65,-0.25,70.86,44.19,2.32
300,-1.02,0.84,-0.28,60.79,42.48,9.09
310,-1.12,0.97,-0.35,50.72,31.31,-0.92
320,-1.21,1.05,-0.37,32.90,25.57,-3.91
330,-1.25,1.07,-0.36,11.90,22.71,2.69
340,-1.29,1.00,-0.33,-15.56,17.09,10.25
350,-1.29,0.90,-0.31,-33.08,10.50,13.37
360,-1.25,0.78,-0.28,-46.63,0.85,14.95
370,-1.19,0.63,-0.27,-59.94,-6.90,16.78
380,-1.13,0.51,-0.30,-67.75,-7.08,19.23
390,-1.11,0.40,-0.34,-74.95,-4.33,19.65
400,-1.06,0.20,-0.32,-83.62,-1.04,19.47
410,-1.06,0.05,-0.32,-85.33,-1.28,17.09
420,-1.06,-0.06,-0.37,-86.61,-4.39,16.60
430,-0.97,-0.26,-0.38,-90.94,-7.39,17.52
440,-0.95,-0.45,-0.38,-87.34,-8.54,10.01
450,-0.94,-0.61,-0.42,-79.83,-10.86,2.75
460,-0.94,-0.77,-0.45,-71.35,-9.28,-3.60
470,-0.92,-0.89,-0.49,-59.51,-7.75,-6.59
480,-0.85,-0.96,-0.45,-52.43,-10.01,-7.32
490,-0.81,-1.05,-0.35,-42.66,-13.06,-11.11
500,-0.78,-1.10,-0.26,-27.22,-17.15,-14.53
510,-0.76,-1.12,-0.17,-2.44,-18.43,-15.69
520,-0.76,-1.05,-0.22,14.16,-16.42,-14.34
530,-0.82,-0.97,-0.28,25.76,-10.74,-12.27
540,-0.81,-0.88,-0.28,34.06,-4.76,-6.90
550,-0.82,-0.81,-0.26,45.53,1.46,-0.92
560,-0.82,-0.65,-0.29,63.05,7.63,3.17
570,-0.79,-0.51,-0.33,72.63,6.29,4.52
580,-0.79,-0.42,-0.32,78.92,5.07,-1.53
590,-0.82,-0.27,-0.31,81.73,9.58,-6.77
600,-0.89,-0.09,-0.27,80.81,30.46,0.06
610,-0.92,0.06,-0.24,83.07,40.47,6.53
620,-0.97,0.25,-0.24,90.09,33.75,1.53
630,-1.05,0.49,-0.36,93.51,20.32,-10.38
640,-1.14,0.79,-0.46,76.11,15.14,-15.20
650,-1.17,0.92,-0.44,53.34,20.87,-8.12
660,-1.14,0.98,-0.38,30.33,23.44,0.00
670,-1.13,0.96,-0.27,11.78,20.45,-1.46
680,-1.16,0.89,-0.18,-3.23,11.05,-8.24
690,-1.23,0.81,-0.18,-10.86,3.11,-9.28
700,-1.30,0.75,-0.23,-19.90,-0.98,-5.07
710,-1.29,0.71,-0.28,-33.75,-3.60,5.98
720,-1.20,0.60,-0.31,-52.92,-5.68,19.53
730,-1.15,0.50,-0.31,-63.96,-5.86,21.48
740,-1.10,0.39,-0.29,-70.50,-8.97,21.30
750,-1.04,0.24,-0.28,-73.30,-12.45,21.79
760,-0.98,0.13,-0.31,-75.50,-10.80,23.68
770,-0.96,0.02,-0.33,-80.44,-6.10,25.09
780,-0.89,-0.15,-0.32,-84.78,-2.56,24.41
790,-0.88,-0.32,-0.30,-82.40,-5.37,15.63
800,-0.93,-0.48,-0.29,-72.94,-11.84,3.42
810,-0.94,-0.64,-0.37,-57.19,-16.05,-1.16
820,-0.94,-0.72,-0.42,-49.50,-10.44,-0.79
830,-0.91,-0.79,-0.44,-44.98,-7.14,0.67
840,-0.87,-0.92,-0.37,-34.97,-5.49,-0.67
850,-0.85,-0.99,-0.30,-20.39,-8.85,-4.52
860,-0.82,-1.02,-0.29,-2.69,-13.73,-7.32
870,-0.82,-0.99,-0.29,13.61,-8.42,-7.81
880,-0.83,-0.95,-0.27,21.36,-1.22,-6.47
890,-0.82,-0.91,-0.25,30.64,1.28,-2.99
900,-0.81,-0.83,-0.25,48.03,3.66,-3.17
910,-0.87,-0.75,-0.28,61.04,7.32,-5.37
920,-0.90,-0.64,-0.33,70.98,7.87,-5.86
930,-0.89,-0.52,-0.37,77.51,6.23,-4.94
940,-0.83,-0.37,-0.36,83.19,10.80,-5.98
950,-0.84,-0.22,-0.34,87.10,27.59,-7.02
960,-0.87,0.10,-0.25,93.69,42.48,-4.94
970,-0.86,0.32,-0.26,97.96,39.37,-6.29
980,-0.89,0.54,-0.33,97.11,35.64,-16.24
990,-1.02,0.83,-0.40,81.67,36.56,-26.31
1000,-1.18,0.97,-0.41,63.48,40.04,-24.05
1010,-1.14,1.11,-0.44,44.68,41.38,-18.37
1020,-1.34,1.06,-0.41,25.51,27.53,11.17
1030,-1.31,1.11,-0.46,7.45,18.74,7.87
1040,-1.33,1.04,-0.43,-15.38,6.84,13.18
1050,-1.26,0.95,-0.35,-37.05,1.53,13.06
1060,-1.20,0.80,-0.29,-55.42,-5.49,20.94
1070,-1.14,0.68,-0.33,-64.27,-10.50,22.71
1080,-1.10,0.54,-0.35,-72.75,-13.55,21.36
1090,-1.10,0.30,-0.39,-81.05,-14.04,20.14
1100,-1.08,0.15,-0.47,-85.94,-15.50,21.18
1110,-1.07,-0.06,-0.46,-91.37,-17.82,21.24
1120,-1.01,-0.27,-0.39,-90.21,-18.49,17.46
1130,-0.94,-0.51,-0.37,-77.27,-16.54,14.95
1140,-0.89,-0.66,-0.40,-65.80,-11.90,12.33
1150,-0.88,-0.85,-0.36,-55.18,-5.68,4.58
1160,-0.83,-0.96,-0.37,-45.65,-7.39,-0.92
1170,-0.83,-1.04,-0.34,-35.16,-9.28,-3.11
1180,-0.79,-1.09,-0.30,-25.27,-10.13,-3.85
1190,-0.74,-1.12,-0.21,-8.85,-7.51,-3.78
1200,-0.73,-1.09,-0.19,6.29,-5.74,-3.60
1210,-0.74,-1.04,-0.21,21.73,-7.32,-4.15
1220,-0.78,-0.90,-0.22,41.81,0.18,-0.12
1230,-0.72,-0.76,-0.33,53.96,-4.15,4.64
1240,-0.82,-0.64,-0.36,62.07,5.37,-0.06
1250,-0.89,-0.47,-0.41,68.30,5.80,-11.05
1260,-0.93,-0.36,-0.43,71.53,3.78,-14.77
1270,-0.93,-0.24,-0.40,72.69,5.55,-16.72
1280,-0.94,-0.03,-0.33,71.96,15.87,-15.69
1290,-0.95,0.15,-0.30,71.04,23.07,-13.31
1300,-0.97,0.32,-0.28,71.59,24.72,-14.65
1310,-1.00,0.52,-0.30,72.81,21.42,-20.08
1320,-1.09,0.75,-0.39,66.71,19.47,-23.01
1330,-1.15,0.87,-0.42,53.10,18.01,-19.41
1340,-1.17,0.93,-0.40,35.22,16.11,-11.54
1350,-1.19,0.95,-0.30,10.44,14.89,-2.08
1360,-1.16,0.91,-0.25,-4.52,9.83,2.93
1370,-1.19,0.89,-0.17,-16.11,10.13,9.28
1380,-1.17,0.85,-0.22,-28.87,10.13,15.93
1390,-1.14,0.80,-0.28,-40.04,5.00,22.58
1400,-1.10,0.69,-0.31,-52.98,2.08,22.28
1410,-1.10,0.50,-0.36,-67.02,-4.15,15.08
1420,-1.14,0.36,-0.40,-73.43,-9.40,11.35
1430,-1.16,0.21,-0.42,-78.74,-10.01,17.21
1440,-1.07,0.00,-0.40,-81.54,-4.64,29.91
1450,-1.00,-0.13,-0.39,-80.44,-0.92,32.29
1460,-0.92,-0.25,-0.39,-77.27,2.56,29.97
1470,-0.91,-0.42,-0.39,-72.14,4.70,23.68
1480,-0.94,-0.67,-0.40,-61.04,-1.53,9.83
1490,-0.97,-0.81,-0.43,-52.25,-6.47,1.28
1500,-0.94,-0.95,-0.44,-41.14,-8.67,0.12
1510,-0.88,-1.01,-0.43,-30.76,-11.72,-0.12
1520,-0.81,-1.04,-0.40,-20.57,-15.01,-1.59
1530,-0.78,-1.06,-0.32,-10.93,-11.66,-5.43
