timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.95,-0.29,-0.25,27.28,1.46,-1.89
10,-0.95,-0.24,-0.24,31.49,2.38,-4.94
20,-1.00,-0.16,-0.30,34.48,-6.04,-10.86
30,-0.99,-0.12,-0.29,33.63,-13.61,-15.44
40,-0.97,-0.10,-0.26,36.13,-14.10,-15.75
50,-0.96,-0.05,-0.28,37.54,-9.89,-16.85
60,-0.96,0.00,-0.27,38.82,-2.26,-17.21
70,-0.97,0.06,-0.27,38.76,-1.16,-19.65
80,-0.93,0.11,-0.25,40.71,-4.09,-19.35
90,-0.93,0.17,-0.23,46.69,-0.55,-23.86
100,-0.92,0.23,-0.25,51.39,6.23,-25.02
110,-0.96,0.29,-0.29,53.16,13.43,-24.17
120,-0.97,0.37,-0.33,46.81,19.41,-20.94
130,-0.96,0.42,-0.30,41.26,22.16,-17.76
140,-0.95,0.49,-0.33,33.94,18.68,-24.35
150,-1.05,0.51,-0.27,28.99,9.77,-19.71
160,-1.08,0.56,-0.29,22.09,10.74,-23.50
170,-1.07,0.58,-0.28,14.59,9.09,-19.41
180,-1.10,0.58,-0.28,5.00,5.13,-12.76
190,-1.13,0.57,-0.30,-4.76,3.60,-11.29
200,-1.17,0.55,-0.29,-14.77,2.26,-7.63
210,-1.18,0.53,-0.28,-24.11,-1.34,1.04
220,-1.15,0.50,-0.26,-34.06,-1.10,14.04
230,-1.12,0.48,-0.24,-39.98,2.32,21.79
240,-1.10,0.44,-0.21,-43.58,5.13,28.44
250,-1.08,0.40,-0.21,-41.56,1.71,32.35
260,-1.08,0.39,-0.28,-39.73,-3.60,35.52
270,-1.05,0.37,-0.35,-41.93,-6.53,37.96
280,-1.04,0.31,-0.38,-50.42,-5.43,38.70
290,-1.06,0.24,-0.37,-57.31,-6.90,40.77
300,-1.02,0.13,-0.31,-60.85,-7.39,37.60
310,-1.00,0.11,-0.30,-66.41,-10.86,28.08
320,-0.99,-0.03,-0.28,-64.33,-15.87,41.63
330,-0.92,-0.10,-0.28,-58.90,-10.07,34.00
340,-0.92,-0.15,-0.36,-54.69,-9.22,20.45
350,-0.96,-0.24,-0.38,-54.26,-11.60,12.33
360,-0.98,-0.33,-0.37,-52.73,-13.85,4.33
370,-0.96,-0.44,-0.32,-47.49,-18.31,-2.44
380,-0.91,-0.50,-0.29,-42.48,-15.75,-4.39
390,-0.88,-0.58,-0.23,-37.11,-8.24,-7.20
400,-0.90,-0.65,-0.16,-23.44,-2.08,-10.31
410,-0.92,-0.66,-0.17,-12.21,0.12,-10.44
420,-0.93,-0.64,-0.21,-3.23,3.72,-9.46
430,-0.92,-0.60,-0.22,3.54,5.55,-5.86
440,-0.93,-0.56,-0.22,6.59,8.18,-3.97
450,-0.93,-0.55,-0.18,9.03,11.11,-4.03
460,-0.92,-0.52,-0.14,16.66,8.36,-5.55
470,-0.93,-0.50,-0.14,23.99,2.50,-8.18
480,-0.96,-0.47,-0.15,31.80,-1.46,-11.78
490,-0.99,-0.43,-0.19,38.94,-3.60,-13.49
500,-1.03,-0.35,-0.26,41.02,-0.73,-11.60
510,-1.01,-0.28,-0.30,35.40,3.17,-5.68
520,-0.96,-0.23,-0.27,29.60,4.76,-0.67
530,-0.96,-0.21,-0.19,31.62,-3.11,-8.06
540,-0.95,-0.17,-0.16,41.75,-7.87,-15.63
550,-0.98,-0.08,-0.19,52.86,-5.00,-20.39
560,-0.95,0.02,-0.22,61.10,1.71,-18.25
570,-0.98,0.09,-0.26,63.90,4.15,-19.71
580,-0.98,0.19,-0.29,63.48,8.36,-21.48
590,-0.98,0.25,-0.28,62.01,10.19,-21.24
600,-0.98,0.34,-0.27,60.61,12.45,-23.62
610,-1.00,0.41,-0.28,59.57,13.49,-22.16
620,-1.03,0.50,-0.33,55.91,13.85,-19.23
630,-0.97,0.63,-0.41,41.44,14.77,-16.17
640,-1.03,0.67,-0.31,32.53,16.85,-3.11
650,-1.02,0.69,-0.29,20.51,20.57,-7.14
660,-1.07,0.73,-0.22,14.34,16.48,-10.01
670,-1.15,0.74,-0.24,10.44,3.85,-6.47
680,-1.17,0.74,-0.30,1.95,-3.36,3.30
690,-1.12,0.70,-0.30,-13.85,-0.92,15.44
700,-1.11,0.65,-0.29,-25.15,-2.69,20.69
710,-1.09,0.59,-0.28,-35.28,-7.81,22.71
720,-1.04,0.49,-0.22,-42.54,-13.73,23.13
730,-1.05,0.43,-0.22,-43.33,-17.46,21.24
740,-1.05,0.36,-0.22,-44.68,-18.68,20.87
750,-1.06,0.32,-0.27,-47.12,-16.42,21.61
760,-1.06,0.25,-0.32,-58.11,-11.47,26.06
770,-1.01,0.16,-0.34,-66.53,-4.03,29.85
780,-0.95,0.04,-0.28,-68.73,8.79,28.56
790,-0.98,-0.02,-0.22,-60.24,27.04,28.81
800,-1.01,-0.10,-0.25,-51.09,29.66,30.09
810,-0.96,-0.15,-0.31,-48.22,22.89,21.12
820,-0.99,-0.20,-0.33,-45.72,16.36,9.89
830,-0.96,-0.28,-0.39,-45.35,7.02,7.57
840,-0.93,-0.39,-0.36,-46.88,6.84,0.98
850,-0.96,-0.52,-0.30,-42.36,1.34,-13.79
860,-0.99,-0.57,-0.29,-36.32,-7.02,-17.82
870,-0.96,-0.59,-0.27,-28.93,-10.74,-15.01
880,-0.92,-0.60,-0.24,-22.95,-7.39,-9.77
890,-0.88,-0.60,-0.21,-15.20,-0.06,-5.31
900,-0.89,-0.61,-0.18,-10.50,3.91,-5.25
910,-0.91,-0.60,-0.13,-3.54,4.09,-6.29
920,-0.91,-0.57,-0.13,2.87,3.60,-4.46
930,-0.92,-0.54,-0.18,7.14,6.47,-1.10
940,-0.91,-0.52,-0.16,10.93,11.47,3.30
950,-0.90,-0.52,-0.17,18.86,11.66,6.35
960,-0.96,-0.50,-0.20,25.27,6.77,3.05
970,-0.96,-0.47,-0.26,30.27,-0.49,2.32
980,-0.97,-0.41,-0.32,32.53,-4.82,0.49
990,-0.96,-0.36,-0.33,32.17,0.12,1.04
1000,-0.98,-0.32,-0.35,30.64,6.23,0.67
1010,-1.06,-0.30,-0.35,29.42,10.56,0.00
1020,-1.02,-0.28,-0.18,38.94,7.81,4.88
1030,-0.99,-0.17,-0.18,57.74,1.83,4.52
1040,-0.97,-0.01,-0.25,76.23,-6.59,-3.48
1050,-0.96,0.17,-0.32,77.58,-7.45,-11.66
1060,-0.92,0.29,-0.30,73.79,0.79,-12.33
1070,-0.98,0.43,-0.29,69.34,16.17,-12.27
1080,-0.97,0.54,-0.33,64.58,19.35,-8.36
1090,-0.94,0.62,-0.39,55.91,15.01,-5.80
1100,-0.93,0.76,-0.29,45.65,15.69,-5.43
1110,-0.97,0.80,-0.29,37.23,12.82,-15.56
1120,-1.03,0.86,-0.32,25.76,9.64,-26.61
1130,-1.09,0.88,-0.30,15.63,6.96,-25.15
1140,-1.18,0.84,-0.36,2.14,3.17,-12.02
1150,-1.19,0.84,-0.33,-8.91,2.01,-5.74
1160,-1.16,0.78,-0.33,-19.17,-1.46,1.46
1170,-1.16,0.70,-0.34,-33.57,-7.08,4.64
1180,-1.16,0.63,-0.30,-45.29,-9.77,6.59
1190,-1.14,0.55,-0.23,-52.12,-14.47,10.38
1200,-1.11,0.42,-0.18,-52.49,-16.97,15.38
1210,-1.10,0.33,-0.19,-49.99,-15.93,16.17
1220,-1.09,0.27,-0.20,-47.30,-12.94,18.07
1230,-1.05,0.19,-0.26,-48.10,-7.32,26.00
1240,-1.00,0.07,-0.29,-52.00,0.79,31.19
1250,-0.93,-0.03,-0.21,-52.31,8.06,29.24
1260,-0.92,-0.07,-0.18,-50.17,10.19,24.84
1270,-0.94,-0.19,-0.22,-45.35,4.76,34.73
1280,-0.90,-0.27,-0.31,-45.90,3.97,27.40
1290,-0.86,-0.33,-0.35,-48.83,4.94,21.30
1300,-0.88,-0.48,-0.37,-46.20,5.00,15.08
1310,-0.95,-0.58,-0.39,-41.32,2.32,5.74
1320,-0.96,-0.65,-0.36,-34.24,-0.79,0.79
1330,-0.94,-0.70,-0.36,-22.46,-7.32,-2.38
1340,-0.93,-0.72,-0.33,-16.30,-7.32,-4.15
1350,-0.93,-0.75,-0.26,-10.68,-7.57,-4.46
1360,-0.94,-0.74,-0.18,1.53,-5.62,-1.89
1370,-0.95,-0.71,-0.18,12.82,-1.10,2.38
1380,-0.97,-0.65,-0.19,21.61,3.91,3.36
1390,-1.03,-0.62,-0.21,30.27,1.04,3.85
1400,-1.08,-0.57,-0.23,35.16,-4.70,1.59
1410,-1.12,-0.52,-0.26,40.83,-8.48,2.62
1420,-1.08,-0.44,-0.25,45.90,-8.97,7.63
1430,-0.98,-0.36,-0.24,56.15,-4.09,13.06
1440,-0.93,-0.27,-0.23,63.66,4.82,13.73
1450,-0.86,-0.14,-0.28,68.73,10.44,12.27
1460,-0.80,-0.02,-0.33,67.20,10.07,7.51
1470,-0.77,0.07,-0.32,63.05,9.89,-1.95
1480,-0.79,0.15,-0.26,61.28,15.63,-12.82
1490,-0.82,0.33,-0.28,63.84,21.18,-17.40
1500,-0.85,0.42,-0.32,61.95,16.78,-20.51
1510,-0.88,0.50,-0.32,58.23,14.16,-28.63
1520,-0.96,0.56,-0.34,50.84,6.53,-37.17
1530,-1.04,0.64,-0.40,39.55,3.72,-44.01
1540,-1.12,0.71,-0.29,33.94,1.89,-29.05
1550,-1.16,0.77,-0.31,21.24,9.46,-11.41
1560,-1.10,0.81,-0.32,11.84,17.64,0.06
1570,-1.08,0.78,-0.32,2.44,14.95,6.16
1580,-1.13,0.76,-0.29,-9.22,6.29,-1.22
1590,-1.15,0.77,-0.30,-18.07,-3.91,-1.46
1600,-1.13,0.73,-0.30,-28.02,-6.10,5.98
1610,-1.08,0.67,-0.28,-40.89,-1.65,14.53
1620,-1.04,0.59,-0.26,-49.13,-1.77,16.97
1630,-1.04,0.52,-0.24,-52.80,-5.31,13.55
1640,-1.10,0.44,-0.24,-51.57,-8.54,10.74
1650,-1.13,0.37,-0.33,-49.87,-14.89,18.80
1660,-1.09,0.30,-0.34,-52.92,-11.72,30.46
1670,-1.06,0.23,-0.31,-56.64,-5.25,41.20
1680,-0.96,0.07,-0.25,-58.17,0.37,44.01
1690,-0.92,0.02,-0.29,-64.27,-1.28,35.71
1700,-0.99,-0.15,-0.25,-65.00,-9.89,37.35
1710,-0.98,-0.27,-0.22,-56.64,-19.47,24.84
1720,-0.94,-0.33,-0.30,-48.77,-24.05,24.72
1730,-0.94,-0.40,-0.33,-46.69,-14.53,23.25
1740,-0.96,-0.54,-0.28,-46.81,0.73,15.93
1750,-1.01,-0.64,-0.22,-38.33,0.37,8.30
1760,-1.05,-0.68,-0.21,-23.01,-9.40,3.97
1770,-1.01,-0.68,-0.26,-5.31,-10.62,5.92
1780,-0.97,-0.65,-0.31,1.40,-5.19,8.61
1790,-0.94,-0.63,-0.30,2.75,3.17,10.07
1800,-0.89,-0.61,-0.21,3.54,7.20,5.55
1810,-0.89,-0.58,-0.14,7.26,5.43,-4.33
1820,-0.90,-0.55,-0.10,13.12,0.18,-13.92
1830,-0.97,-0.52,-0.09,23.44,-3.60,-23.68
1840,-1.00,-0.47,-0.11,31.25,-2.87,-24.41
1850,-1.00,-0.43,-0.13,36.32,0.67,-21.24
1860,-1.00,-0.36,-0.17,39.12,5.13,-20.45
1870,-1.02,-0.29,-0.17,41.32,6.53,-21.85
1880,-1.01,-0.24,-0.13,47.06,2.93,-23.93
