timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.80,-0.86,-0.27,-34.36,-31.31,8.79
10,-0.67,-0.91,-0.39,-25.82,-30.76,13.73
20,-0.66,-0.92,-0.36,-20.81,-9.52,13.37
30,-0.68,-0.93,-0.36,-18.19,2.93,16.24
40,-0.67,-0.94,-0.34,-11.96,8.30,18.49
50,-0.71,-0.93,-0.31,4.58,-1.95,12.15
60,-0.73,-0.88,-0.33,16.48,-13.85,1.89
70,-0.79,-0.81,-0.34,25.70,-21.36,-6.71
80,-0.81,-0.71,-0.34,29.91,-16.91,-8.00
90,-0.80,-0.60,-0.32,32.90,-4.52,-1.40
100,-0.84,-0.50,-0.28,36.19,5.19,-1.53
110,-0.87,-0.40,-0.21,44.25,13.18,0.37
120,-0.88,-0.21,-0.23,60.24,10.74,0.61
130,-0.92,-0.07,-0.25,69.09,1.71,-7.26
140,-1.00,0.10,-0.27,72.63,3.17,-16.54
150,-1.08,0.24,-0.27,71.84,11.54,-16.36
160,-1.14,0.41,-0.27,74.89,16.11,-10.68
170,-1.14,0.55,-0.38,75.56,7.39,-9.77
180,-1.17,0.75,-0.46,63.48,5.68,-16.85
190,-1.22,0.86,-0.46,45.41,10.07,-18.37
200,-1.27,0.91,-0.41,27.16,14.34,-13.67
210,-1.30,0.90,-0.39,15.14,10.99,-8.79
220,-1.27,0.85,-0.46,5.92,-4.76,0.43
230,-1.20,0.78,-0.54,-5.62,-13.67,6.10
240,-1.12,0.72,-0.56,-22.95,-17.21,6.16
250,-1.07,0.63,-0.54,-43.09,-19.23,4.27
260,-1.09,0.48,-0.46,-65.55,-18.62,1.95
270,-1.08,0.37,-0.39,-74.34,-18.07,5.80
280,-1.05,0.26,-0.33,-76.29,-17.64,13.00
290,-0.99,0.15,-0.25,-73.00,-16.17,17.27
300,-0.93,0.01,-0.22,-64.58,-19.41,16.97
310,-0.99,-0.07,-0.18,-61.46,-31.25,8.79
320,-0.88,-0.22,-0.38,-61.95,-35.10,9.03
330,-0.90,-0.34,-0.37,-66.22,-25.39,4.39
340,-0.90,-0.44,-0.29,-68.18,-15.87,-0.37
