timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.90,-0.64,-0.28,-63.17,-20.14,19.35
10,-0.90,-0.78,-0.30,-51.70,-19.29,6.23
20,-0.91,-0.85,-0.31,-43.88,-19.04,0.61
30,-0.88,-0.91,-0.30,-37.23,-17.21,-0.73
40,-0.84,-0.98,-0.26,-27.04,-15.87,-5.74
50,-0.81,-0.99,-0.24,-17.76,-14.10,-7.69
60,-0.80,-1.00,-0.19,-8.00,-11.54,-7.39
70,-0.76,-0.96,-0.14,8.48,-2.87,-3.54
80,-0.75,-0.90,-0.13,21.36,2.14,-3.17
90,-0.76,-0.81,-0.17,31.31,2.87,-4.33
100,-0.78,-0.70,-0.23,39.55,1.65,-6.71
110,-0.79,-0.61,-0.25,43.82,5.43,-7.45
120,-0.81,-0.51,-0.26,47.91,9.95,-5.68
130,-0.80,-0.41,-0.25,53.89,17.21,-2.44
140,-0.83,-0.26,-0.25,64.09,20.87,-6.10
150,-0.84,-0.14,-0.25,71.17,19.35,-13.37
160,-0.97,0.05,-0.30,74.89,17.03,-25.45
170,-1.07,0.19,-0.33,71.53,21.00,-26.25
180,-1.15,0.30,-0.33,65.92,31.86,-19.17
190,-1.20,0.43,-0.35,62.81,40.10,-10.31
200,-1.20,0.61,-0.40,55.05,29.24,-5.68
210,-1.18,0.72,-0.39,43.82,19.71,-8.36
220,-1.18,0.79,-0.38,28.32,15.08,-10.19
230,-1.19,0.81,-0.32,7.14,14.28,-6.77
240,-1.20,0.78,-0.28,-3.91,10.38,-2.32
250,-1.20,0.73,-0.25,-11.66,0.98,0.49
260,-1.21,0.65,-0.30,-21.24,-6.35,3.66
270,-1.18,0.58,-0.37,-30.15,-11.84,9.09
280,-1.15,0.49,-0.43,-41.56,-17.46,13.18
290,-1.11,0.33,-0.41,-57.98,-15.75,14.47
300,-1.11,0.21,-0.36,-65.37,-14.83,17.58
310,-1.05,0.08,-0.31,-67.20,-12.57,25.15
320,-1.01,-0.03,-0.28,-66.04,-8.73,32.23
330,-0.93,-0.16,-0.31,-67.75,-2.69,35.40
340,-0.90,-0.26,-0.31,-71.41,-2.01,34.42
350,-0.88,-0.40,-0.28,-74.16,-6.84,28.63
360,-0.86,-0.61,-0.23,-67.69,-13.37,16.78
370,-0.86,-0.73,-0.22,-56.09,-15.32,9.16
380,-0.85,-0.83,-0.24,-43.76,-15.26,4.39
390,-0.85,-0.90,-0.26,-33.26,-12.39,-0.61
400,-0.85,-0.95,-0.26,-22.40,-6.71,-3.60
410,-0.84,-0.97,-0.23,-13.98,-1.59,-3.23
420,-0.84,-0.98,-0.17,1.65,2.50,-2.62
430,-0.86,-0.96,-0.14,16.42,4.58,-2.26
440,-0.87,-0.91,-0.18,32.59,6.04,-1.46
450,-0.89,-0.81,-0.25,45.10,6.04,-1.34
460,-0.89,-0.66,-0.33,51.88,1.95,-1.40
470,-0.87,-0.55,-0.33,53.10,0.49,-2.75
480,-0.86,-0.48,-0.28,55.54,3.60,-4.58
490,-0.84,-0.35,-0.20,65.80,12.45,-5.86
500,-0.83,-0.24,-0.21,76.35,18.07,-6.16
510,-0.86,-0.08,-0.27,82.76,17.58,-11.96
520,-0.94,0.12,-0.37,78.80,8.36,-24.48
530,-0.99,0.24,-0.38,70.07,13.43,-28.32
540,-1.04,0.35,-0.37,60.91,25.88,-23.25
550,-1.07,0.48,-0.36,52.19,36.99,-12.70
560,-1.06,0.57,-0.37,46.63,32.47,-11.84
570,-1.05,0.64,-0.37,38.33,23.80,-18.19
580,-1.13,0.77,-0.29,23.32,17.64,-25.63
590,-1.29,0.74,-0.37,8.06,20.94,-6.29
600,-1.26,0.70,-0.31,-1.65,28.69,8.91
610,-1.19,0.68,-0.33,-8.67,21.79,7.69
620,-1.21,0.58,-0.40,-18.37,-8.48,0.37
630,-1.21,0.48,-0.39,-29.05,-18.31,-6.84
640,-1.22,0.40,-0.38,-41.14,-21.61,-4.46
650,-1.21,0.24,-0.33,-55.05,-17.09,13.85
660,-1.15,0.12,-0.25,-59.02,-8.00,26.86
670,-1.08,0.05,-0.26,-57.56,0.24,39.25
680,-1.01,-0.02,-0.30,-55.79,2.26,47.06
690,-0.95,-0.06,-0.35,-58.59,-5.00,41.81
700,-0.91,-0.16,-0.36,-64.64,-12.33,34.36
710,-0.89,-0.29,-0.32,-67.20,-9.95,31.49
720,-0.84,-0.40,-0.30,-64.39,-10.31,29.72
730,-0.77,-0.51,-0.31,-59.45,-8.91,26.79
740,-0.78,-0.67,-0.31,-54.44,-8.61,11.60
750,-0.86,-0.78,-0.28,-49.13,-9.95,-0.85
760,-0.90,-0.86,-0.24,-40.16,-10.25,-4.39
770,-0.87,-0.94,-0.21,-23.99,-9.22,-2.14
780,-0.88,-0.95,-0.21,-12.82,-5.74,-4.82
790,-0.89,-0.93,-0.19,-1.53,-3.17,-7.02
800,-0.91,-0.90,-0.21,14.47,-3.17,-7.57
810,-0.92,-0.83,-0.22,24.11,-1.40,-7.81
820,-0.93,-0.75,-0.25,31.62,-2.14,-4.88
830,-0.85,-0.63,-0.22,41.81,4.39,2.56
840,-0.82,-0.52,-0.20,51.33,6.96,4.09
850,-0.78,-0.41,-0.20,60.42,6.59,2.20
860,-0.81,-0.25,-0.22,67.69,-4.88,-9.89
870,-0.83,-0.15,-0.21,71.96,-8.79,-12.57
880,-0.86,-0.00,-0.24,77.27,-1.59,-11.78
890,-1.00,0.30,-0.33,76.84,22.77,-6.71
900,-1.08,0.49,-0.33,71.78,29.66,-6.41
910,-1.17,0.64,-0.34,67.02,24.90,-12.08
920,-1.25,0.77,-0.40,61.52,15.99,-16.66
930,-1.31,0.88,-0.48,44.43,5.37,-14.34
940,-1.30,0.92,-0.50,22.28,7.32,-6.71
950,-1.24,0.92,-0.42,-0.61,11.41,3.60
960,-1.15,0.84,-0.35,-22.58,3.97,10.19
970,-1.09,0.76,-0.33,-34.55,-1.89,6.77
980,-1.06,0.66,-0.31,-43.21,-7.63,3.72
990,-1.02,0.51,-0.30,-52.19,-15.14,1.59
1000,-1.01,0.39,-0.30,-58.23,-18.19,0.06
1010,-1.01,0.27,-0.31,-63.60,-19.84,-0.73
1020,-1.00,0.14,-0.30,-66.47,-15.93,2.56
1030,-0.98,-0.02,-0.31,-64.76,-8.79,10.50
1040,-0.98,-0.14,-0.35,-64.09,-6.53,11.90
1050,-0.95,-0.29,-0.34,-66.65,-2.01,13.73
1060,-0.92,-0.41,-0.32,-69.64,-0.73,16.48
1070,-0.93,-0.55,-0.25,-69.27,-3.42,13.67
1080,-0.88,-0.71,-0.15,-56.95,-17.76,7.75
1090,-0.87,-0.80,-0.14,-41.69,-24.60,2.81
1100,-0.87,-0.83,-0.21,-27.34,-23.99,-2.38
1110,-0.90,-0.83,-0.28,-19.59,-11.17,-3.30
1120,-0.93,-0.85,-0.30,-15.44,3.30,0.24
1130,-0.94,-0.86,-0.27,-9.89,6.29,4.52
1140,-0.89,-0.85,-0.24,-1.28,2.69,7.57
1150,-0.85,-0.86,-0.19,11.11,4.46,8.36
1160,-0.87,-0.83,-0.16,23.93,7.81,3.66
1170,-0.91,-0.71,-0.22,41.26,8.12,2.38
1180,-0.91,-0.61,-0.26,49.38,4.39,4.33
1190,-0.89,-0.51,-0.30,53.77,0.98,4.58
1200,-0.85,-0.42,-0.26,56.27,4.58,3.91
1210,-0.83,-0.33,-0.18,66.77,13.24,-0.06
1220,-0.86,-0.22,-0.17,77.70,16.17,-4.70
1230,-0.89,-0.08,-0.20,86.12,17.03,-6.59
1240,-0.96,0.15,-0.31,87.28,19.17,-6.59
1250,-0.99,0.37,-0.37,76.29,20.57,-6.84
1260,-0.97,0.51,-0.31,62.81,23.32,-6.35
1270,-1.03,0.61,-0.21,54.81,23.74,-18.01
1280,-1.12,0.69,-0.24,53.16,13.98,-29.72
1290,-1.21,0.78,-0.30,44.74,6.65,-34.36
1300,-1.31,0.82,-0.33,29.54,9.89,-26.92
1310,-1.33,0.87,-0.34,8.06,11.90,-4.70
1320,-1.27,0.87,-0.36,-7.32,8.85,8.67
1330,-1.20,0.83,-0.39,-22.09,4.15,12.45
1340,-1.12,0.75,-0.43,-41.87,-4.27,12.15
1350,-1.07,0.64,-0.39,-55.60,-11.17,10.13
1360,-1.01,0.46,-0.33,-68.42,-22.22,3.85
1370,-0.99,0.34,-0.29,-72.81,-23.68,2.38
1380,-1.00,0.23,-0.29,-75.44,-17.46,4.39
1390,-1.05,0.12,-0.27,-77.58,-1.65,15.69
1400,-1.01,0.02,-0.34,-79.90,7.14,28.93
1410,-0.96,-0.12,-0.41,-82.89,14.28,42.36
1420,-0.87,-0.32,-0.42,-86.30,17.15,43.64
1430,-0.91,-0.58,-0.39,-84.66,8.30,19.35
1440,-1.02,-0.79,-0.33,-74.83,-12.39,1.34
1450,-0.98,-0.92,-0.31,-52.61,-25.02,-1.16
1460,-0.89,-0.99,-0.33,-39.31,-22.83,1.10
1470,-0.86,-1.02,-0.32,-32.17,-16.48,-5.37
1480,-0.85,-1.03,-0.27,-26.55,-13.79,-9.03
1490,-0.84,-1.08,-0.15,-11.47,-10.19,-7.26
1500,-0.82,-1.04,-0.12,5.86,-4.46,-3.42
1510,-0.82,-0.98,-0.16,20.69,2.26,0.18
1520,-0.82,-0.88,-0.18,35.03,10.80,2.75
1530,-0.82,-0.80,-0.20,45.72,13.18,4.52
1540,-0.85,-0.70,-0.24,55.91,8.73,1.59
1550,-0.85,-0.60,-0.28,63.90,1.95,-0.92
1560,-0.85,-0.51,-0.26,72.63,2.26,-4.64
1570,-0.89,-0.42,-0.25,83.92,10.38,-3.72
1580,-0.90,-0.25,-0.32,94.97,9.95,-1.04
1590,-0.86,-0.04,-0.35,98.51,7.45,-3.17
1600,-0.93,0.16,-0.37,94.67,9.95,-10.80
1610,-0.94,0.35,-0.35,88.50,15.87,-10.31
1620,-0.97,0.57,-0.37,83.07,31.80,-5.00
1630,-0.99,0.75,-0.46,76.35,34.79,-8.48
1640,-1.12,0.89,-0.39,61.95,29.66,-22.77
1650,-1.24,1.00,-0.34,38.21,13.79,-32.78
1660,-1.31,1.05,-0.33,22.71,14.04,-25.63
1670,-1.37,1.06,-0.35,6.90,16.24,-11.47
1680,-1.34,1.01,-0.43,-16.36,9.64,7.81
1690,-1.25,0.91,-0.46,-37.60,0.00,13.37
1700,-1.19,0.76,-0.42,-57.56,-9.58,8.79
1710,-1.14,0.53,-0.34,-74.10,-21.73,5.13
1720,-1.08,0.36,-0.26,-77.33,-21.73,6.90
1730,-1.08,0.19,-0.23,-75.44,-23.25,8.54
1740,-1.07,0.06,-0.26,-71.96,-19.17,11.11
1750,-1.04,-0.06,-0.36,-72.94,-5.55,20.87
1760,-0.99,-0.14,-0.42,-81.67,-3.05,26.31
1770,-0.87,-0.28,-0.39,-91.55,-3.48,28.63
1780,-0.76,-0.53,-0.25,-94.91,-0.49,22.16
1790,-0.77,-0.70,-0.17,-82.34,-1.95,11.66
1800,-0.85,-0.84,-0.18,-54.50,-10.44,-1.59
1810,-0.92,-0.89,-0.26,-35.77,-11.60,-6.10
1820,-0.93,-0.90,-0.33,-25.21,-7.20,-4.21
1830,-0.91,-0.90,-0.36,-22.83,-1.28,-0.49
1840,-0.85,-0.91,-0.26,-18.92,5.86,4.03
1850,-0.80,-0.94,-0.18,-7.32,5.37,6.35
1860,-0.78,-0.94,-0.17,17.09,5.25,6.47
1870,-0.78,-0.91,-0.21,33.75,6.04,1.71
1880,-0.82,-0.88,-0.24,45.04,6.04,-3.72
1890,-0.88,-0.82,-0.30,52.00,10.38,-3.36
1900,-0.88,-0.73,-0.31,58.84,24.54,9.70
1910,-0.86,-0.63,-0.32,67.93,24.66,14.95
