timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.90,-0.59,-0.26,-30.15,-10.19,10.07
10,-0.97,-0.62,-0.30,-28.14,-2.20,1.59
20,-1.05,-0.67,-0.32,-24.05,-4.03,-4.33
30,-1.10,-0.69,-0.29,-15.99,-11.78,-8.91
40,-1.08,-0.68,-0.24,-9.40,-9.46,-7.51
50,-1.03,-0.65,-0.17,-1.53,-3.42,-3.23
60,-0.97,-0.63,-0.12,8.18,2.50,1.89
70,-0.93,-0.58,-0.09,19.29,7.63,3.17
80,-0.91,-0.52,-0.15,31.80,6.47,2.75
90,-0.89,-0.46,-0.21,35.89,6.41,2.87
100,-0.93,-0.41,-0.25,35.95,4.64,-0.92
110,-0.92,-0.32,-0.30,33.81,6.23,-0.37
120,-0.92,-0.27,-0.30,33.33,9.09,-0.98
130,-0.93,-0.23,-0.23,35.10,8.85,-3.91
140,-0.93,-0.18,-0.17,44.62,1.22,-8.18
150,-0.94,-0.08,-0.22,52.19,-5.13,-12.70
160,-0.94,-0.01,-0.28,54.26,-9.70,-16.30
170,-0.98,0.09,-0.33,51.57,-7.39,-18.98
180,-1.00,0.21,-0.29,47.67,-11.05,-18.25
190,-1.01,0.30,-0.26,51.15,1.95,-14.89
200,-1.03,0.42,-0.17,56.27,21.91,-8.91
210,-1.02,0.57,-0.21,58.23,25.57,-0.67
220,-1.00,0.64,-0.21,52.37,19.04,-5.55
230,-0.98,0.74,-0.25,44.31,13.24,-19.47
240,-1.09,0.76,-0.23,39.00,2.69,-16.72
250,-1.12,0.81,-0.31,27.83,7.32,-20.57
260,-1.13,0.81,-0.30,14.71,9.89,-13.24
270,-1.10,0.77,-0.28,1.77,4.27,1.46
280,-1.09,0.73,-0.30,-6.59,2.38,4.70
290,-1.10,0.70,-0.33,-19.35,1.89,9.09
300,-1.09,0.63,-0.30,-29.36,2.56,15.44
310,-1.09,0.55,-0.25,-35.40,2.56,19.59
320,-1.07,0.49,-0.26,-41.32,1.83,25.02
330,-1.05,0.37,-0.22,-44.25,14.83,34.97
340,-1.07,0.29,-0.24,-46.45,12.33,38.02
350,-1.07,0.23,-0.26,-46.94,6.23,42.42
360,-0.99,0.12,-0.27,-47.42,1.46,38.94
