timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.98,-0.69,-0.30,36.19,-8.91,-11.05
10,-0.97,-0.56,-0.28,35.28,-10.07,-8.48
20,-0.95,-0.50,-0.20,39.92,0.31,-5.07
30,-0.95,-0.39,-0.18,47.73,8.61,-2.44
40,-0.89,-0.24,-0.22,51.51,4.33,-3.36
50,-0.85,-0.08,-0.19,47.24,-3.23,-17.70
60,-0.95,0.02,-0.09,43.40,-2.93,-31.80
70,-1.02,0.16,0.03,46.94,5.68,-28.44
80,-0.95,0.35,0.04,54.99,18.01,-6.23
90,-0.92,0.48,-0.03,56.76,22.64,-7.20
100,-0.96,0.62,-0.21,48.71,19.96,-20.69
110,-1.05,0.76,-0.09,46.69,17.64,-36.68
120,-1.16,0.89,-0.13,40.71,12.94,-33.87
130,-1.20,0.98,-0.17,31.49,19.53,-27.16
140,-1.21,1.05,-0.22,23.44,20.75,-15.87
150,-1.20,1.06,-0.27,12.39,16.54,-3.42
160,-1.15,1.03,-0.27,-5.37,11.47,2.99
170,-1.12,0.98,-0.26,-15.93,3.78,8.67
180,-1.08,0.88,-0.23,-26.67,-1.59,12.70
190,-1.06,0.71,-0.20,-33.63,-3.78,12.02
200,-1.08,0.63,-0.18,-36.56,-3.97,13.85
210,-1.16,0.50,-0.14,-36.32,0.67,18.37
220,-1.19,0.39,-0.18,-34.55,5.31,29.24
230,-1.14,0.23,-0.17,-36.93,15.50,49.19
240,-1.06,0.13,-0.22,-38.21,16.24,51.64
250,-1.00,0.08,-0.31,-41.14,11.84,47.00
260,-0.90,-0.01,-0.33,-50.72,6.04,27.40
270,-1.00,-0.18,-0.23,-65.06,9.16,22.16
280,-1.01,-0.39,-0.07,-61.83,6.96,18.25
290,-0.95,-0.49,-0.01,-46.75,-1.71,13.67
300,-0.83,-0.60,-0.09,-33.75,-19.84,15.50
310,-0.79,-0.71,-0.15,-32.53,-18.25,9.52
320,-0.91,-0.81,-0.15,-29.11,-4.76,-2.38
330,-1.00,-0.85,-0.22,-18.62,2.56,-5.19
340,-1.03,-0.87,-0.27,-12.76,0.67,-5.07
350,-1.03,-0.84,-0.28,-8.67,-2.93,-4.88
360,-1.00,-0.83,-0.23,-5.19,-2.75,-3.54
370,-0.96,-0.78,-0.14,2.44,-0.12,-2.38
380,-0.94,-0.73,-0.13,12.51,1.40,0.31
390,-0.95,-0.67,-0.17,23.99,2.32,2.75
400,-0.96,-0.56,-0.24,32.65,-1.04,1.10
410,-0.97,-0.49,-0.30,36.32,-1.89,-1.10
420,-1.00,-0.38,-0.31,39.43,-3.91,-6.90
430,-0.95,-0.28,-0.28,42.30,-7.14,-8.91
440,-0.92,-0.22,-0.20,47.61,-4.76,-12.82
450,-0.94,-0.13,-0.17,53.65,0.43,-18.19
460,-0.92,0.03,-0.19,56.21,6.10,-17.15
470,-0.92,0.15,-0.22,53.04,10.56,-18.68
480,-0.95,0.31,-0.21,45.78,17.03,-25.33
490,-1.04,0.51,-0.11,41.20,29.36,-22.83
500,-1.03,0.63,-0.11,38.94,33.33,-16.60
510,-1.04,0.74,0.02,43.88,32.90,-19.10
520,-1.13,0.86,-0.05,42.97,16.17,-24.90
530,-1.20,0.94,-0.16,31.98,11.72,-21.91
540,-1.22,1.01,-0.18,19.59,14.40,-10.80
550,-1.24,1.04,-0.25,5.86,12.82,6.10
560,-1.18,1.06,-0.30,-4.70,8.61,12.76
570,-1.13,1.01,-0.34,-14.65,0.18,18.74
580,-1.03,0.89,-0.35,-29.66,-7.75,18.19
590,-1.00,0.77,-0.32,-41.26,-8.36,12.39
600,-1.01,0.64,-0.24,-49.38,-2.93,7.32
610,-1.07,0.46,-0.15,-48.89,10.31,9.28
620,-1.09,0.35,-0.19,-41.26,20.20,18.55
630,-1.04,0.24,-0.26,-38.94,17.94,30.15
640,-0.95,0.13,-0.42,-47.49,8.61,30.46
650,-0.91,-0.01,-0.36,-64.21,4.27,9.83
660,-0.97,-0.14,-0.31,-76.05,-5.74,14.34
670,-0.95,-0.35,-0.20,-75.74,-5.92,24.84
680,-0.83,-0.55,-0.08,-57.37,0.55,17.88
690,-0.83,-0.66,-0.15,-41.69,-2.87,9.77
700,-0.90,-0.75,-0.19,-35.58,-8.67,0.49
710,-1.00,-0.86,-0.23,-31.37,-6.90,-10.99
720,-1.05,-0.89,-0.22,-24.84,-1.89,-11.47
730,-1.05,-0.88,-0.25,-18.13,4.27,-4.46
740,-1.00,-0.85,-0.22,-10.68,9.28,5.43
750,-0.98,-0.81,-0.18,-3.36,9.95,7.81
760,-0.98,-0.77,-0.17,5.86,7.39,5.92
770,-0.97,-0.66,-0.16,16.17,-0.85,2.26
