timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.12,0.32,-0.05,-60.00,-10.31,27.10
10,-1.13,0.21,-0.08,-60.24,0.55,38.70
20,-1.11,0.12,-0.11,-60.42,5.49,46.33
30,-1.08,0.02,-0.10,-59.63,7.63,49.74
40,-1.02,-0.09,-0.05,-55.73,9.70,46.63
50,-0.99,-0.13,-0.15,-58.04,9.70,42.60
60,-1.00,-0.24,-0.15,-56.58,11.78,51.82
70,-0.96,-0.35,-0.16,-52.06,12.70,47.42
80,-0.92,-0.41,-0.19,-44.62,7.69,33.81
90,-0.96,-0.49,-0.27,-35.83,-2.56,21.61
100,-1.00,-0.56,-0.28,-32.78,-1.65,16.72
110,-0.98,-0.62,-0.26,-31.13,1.89,14.59
120,-0.92,-0.71,-0.16,-23.68,2.75,9.52
130,-0.92,-0.75,-0.14,-15.93,-2.20,0.61
140,-0.92,-0.78,-0.10,-9.64,-3.17,-6.59
150,-0.95,-0.77,-0.07,-3.78,0.67,-9.89
160,-0.90,-0.74,-0.00,5.80,5.92,-4.76
170,-0.91,-0.73,-0.02,12.39,6.53,-5.00
180,-1.03,-0.69,-0.07,19.53,0.67,-10.99
190,-0.98,-0.63,-0.12,23.62,-3.54,-6.71
200,-0.93,-0.57,-0.11,25.21,-6.96,-4.27
210,-0.94,-0.54,-0.08,27.89,-2.14,-5.13
220,-0.96,-0.42,-0.08,37.54,-2.75,-5.92
230,-0.90,-0.32,-0.10,42.97,0.12,-4.27
240,-0.90,-0.22,-0.07,50.29,3.23,-20.81
250,-0.96,-0.09,-0.11,56.27,1.22,-35.52
260,-1.02,0.04,-0.13,60.67,9.03,-37.48
270,-1.06,0.19,-0.11,64.33,21.30,-33.87
280,-1.08,0.38,-0.14,70.43,32.84,-21.91
290,-1.10,0.54,-0.19,69.52,26.79,-21.97
300,-1.12,0.68,-0.20,61.65,16.91,-28.32
310,-1.11,0.78,-0.24,50.78,12.70,-39.67
320,-1.26,0.86,-0.13,46.51,9.89,-29.30
330,-1.29,0.94,-0.18,37.48,7.02,-25.39
340,-1.27,1.01,-0.17,26.37,5.00,-19.78
350,-1.24,1.01,-0.19,13.92,-6.41,-8.36
360,-1.23,0.97,-0.23,1.46,-11.17,-2.26
370,-1.17,0.88,-0.21,-16.36,-17.15,5.25
380,-1.12,0.79,-0.19,-29.91,-20.20,13.06
390,-1.06,0.68,-0.15,-41.44,-14.40,20.14
400,-1.01,0.51,-0.08,-50.72,-8.61,24.23
410,-1.03,0.39,-0.07,-52.98,-11.29,23.99
420,-1.08,0.30,-0.09,-53.28,-10.31,27.95
430,-1.07,0.17,-0.16,-58.90,0.85,44.49
