timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.82,-0.68,-0.33,60.06,4.94,-0.79
10,-0.84,-0.59,-0.32,63.54,8.36,-2.38
20,-0.84,-0.52,-0.30,71.17,13.85,-1.77
30,-0.85,-0.39,-0.31,80.87,21.67,-0.79
40,-0.86,-0.17,-0.38,86.36,22.95,-2.62
50,-0.87,-0.02,-0.40,83.98,19.04,-9.83
60,-0.93,0.13,-0.38,79.04,24.90,-18.55
70,-1.01,0.29,-0.34,74.89,38.21,-18.43
80,-1.14,0.51,-0.30,73.73,45.96,-11.47
90,-1.18,0.68,-0.32,74.52,36.93,-7.63
100,-1.20,0.85,-0.42,69.64,23.38,-8.24
110,-1.24,0.97,-0.49,55.97,12.21,-10.19
120,-1.33,1.08,-0.67,20.69,3.54,-1.28
130,-1.30,0.99,-0.52,-1.71,10.86,6.96
140,-1.21,0.94,-0.43,-15.99,3.66,2.38
150,-1.18,0.87,-0.49,-25.76,-12.57,8.73
160,-1.08,0.75,-0.52,-45.72,-18.07,6.23
170,-1.05,0.63,-0.46,-60.30,-16.17,2.20
180,-1.07,0.40,-0.41,-71.90,-19.65,-2.75
190,-1.09,0.27,-0.39,-75.01,-22.34,-2.75
200,-1.11,0.13,-0.40,-77.09,-23.56,4.76
210,-1.05,-0.04,-0.42,-77.88,-15.08,19.17
220,-1.00,-0.17,-0.44,-77.15,-6.53,25.76
230,-0.97,-0.28,-0.43,-77.09,-5.74,23.44
240,-0.93,-0.41,-0.41,-78.61,-15.63,20.26
250,-0.85,-0.62,-0.27,-75.56,-20.87,11.29
260,-0.84,-0.76,-0.19,-63.90,-25.94,4.15
270,-0.81,-0.90,-0.19,-45.04,-33.94,-2.87
280,-0.80,-0.98,-0.22,-33.69,-30.40,-7.39
290,-0.81,-1.02,-0.22,-25.70,-18.07,-7.93
300,-0.84,-1.02,-0.24,-16.60,-8.54,-3.54
310,-0.80,-1.00,-0.22,-11.35,-5.07,1.65
320,-0.75,-0.96,-0.15,-1.71,1.10,7.32
330,-0.73,-0.91,-0.14,15.44,7.02,9.64
340,-0.78,-0.83,-0.21,26.18,8.42,4.82
350,-0.78,-0.75,-0.26,31.74,7.57,3.23
360,-0.79,-0.68,-0.25,37.60,6.04,-0.06
370,-0.81,-0.63,-0.24,44.43,6.90,-3.42
380,-0.85,-0.55,-0.26,54.44,8.97,-4.21
