timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.22,-0.88,-0.59,-48.16,145.14,-184.94
10,-1.70,-1.09,-0.65,-26.86,112.61,-179.63
20,-2.22,-1.32,-0.59,-7.26,71.04,-154.24
30,-2.56,-1.63,-0.53,-2.44,30.33,-102.97
40,-3.04,-1.75,-0.25,-0.85,29.97,4.94
50,-2.65,-1.56,-0.28,-11.96,14.65,14.28
60,-2.47,-1.33,-0.28,-23.86,6.90,-4.09
70,-2.23,-1.30,-0.17,-2.99,-31.07,35.64
80,-1.93,-1.17,-0.21,28.08,-66.22,68.18
90,-1.69,-1.06,-0.39,40.34,-80.75,80.93
100,-1.39,-0.87,-0.50,32.90,-83.25,89.54
110,-1.15,-0.71,-0.47,28.93,-87.28,106.87
120,-0.91,-0.57,-0.42,32.10,-95.83,125.55
130,-0.59,-0.39,-0.37,35.16,-103.76,125.12
140,-0.41,-0.28,-0.30,39.49,-107.73,125.18
150,-0.18,-0.15,-0.25,38.64,-103.45,112.67
160,-0.04,-0.04,-0.18,31.01,-86.91,95.70
170,0.11,0.05,-0.06,35.71,-82.95,88.44
180,0.25,0.15,-0.09,36.80,-71.41,62.26
190,0.41,0.32,-0.07,27.53,-44.86,32.35
200,0.53,0.42,-0.06,16.66,-22.03,15.87
210,0.55,0.43,-0.07,-1.59,12.88,4.58
220,0.50,0.36,-0.09,-29.05,57.56,-8.24
230,0.45,0.24,-0.13,-43.82,84.96,-22.71
240,0.41,0.08,-0.20,-52.92,103.03,-49.87
250,0.17,-0.14,-0.27,-58.59,138.92,-84.29
260,-0.03,-0.26,-0.41,-57.56,157.65,-104.86
270,-0.35,-0.45,-0.52,-54.63,170.72,-129.64
280,-0.99,-0.78,-0.69,-40.04,156.31,-173.28
290,-1.59,-0.98,-0.75,-26.86,131.10,-192.44
300,-2.46,-1.37,-0.61,-5.49,72.81,-169.13
310,-2.83,-1.53,-0.53,-0.92,36.38,-123.23
320,-2.70,-1.28,-0.45,-2.99,16.30,-59.88
330,-2.71,-1.56,-0.35,-12.08,0.61,24.84
340,-2.53,-1.39,-0.26,-18.25,-4.64,15.20
350,-2.31,-1.30,-0.14,0.12,-40.10,51.45
360,-1.80,-1.13,-0.16,31.19,-76.35,81.97
370,-1.57,-0.99,-0.27,40.16,-83.50,89.29
380,-1.33,-0.86,-0.37,40.16,-83.68,98.08
390,-1.12,-0.72,-0.40,36.93,-80.63,108.58
