timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.35,-0.03,-0.29,-4.70,-135.93,-64.82
10,-1.16,-0.08,-0.44,-13.24,-148.38,-91.49
20,-0.78,-0.07,-0.65,-18.68,-120.00,-122.13
30,-0.47,-0.06,-0.77,-8.12,-86.55,-137.02
40,-0.05,0.02,-0.57,20.32,-71.04,-138.12
50,0.20,0.09,-0.29,29.72,-64.03,-125.49
60,0.35,0.14,-0.03,26.18,-55.42,-109.68
70,0.56,0.17,0.02,8.97,-48.58,-88.44
80,0.62,0.12,-0.10,-16.48,-29.30,-46.69
90,0.49,0.04,-0.25,-22.28,-6.84,-24.78
100,0.42,-0.01,-0.30,-16.54,24.48,-20.69
110,0.58,0.01,-0.17,-11.23,71.11,-24.41
120,0.73,0.02,-0.07,-19.96,121.15,-10.25
130,0.73,0.04,-0.08,-29.05,133.36,18.49
140,0.49,0.02,-0.10,-35.22,127.14,56.95
150,0.08,-0.01,-0.16,-46.88,130.19,88.01
160,-0.36,-0.08,-0.30,-59.81,127.26,102.60
170,-0.80,-0.21,-0.50,-62.50,123.78,101.14
180,-1.08,-0.31,-0.73,-64.27,146.91,71.47
190,-1.36,-0.35,-0.96,-58.35,153.14,76.17
200,-1.80,-0.29,-0.89,-24.48,115.91,105.71
210,-2.40,-0.17,-0.38,10.68,41.81,143.98
220,-3.48,-0.16,-0.08,1.83,-31.68,170.10
230,-3.98,-0.20,-0.21,-9.89,-48.28,128.66
240,-4.03,-0.20,-0.38,-7.45,-37.17,60.36
250,-3.65,-0.15,-0.32,9.40,-26.67,-7.39
260,-2.81,-0.06,-0.13,13.92,-36.50,-61.89
270,-2.16,-0.04,-0.19,5.31,-60.67,-76.72
280,-1.69,-0.05,-0.37,0.18,-89.05,-73.61
290,-1.41,-0.08,-0.42,-2.56,-119.08,-64.70
300,-1.27,-0.10,-0.48,2.20,-136.35,-63.78
310,-1.10,-0.12,-0.54,5.98,-141.36,-71.78
320,-0.92,-0.14,-0.57,7.81,-132.81,-84.41
330,-0.62,-0.12,-0.58,14.47,-106.57,-103.45
340,-0.34,-0.08,-0.52,20.51,-88.01,-113.22
350,-0.01,-0.04,-0.43,22.52,-73.49,-117.13
360,0.29,0.01,-0.34,22.16,-59.08,-101.68
370,0.50,0.07,-0.26,24.41,-43.76,-87.16
380,0.57,0.13,-0.06,26.43,-28.44,-63.05
390,0.64,0.16,0.08,14.95,-12.45,-33.08
400,0.68,0.14,0.03,-4.58,16.30,-17.64
410,0.73,0.11,-0.04,-16.54,55.36,-9.22
420,0.78,0.13,-0.07,-21.24,88.38,2.69
430,0.65,0.11,0.06,-27.40,121.09,31.56
440,0.36,0.08,0.04,-43.64,127.20,55.73
450,0.08,0.01,-0.12,-58.65,122.38,69.03
460,-0.30,-0.08,-0.31,-72.57,144.17,78.67
470,-0.94,-0.28,-0.51,-74.22,137.51,80.08
480,-1.16,-0.43,-0.72,-74.16,152.04,54.32
490,-1.30,-0.48,-0.85,-64.39,168.15,52.67
500,-1.74,-0.46,-0.78,-34.30,104.55,98.63
510,-2.32,-0.39,-0.64,-13.73,16.72,151.06
520,-3.20,-0.35,-0.45,1.71,-50.05,187.01
530,-3.99,-0.32,-0.29,15.14,-81.73,147.95
540,-4.11,-0.29,-0.23,21.30,-79.28,80.75
550,-3.65,-0.23,-0.21,20.69,-58.90,-3.17
560,-2.60,-0.11,-0.21,23.74,-39.79,-68.24
570,-1.93,-0.07,-0.17,26.37,-52.06,-81.48
580,-1.44,-0.06,-0.14,23.99,-78.49,-73.67
590,-1.20,-0.05,-0.23,12.76,-114.44,-55.05
600,-1.17,-0.10,-0.25,12.45,-130.80,-46.88
610,-1.15,-0.13,-0.37,9.16,-135.50,-57.37
620,-0.89,-0.11,-0.44,9.89,-110.17,-85.57
630,-0.63,-0.09,-0.48,10.68,-86.55,-101.68
640,-0.32,-0.03,-0.43,17.70,-74.46,-113.95
650,-0.03,0.03,-0.29,19.41,-62.93,-104.68
660,0.11,0.08,-0.19,16.54,-58.96,-91.31
670,0.23,0.12,-0.10,9.22,-53.28,-74.46
680,0.27,0.11,-0.11,0.00,-47.49,-54.57
690,0.40,0.07,-0.20,-9.64,-10.07,-48.65
700,0.71,0.04,-0.27,-15.56,44.19,-55.97
710,0.98,0.01,-0.23,-20.14,102.17,-62.68
720,1.27,0.09,-0.23,-18.01,143.37,-62.13
730,1.42,0.23,0.02,-21.06,159.91,27.34
740,0.84,0.20,0.07,-41.63,117.31,108.89
750,0.41,0.16,-0.10,-61.65,103.45,141.42
760,-0.06,0.05,-0.42,-81.79,117.80,155.33
770,-0.49,-0.06,-0.79,-83.44,146.30,155.33
780,-0.83,-0.10,-0.89,-71.11,149.05,164.73
790,-1.44,-0.19,-0.99,-50.54,148.80,176.27
800,-2.16,-0.21,-0.85,-19.17,126.77,168.09
810,-2.69,-0.11,-0.80,-8.79,66.59,189.70
820,-3.39,0.02,-0.76,8.48,-24.60,212.46
830,-4.32,0.12,-0.40,45.10,-93.14,195.25
840,-4.48,0.15,-0.03,51.45,-78.43,113.10
850,-4.04,0.21,0.15,33.33,-49.56,14.77
860,-2.91,0.29,0.06,14.77,-44.74,-64.58
870,-2.23,0.26,-0.01,7.69,-59.88,-85.21
880,-1.76,0.19,-0.12,2.20,-84.05,-89.60
890,-1.48,0.13,-0.21,-4.15,-106.32,-90.76
900,-1.20,0.10,-0.26,-3.72,-131.59,-83.31
910,-1.23,0.05,-0.30,-6.65,-149.35,-78.74
920,-1.18,0.02,-0.45,-7.81,-151.67,-98.88
930,-0.85,0.01,-0.47,-11.78,-112.92,-133.48
940,-0.48,0.03,-0.56,-16.17,-80.38,-159.00
950,-0.08,0.10,-0.54,-7.87,-65.31,-164.92
960,0.31,0.17,-0.30,7.75,-75.07,-139.04
970,0.48,0.17,-0.17,2.38,-73.00,-108.34
980,0.52,0.15,-0.13,-12.51,-66.16,-74.28
990,0.58,0.10,-0.23,-25.33,-48.40,-55.05
1000,0.73,0.05,-0.41,-29.72,-4.15,-39.37
1010,0.84,0.04,-0.40,-22.71,33.87,-24.78
1020,0.89,0.07,-0.26,-9.09,60.79,-2.32
1030,0.71,0.07,0.04,-8.36,74.89,42.91
1040,0.55,0.05,0.08,-25.94,83.37,69.76
1050,0.25,-0.00,-0.08,-53.77,115.23,92.83
1060,-0.05,-0.03,-0.33,-63.23,127.08,101.87
1070,-0.36,-0.06,-0.52,-60.85,134.22,107.18
1080,-0.84,-0.13,-0.70,-48.95,122.50,117.49
1090,-1.31,-0.25,-0.74,-23.32,129.76,99.85
1100,-1.47,-0.21,-0.71,-19.59,157.29,81.60
1110,-1.96,-0.13,-0.54,-1.40,128.05,116.70
1120,-2.82,-0.04,-0.16,33.87,8.36,181.70
1130,-3.62,-0.02,0.12,39.55,-56.64,198.24
1140,-4.29,-0.03,0.27,22.77,-84.17,167.11
1150,-4.46,-0.03,0.08,2.38,-95.09,94.73
1160,-3.88,0.00,-0.20,3.36,-73.85,-21.73
1170,-3.12,0.06,-0.24,7.81,-52.73,-79.90
1180,-2.42,0.06,-0.31,7.45,-50.78,-113.89
1190,-1.56,0.06,-0.43,-4.64,-57.86,-138.55
1200,-1.04,0.07,-0.60,8.00,-78.86,-135.01
1210,-0.83,0.05,-0.48,23.93,-99.24,-118.71
1220,-0.74,0.01,-0.27,16.85,-108.09,-107.85
1230,-0.53,0.01,-0.48,20.81,-123.78,-128.97
1240,-0.18,0.04,-0.37,15.81,-96.98,-141.72
1250,0.15,0.08,-0.42,1.34,-55.24,-143.19
1260,0.32,0.14,-0.28,15.08,-56.27,-136.41
1270,0.54,0.18,-0.03,27.40,-62.07,-113.95
1280,0.62,0.18,0.16,7.14,-45.17,-71.84
1290,0.61,0.12,0.07,-20.08,-23.19,-47.73
1300,0.68,0.06,-0.11,-32.04,5.86,-34.30
1310,0.89,-0.01,-0.18,-35.77,57.07,-19.59
1320,0.94,-0.01,-0.19,-38.39,91.55,1.89
1330,0.85,0.00,-0.14,-36.56,112.00,39.12
1340,0.65,0.05,0.04,-37.29,127.08,67.99
