timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.35,0.09,-0.17,-14.10,119.32,31.68
10,0.39,0.06,-0.20,-8.54,123.35,19.17
20,0.24,-0.02,-0.26,6.84,121.64,-19.96
30,-0.03,-0.09,-0.42,13.00,124.88,-46.14
40,-0.48,-0.20,-0.59,4.33,135.62,-76.05
50,-0.78,-0.26,-0.50,-2.01,151.49,-89.42
60,-1.07,-0.34,-0.38,4.09,149.29,-100.71
70,-1.44,-0.39,-0.34,24.11,108.22,-128.17
80,-1.89,-0.46,-0.37,32.53,64.64,-151.00
90,-2.41,-0.51,-0.35,33.02,34.00,-157.78
100,-3.06,-0.55,-0.42,23.01,18.74,-121.58
110,-3.25,-0.36,-0.47,8.12,23.93,-80.75
120,-3.25,-0.53,-0.55,-13.37,25.88,-1.40
130,-2.94,-0.44,-0.43,-18.55,1.95,4.94
140,-2.75,-0.51,-0.38,-16.30,-49.68,24.29
150,-2.44,-0.51,-0.37,-13.85,-73.49,39.86
160,-2.07,-0.51,-0.46,-19.35,-72.88,81.24
170,-1.73,-0.50,-0.40,-23.93,-67.02,110.05
180,-1.40,-0.48,-0.39,-21.36,-74.22,126.46
190,-1.05,-0.41,-0.39,-15.56,-93.93,127.69
200,-0.84,-0.41,-0.33,-9.40,-111.57,124.39
210,-0.66,-0.37,-0.25,-1.04,-124.27,110.41
220,-0.44,-0.34,-0.27,4.27,-134.95,98.63
230,-0.14,-0.26,-0.16,20.14,-129.52,91.19
240,0.17,-0.11,-0.24,21.73,-107.12,76.97
250,0.54,0.04,-0.17,10.86,-68.73,64.03
260,0.82,0.13,-0.02,9.52,-53.83,37.90
270,0.92,0.15,0.04,18.31,-55.54,2.44
280,0.70,0.14,-0.07,28.99,-46.33,-36.13
290,0.56,0.13,-0.26,18.92,0.67,-28.69
300,0.55,0.10,-0.35,-4.52,70.62,-8.48
310,0.62,0.08,-0.31,-22.83,130.55,3.97
320,0.63,0.01,-0.37,-18.13,146.79,-15.63
330,0.44,-0.09,-0.51,-7.02,138.00,-52.73
340,0.01,-0.22,-0.71,-2.26,134.52,-103.21
350,-0.79,-0.37,-0.74,-15.50,151.31,-151.31
