timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.47,-0.03,-0.41,28.44,-36.99,-127.38
10,0.66,0.02,-0.29,31.13,-4.64,-112.85
20,0.96,0.05,-0.03,30.21,35.28,-91.80
30,1.26,0.09,-0.03,19.04,62.38,-57.50
40,1.32,0.10,0.01,2.01,91.74,7.20
50,0.94,0.11,0.01,-15.56,101.20,79.77
60,0.56,0.01,-0.28,-29.36,101.32,109.74
70,0.27,0.01,-0.49,-23.13,157.96,111.63
80,0.11,0.07,-0.42,-23.68,190.86,117.80
90,-0.37,0.10,-0.52,-29.05,176.15,147.52
100,-0.90,0.14,-0.54,-27.77,131.04,177.31
110,-1.86,0.18,-0.75,-24.23,73.30,240.78
120,-2.68,0.21,-0.63,11.84,47.61,259.70
130,-3.49,0.24,-0.30,37.35,25.82,224.43
140,-3.80,0.32,-0.15,29.48,29.05,165.83
150,-3.86,0.33,-0.06,13.61,21.91,92.65
160,-3.61,0.32,-0.30,-6.84,-4.15,7.69
170,-3.25,0.28,-0.36,-6.53,-23.86,-35.46
180,-2.83,0.26,-0.32,-4.76,-43.88,-75.74
190,-2.19,0.24,-0.37,-7.75,-68.91,-109.86
200,-1.83,0.22,-0.41,-6.41,-92.16,-117.86
210,-1.57,0.19,-0.39,-3.72,-113.71,-122.01
220,-1.21,0.16,-0.31,-8.48,-126.65,-128.05
230,-1.01,0.12,-0.37,-10.68,-142.15,-126.40
240,-0.90,0.07,-0.48,-12.08,-152.40,-124.76
250,-0.64,0.04,-0.51,-9.22,-136.78,-138.18
260,-0.19,0.03,-0.49,-5.80,-105.16,-162.48
270,0.22,0.03,-0.42,-5.00,-87.65,-166.20
280,0.56,0.02,-0.44,-6.10,-67.02,-156.31
290,0.85,0.00,-0.41,-1.89,-28.02,-125.06
300,1.08,-0.02,-0.35,-0.12,7.26,-100.59
310,1.32,0.01,-0.31,2.44,45.23,-75.13
320,1.48,0.07,-0.18,-3.66,74.89,-5.86
330,1.24,0.05,-0.27,-12.94,80.57,61.34
340,0.93,0.05,-0.30,-14.40,105.90,88.32
350,0.52,0.07,-0.32,-22.64,140.63,107.60
360,0.37,0.13,-0.40,-31.86,165.71,110.96
370,0.01,0.15,-0.59,-43.27,173.83,133.61
380,-0.86,0.12,-0.67,-25.76,148.07,166.99
390,-1.34,0.16,-0.48,-12.63,123.29,177.43
400,-2.06,0.17,-0.30,-11.35,106.02,207.58
410,-2.82,0.13,-0.32,-19.04,58.47,221.86
420,-3.70,0.07,-0.58,-14.71,29.66,187.01
430,-4.09,0.06,-0.42,2.38,36.25,128.23
440,-4.12,0.04,-0.36,3.91,36.99,48.10
450,-3.45,0.11,-0.33,-2.50,14.22,-37.17
460,-3.02,0.08,-0.36,-7.63,-19.41,-66.96
470,-2.42,0.05,-0.55,-8.73,-72.02,-94.91
480,-1.97,0.06,-0.58,1.16,-92.59,-107.91
490,-1.63,0.06,-0.48,7.26,-110.96,-114.07
500,-1.25,0.07,-0.43,4.94,-140.38,-111.45
510,-1.11,0.04,-0.51,3.54,-159.73,-100.89
520,-1.07,0.02,-0.44,3.05,-163.57,-100.77
530,-0.82,0.00,-0.53,1.89,-157.59,-115.23
540,-0.41,-0.03,-0.57,-1.16,-128.42,-129.39
550,-0.07,-0.02,-0.55,2.32,-105.16,-138.06
560,0.27,0.00,-0.49,8.00,-84.90,-136.23
570,0.57,0.05,-0.26,15.75,-65.25,-113.83
580,0.81,0.05,-0.15,10.07,-44.92,-92.65
590,1.01,0.03,-0.14,0.79,-14.16,-66.83
600,1.21,0.04,-0.23,-10.07,26.06,-38.57
610,1.10,-0.01,-0.27,-11.23,49.50,25.57
620,1.02,-0.03,-0.36,-6.90,80.81,45.65
630,1.08,0.05,-0.23,-10.19,137.27,69.76
640,0.91,0.08,-0.30,-20.94,155.21,101.14
650,0.53,0.11,-0.49,-30.46,162.54,132.02
660,0.01,0.14,-0.68,-31.74,165.77,159.06
670,-1.00,0.10,-0.77,-15.38,153.75,186.04
680,-1.71,0.05,-0.68,-10.07,146.97,181.70
690,-2.35,0.04,-0.54,-5.49,131.84,172.55
700,-2.95,0.12,-0.45,-4.70,87.89,165.28
710,-3.49,0.10,-0.45,-0.67,37.29,164.61
720,-3.90,0.06,-0.44,8.12,15.38,135.44
730,-4.15,0.03,-0.27,15.99,-6.53,55.66
740,-3.75,0.08,-0.19,13.49,-11.11,-22.46
750,-3.15,0.17,-0.13,12.70,-29.48,-70.19
760,-2.58,0.19,-0.07,7.02,-67.02,-95.95
770,-2.30,0.16,-0.16,0.67,-100.71,-104.37
780,-1.94,0.11,-0.28,-2.26,-125.85,-114.50
790,-1.64,0.04,-0.43,-4.82,-135.50,-121.83
800,-1.12,-0.00,-0.53,-4.58,-133.42,-132.93
810,-0.75,-0.01,-0.60,-1.10,-141.48,-134.58
820,-0.46,-0.02,-0.60,0.06,-143.43,-127.20
830,-0.30,-0.04,-0.61,4.09,-144.29,-116.64
840,0.06,0.01,-0.55,5.13,-127.99,-129.21
850,0.43,0.04,-0.48,0.73,-101.38,-129.03
860,0.82,0.07,-0.42,-1.95,-67.38,-108.95
870,1.07,0.04,-0.43,-1.40,-27.59,-81.97
880,1.09,0.08,-0.32,-2.26,21.18,-47.97
890,1.24,0.06,-0.34,-0.18,47.85,-4.70
900,1.24,0.05,-0.27,-0.31,80.02,30.03
910,1.20,0.04,-0.20,-7.08,110.78,62.32
920,1.04,0.00,-0.48,-19.90,142.94,99.98
930,0.96,0.05,-0.58,-18.68,175.48,119.32
940,0.76,0.12,-0.68,-20.14,198.06,148.01
950,0.23,0.14,-0.83,-26.18,196.47,180.79
960,-0.75,0.18,-1.17,-20.26,157.96,213.87
970,-1.45,0.26,-1.28,-4.52,134.16,222.72
980,-2.20,0.36,-1.13,21.73,127.75,234.31
990,-3.31,0.32,-0.72,59.39,102.97,235.41
1000,-3.82,0.28,-0.52,58.84,103.94,184.27
1010,-3.84,0.32,-0.42,48.22,96.74,114.81
1020,-3.57,0.45,-0.15,40.53,33.26,65.80
1030,-3.59,0.50,-0.01,36.74,-21.30,49.80
1040,-3.72,0.48,0.19,32.84,-59.27,12.39
1050,-3.30,0.51,0.38,9.09,-68.42,-59.57
1060,-2.39,0.48,0.00,-34.73,-80.57,-116.09
1070,-1.89,0.42,-0.29,-42.05,-103.58,-127.32
1080,-1.67,0.35,-0.40,-40.41,-144.41,-116.88
1090,-1.61,0.23,-0.48,-42.18,-188.84,-107.73
1100,-1.61,0.13,-0.68,-48.16,-191.71,-122.92
1110,-1.40,0.10,-0.85,-48.34,-166.14,-161.74
1120,-0.52,0.12,-0.95,-39.61,-115.42,-211.91
1130,0.05,0.12,-0.93,-26.92,-99.30,-208.07
1140,0.38,0.10,-0.80,-3.72,-118.90,-182.01
1150,0.70,0.08,-0.48,7.87,-107.60,-134.52
1160,0.84,0.01,-0.42,-1.22,-75.68,-110.84
1170,1.01,-0.05,-0.45,-10.62,-25.88,-93.63
1180,1.30,-0.13,-0.50,-6.59,38.02,-73.85
1190,1.47,-0.06,-0.30,1.16,77.70,-60.79
1200,1.79,0.09,-0.18,4.33,96.80,-12.82
1210,1.61,0.15,-0.14,-8.48,105.29,80.26
1220,0.79,0.12,-0.26,-19.78,118.41,153.14
1230,0.18,0.06,-0.49,-27.95,125.92,171.51
1240,-0.12,0.06,-0.75,-26.18,155.82,156.92
1250,-0.44,0.18,-0.79,-21.24,190.25,146.18
1260,-0.91,0.29,-0.67,-16.17,170.84,166.75
1270,-1.48,0.33,-0.71,-23.80,122.13,211.55
1280,-2.74,0.20,-0.60,-1.16,94.67,223.51
1290,-3.30,0.07,-0.56,2.50,74.89,170.96
1300,-3.35,0.08,-0.66,0.49,82.64,110.23
1310,-3.59,0.18,-0.50,8.85,59.08,87.04
1320,-4.05,0.17,-0.35,19.90,-5.31,78.61
1330,-4.14,0.14,-0.19,23.13,-49.19,21.36
1340,-3.42,0.17,-0.31,-5.68,-47.36,-87.46
1350,-2.62,0.20,-0.53,-8.97,-51.70,-130.13
1360,-2.04,0.21,-0.50,1.65,-78.80,-137.15
1370,-1.61,0.18,-0.44,8.61,-137.08,-122.86
1380,-1.45,0.13,-0.45,7.02,-167.36,-116.70
1390,-1.22,0.10,-0.48,1.53,-174.44,-121.34
1400,-0.94,0.09,-0.52,0.85,-165.28,-130.98
1410,-0.55,0.09,-0.46,0.98,-157.35,-136.23
1420,-0.24,0.07,-0.54,-3.48,-146.73,-134.64
1430,0.14,0.04,-0.56,0.12,-131.04,-135.25
1440,0.48,0.05,-0.45,1.65,-104.80,-134.22
1450,0.84,0.06,-0.40,-0.49,-73.12,-125.49
1460,1.15,0.05,-0.37,-2.20,-34.91,-107.54
1470,1.41,0.03,-0.40,-4.21,15.38,-80.26
1480,1.54,0.06,-0.32,-3.42,62.74,-31.80
1490,1.53,0.10,-0.25,-3.54,75.07,29.72
1500,1.19,0.10,-0.14,-7.69,87.52,86.24
1510,0.71,0.08,-0.22,-26.55,124.08,117.68
1520,0.40,0.03,-0.42,-39.06,153.38,126.65
1530,0.11,0.01,-0.66,-44.37,182.25,130.37
1540,-0.32,0.02,-0.87,-32.71,197.63,141.91
1550,-0.75,0.06,-0.77,-21.24,188.42,159.67
1560,-1.31,0.14,-0.74,-24.84,148.13,189.09
1570,-2.00,0.20,-0.93,-24.78,108.03,231.38
1580,-3.32,0.22,-0.94,19.17,53.47,249.69
1590,-3.97,0.27,-0.57,55.66,31.98,210.08
1600,-4.46,0.19,-0.08,44.25,35.95,107.85
1610,-4.08,0.19,-0.19,10.62,26.92,10.31
1620,-3.36,0.24,-0.42,-1.22,1.40,-45.35
1630,-2.99,0.20,-0.41,5.13,-41.32,-65.73
1640,-2.54,0.21,-0.38,2.56,-79.77,-99.43
1650,-2.22,0.21,-0.41,-4.03,-98.88,-122.92
1660,-1.92,0.20,-0.51,-7.93,-121.28,-141.42
1670,-1.45,0.19,-0.52,-6.65,-141.85,-162.66
1680,-1.09,0.16,-0.56,-7.26,-146.85,-174.44
1690,-0.70,0.14,-0.55,-7.63,-146.36,-181.09
1700,-0.25,0.14,-0.60,-7.08,-140.81,-177.67
1710,0.18,0.08,-0.60,-1.34,-131.04,-158.69
1720,0.42,0.04,-0.54,2.44,-119.14,-139.83
1730,0.70,0.02,-0.40,7.75,-86.73,-113.77
1740,0.83,-0.01,-0.35,7.51,-54.44,-92.16
1750,1.05,-0.04,-0.31,10.07,-15.93,-82.21
1760,1.38,-0.00,-0.18,11.72,55.11,-75.44
1770,1.70,0.10,-0.02,2.99,98.27,-45.84
1780,1.85,0.23,-0.03,-21.67,103.76,30.33
1790,1.23,0.18,-0.24,-32.47,100.34,122.38
1800,0.38,0.12,-0.38,-30.27,121.77,160.16
1810,-0.08,0.07,-0.48,-36.87,155.40,159.12
1820,-0.27,0.07,-0.61,-49.13,193.18,145.08
1830,-0.54,0.06,-0.79,-56.58,208.13,153.08
1840,-1.21,0.07,-0.81,-58.84,161.99,194.21
1850,-1.94,0.07,-1.02,-44.86,122.13,233.58
1860,-2.96,0.06,-1.12,-4.94,71.41,231.69
1870,-3.67,0.11,-0.90,29.85,41.20,196.84
1880,-4.12,0.13,-0.50,45.84,22.83,142.33
1890,-4.19,0.07,-0.34,17.64,11.78,39.31
1900,-3.62,0.10,-0.48,5.98,-0.12,-42.48
1910,-2.86,0.18,-0.41,12.21,-30.09,-81.67
1920,-2.25,0.21,-0.28,9.70,-86.18,-87.95
1930,-1.99,0.18,-0.37,1.89,-124.08,-83.92
1940,-1.90,0.13,-0.46,-3.72,-145.51,-86.00
1950,-1.76,0.09,-0.55,-6.53,-157.84,-101.62
1960,-1.48,0.07,-0.57,-4.70,-159.67,-125.12
1970,-1.02,0.07,-0.52,-5.43,-142.76,-153.32
1980,-0.67,0.07,-0.52,-7.26,-130.31,-166.93
1990,-0.20,0.10,-0.51,-9.22,-111.08,-174.56
