timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.59,0.13,-0.58,13.24,-15.01,-27.10
10,-2.90,0.19,-0.42,23.62,-8.48,-86.00
20,-2.09,0.21,-0.27,20.20,-23.80,-115.60
30,-1.78,0.16,-0.33,2.50,-52.55,-115.54
40,-1.65,0.08,-0.58,-0.67,-97.90,-109.62
50,-1.62,-0.02,-0.83,6.90,-141.05,-108.46
60,-1.61,-0.04,-0.90,18.68,-158.45,-122.74
70,-1.44,-0.02,-0.84,30.76,-161.56,-148.86
80,-0.98,0.09,-0.60,39.18,-136.41,-181.03
90,-0.64,0.13,-0.72,45.78,-122.07,-208.62
100,-0.04,0.20,-0.46,70.80,-98.75,-216.25
110,0.40,0.23,-0.07,63.66,-65.98,-193.12
120,0.68,0.25,0.04,56.03,-67.14,-165.10
130,0.93,0.27,0.15,51.21,-74.71,-128.17
140,1.16,0.33,0.26,36.93,-42.66,-84.72
150,1.23,0.36,0.43,11.96,-6.41,-33.39
160,1.05,0.29,0.34,-32.65,-8.73,36.32
170,0.63,0.13,-0.13,-63.05,29.42,69.95
180,0.68,0.12,-0.30,-61.89,103.39,58.17
190,0.62,0.15,-0.14,-52.06,153.08,62.99
200,0.50,0.15,0.01,-70.43,155.88,87.89
210,0.40,0.12,-0.21,-96.74,162.72,103.03
220,0.17,0.03,-0.59,-124.08,180.73,123.35
230,-0.50,-0.13,-0.96,-131.04,143.62,178.47
240,-1.06,-0.17,-1.31,-123.66,94.48,214.60
250,-1.79,-0.20,-1.37,-73.49,122.44,215.64
260,-2.50,-0.12,-1.11,-10.19,87.22,209.47
270,-3.09,-0.04,-0.90,23.32,22.95,230.16
280,-3.78,0.03,-0.53,46.20,-28.50,215.88
290,-4.18,0.00,-0.38,44.98,-44.25,159.12
300,-4.09,0.10,-0.23,40.04,-23.25,38.82
310,-3.56,0.21,-0.11,41.69,-21.55,-34.06
320,-2.72,0.23,-0.01,33.14,-21.67,-96.07
330,-2.11,0.19,-0.03,17.46,-33.87,-119.26
340,-1.65,0.12,-0.34,-1.28,-62.68,-125.85
350,-1.25,0.05,-0.55,10.31,-110.41,-113.65
360,-1.18,0.00,-0.47,23.01,-138.61,-103.82
370,-1.14,-0.02,-0.35,23.56,-149.35,-111.39
380,-0.98,-0.03,-0.30,8.18,-141.78,-135.74
390,-0.33,0.01,-0.71,12.63,-119.08,-175.11
400,0.08,0.04,-0.67,22.22,-82.76,-173.95
410,0.31,0.09,-0.50,37.05,-64.21,-158.51
420,0.57,0.18,-0.17,57.68,-75.56,-122.68
430,0.74,0.24,0.05,55.91,-74.71,-94.79
440,0.83,0.25,0.20,29.05,-44.31,-59.75
450,0.85,0.18,0.06,-23.13,0.43,-13.24
460,0.89,0.13,-0.19,-42.11,43.09,8.06
470,0.88,0.12,-0.27,-43.64,97.11,28.08
480,0.58,0.11,-0.12,-40.95,122.19,64.94
490,0.35,0.08,-0.13,-51.51,118.35,82.15
500,0.23,0.05,-0.27,-67.69,143.62,88.13
510,-0.11,-0.05,-0.64,-87.22,172.73,98.33
520,-0.40,-0.12,-0.85,-77.64,171.45,109.68
530,-0.85,-0.17,-0.85,-59.33,143.19,124.33
540,-1.25,-0.18,-0.88,-43.52,111.82,138.24
550,-1.85,-0.15,-0.87,-25.39,89.72,161.93
560,-2.46,-0.15,-0.79,-13.12,65.61,178.28
570,-3.01,-0.15,-0.74,0.12,23.32,169.86
580,-3.62,-0.11,-0.68,21.24,-33.63,156.37
590,-3.97,-0.09,-0.49,43.82,-68.54,126.40
600,-4.00,-0.02,-0.21,58.84,-71.59,60.24
610,-3.37,0.11,0.14,47.49,-45.10,-46.39
620,-2.71,0.15,0.18,26.06,-34.30,-91.67
630,-2.13,0.09,-0.02,-4.15,-47.67,-114.50
640,-1.73,0.01,-0.40,-14.71,-80.93,-114.81
650,-1.39,-0.08,-0.64,0.73,-132.51,-105.59
660,-1.24,-0.09,-0.68,13.49,-158.87,-100.83
670,-1.12,-0.04,-0.40,22.46,-166.87,-107.85
680,-0.80,0.01,-0.48,18.74,-165.59,-131.04
690,-0.44,0.05,-0.50,12.39,-135.93,-146.06
700,0.04,0.10,-0.56,10.13,-92.96,-159.85
710,0.42,0.17,-0.52,18.19,-63.17,-161.07
720,0.74,0.25,-0.31,30.09,-47.06,-150.15
730,1.01,0.32,-0.12,35.83,-35.95,-125.18
740,1.25,0.37,0.04,25.09,-16.48,-74.71
750,1.19,0.34,0.12,-1.65,17.70,-11.54
760,0.83,0.25,0.03,-27.89,43.70,29.17
770,0.85,0.24,0.00,-44.25,98.63,36.13
780,0.79,0.23,0.06,-59.27,129.58,56.21
790,0.68,0.19,-0.03,-84.66,142.52,80.38
800,0.52,0.09,-0.31,-112.18,162.54,101.62
810,0.13,-0.04,-0.82,-128.36,197.88,121.95
820,-0.27,-0.12,-1.06,-118.90,199.52,142.21
830,-0.70,-0.13,-1.11,-98.82,166.87,164.18
840,-1.33,-0.09,-1.22,-79.35,99.67,208.74
850,-2.05,-0.05,-1.34,-53.65,69.46,249.88
860,-3.02,-0.09,-1.22,-6.84,31.07,269.29
870,-3.82,-0.10,-0.77,50.78,-4.52,202.88
880,-3.90,0.02,-0.46,55.66,-6.16,124.69
890,-3.97,0.09,-0.27,47.91,-8.42,69.46
900,-3.64,0.18,-0.12,44.07,-43.88,-11.17
910,-3.07,0.25,-0.05,39.37,-47.49,-63.11
920,-2.48,0.30,0.04,28.26,-47.06,-97.23
930,-1.93,0.27,-0.13,-5.68,-72.51,-117.43
940,-1.69,0.24,-0.44,-17.27,-103.45,-116.27
950,-1.61,0.19,-0.63,-10.62,-138.37,-113.89
960,-1.51,0.18,-0.54,2.08,-167.60,-125.73
970,-1.25,0.19,-0.48,-5.43,-160.71,-154.97
980,-0.78,0.23,-0.70,-6.10,-144.23,-190.49
990,-0.32,0.24,-0.59,1.95,-117.49,-202.27
1000,0.22,0.25,-0.50,3.85,-78.43,-201.23
1010,0.58,0.23,-0.41,13.49,-65.37,-190.86
1020,1.04,0.23,-0.25,24.54,-47.67,-155.52
1030,1.18,0.26,-0.03,29.05,-27.71,-107.06
1040,1.21,0.18,0.14,14.59,-11.17,-49.68
1050,1.19,0.12,0.10,-18.43,3.60,11.84
1060,0.93,0.02,-0.18,-47.42,45.96,62.26
1070,0.82,-0.01,-0.33,-48.16,80.26,77.82
1080,0.75,-0.02,-0.33,-45.10,113.53,91.67
1090,0.69,-0.02,-0.45,-57.74,151.31,110.84
1100,0.56,0.02,-0.61,-68.91,176.45,133.48
1110,0.14,0.03,-0.80,-72.20,171.33,166.56
1120,-0.62,0.00,-1.13,-71.04,114.93,212.28
1130,-1.13,0.10,-1.33,-46.14,81.48,242.13
1140,-1.88,0.24,-1.16,13.37,66.22,267.94
1150,-2.93,0.45,-0.47,86.18,19.78,305.97
1160,-3.64,0.53,0.20,102.60,-25.02,303.41
1170,-3.97,0.55,0.49,66.22,-30.33,266.17
1180,-4.60,0.34,0.41,5.25,-21.97,154.79
1190,-3.80,0.41,-0.30,-21.55,-6.23,-34.85
1200,-3.01,0.46,-0.25,-4.70,22.34,-92.77
1210,-2.52,0.45,-0.02,-1.22,-1.95,-108.64
1220,-2.03,0.36,-0.22,-36.01,-64.21,-120.18
1230,-1.83,0.27,-0.60,-43.40,-95.15,-114.69
1240,-1.70,0.19,-0.79,-26.67,-113.77,-123.60
1250,-1.37,0.18,-0.66,-0.67,-125.92,-148.38
1260,-1.04,0.20,-0.51,4.09,-119.57,-165.41
1270,-0.77,0.21,-0.42,1.40,-117.31,-172.49
1280,-0.51,0.19,-0.31,-0.18,-120.00,-170.17
1290,-0.34,0.17,-0.44,10.38,-134.70,-186.46
1300,0.11,0.14,-0.33,8.30,-88.62,-197.02
1310,0.41,0.12,-0.31,-5.98,-36.62,-198.85
1320,0.78,0.13,-0.21,0.18,-7.69,-192.81
1330,1.09,0.14,-0.15,11.72,-9.58,-171.51
1340,1.28,0.16,-0.01,18.01,24.48,-132.39
1350,1.31,0.14,0.18,-8.97,64.88,-43.09
1360,1.11,0.11,0.11,-42.66,82.15,19.29
1370,0.81,0.04,-0.11,-61.10,88.62,56.52
1380,0.48,0.02,-0.27,-66.10,116.76,84.59
1390,0.18,-0.02,-0.36,-71.35,123.96,100.46
1400,-0.11,-0.06,-0.46,-79.71,145.20,105.22
1410,-0.43,-0.11,-0.61,-89.54,163.94,106.93
1420,-0.81,-0.14,-0.75,-93.14,159.97,101.62
1430,-1.04,-0.16,-0.81,-90.76,121.64,123.23
1440,-1.34,-0.17,-1.10,-90.52,56.46,172.30
1450,-2.38,-0.14,-1.31,-40.04,-32.53,263.24
1460,-3.05,-0.13,-1.06,31.80,-81.67,287.41
1470,-3.70,-0.12,-0.56,77.76,-83.68,269.04
1480,-4.13,-0.03,0.15,81.54,-56.03,136.60
1490,-3.91,0.03,0.37,46.75,-33.63,26.79
1500,-3.08,0.15,0.16,17.09,-14.04,-54.69
1510,-2.30,0.15,-0.03,6.84,-15.50,-82.40
1520,-2.05,0.13,-0.09,-5.86,-29.79,-93.08
1530,-1.72,0.09,-0.31,-10.50,-59.39,-96.62
1540,-1.49,0.07,-0.48,1.83,-97.05,-95.58
1550,-1.37,0.06,-0.44,12.51,-121.40,-101.26
1560,-1.20,0.07,-0.34,15.44,-131.10,-111.69
1570,-1.05,0.06,-0.26,7.26,-129.82,-124.76
1580,-0.66,0.05,-0.53,3.72,-122.50,-153.75
1590,-0.27,0.03,-0.56,8.42,-96.25,-166.44
1600,0.06,0.03,-0.55,8.18,-50.78,-171.20
1610,0.41,0.06,-0.38,21.42,-25.76,-163.15
1620,0.65,0.11,-0.20,30.70,-27.47,-143.68
1630,0.78,0.12,-0.08,30.58,-28.32,-111.57
1640,0.89,0.14,-0.06,11.29,-6.41,-61.04
1650,0.91,0.13,-0.10,-3.42,28.87,-20.57
1660,0.84,0.14,-0.09,-12.33,60.00,13.61
1670,0.70,0.17,0.04,-25.09,79.83,52.86
1680,0.45,0.11,-0.00,-44.43,78.61,80.32
1690,0.24,0.06,-0.16,-64.39,93.63,91.74
1700,0.12,0.02,-0.34,-79.83,126.95,95.89
1710,-0.27,-0.07,-0.60,-89.78,144.41,111.63
1720,-0.56,-0.14,-0.71,-77.70,133.06,123.66
1730,-0.86,-0.18,-0.67,-61.83,120.48,131.71
1740,-1.35,-0.23,-0.65,-48.40,94.54,153.56
1750,-1.81,-0.25,-0.71,-38.27,58.41,177.73
1760,-2.30,-0.26,-0.73,-16.54,21.97,199.10
1770,-2.84,-0.17,-0.45,16.48,-3.11,206.91
1780,-3.27,-0.14,-0.22,23.07,-18.80,188.96
1790,-3.60,-0.12,-0.17,11.54,-38.70,146.24
1800,-3.63,-0.12,-0.32,11.60,-62.68,51.76
1810,-3.21,-0.06,-0.33,19.59,-49.44,-24.96
1820,-2.66,0.01,-0.23,15.63,-19.10,-84.47
1830,-2.02,0.07,-0.21,12.63,-13.37,-117.43
1840,-1.52,0.09,-0.31,6.96,-62.68,-110.05
1850,-1.51,0.04,-0.41,9.52,-125.92,-88.87
1860,-1.60,-0.02,-0.47,13.49,-163.39,-90.58
1870,-1.39,0.02,-0.43,16.17,-150.82,-131.16
